Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,1740,1890,2330,2420,2450,1820,1800,1920,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,1990,1720,1460,1940,1530,1250,1620,1540,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,1990,1720,1460,1940,1530,1250,1620,1540,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,19530,19470,19500,19960,19140,19050,19590,19450,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,19530,19470,19500,19960,19140,19050,19590,19450,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,26805,27090,27690,27785,26440,26890,27605,26870,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,26805,27090,27690,27785,26440,26890,27605,26870,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,16540,16960,17840,17590,16130,16930,17650,16380,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,11460,11470,13091,12575,11119,11443,11863,11644,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,11686,11470,12995,12555,11131,11433,11851,11503,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,11152,11243,12259,11194,11020,10570,11433,11318,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,10913,11519,12019,11009,11090,10791,11264,11299,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,10860,11559,11811,10930,11020,10761,11067,11275,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,10138,11522,11026,10753,10099,11011,10831,10874,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,9508,11444,10354,10589,9650,11198,10715,10493,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,10023,11617,10660,10730,9780,11567,10940,11030,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,9706,11420,10525,10840,9801,11472,10928,10536,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,10337,11378,10677,10790,11819,11334,11553,11304,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,11424,11769,11549,11385,12815,11468,11924,11816,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,11366,12714,12028,12147,12842,12372,12226,11979,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,11420,12714,12110,12196,12830,12440,12283,11982,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,11583,12854,12630,12314,13768,12672,12383,12124,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,12143,13322,13415,12880,14253,13441,12630,12331,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,12155,13351,13425,12975,14310,13587,12734,12359,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,12276,13420,13576,13151,14371,13754,12839,12331,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,12361,13598,13666,13230,14398,14057,12970,12377,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,13259,14172,14149,13988,14541,14775,13575,13599,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,14338,15366,14842,15417,14611,14929,14091,14290,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,14326,15510,14921,15643,14667,15128,14088,14362,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,14347,15694,14918,15753,14974,15365,14365,14558,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,14442,16393,15271,16363,16481,15320,14857,15782,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,14801,17449,16423,17781,17088,15802,16238,16707,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,14935,17690,16677,18032,17248,16092,16515,16842,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,15084,17627,16749,17933,17282,16196,16618,16886,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,15950,18205,17517,18145,17846,17171,16580,16956,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,16985,18495,19071,18241,18156,18373,16623,17075,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,17222,19173,19803,18996,18309,18534,16815,17114,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,17499,19289,19775,19042,18402,18543,16962,17118,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,18428,19559,19649,19333,19477,18572,17449,17627,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,19399,20087,19723,20184,20135,18629,18570,18148,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,19615,20112,19991,20451,20186,19090,18461,18262,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,19636,20175,20067,20587,20444,19214,18668,18404,0,0,CPU_STRESS,10.75
2025-05-17 17:11:00,20263,20293,20655,21512,21840,19416,18941,20069,0,0,CPU_STRESS,11.0
2025-05-17 17:11:15,20625,20207,21160,22457,22377,19853,19716,21024,0,0,CPU_STRESS,11.25
2025-05-17 17:11:30,21008,19866,21147,22613,22495,19999,19984,21289,0,0,CPU_STRESS,11.5
2025-05-17 17:11:45,21041,19953,21282,22570,22645,20179,20038,21632,0,0,CPU_STRESS,11.75
2025-05-17 17:12:00,20964,20327,22296,22593,23828,20580,20751,23169,0,0,CPU_STRESS,12.0
2025-05-17 17:12:15,21049,22262,23686,22806,24410,22338,21626,23967,0,0,CPU_STRESS,12.25
2025-05-17 17:12:30,21139,22405,23824,22821,24349,22512,22118,23972,0,0,CPU_STRESS,12.5
2025-05-17 17:12:45,21068,22388,24026,22768,24482,22408,22219,24024,0,0,CPU_STRESS,12.75
2025-05-17 17:13:00,21963,23043,24577,23391,23863,22244,23198,22927,0,0,CPU_STRESS,13.0
2025-05-17 17:13:15,24125,24523,25245,25089,23484,22308,24616,22551,0,0,CPU_STRESS,13.25
2025-05-17 17:13:30,24563,24755,25294,25503,23581,22625,24880,22872,0,0,CPU_STRESS,13.5
2025-05-17 17:13:45,24522,24905,25341,25789,23736,23846,24922,23458,0,0,CPU_STRESS,13.75
2025-05-17 17:14:00,24479,25197,25505,26113,25110,24042,25351,26124,0,0,CPU_STRESS,14.0
2025-05-17 17:14:15,24464,25734,25721,27371,26213,25724,26468,28346,0,0,CPU_STRESS,14.25
2025-05-17 17:14:30,24607,25907,25929,27447,26400,25950,26703,28471,0,0,CPU_STRESS,14.5
2025-05-17 17:14:45,24817,25995,25948,27510,26462,26007,26761,28302,0,0,CPU_STRESS,14.75
2025-05-17 17:15:00,25397,26453,26813,27428,27056,26663,26968,27328,0,0,CPU_STRESS,15.0
2025-05-17 17:15:15,25857,27785,27878,27338,27614,27945,27214,26760,0,0,CPU_STRESS,15.25
2025-05-17 17:15:30,26172,27699,27993,27268,27547,28113,27539,26775,0,0,CPU_STRESS,15.5
2025-05-17 17:15:45,26470,27856,27908,27227,27911,28239,27588,27083,0,0,CPU_STRESS,15.75
2025-05-17 17:16:00,27564,28083,27755,27192,29632,28577,28073,27667,0,0,CPU_STRESS,16.0
2025-05-17 17:16:15,28248,29622,27318,27122,30298,29797,29025,28057,0,0,CPU_STRESS,16.25
2025-05-17 17:16:30,28519,30019,27285,27726,30087,29645,29180,28321,0,0,CPU_STRESS,16.5
2025-05-17 17:16:45,28507,29983,27368,27690,29940,29730,29209,28342,0,0,CPU_STRESS,16.75
2025-05-17 17:17:00,28561,29990,27534,28023,28101,29683,29426,28776,0,0,CPU_STRESS,17.0
2025-05-17 17:17:15,28523,30388,27891,29175,27910,29266,30547,29717,0,0,CPU_STRESS,17.25
2025-05-17 17:17:30,28669,30825,28395,29491,27675,29387,31224,29789,0,0,CPU_STRESS,17.5
2025-05-17 17:17:45,28627,30891,28632,29615,28037,29317,31310,29837,0,0,CPU_STRESS,17.75
2025-05-17 17:18:00,28575,31020,29764,29734,30874,29699,31486,30052,0,0,CPU_STRESS,18.0
2025-05-17 17:18:15,28662,32147,32336,31047,32134,30067,31902,30578,0,0,CPU_STRESS,18.25
2025-05-17 17:18:30,28431,32077,32510,31354,32561,30323,31918,30733,0,0,CPU_STRESS,18.5
2025-05-17 17:18:45,28431,32145,32573,31458,32388,30346,31928,31261,0,0,CPU_STRESS,18.75
2025-05-17 17:19:00,28368,32268,32885,31779,31425,30253,31288,31326,0,0,CPU_STRESS,19.0
2025-05-17 17:19:15,28471,31999,33005,32475,31140,30207,30388,31182,0,0,CPU_STRESS,19.25
2025-05-17 17:19:30,28548,31608,32756,32398,31164,30193,30203,31316,0,0,CPU_STRESS,19.5
2025-05-17 17:19:45,28805,31492,32925,32413,31254,30199,30236,31298,0,0,CPU_STRESS,19.75
2025-05-17 17:20:00,29525,31330,32891,32149,32120,30637,30670,30655,0,0,CPU_STRESS,20.0
2025-05-17 17:20:15,31496,30673,33097,30161,32238,30706,31267,29871,0,0,CPU_STRESS,20.25
2025-05-17 17:20:30,31494,30537,32603,30042,32264,30630,31091,29786,0,0,CPU_STRESS,20.5
2025-05-17 17:20:45,31163,30666,32450,29977,31991,30571,31062,29705,0,0,CPU_STRESS,20.75
2025-05-17 17:21:00,30587,30392,31563,29640,30373,30107,30222,29183,0,0,CPU_STRESS,21.0
2025-05-17 17:21:15,28002,28886,28451,29024,29281,28348,28238,27841,0,0,CPU_STRESS,21.25
2025-05-17 17:21:30,27931,28467,28424,28960,29110,28173,28242,27770,0,0,CPU_STRESS,21.5
2025-05-17 17:21:45,27920,28431,28247,28906,28998,28125,28057,27793,0,0,CPU_STRESS,21.75
2025-05-17 17:22:00,27905,28404,28481,28689,28634,28246,28199,28030,0,0,CPU_STRESS,22.0
2025-05-17 17:22:15,28012,28507,29012,28379,28703,28912,28584,28254,0,0,CPU_STRESS,22.25
2025-05-17 17:22:30,28070,28602,28892,28334,28485,28975,28629,28343,0,0,CPU_STRESS,22.5
2025-05-17 17:22:45,28178,28500,29108,28273,28443,28874,28717,28295,0,0,CPU_STRESS,22.75
2025-05-17 17:23:00,28553,28419,29381,28234,28678,28738,28716,28313,0,0,CPU_STRESS,23.0
2025-05-17 17:23:15,28723,28352,29439,29245,28911,28266,28824,28382,0,0,CPU_STRESS,23.25
