Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 16:59:00,150,170,160,140,150,180,150,140,0,0,NET_LOSS,0.0
2025-05-17 16:59:15,150,170,150,140,140,180,150,140,0,0,NET_LOSS,0.25
2025-05-17 16:59:30,70,100,105,80,95,100,70,80,0,0,NET_LOSS,0.5
2025-05-17 16:59:45,70,100,105,80,95,100,70,80,0,0,NET_LOSS,0.75
2025-05-17 17:00:00,90,130,105,100,95,110,90,90,0,0,NET_LOSS,1.0
2025-05-17 17:00:15,90,130,105,100,95,110,90,90,0,0,NET_LOSS,1.25
2025-05-17 17:00:30,150,200,170,160,170,175,155,145,0,0,NET_LOSS,1.5
2025-05-17 17:00:45,190,240,200,200,170,230,200,190,0,0,NET_LOSS,1.75
2025-05-17 17:01:00,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.0
2025-05-17 17:01:15,190,240,200,200,210,230,200,190,0,0,NET_LOSS,2.25
2025-05-17 17:01:30,215,246,236,243,209,260,245,211,0,0,NET_LOSS,2.5
2025-05-17 17:01:45,270,292,285,267,261,300,260,265,0,0,NET_LOSS,2.75
2025-05-17 17:02:00,279,295,287,267,265,303,262,270,0,0,NET_LOSS,3.0
2025-05-17 17:02:15,278,291,289,268,265,302,263,271,0,0,NET_LOSS,3.25
2025-05-17 17:02:30,282,298,289,270,267,297,261,268,0,0,NET_LOSS,3.5
2025-05-17 17:02:45,281,307,290,276,270,289,256,277,0,0,NET_LOSS,3.75
2025-05-17 17:03:00,293,318,293,285,279,288,260,274,0,0,NET_LOSS,4.0
2025-05-17 17:03:15,294,319,293,285,280,288,262,273,0,0,NET_LOSS,4.25
2025-05-17 17:03:30,295,320,293,286,281,293,267,277,0,0,NET_LOSS,4.5
2025-05-17 17:03:45,295,317,295,287,285,294,278,279,0,0,NET_LOSS,4.75
2025-05-17 17:04:00,302,319,310,279,293,295,284,281,0,0,NET_LOSS,5.0
2025-05-17 17:04:15,301,319,309,279,295,296,286,281,0,0,NET_LOSS,5.25
2025-05-17 17:04:30,302,319,316,279,298,303,292,281,0,0,NET_LOSS,5.5
2025-05-17 17:04:45,307,324,344,278,310,310,310,282,0,0,NET_LOSS,5.75
2025-05-17 17:05:00,309,325,347,281,309,311,312,282,0,0,NET_LOSS,6.0
2025-05-17 17:05:15,309,327,350,284,307,307,313,287,0,0,NET_LOSS,6.25
2025-05-17 17:05:30,310,336,354,290,301,306,312,294,0,0,NET_LOSS,6.5
2025-05-17 17:05:45,311,359,379,312,287,308,307,316,0,0,NET_LOSS,6.75
2025-05-17 17:06:00,314,359,381,315,287,312,308,322,0,0,NET_LOSS,7.0
2025-05-17 17:06:15,317,360,382,321,287,315,308,323,0,0,NET_LOSS,7.25
2025-05-17 17:06:30,324,359,383,328,287,325,316,325,0,0,NET_LOSS,7.5
2025-05-17 17:06:45,345,355,365,340,295,338,329,327,0,0,NET_LOSS,7.75
2025-05-17 17:07:00,348,356,363,342,304,340,329,326,0,0,NET_LOSS,8.0
2025-05-17 17:07:15,353,357,363,344,304,339,327,324,0,0,NET_LOSS,8.25
2025-05-17 17:07:30,358,360,362,344,312,340,325,320,0,0,NET_LOSS,8.5
2025-05-17 17:07:45,369,367,363,339,320,343,321,315,0,0,NET_LOSS,8.75
2025-05-17 17:08:00,370,369,362,340,323,345,321,319,0,0,NET_LOSS,9.0
2025-05-17 17:08:15,370,369,363,341,323,350,324,317,0,0,NET_LOSS,9.25
2025-05-17 17:08:30,372,369,364,344,339,366,330,318,0,0,NET_LOSS,9.5
2025-05-17 17:08:45,382,370,371,354,364,383,340,322,0,0,NET_LOSS,9.75
2025-05-17 17:09:00,382,370,371,353,369,391,347,324,0,0,NET_LOSS,10.0
2025-05-17 17:09:15,382,370,370,355,371,394,348,326,0,0,NET_LOSS,10.25
2025-05-17 17:09:30,383,370,371,355,369,396,365,330,0,0,NET_LOSS,10.5
2025-05-17 17:09:45,383,370,383,355,349,401,399,341,0,0,NET_LOSS,10.75
2025-05-17 17:10:00,385,371,385,354,355,402,397,342,0,0,NET_LOSS,11.0
2025-05-17 17:10:15,386,371,386,352,355,403,394,343,0,0,NET_LOSS,11.25
2025-05-17 17:10:30,388,372,386,349,359,402,385,348,0,0,NET_LOSS,11.5
