Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-18 00:00:45,640,670,710,820,610,800,760,560,0,0
2025-05-18 00:01:00,640,670,710,820,610,800,760,560,0,0
2025-05-18 00:01:15,640,670,710,820,610,800,760,560,0,0
2025-05-18 00:01:30,520,530,830,740,600,640,640,470,0,0
2025-05-18 00:01:45,520,530,830,740,600,640,640,470,0,0
2025-05-18 00:02:00,520,530,830,740,600,640,640,470,0,0
2025-05-18 00:02:15,520,530,830,740,600,640,640,470,0,0
2025-05-18 00:02:30,1440,1870,2880,3150,1770,1840,2940,1760,0,0
2025-05-18 00:02:45,1440,1870,2880,3150,1770,1840,2940,1760,0,0
2025-05-18 00:03:00,1440,1870,2880,3150,1770,1840,2940,1760,0,0
2025-05-18 00:03:15,1440,1870,2880,3150,1770,1840,2940,1760,0,0
2025-05-18 00:03:30,1540,1670,2540,2550,1640,1560,2410,1380,0,0
2025-05-18 00:03:45,1540,1670,2540,2550,1640,1560,2410,1380,0,0
2025-05-18 00:04:00,1540,1670,2540,2550,1640,1560,2410,1380,0,0
2025-05-18 00:04:15,1540,1670,2540,2550,1640,1560,2410,1380,0,0
2025-05-18 00:04:30,1190,1360,2240,2140,1320,1450,2380,1400,0,0
2025-05-18 00:04:45,1190,1360,2240,2140,1320,1450,2380,1400,0,0
2025-05-18 00:05:00,1190,1360,2240,2140,1320,1450,2380,1400,0,0
2025-05-18 00:05:15,1190,1360,2240,2140,1320,1450,2380,1400,0,0
2025-05-18 00:05:30,1540,1360,2150,2110,1430,1470,2150,1290,0,0
2025-05-18 00:05:45,1540,1360,2150,2110,1430,1470,2150,1290,0,0
2025-05-18 00:06:00,1540,1360,2150,2110,1430,1470,2150,1290,0,0
2025-05-18 00:06:15,1540,1360,2150,2110,1430,1470,2150,1290,0,0
2025-05-18 00:06:30,1380,1400,2090,1750,1230,1440,1980,1200,0,0
2025-05-18 00:06:45,1380,1400,2090,1750,1230,1440,1980,1200,0,0
2025-05-18 00:07:00,1380,1400,2090,1750,1230,1440,1980,1200,0,0
2025-05-18 00:07:15,1380,1400,2090,1750,1230,1440,1980,1200,0,0
2025-05-18 00:07:30,1180,1210,1800,2190,1160,1140,1890,1130,0,0
