"Time","{__name__=""gala_gopher_cpu_system_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}","{__name__=""gala_gopher_cpu_system_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""baseline1h""}"
2025-05-12 15:53:45,570,660,640,590,720,960,530,610,0,0
2025-05-12 15:54:00,570,660,640,590,720,960,530,610,0,0
2025-05-12 15:54:15,570,660,640,590,720,960,530,610,0,0
2025-05-12 15:54:30,1340,1440,1440,1370,1320,1540,1300,1180,0,0
2025-05-12 15:54:45,1340,1440,1440,1370,1320,1540,1300,1180,0,0
2025-05-12 15:55:00,1340,1440,1440,1370,1320,1540,1300,1180,0,0
2025-05-12 15:55:15,1340,1440,1440,1370,1320,1540,1300,1180,0,0
2025-05-12 15:55:30,1530,1520,1660,1620,1590,1730,1710,1610,0,0
2025-05-12 15:55:45,1530,1520,1660,1620,1590,1730,1710,1610,0,0
2025-05-12 15:56:00,1530,1520,1660,1620,1590,1730,1710,1610,0,0
2025-05-12 15:56:15,1530,1520,1660,1620,1590,1730,1710,1610,0,0
2025-05-12 15:56:30,1820,1630,1800,1720,1850,1950,1670,1820,0,0
2025-05-12 15:56:45,1820,1630,1800,1720,1850,1950,1670,1820,0,0
2025-05-12 15:57:00,1820,1630,1800,1720,1850,1950,1670,1820,0,0
2025-05-12 15:57:15,1820,1630,1800,1720,1850,1950,1670,1820,0,0
2025-05-12 15:57:30,1520,1610,1590,1590,1720,1690,1570,1530,0,0
2025-05-12 15:57:45,1520,1610,1590,1590,1720,1690,1570,1530,0,0
2025-05-12 15:58:00,1520,1610,1590,1590,1720,1690,1570,1530,0,0
2025-05-12 15:58:15,1520,1610,1590,1590,1720,1690,1570,1530,0,0
2025-05-12 15:58:30,1490,1620,1610,1740,1750,1700,1560,1740,0,0
2025-05-12 15:58:45,1490,1620,1610,1740,1750,1700,1560,1740,0,0
2025-05-12 15:59:00,1490,1620,1610,1740,1750,1700,1560,1740,0,0
2025-05-12 15:59:15,1490,1620,1610,1740,1750,1700,1560,1740,0,0
2025-05-12 15:59:30,1560,1620,1610,1690,1760,1590,1590,1720,0,0
2025-05-12 15:59:45,1560,1620,1610,1690,1760,1590,1590,1720,0,0
2025-05-12 16:00:00,1560,1620,1610,1690,1760,1590,1590,1720,0,0
2025-05-12 16:00:15,1560,1620,1610,1690,1760,1590,1590,1720,0,0
2025-05-12 16:00:30,1490,1470,1570,1430,1320,1610,1600,1520,0,0
2025-05-12 16:00:45,1490,1470,1570,1430,1320,1610,1600,1520,0,0
2025-05-12 16:01:00,1490,1470,1570,1430,1320,1610,1600,1520,0,0
2025-05-12 16:01:15,1490,1470,1570,1430,1320,1610,1600,1520,0,0
2025-05-12 16:01:30,1550,1850,1770,1680,1700,1840,1700,1610,0,0
2025-05-12 16:01:45,1550,1850,1770,1680,1700,1840,1700,1610,0,0
2025-05-12 16:02:00,1550,1850,1770,1680,1700,1840,1700,1610,0,0
2025-05-12 16:02:15,1550,1850,1770,1680,1700,1840,1700,1610,0,0
2025-05-12 16:02:30,1600,1800,1730,1880,1530,1790,1480,1830,0,0
2025-05-12 16:02:45,1600,1800,1730,1880,1530,1790,1480,1830,0,0
2025-05-12 16:03:00,1600,1800,1730,1880,1530,1790,1480,1830,0,0
2025-05-12 16:03:15,1600,1800,1730,1880,1530,1790,1480,1830,0,0
