"Time","cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-12 15:53:45,5.89,7.34,6.23,6.80,4.72,6.43,4.93,5.66,0,0
2025-05-12 15:54:00,5.89,7.34,6.23,6.80,4.72,6.43,4.93,5.66,0,0
2025-05-12 15:54:15,5.89,7.34,6.23,6.80,4.72,6.43,4.93,5.66,0,0
2025-05-12 15:54:30,21.5,23.6,23.8,22.1,22.9,23.2,22.9,24.0,0,0
2025-05-12 15:54:45,21.5,23.6,23.8,22.1,22.9,23.2,22.9,24.0,0,0
2025-05-12 15:55:00,21.5,23.6,23.8,22.1,22.9,23.2,22.9,24.0,0,0
2025-05-12 15:55:15,21.5,23.6,23.8,22.1,22.9,23.2,22.9,24.0,0,0
2025-05-12 15:55:30,31.8,31.5,30.5,32.4,30.8,31.2,30.7,32.0,0,0
2025-05-12 15:55:45,31.8,31.5,30.5,32.4,30.8,31.2,30.7,32.0,0,0
2025-05-12 15:56:00,31.8,31.5,30.5,32.4,30.8,31.2,30.7,32.0,0,0
2025-05-12 15:56:15,31.8,31.5,30.5,32.4,30.8,31.2,30.7,32.0,0,0
2025-05-12 15:56:30,28.2,28.2,31.4,29.8,29.0,28.1,29.6,29.2,0,0
2025-05-12 15:56:45,28.2,28.2,31.4,29.8,29.0,28.1,29.6,29.2,0,0
2025-05-12 15:57:00,28.2,28.2,31.4,29.8,29.0,28.1,29.6,29.2,0,0
2025-05-12 15:57:15,28.2,28.2,31.4,29.8,29.0,28.1,29.6,29.2,0,0
2025-05-12 15:57:30,29.1,28.2,31.9,30.9,29.4,31.0,30.4,30.4,0,0
2025-05-12 15:57:45,29.1,28.2,31.9,30.9,29.4,31.0,30.4,30.4,0,0
2025-05-12 15:58:00,29.1,28.2,31.9,30.9,29.4,31.0,30.4,30.4,0,0
2025-05-12 15:58:15,29.1,28.2,31.9,30.9,29.4,31.0,30.4,30.4,0,0
2025-05-12 15:58:30,34.7,34.9,35.3,34.7,34.0,33.0,34.5,32.7,0,0
2025-05-12 15:58:45,34.7,34.9,35.3,34.7,34.0,33.0,34.5,32.7,0,0
