Time,vets_service
2025-05-21 21:26:15,0
2025-05-21 21:26:30,0
2025-05-21 21:26:45,0
2025-05-21 21:27:00,0
2025-05-21 21:27:15,0
2025-05-21 21:27:30,0
2025-05-21 21:27:45,0
2025-05-21 21:28:00,0
2025-05-21 21:28:15,0
2025-05-21 21:28:30,0
2025-05-21 21:28:45,0
2025-05-21 21:29:00,0
2025-05-21 21:29:15,0
2025-05-21 21:29:30,0
2025-05-21 21:29:45,0
2025-05-21 21:30:00,0
2025-05-21 21:30:15,0
2025-05-21 21:30:30,0
2025-05-21 21:30:45,0
2025-05-21 21:31:00,0
2025-05-21 21:33:15,0
2025-05-21 21:33:30,0
2025-05-21 21:33:45,0
2025-05-21 21:34:00,0
2025-05-21 21:34:15,0
2025-05-21 21:34:30,0
2025-05-21 21:34:45,0
2025-05-21 21:35:00,0
2025-05-21 21:35:15,0
2025-05-21 21:35:30,0
2025-05-21 21:35:45,0
2025-05-21 21:36:00,0
2025-05-21 21:36:15,0
2025-05-21 21:36:30,0
2025-05-21 21:36:45,0
2025-05-21 21:37:00,0
2025-05-21 21:37:15,0
2025-05-21 21:37:30,0
2025-05-21 21:37:45,0
2025-05-21 21:38:00,0
2025-05-21 21:59:15,0
2025-05-21 21:59:30,0
2025-05-21 21:59:45,0
2025-05-21 22:00:00,0
2025-05-21 22:00:15,0
2025-05-21 22:00:30,0
2025-05-21 22:00:45,0
2025-05-21 22:01:00,0
2025-05-21 22:01:15,0
2025-05-21 22:01:30,0
2025-05-21 22:01:45,0
2025-05-21 22:02:00,0
2025-05-21 22:02:15,0
2025-05-21 22:02:30,0
2025-05-21 22:02:45,0
2025-05-21 22:03:00,0
2025-05-21 22:03:15,0
2025-05-21 22:03:30,0
2025-05-21 22:03:45,0
2025-05-21 22:04:00,0
2025-05-21 22:08:15,0
2025-05-21 22:08:30,0
2025-05-21 22:08:45,0
2025-05-21 22:09:00,0
2025-05-21 22:09:15,0
2025-05-21 22:09:30,0
2025-05-21 22:09:45,0
2025-05-21 22:10:00,0
2025-05-21 22:10:15,0
2025-05-21 22:10:30,0
2025-05-21 22:10:45,0
2025-05-21 22:11:00,0
2025-05-21 22:11:15,0
2025-05-21 22:11:30,0
2025-05-21 22:11:45,0
2025-05-21 22:12:00,0
2025-05-21 22:12:15,0
2025-05-21 22:12:30,0
2025-05-21 22:12:45,0
2025-05-21 22:13:00,0
2025-05-21 22:22:15,0
2025-05-21 22:22:30,0
2025-05-21 22:22:45,0
2025-05-21 22:23:00,0
2025-05-21 22:23:15,0
2025-05-21 22:23:30,0
2025-05-21 22:23:45,0
2025-05-21 22:24:00,0
2025-05-21 22:24:15,0
2025-05-21 22:24:30,0
2025-05-21 22:24:45,0
2025-05-21 22:25:00,0
2025-05-21 22:25:15,0
2025-05-21 22:25:30,0
2025-05-21 22:25:45,0
2025-05-21 22:26:00,0
2025-05-21 22:26:15,0
2025-05-21 22:26:30,0
2025-05-21 22:26:45,0
2025-05-21 22:27:00,0
2025-05-21 22:28:15,5
2025-05-21 22:28:30,5
2025-05-21 22:28:45,5
2025-05-21 22:29:00,5
2025-05-21 22:29:15,3
2025-05-21 22:29:30,3
2025-05-21 22:29:45,3
2025-05-21 22:30:00,3
2025-05-21 22:30:15,3
2025-05-21 22:30:30,3
2025-05-21 22:30:45,3
2025-05-21 22:31:00,3
2025-05-21 22:31:15,3
2025-05-21 22:31:30,3
2025-05-21 22:31:45,3
2025-05-21 22:32:00,3
2025-05-21 22:32:15,3
2025-05-21 22:32:30,3
2025-05-21 22:32:45,3
2025-05-21 22:33:00,3
2025-05-21 22:33:15,3
2025-05-21 22:33:30,3
2025-05-21 22:33:45,3
2025-05-21 22:34:00,3
2025-05-21 22:38:15,0
2025-05-21 22:38:30,0
2025-05-21 22:38:45,0
2025-05-21 22:39:00,0
2025-05-21 22:39:15,0
2025-05-21 22:39:30,0
2025-05-21 22:39:45,0
2025-05-21 22:40:00,0
2025-05-21 22:40:15,0
