"Time","{__name__=""gala_gopher_block_write_bytes"", blk_name=""openeuler-home"", disk_name=""sda"", first_minor=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_write_bytes"", blk_name=""openeuler-root"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_write_bytes"", blk_name=""openeuler-swap"", disk_name=""sda"", first_minor=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""customersMemStress""}","{__name__=""gala_gopher_block_write_bytes"", blk_name=""sda"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""8"", scenario=""customersMemStress""}"
2025-05-21 00:53:15,5427200,2818048,,7884800
2025-05-21 00:53:30,5427200,2818048,,7884800
2025-05-21 00:53:45,5427200,2732032,,7884800
2025-05-21 00:54:00,5427200,2732032,,7884800
2025-05-21 00:54:15,10309632,2732032,,13918208
2025-05-21 00:54:30,10309632,2732032,,13918208
2025-05-21 00:54:45,10309632,4182016,,13918208
2025-05-21 00:55:00,10309632,4182016,,13918208
2025-05-21 00:55:15,4481024,4182016,,8843264
2025-05-21 00:55:30,4481024,4182016,,8843264
2025-05-21 00:55:45,4481024,5341184,,8843264
2025-05-21 00:56:00,4481024,5341184,,8843264
2025-05-21 00:56:15,1048576,5341184,,6467584
2025-05-21 00:56:30,1048576,5341184,,6467584
2025-05-21 00:56:45,1048576,5484544,,6467584
2025-05-21 00:57:00,1048576,5484544,,6467584
2025-05-21 00:57:15,987136,5484544,,6144000
2025-05-21 00:57:30,987136,5484544,,6144000
2025-05-21 00:57:45,987136,5103616,,6144000
2025-05-21 00:58:00,987136,5103616,,6144000
2025-05-21 00:58:15,987136,5103616,,6795264
2025-05-21 00:58:30,987136,5103616,,6795264
2025-05-21 00:58:45,1396736,5361664,,6795264
2025-05-21 00:59:00,1396736,5361664,,6795264
2025-05-21 00:59:15,1396736,5361664,,6180864
2025-05-21 00:59:30,958464,5361664,,6180864
2025-05-21 00:59:45,958464,4710400,,6180864
2025-05-21 01:00:00,958464,4710400,,6180864
2025-05-21 01:00:15,958464,4710400,,8687616
2025-05-21 01:00:30,962560,4710400,,8687616
2025-05-21 01:00:45,962560,7974912,,8687616
2025-05-21 01:01:00,962560,7974912,,8687616
2025-05-21 01:01:15,962560,7974912,,6631424
2025-05-21 01:01:30,1114112,7974912,,6631424
2025-05-21 01:01:45,1114112,7974912,,6631424
2025-05-21 01:02:00,1114112,5525504,,6631424
2025-05-21 01:02:15,1114112,5525504,,6168576
2025-05-21 01:02:30,966656,5525504,,6168576
2025-05-21 01:02:45,966656,5525504,,6168576
2025-05-21 01:03:00,966656,5324800,,6168576
2025-05-21 01:03:15,966656,5324800,,5697536
2025-05-21 01:03:30,954368,5324800,,5697536
2025-05-21 01:03:45,954368,5324800,,5697536
2025-05-21 01:04:00,954368,4616192,,5697536
2025-05-21 01:04:15,954368,4616192,,5971968
2025-05-21 01:04:30,954368,4616192,,5971968
2025-05-21 01:04:45,1048576,4616192,,5971968
2025-05-21 01:05:00,1048576,5066752,,5971968
2025-05-21 01:05:15,1048576,5066752,,5971968
2025-05-21 01:05:30,1048576,5066752,,6377472
2025-05-21 01:05:45,1269760,5066752,,6377472
2025-05-21 01:06:00,1269760,5337088,,6377472
2025-05-21 01:06:15,1269760,5337088,,6377472
2025-05-21 01:06:30,1269760,5337088,,6103040
2025-05-21 01:06:45,868352,5337088,,6103040
2025-05-21 01:07:00,868352,5267456,,6103040
2025-05-21 01:07:15,868352,5267456,,6103040
2025-05-21 01:07:30,868352,5267456,,6242304
2025-05-21 01:07:45,1146880,5267456,,6242304
2025-05-21 01:08:00,1146880,5124096,,6242304
2025-05-21 01:08:15,1146880,5124096,,6242304
2025-05-21 01:08:30,1146880,5124096,,5918720
2025-05-21 01:08:45,917504,5124096,,5918720
2025-05-21 01:09:00,917504,4734976,,5918720
2025-05-21 01:09:15,917504,4734976,,5918720
2025-05-21 01:09:30,917504,4734976,,5541888
2025-05-21 01:09:45,917504,4734976,,5541888
2025-05-21 01:10:00,999424,5570560,,5541888
2025-05-21 01:10:15,999424,5570560,,5541888
2025-05-21 01:10:30,999424,5570560,,6819840
2025-05-21 01:10:45,1089536,5570560,,6819840
2025-05-21 01:11:00,1089536,5570560,,6819840
2025-05-21 01:11:15,1089536,5570560,,6819840
2025-05-21 01:11:30,1089536,4612096,,5345280
2025-05-21 01:11:45,1089536,4612096,,5345280
2025-05-21 01:12:00,839680,4714496,,5345280
2025-05-21 01:12:15,839680,4714496,,5345280
2025-05-21 01:12:30,839680,4714496,,5390336
2025-05-21 01:12:45,839680,4714496,,5390336
2025-05-21 01:13:00,847872,3801088,,5390336
2025-05-21 01:13:15,847872,3801088,,5390336
2025-05-21 01:13:30,847872,3801088,,4739072
2025-05-21 01:13:45,847872,3801088,,4739072
2025-05-21 01:14:00,770048,4177920,,4739072
2025-05-21 01:14:15,770048,4177920,,4739072
2025-05-21 01:14:30,770048,4177920,,5992448
2025-05-21 01:14:45,770048,4177920,,5992448
2025-05-21 01:15:00,548864,5390336,,5992448
2025-05-21 01:15:15,548864,5390336,,5992448
2025-05-21 01:15:30,548864,5390336,,5058560
2025-05-21 01:15:45,548864,5390336,,5058560
2025-05-21 01:16:00,778240,5390336,,5058560
2025-05-21 01:16:15,778240,4558848,,5058560
2025-05-21 01:16:30,778240,4558848,,5242880
2025-05-21 01:16:45,778240,4558848,,5242880
2025-05-21 01:17:00,782336,4558848,,5242880
2025-05-21 01:17:15,782336,4558848,,5242880
2025-05-21 01:17:30,782336,4341760,,5279744
2025-05-21 01:17:45,782336,4341760,,5279744
2025-05-21 01:18:00,782336,4341760,,5279744
2025-05-21 01:18:15,942080,4341760,,5279744
2025-05-21 01:18:30,942080,4812800,,5595136
2025-05-21 01:18:45,942080,4812800,,5595136
2025-05-21 01:19:00,942080,4812800,,5595136
2025-05-21 01:19:15,749568,4812800,,5595136
2025-05-21 01:19:30,749568,4669440,,5210112
2025-05-21 01:19:45,749568,4669440,,5210112
2025-05-21 01:20:00,749568,4669440,,5210112
2025-05-21 01:20:15,499712,4669440,,5210112
2025-05-21 01:20:30,499712,4669440,,5210112
2025-05-21 01:20:45,499712,4321280,,4833280
2025-05-21 01:21:00,499712,4321280,,4833280
