Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-19 16:47:15,350,420,460,460,490,570,400,350,0,0
2025-05-19 16:47:30,350,420,460,460,490,570,400,350,0,0
2025-05-19 16:47:45,350,420,460,460,490,570,400,350,0,0
2025-05-19 16:48:00,350,420,460,460,490,570,400,350,0,0
2025-05-19 16:48:15,350,420,460,460,490,570,400,350,0,0
2025-05-19 16:48:30,410,520,490,470,580,580,480,530,0,0
2025-05-19 16:48:45,410,520,490,470,580,580,480,530,0,0
2025-05-19 16:49:00,410,520,490,470,580,580,480,530,0,0
2025-05-19 16:49:15,410,520,490,470,580,580,480,530,0,0
2025-05-19 16:49:30,1260,1430,1220,1250,1460,1130,1200,1160,0,0
2025-05-19 16:49:45,1260,1430,1220,1250,1460,1130,1200,1160,0,0
2025-05-19 16:50:00,1260,1430,1220,1250,1460,1130,1200,1160,0,0
2025-05-19 16:50:15,1260,1430,1220,1250,1460,1130,1200,1160,0,0
2025-05-19 16:50:30,1320,1230,1160,1230,1120,1340,1230,1090,0,0
2025-05-19 16:50:45,1320,1230,1160,1230,1120,1340,1230,1090,0,0
2025-05-19 16:51:00,1320,1230,1160,1230,1120,1340,1230,1090,0,0
2025-05-19 16:51:15,1320,1230,1160,1230,1120,1340,1230,1090,0,0
2025-05-19 16:51:30,1240,1230,1280,1110,1290,1230,1320,1220,0,0
2025-05-19 16:51:45,1240,1230,1280,1110,1290,1230,1320,1220,0,0
2025-05-19 16:52:00,1240,1230,1280,1110,1290,1230,1320,1220,0,0
2025-05-19 16:52:15,1240,1230,1280,1110,1290,1230,1320,1220,0,0
2025-05-19 16:52:30,1190,1330,1350,1180,1340,1280,1190,1200,0,0
2025-05-19 16:52:45,1190,1330,1350,1180,1340,1280,1190,1200,0,0
2025-05-19 16:53:00,1190,1330,1350,1180,1340,1280,1190,1200,0,0
2025-05-19 16:53:15,1190,1330,1350,1180,1340,1280,1190,1200,0,0
2025-05-19 16:53:30,1410,1440,1500,1500,1410,1440,1400,1520,0,0
2025-05-19 16:53:45,1410,1440,1500,1500,1410,1440,1400,1520,0,0
2025-05-19 16:54:00,1410,1440,1500,1500,1410,1440,1400,1520,0,0
2025-05-19 16:54:15,1410,1440,1500,1500,1410,1440,1400,1520,0,0
