Time,connection_1,connection_2,connection_3
2025-05-19 01:50:00,0,,,
2025-05-19 01:50:15,0,,,
2025-05-19 01:50:30,0,,,
2025-05-19 01:50:45,0,,,
2025-05-19 01:51:00,0,,,
2025-05-19 01:51:15,0,,,
2025-05-19 01:51:30,0,,,
2025-05-19 01:51:45,0,,,
2025-05-19 01:52:00,0,,,
2025-05-19 01:52:15,0,,,
2025-05-19 01:52:30,0,,,
2025-05-19 01:52:45,0,,,
2025-05-19 01:53:00,0,,,
2025-05-19 01:53:15,0,,,
2025-05-19 01:53:30,0,,,
2025-05-19 01:53:45,0,,,
2025-05-19 01:54:00,0,,,
2025-05-19 01:54:15,0,,,
2025-05-19 01:54:30,0,,,
2025-05-19 01:54:45,0,,0,
2025-05-19 01:55:00,,,0,
2025-05-19 01:55:15,,,0,
2025-05-19 01:55:30,,,0,
2025-05-19 01:55:45,,,0,
2025-05-19 01:56:00,,,0,
2025-05-19 01:56:15,,,0,
2025-05-19 01:56:30,,,0,
2025-05-19 01:56:45,,,0,
2025-05-19 01:57:00,,,0,
2025-05-19 01:57:15,,,0,
2025-05-19 01:57:30,,,22,
2025-05-19 01:57:45,,,22,
2025-05-19 01:58:00,,,22,
2025-05-19 01:58:15,,,22,
2025-05-19 01:58:30,,,66,
2025-05-19 01:58:45,,,66,
2025-05-19 01:59:00,,,66,
2025-05-19 01:59:15,,,66,
2025-05-19 01:59:30,,,45,
2025-05-19 01:59:45,,,45,
2025-05-19 02:00:00,,,45,
2025-05-19 02:00:15,,,45,
2025-05-19 02:00:30,,,57,
2025-05-19 02:00:45,,,57,
2025-05-19 02:01:00,,,57,
2025-05-19 02:01:15,,,57,
2025-05-19 02:01:30,,,44,
2025-05-19 02:01:45,,,44,
2025-05-19 02:02:00,,,44,
2025-05-19 02:02:15,,,44,
2025-05-19 02:02:30,,,6,
2025-05-19 02:02:45,,,6,
2025-05-19 02:03:00,,,6,
2025-05-19 02:03:15,,,6,
2025-05-19 02:03:30,,,0,
2025-05-19 02:03:45,,,0,
2025-05-19 02:04:00,,,0,
2025-05-19 02:04:15,,,0,
2025-05-19 02:04:30,,,0,
2025-05-19 02:04:45,,,0,
2025-05-19 02:05:00,,,0,
2025-05-19 02:05:15,,,0,
2025-05-19 02:05:30,,,6,
2025-05-19 02:05:45,,,6,
2025-05-19 02:06:00,,,6,
2025-05-19 02:06:15,,,6,
2025-05-19 02:06:30,,,0,
2025-05-19 02:06:45,,,0,
2025-05-19 02:07:00,,,0,
2025-05-19 02:07:15,,,0,
2025-05-19 02:07:30,,,0,
2025-05-19 02:07:45,,,0,
2025-05-19 02:08:00,,,0,
2025-05-19 02:08:15,,,0,
2025-05-19 02:08:30,,,0,
2025-05-19 02:08:45,,,0,
2025-05-19 02:09:00,,,0,
2025-05-19 02:09:15,,,0,
2025-05-19 02:09:30,,,0,
2025-05-19 02:09:45,,,0,
2025-05-19 02:10:00,,,0,
2025-05-19 02:10:15,,,0,
2025-05-19 02:10:30,,,0,
2025-05-19 02:10:45,,,0,
2025-05-19 02:11:00,,,0,
2025-05-19 02:11:15,,,0,
2025-05-19 02:11:30,,,0,
2025-05-19 02:11:45,,,0,
2025-05-19 02:12:00,,,0,
2025-05-19 02:12:15,,,0,
2025-05-19 02:12:30,,0,6,
2025-05-19 02:12:45,,0,6,
2025-05-19 02:13:00,,0,6,
2025-05-19 02:13:15,,0,6,
