Time,localhost,api_gateway,config_server,discovery_server,vets_service,discovery_server2,customers_service,discovery_server3,customers_server,visits_server,vets_server,api_gateway2,api_gateway3,api_gateway4,api_gateway5,discovery_server4,visits_client,discovery_server5,genai_client,discovery_server6,customers_server2,visits_server2,genai_server,vets_server2,admin_client,admin_client2,admin_client3,admin_client4,admin_client5,admin_client6,api_gateway_server,discovery_server
2025-05-17 23:59:45,,,0,0,,,,,,,,0,,,,1,,,,,,,,,,,,0,,,1,
2025-05-18 00:00:00,,,0,0,,,,,,,,0,,,,1,,,,,,,,,,,,0,,,1,
2025-05-18 00:00:15,,,0,0,,,,,,,,0,,,,1,,,,,,,,,,,,0,,,1,
2025-05-18 00:00:30,,,0,0,,,,,,,,0,,,,1,,,,,,,,,,,,0,,,1,
2025-05-18 00:00:45,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,1,
2025-05-18 00:01:00,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,
2025-05-18 00:01:15,,,0,0,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,
2025-05-18 00:01:30,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2025-05-18 00:01:45,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2025-05-18 00:02:00,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:02:15,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:02:30,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:02:45,0,0,0,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:03:00,0,0,0,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:03:15,0,0,0,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,
2025-05-18 00:03:30,0,0,0,0,,,,,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:03:45,0,0,0,0,,,,,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:04:00,0,0,0,0,,,,,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:04:15,0,0,0,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:04:30,0,0,0,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:04:45,0,0,0,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:05:00,0,0,0,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:05:15,0,0,0,0,,,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,
2025-05-18 00:05:30,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:05:45,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:06:00,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:06:15,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:06:30,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:06:45,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:07:00,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:07:15,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:07:30,0,0,0,0,,,0,0,0,0,,0,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:07:45,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:08:00,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:08:15,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:08:30,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:08:45,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:09:00,0,0,0,0,,,0,0,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:09:15,0,0,0,0,,,,,0,0,,,,0,0,,0,0,,,,,,,,,,,,,,
2025-05-18 00:09:30,0,0,0,0,,,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:09:45,0,0,0,0,,,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:10:00,0,0,0,0,,,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:10:15,0,0,0,0,,,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:10:30,0,0,0,0,,,,,30,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:10:45,0,0,0,0,,,,,30,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:11:00,0,0,0,0,,,,,30,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:11:15,0,0,0,0,0,0,,,30,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:11:30,0,0,0,0,0,0,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:11:45,0,0,0,0,0,0,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:12:00,0,0,0,0,0,0,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:12:15,0,0,0,0,0,0,,,0,0,,,,0,0,,0,0,,,,,,,0,,,,,,,0
2025-05-18 00:12:30,0,0,0,0,0,0,,,0,0,,,,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:12:45,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:13:00,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:13:15,0,0,0,0,0,0,,,0,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:13:30,0,0,0,0,0,0,,,13,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:13:45,0,0,0,0,0,0,,,13,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:14:00,0,0,0,0,0,0,,,13,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:14:15,0,0,0,0,0,0,,,13,0,0,,0,0,0,,0,0,0,0,,,,,0,,,,,,,0
2025-05-18 00:14:30,0,0,0,0,0,0,,,11,0,0,,0,0,0,,,,0,0,,,,,,,,,,,,
2025-05-18 00:14:45,0,0,0,0,0,0,,,11,0,0,,0,0,0,,,,0,0,,,,,,,,,,,,
