"Time","{__name__=""gala_gopher_block_write_bytes"", blk_name=""openeuler-home"", disk_name=""sda"", first_minor=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""discovery-server-net-loss-20""}","{__name__=""gala_gopher_block_write_bytes"", blk_name=""openeuler-root"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""253"", scenario=""discovery-server-net-loss-20""}","{__name__=""gala_gopher_block_write_bytes"", blk_name=""sda"", disk_name=""sda"", first_minor=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", major=""8"", scenario=""discovery-server-net-loss-20""}"
2025-05-13 04:08:45,3588096,2109440,3330048
2025-05-13 04:09:00,1576960,2048000,3330048
2025-05-13 04:09:15,1576960,2048000,3330048
2025-05-13 04:09:30,1576960,2048000,3330048
2025-05-13 04:09:45,1576960,2048000,5103616
2025-05-13 04:10:00,2785280,2240512,5103616
2025-05-13 04:10:15,2785280,2240512,5103616
2025-05-13 04:10:30,2785280,2240512,5103616
2025-05-13 04:10:45,1855488,2240512,6418432
2025-05-13 04:11:00,1855488,5517312,6418432
2025-05-13 04:11:15,1855488,5517312,6418432
2025-05-13 04:11:30,1855488,5517312,6418432
2025-05-13 04:11:45,2465792,5517312,8400896
2025-05-13 04:12:00,2465792,5808128,8400896
2025-05-13 04:12:15,2465792,5808128,8400896
2025-05-13 04:12:30,2465792,5808128,8400896
2025-05-13 04:12:45,3035136,5808128,8617984
2025-05-13 04:13:00,3035136,5566464,8617984
2025-05-13 04:13:15,3035136,5566464,8617984
2025-05-13 04:13:30,3035136,5566464,8617984
2025-05-13 04:13:45,3035136,5566464,6909952
2025-05-13 04:14:00,1363968,5197824,6909952
2025-05-13 04:14:15,1363968,5197824,6909952
2025-05-13 04:14:30,1363968,5197824,6909952
2025-05-13 04:14:45,1363968,5197824,8056832
2025-05-13 04:15:00,2977792,5447680,8056832
2025-05-13 04:15:15,2977792,5447680,8056832
2025-05-13 04:15:30,2977792,5447680,8056832
2025-05-13 04:15:45,2977792,5447680,7671808
2025-05-13 04:16:00,1904640,5378048,7671808
2025-05-13 04:16:15,1904640,5378048,7671808
2025-05-13 04:16:30,1904640,5378048,7671808
2025-05-13 04:16:45,1904640,5378048,6799360
2025-05-13 04:17:00,1630208,5496832,6799360
2025-05-13 04:17:15,1630208,5496832,6799360
2025-05-13 04:17:30,1630208,5496832,6799360
