Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-21 21:14:00,10,20,10,70,0,20,10,30,0,0
2025-05-21 21:14:15,10,20,10,70,0,20,10,30,0,0
2025-05-21 21:14:30,10,10,30,20,10,40,20,30,0,0
2025-05-21 21:14:45,10,10,30,20,10,40,20,30,0,0
2025-05-21 21:15:00,10,10,30,20,10,40,20,30,0,0
2025-05-21 21:15:15,10,10,30,20,10,40,20,30,0,0
2025-05-21 21:15:30,0,20,20,10,0,0,10,20,0,0
2025-05-21 21:15:45,0,20,20,10,0,0,10,20,0,0
2025-05-21 21:16:00,0,20,20,10,0,0,10,20,0,0
2025-05-21 21:16:15,0,20,20,10,0,0,10,20,0,0
2025-05-21 21:16:30,20,0,20,0,10,0,10,10,0,0
2025-05-21 21:16:45,20,0,20,0,10,0,10,10,0,0
2025-05-21 21:17:00,20,0,20,0,10,0,10,10,0,0
2025-05-21 21:17:15,20,0,20,0,10,0,10,10,0,0
2025-05-21 21:17:30,30,10,10,10,0,0,0,0,0,0
2025-05-21 21:17:45,30,10,10,10,0,0,0,0,0,0
2025-05-21 21:18:00,30,10,10,10,0,0,0,0,0,0
2025-05-21 21:18:15,30,10,10,10,0,0,0,0,0,0
2025-05-21 21:18:30,20,10,0,20,10,20,0,0,0,0
2025-05-21 21:18:45,20,10,0,20,10,20,0,0,0,0
2025-05-21 21:19:00,20,10,0,20,10,20,0,0,0,0
2025-05-21 21:19:15,20,10,0,20,10,20,0,0,0,0
2025-05-21 21:19:30,40,0,20,10,0,0,0,10,0,0
2025-05-21 21:19:45,40,0,20,10,0,0,0,10,0,0
2025-05-21 21:20:00,40,0,20,10,0,0,0,10,0,0
2025-05-21 21:20:15,40,0,20,10,0,0,0,10,0,0
2025-05-21 21:20:30,10,0,0,0,30,10,0,10,0,0
2025-05-21 21:20:45,10,0,0,0,30,10,0,10,0,0
2025-05-21 21:21:00,10,0,0,0,30,10,0,10,0,0
2025-05-21 21:21:15,10,0,0,0,30,10,0,10,0,0
2025-05-21 21:21:30,30,0,0,20,0,0,20,10,0,0
2025-05-21 21:21:45,30,0,0,20,0,0,20,10,0,0
2025-05-21 21:22:00,30,0,0,20,0,0,20,10,0,0
2025-05-21 21:22:15,30,0,0,20,0,0,20,10,0,0
2025-05-21 21:22:30,30,0,0,10,0,30,10,40,0,0
2025-05-21 21:22:45,30,0,0,10,0,30,10,40,0,0
2025-05-21 21:23:00,30,0,0,10,0,30,10,40,0,0
2025-05-21 21:23:15,30,0,0,10,0,30,10,40,0,0
2025-05-21 21:23:30,70,10,50,0,0,0,10,10,0,0
2025-05-21 21:23:45,70,10,50,0,0,0,10,10,0,0
2025-05-21 21:24:00,70,10,50,0,0,0,10,10,0,0
2025-05-21 21:24:15,70,10,50,0,0,0,10,10,0,0
2025-05-21 21:24:30,10,10,10,0,10,0,10,10,0,0
2025-05-21 21:24:45,10,10,10,0,10,0,10,10,0,0
2025-05-21 21:25:00,10,10,10,0,10,0,10,10,0,0
2025-05-21 21:25:15,10,10,10,0,10,0,10,10,0,0
2025-05-21 21:25:30,40,0,0,10,0,10,30,20,0,0
2025-05-21 21:25:45,40,0,0,10,0,10,30,20,0,0
2025-05-21 21:26:00,40,0,0,10,0,10,30,20,0,0
2025-05-21 21:26:15,40,0,0,10,0,10,30,20,0,0
2025-05-21 21:26:30,0,10,20,0,10,10,0,10,0,0
2025-05-21 21:26:45,0,10,20,0,10,10,0,10,0,0
2025-05-21 21:27:00,0,10,20,0,10,10,0,10,0,0
2025-05-21 21:27:15,0,10,20,0,10,10,0,10,0,0
2025-05-21 21:27:30,100,20,20,0,0,0,0,0,0,0
2025-05-21 21:27:45,100,20,20,0,0,0,0,0,0,0
2025-05-21 21:28:00,100,20,20,0,0,0,0,0,0,0
2025-05-21 21:28:15,100,20,20,0,0,0,0,0,0,0
2025-05-21 21:28:30,30,10,10,30,20,20,10,10,0,0
2025-05-21 21:28:45,30,10,10,30,20,20,10,10,0,0
2025-05-21 21:29:00,30,10,10,30,20,20,10,10,0,0
2025-05-21 21:29:15,30,10,10,30,20,20,10,10,0,0
2025-05-21 21:29:30,40,10,20,20,20,10,0,10,0,0
2025-05-21 21:29:45,40,10,20,20,20,10,0,10,0,0
2025-05-21 21:30:00,40,10,20,20,20,10,0,10,0,0
2025-05-21 21:30:15,40,10,20,20,20,10,0,10,0,0
2025-05-21 21:30:30,40,0,20,10,10,20,0,0,0,0
2025-05-21 21:30:45,40,0,20,10,10,20,0,0,0,0
2025-05-21 21:31:00,40,0,20,10,10,20,0,0,0,0
2025-05-21 21:31:15,40,0,20,10,10,20,0,0,0,0
2025-05-21 21:31:30,10,60,80,20,50,40,50,50,0,0
2025-05-21 21:31:45,10,60,80,20,50,40,50,50,0,0
2025-05-21 21:32:00,10,60,80,20,50,40,50,50,0,0
2025-05-21 21:32:15,10,60,80,20,50,40,50,50,0,0
2025-05-21 21:32:30,50,20,20,0,0,20,20,10,0,0
2025-05-21 21:32:45,50,20,20,0,0,20,20,10,0,0
2025-05-21 21:33:00,50,20,20,0,0,20,20,10,0,0
2025-05-21 21:33:15,50,20,20,0,0,20,20,10,0,0
2025-05-21 21:33:30,20,40,30,20,10,0,0,0,0,0
2025-05-21 21:33:45,20,40,30,20,10,0,0,0,0,0
2025-05-21 21:34:00,20,40,30,20,10,0,0,0,0,0
2025-05-21 21:34:15,20,40,30,20,10,0,0,0,0,0
2025-05-21 21:34:30,0,20,10,0,0,20,20,20,0,0
2025-05-21 21:34:45,0,20,10,0,0,20,20,20,0,0
2025-05-21 21:35:00,0,20,10,0,0,20,20,20,0,0
2025-05-21 21:35:15,0,20,10,0,0,20,20,20,0,0
2025-05-21 21:35:30,0,10,40,10,10,0,10,0,0,0
2025-05-21 21:35:45,0,10,40,10,10,0,10,0,0,0
2025-05-21 21:36:00,0,10,40,10,10,0,10,0,0,0
2025-05-21 21:36:15,0,10,40,10,10,0,10,0,0,0
2025-05-21 21:36:30,10,20,30,0,0,40,10,0,0,0
2025-05-21 21:36:45,10,20,30,0,0,40,10,0,0,0
2025-05-21 21:37:00,10,20,30,0,0,40,10,0,0,0
2025-05-21 21:37:15,10,20,30,0,0,40,10,0,0,0
2025-05-21 21:37:30,30,40,10,10,0,30,10,0,0,0
2025-05-21 21:37:45,30,40,10,10,0,30,10,0,0,0
2025-05-21 21:38:00,30,40,10,10,0,30,10,0,0,0
2025-05-21 21:38:15,30,40,10,10,0,30,10,0,0,0
2025-05-21 21:38:30,0,0,10,10,20,0,0,0,0,0
2025-05-21 21:38:45,0,0,10,10,20,0,0,0,0,0
2025-05-21 21:39:00,0,0,10,10,20,0,0,0,0,0
2025-05-21 21:39:15,0,0,10,10,20,0,0,0,0,0
2025-05-21 21:39:30,10,10,30,10,20,0,0,30,0,0
2025-05-21 21:39:45,10,10,30,10,20,0,0,30,0,0
2025-05-21 21:40:00,10,10,30,10,20,0,0,30,0,0
2025-05-21 21:40:15,10,10,30,10,20,0,0,30,0,0
2025-05-21 21:40:30,30,0,60,0,50,0,0,0,0,0
2025-05-21 21:40:45,30,0,60,0,50,0,0,0,0,0
2025-05-21 21:41:00,30,0,60,0,50,0,0,0,0,0
2025-05-21 21:41:15,30,0,60,0,50,0,0,0,0,0
2025-05-21 21:41:30,10,10,10,20,30,0,10,0,0,0
2025-05-21 21:41:45,10,10,10,20,30,0,10,0,0,0
2025-05-21 21:42:00,10,10,10,20,30,0,10,0,0,0
2025-05-21 21:42:15,10,10,10,20,30,0,10,0,0,0
2025-05-21 21:42:30,50,30,20,10,10,20,0,0,0,0
2025-05-21 21:42:45,50,30,20,10,10,20,0,0,0,0
2025-05-21 21:43:00,50,30,20,10,10,20,0,0,0,0
2025-05-21 21:43:15,50,30,20,10,10,20,0,0,0,0
2025-05-21 21:43:30,50,20,10,10,10,30,10,10,0,0
2025-05-21 21:43:45,50,20,10,10,10,30,10,10,0,0
2025-05-21 21:44:00,50,20,10,10,10,30,10,10,0,0
2025-05-21 21:44:15,50,20,10,10,10,30,10,10,0,0
2025-05-21 21:44:30,20,10,70,10,20,20,30,10,0,0
2025-05-21 21:44:45,20,10,70,10,20,20,30,10,0,0
2025-05-21 21:45:00,20,10,70,10,20,20,30,10,0,0
2025-05-21 21:45:15,20,10,70,10,20,20,30,10,0,0
2025-05-21 21:45:30,30,20,150,10,20,0,60,0,0,0
2025-05-21 21:45:45,30,20,150,10,20,0,60,0,0,0
2025-05-21 21:46:00,30,20,150,10,20,0,60,0,0,0
2025-05-21 21:46:15,30,20,150,10,20,0,60,0,0,0
2025-05-21 21:46:30,150,10,20,0,20,10,10,0,0,0
2025-05-21 21:46:45,150,10,20,0,20,10,10,0,0,0
2025-05-21 21:47:00,150,10,20,0,20,10,10,0,0,0
2025-05-21 21:47:15,150,10,20,0,20,10,10,0,0,0
2025-05-21 21:47:30,30,30,70,10,30,50,50,20,0,0
2025-05-21 21:47:45,30,30,70,10,30,50,50,20,0,0
2025-05-21 21:48:00,30,30,70,10,30,50,50,20,0,0
2025-05-21 21:48:15,30,30,70,10,30,50,50,20,0,0
2025-05-21 21:48:30,130,30,0,10,0,30,30,0,0,0
2025-05-21 21:48:45,130,30,0,10,0,30,30,0,0,0
2025-05-21 21:49:00,130,30,0,10,0,30,30,0,0,0
2025-05-21 21:49:15,130,30,0,10,0,30,30,0,0,0
2025-05-21 21:49:30,0,10,140,10,10,20,10,20,0,0
2025-05-21 21:49:45,0,10,140,10,10,20,10,20,0,0
2025-05-21 21:50:00,0,10,140,10,10,20,10,20,0,0
2025-05-21 21:50:15,0,10,140,10,10,20,10,20,0,0
2025-05-21 21:50:30,10,0,100,0,20,20,30,20,0,0
2025-05-21 21:50:45,10,0,100,0,20,20,30,20,0,0
2025-05-21 21:51:00,10,0,100,0,20,20,30,20,0,0
2025-05-21 21:51:15,10,0,100,0,20,20,30,20,0,0
2025-05-21 21:51:30,30,60,10,0,30,10,20,30,0,0
2025-05-21 21:51:45,30,60,10,0,30,10,20,30,0,0
2025-05-21 21:52:00,30,60,10,0,30,10,20,30,0,0
2025-05-21 21:52:15,30,60,10,0,30,10,20,30,0,0
2025-05-21 21:52:30,30,40,30,10,20,20,30,0,0,0
2025-05-21 21:52:45,30,40,30,10,20,20,30,0,0,0
2025-05-21 21:53:00,30,40,30,10,20,20,30,0,0,0
2025-05-21 21:53:15,30,40,30,10,20,20,30,0,0,0
2025-05-21 21:53:30,60,10,50,10,20,0,10,0,0,0
2025-05-21 21:53:45,60,10,50,10,20,0,10,0,0,0
2025-05-21 21:54:00,60,10,50,10,20,0,10,0,0,0
2025-05-21 21:54:15,60,10,50,10,20,0,10,0,0,0
2025-05-21 21:54:30,10,20,80,30,0,60,10,10,0,0
2025-05-21 21:54:45,10,20,80,30,0,60,10,10,0,0
2025-05-21 21:55:00,10,20,80,30,0,60,10,10,0,0
2025-05-21 21:55:15,10,20,80,30,0,60,10,10,0,0
2025-05-21 21:55:30,50,10,70,20,10,10,20,10,0,0
2025-05-21 21:55:45,50,10,70,20,10,10,20,10,0,0
2025-05-21 21:56:00,50,10,70,20,10,10,20,10,0,0
2025-05-21 21:56:15,50,10,70,20,10,10,20,10,0,0
2025-05-21 21:56:30,30,30,0,10,20,10,10,0,0,0
2025-05-21 21:56:45,30,30,0,10,20,10,10,0,0,0
2025-05-21 21:57:00,30,30,0,10,20,10,10,0,0,0
2025-05-21 21:57:15,30,30,0,10,20,10,10,0,0,0
2025-05-21 21:57:30,10,10,170,0,10,0,70,10,0,0
2025-05-21 21:57:45,10,10,170,0,10,0,70,10,0,0
2025-05-21 21:58:00,10,10,170,0,10,0,70,10,0,0
2025-05-21 21:58:15,10,10,170,0,10,0,70,10,0,0
2025-05-21 21:58:30,0,50,20,10,0,40,20,0,0,0
2025-05-21 21:58:45,0,50,20,10,0,40,20,0,0,0
2025-05-21 21:59:00,0,50,20,10,0,40,20,0,0,0
2025-05-21 21:59:15,0,50,20,10,0,40,20,0,0,0
2025-05-21 21:59:30,0,30,100,20,0,20,20,20,0,0
2025-05-21 21:59:45,0,30,100,20,0,20,20,20,0,0
2025-05-21 22:00:00,0,30,100,20,0,20,20,20,0,0
2025-05-21 22:00:15,0,30,100,20,0,20,20,20,0,0
2025-05-21 22:00:30,70,10,10,0,20,0,10,10,0,0
2025-05-21 22:00:45,70,10,10,0,20,0,10,10,0,0
2025-05-21 22:01:00,70,10,10,0,20,0,10,10,0,0
2025-05-21 22:01:15,70,10,10,0,20,0,10,10,0,0
2025-05-21 22:01:30,20,20,110,20,10,30,0,50,0,0
2025-05-21 22:01:45,20,20,110,20,10,30,0,50,0,0
2025-05-21 22:02:00,20,20,110,20,10,30,0,50,0,0
2025-05-21 22:02:15,20,20,110,20,10,30,0,50,0,0
2025-05-21 22:02:30,30,20,0,20,30,30,10,40,0,0
2025-05-21 22:02:45,30,20,0,20,30,30,10,40,0,0
2025-05-21 22:03:00,30,20,0,20,30,30,10,40,0,0
2025-05-21 22:03:15,30,20,0,20,30,30,10,40,0,0
2025-05-21 22:03:30,10,10,10,0,30,60,40,10,0,0
2025-05-21 22:03:45,10,10,10,0,30,60,40,10,0,0
2025-05-21 22:04:00,10,10,10,0,30,60,40,10,0,0
2025-05-21 22:04:15,10,10,10,0,30,60,40,10,0,0
2025-05-21 22:04:30,40,10,60,30,10,10,30,30,0,0
2025-05-21 22:04:45,40,10,60,30,10,10,30,30,0,0
2025-05-21 22:05:00,40,10,60,30,10,10,30,30,0,0
2025-05-21 22:05:15,40,10,60,30,10,10,30,30,0,0
2025-05-21 22:05:30,50,10,20,10,10,20,20,30,0,0
2025-05-21 22:05:45,50,10,20,10,10,20,20,30,0,0
2025-05-21 22:06:00,50,10,20,10,10,20,20,30,0,0
2025-05-21 22:06:15,50,10,20,10,10,20,20,30,0,0
2025-05-21 22:06:30,90,0,30,10,20,0,20,20,0,0
2025-05-21 22:06:45,90,0,30,10,20,0,20,20,0,0
2025-05-21 22:07:00,90,0,30,10,20,0,20,20,0,0
2025-05-21 22:07:15,90,0,30,10,20,0,20,20,0,0
2025-05-21 22:07:30,10,10,0,0,0,20,0,30,0,0
2025-05-21 22:07:45,10,10,0,0,0,20,0,30,0,0
