Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-21 21:14:00,130,190,150,100,90,140,80,90,0,0
2025-05-21 21:14:15,130,190,150,100,90,140,80,90,0,0
2025-05-21 21:14:30,80,200,160,90,70,120,90,90,0,0
2025-05-21 21:14:45,80,200,160,90,70,120,90,90,0,0
2025-05-21 21:15:00,80,200,160,90,70,120,90,90,0,0
2025-05-21 21:15:15,80,200,160,90,70,120,90,90,0,0
2025-05-21 21:15:30,640,880,770,420,360,390,400,340,0,0
2025-05-21 21:15:45,640,880,770,420,360,390,400,340,0,0
2025-05-21 21:16:00,640,880,770,420,360,390,400,340,0,0
2025-05-21 21:16:15,640,880,770,420,360,390,400,340,0,0
2025-05-21 21:16:30,400,640,640,350,330,340,340,300,0,0
2025-05-21 21:16:45,400,640,640,350,330,340,340,300,0,0
2025-05-21 21:17:00,400,640,640,350,330,340,340,300,0,0
2025-05-21 21:17:15,400,640,640,350,330,340,340,300,0,0
2025-05-21 21:17:30,340,640,510,370,340,340,240,310,0,0
2025-05-21 21:17:45,340,640,510,370,340,340,240,310,0,0
2025-05-21 21:18:00,340,640,510,370,340,340,240,310,0,0
2025-05-21 21:18:15,340,640,510,370,340,340,240,310,0,0
2025-05-21 21:18:30,510,600,550,400,410,410,270,330,0,0
2025-05-21 21:18:45,510,600,550,400,410,410,270,330,0,0
2025-05-21 21:19:00,510,600,550,400,410,410,270,330,0,0
2025-05-21 21:19:15,510,600,550,400,410,410,270,330,0,0
2025-05-21 21:19:30,580,620,620,390,430,430,380,370,0,0
2025-05-21 21:19:45,580,620,620,390,430,430,380,370,0,0
2025-05-21 21:20:00,580,620,620,390,430,430,380,370,0,0
2025-05-21 21:20:15,580,620,620,390,430,430,380,370,0,0
2025-05-21 21:20:30,480,620,660,330,380,400,360,370,0,0
2025-05-21 21:20:45,480,620,660,330,380,400,360,370,0,0
2025-05-21 21:21:00,480,620,660,330,380,400,360,370,0,0
2025-05-21 21:21:15,480,620,660,330,380,400,360,370,0,0
2025-05-21 21:21:30,760,860,750,390,410,400,400,390,0,0
2025-05-21 21:21:45,760,860,750,390,410,400,400,390,0,0
2025-05-21 21:22:00,760,860,750,390,410,400,400,390,0,0
2025-05-21 21:22:15,760,860,750,390,410,400,400,390,0,0
2025-05-21 21:22:30,790,810,830,470,400,490,470,400,0,0
2025-05-21 21:22:45,790,810,830,470,400,490,470,400,0,0
2025-05-21 21:23:00,790,810,830,470,400,490,470,400,0,0
2025-05-21 21:23:15,790,810,830,470,400,490,470,400,0,0
2025-05-21 21:23:30,740,780,900,410,420,480,420,450,0,0
2025-05-21 21:23:45,740,780,900,410,420,480,420,450,0,0
2025-05-21 21:24:00,740,780,900,410,420,480,420,450,0,0
2025-05-21 21:24:15,740,780,900,410,420,480,420,450,0,0
2025-05-21 21:24:30,870,940,920,450,510,450,480,480,0,0
2025-05-21 21:24:45,870,940,920,450,510,450,480,480,0,0
2025-05-21 21:25:00,870,940,920,450,510,450,480,480,0,0
2025-05-21 21:25:15,870,940,920,450,510,450,480,480,0,0
2025-05-21 21:25:30,840,1190,880,500,490,460,440,500,0,0
2025-05-21 21:25:45,840,1190,880,500,490,460,440,500,0,0
2025-05-21 21:26:00,840,1190,880,500,490,460,440,500,0,0
2025-05-21 21:26:15,840,1190,880,500,490,460,440,500,0,0
2025-05-21 21:26:30,770,1150,950,440,530,500,590,490,0,0
2025-05-21 21:26:45,770,1150,950,440,530,500,590,490,0,0
2025-05-21 21:27:00,770,1150,950,440,530,500,590,490,0,0
2025-05-21 21:27:15,770,1150,950,440,530,500,590,490,0,0
2025-05-21 21:27:30,920,1410,1100,520,570,510,460,510,0,0
2025-05-21 21:27:45,920,1410,1100,520,570,510,460,510,0,0
2025-05-21 21:28:00,920,1410,1100,520,570,510,460,510,0,0
2025-05-21 21:28:15,920,1410,1100,520,570,510,460,510,0,0
2025-05-21 21:28:30,1300,1550,1470,490,540,550,460,450,0,0
2025-05-21 21:28:45,1300,1550,1470,490,540,550,460,450,0,0
2025-05-21 21:29:00,1300,1550,1470,490,540,550,460,450,0,0
2025-05-21 21:29:15,1300,1550,1470,490,540,550,460,450,0,0
2025-05-21 21:29:30,1380,1500,1420,510,550,530,550,500,0,0
2025-05-21 21:29:45,1380,1500,1420,510,550,530,550,500,0,0
2025-05-21 21:30:00,1380,1500,1420,510,550,530,550,500,0,0
2025-05-21 21:30:15,1380,1500,1420,510,550,530,550,500,0,0
2025-05-21 21:30:30,1470,1890,1680,530,510,510,470,510,0,0
2025-05-21 21:30:45,1470,1890,1680,530,510,510,470,510,0,0
2025-05-21 21:31:00,1470,1890,1680,530,510,510,470,510,0,0
2025-05-21 21:31:15,1470,1890,1680,530,510,510,470,510,0,0
2025-05-21 21:31:30,1240,1850,1560,490,460,430,380,440,0,0
2025-05-21 21:31:45,1240,1850,1560,490,460,430,380,440,0,0
2025-05-21 21:32:00,1240,1850,1560,490,460,430,380,440,0,0
2025-05-21 21:32:15,1240,1850,1560,490,460,430,380,440,0,0
2025-05-21 21:32:30,1350,1660,1560,490,470,440,440,450,0,0
2025-05-21 21:32:45,1350,1660,1560,490,470,440,440,450,0,0
2025-05-21 21:33:00,1350,1660,1560,490,470,440,440,450,0,0
2025-05-21 21:33:15,1350,1660,1560,490,470,440,440,450,0,0
2025-05-21 21:33:30,980,1540,1550,450,380,410,380,440,0,0
2025-05-21 21:33:45,980,1540,1550,450,380,410,380,440,0,0
2025-05-21 21:34:00,980,1540,1550,450,380,410,380,440,0,0
2025-05-21 21:34:15,980,1540,1550,450,380,410,380,440,0,0
2025-05-21 21:34:30,1040,1520,1270,370,380,420,340,380,0,0
2025-05-21 21:34:45,1040,1520,1270,370,380,420,340,380,0,0
2025-05-21 21:35:00,1040,1520,1270,370,380,420,340,380,0,0
2025-05-21 21:35:15,1040,1520,1270,370,380,420,340,380,0,0
2025-05-21 21:35:30,1100,1500,1480,410,450,390,360,450,0,0
2025-05-21 21:35:45,1100,1500,1480,410,450,390,360,450,0,0
2025-05-21 21:36:00,1100,1500,1480,410,450,390,360,450,0,0
2025-05-21 21:36:15,1100,1500,1480,410,450,390,360,450,0,0
2025-05-21 21:36:30,1270,1360,1380,370,370,420,390,360,0,0
2025-05-21 21:36:45,1270,1360,1380,370,370,420,390,360,0,0
2025-05-21 21:37:00,1270,1360,1380,370,370,420,390,360,0,0
2025-05-21 21:37:15,1270,1360,1380,370,370,420,390,360,0,0
2025-05-21 21:37:30,1130,1370,1440,360,410,390,380,340,0,0
2025-05-21 21:37:45,1130,1370,1440,360,410,390,380,340,0,0
2025-05-21 21:38:00,1130,1370,1440,360,410,390,380,340,0,0
2025-05-21 21:38:15,1130,1370,1440,360,410,390,380,340,0,0
2025-05-21 21:38:30,1110,1690,1480,450,390,420,350,380,0,0
2025-05-21 21:38:45,1110,1690,1480,450,390,420,350,380,0,0
2025-05-21 21:39:00,1110,1690,1480,450,390,420,350,380,0,0
2025-05-21 21:39:15,1110,1690,1480,450,390,420,350,380,0,0
2025-05-21 21:39:30,1300,1670,1580,390,400,430,400,390,0,0
2025-05-21 21:39:45,1300,1670,1580,390,400,430,400,390,0,0
2025-05-21 21:40:00,1300,1670,1580,390,400,430,400,390,0,0
2025-05-21 21:40:15,1300,1670,1580,390,400,430,400,390,0,0
2025-05-21 21:40:30,1100,1580,1520,390,370,440,410,390,0,0
2025-05-21 21:40:45,1100,1580,1520,390,370,440,410,390,0,0
2025-05-21 21:41:00,1100,1580,1520,390,370,440,410,390,0,0
2025-05-21 21:41:15,1100,1580,1520,390,370,440,410,390,0,0
2025-05-21 21:41:30,2050,2460,2360,550,560,550,540,550,0,0
2025-05-21 21:41:45,2050,2460,2360,550,560,550,540,550,0,0
2025-05-21 21:42:00,2050,2460,2360,550,560,550,540,550,0,0
2025-05-21 21:42:15,2050,2460,2360,550,560,550,540,550,0,0
2025-05-21 21:42:30,1400,1790,1580,470,410,410,410,490,0,0
2025-05-21 21:42:45,1400,1790,1580,470,410,410,410,490,0,0
2025-05-21 21:43:00,1400,1790,1580,470,410,410,410,490,0,0
2025-05-21 21:43:15,1400,1790,1580,470,410,410,410,490,0,0
2025-05-21 21:43:30,1130,1930,1530,450,460,390,380,380,0,0
2025-05-21 21:43:45,1130,1930,1530,450,460,390,380,380,0,0
2025-05-21 21:44:00,1130,1930,1530,450,460,390,380,380,0,0
2025-05-21 21:44:15,1130,1930,1530,450,460,390,380,380,0,0
2025-05-21 21:44:30,1280,1750,1640,380,450,450,430,400,0,0
2025-05-21 21:44:45,1280,1750,1640,380,450,450,430,400,0,0
2025-05-21 21:45:00,1280,1750,1640,380,450,450,430,400,0,0
2025-05-21 21:45:15,1280,1750,1640,380,450,450,430,400,0,0
2025-05-21 21:45:30,1430,1720,1390,430,410,410,380,400,0,0
2025-05-21 21:45:45,1430,1720,1390,430,410,410,380,400,0,0
2025-05-21 21:46:00,1430,1720,1390,430,410,410,380,400,0,0
2025-05-21 21:46:15,1430,1720,1390,430,410,410,380,400,0,0
2025-05-21 21:46:30,1610,1840,2030,400,390,410,390,370,0,0
2025-05-21 21:46:45,1610,1840,2030,400,390,410,390,370,0,0
2025-05-21 21:47:00,1610,1840,2030,400,390,410,390,370,0,0
2025-05-21 21:47:15,1610,1840,2030,400,390,410,390,370,0,0
2025-05-21 21:47:30,1810,2120,2010,380,410,430,390,370,0,0
2025-05-21 21:47:45,1810,2120,2010,380,410,430,390,370,0,0
2025-05-21 21:48:00,1810,2120,2010,380,410,430,390,370,0,0
2025-05-21 21:48:15,1810,2120,2010,380,410,430,390,370,0,0
2025-05-21 21:48:30,2030,2100,1960,460,460,410,400,400,0,0
2025-05-21 21:48:45,2030,2100,1960,460,460,410,400,400,0,0
2025-05-21 21:49:00,2030,2100,1960,460,460,410,400,400,0,0
2025-05-21 21:49:15,2030,2100,1960,460,460,410,400,400,0,0
2025-05-21 21:49:30,1890,2080,1950,460,460,410,400,410,0,0
2025-05-21 21:49:45,1890,2080,1950,460,460,410,400,410,0,0
2025-05-21 21:50:00,1890,2080,1950,460,460,410,400,410,0,0
2025-05-21 21:50:15,1890,2080,1950,460,460,410,400,410,0,0
2025-05-21 21:50:30,2180,2240,2100,390,390,420,380,390,0,0
2025-05-21 21:50:45,2180,2240,2100,390,390,420,380,390,0,0
2025-05-21 21:51:00,2180,2240,2100,390,390,420,380,390,0,0
2025-05-21 21:51:15,2180,2240,2100,390,390,420,380,390,0,0
2025-05-21 21:51:30,1760,2080,2060,370,370,410,400,380,0,0
2025-05-21 21:51:45,1760,2080,2060,370,370,410,400,380,0,0
2025-05-21 21:52:00,1760,2080,2060,370,370,410,400,380,0,0
2025-05-21 21:52:15,1760,2080,2060,370,370,410,400,380,0,0
2025-05-21 21:52:30,1830,2470,2140,400,410,440,420,430,0,0
2025-05-21 21:52:45,1830,2470,2140,400,410,440,420,430,0,0
2025-05-21 21:53:00,1830,2470,2140,400,410,440,420,430,0,0
2025-05-21 21:53:15,1830,2470,2140,400,410,440,420,430,0,0
