Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-21 21:14:00,1300,1210,1670,3140,2550,2470,2180,2630,0,0
2025-05-21 21:14:15,1300,1210,1670,3140,2550,2470,2180,2630,0,0
2025-05-21 21:14:30,1020,1240,1160,2300,2240,2110,2570,2370,0,0
2025-05-21 21:14:45,1020,1240,1160,2300,2240,2110,2570,2370,0,0
2025-05-21 21:15:00,1020,1240,1160,2300,2240,2110,2570,2370,0,0
2025-05-21 21:15:15,1020,1240,1160,2300,2240,2110,2570,2370,0,0
2025-05-21 21:15:30,6080,7690,8570,26420,21130,19810,22630,19050,0,0
2025-05-21 21:15:45,6080,7690,8570,26420,21130,19810,22630,19050,0,0
2025-05-21 21:16:00,6080,7690,8570,26420,21130,19810,22630,19050,0,0
2025-05-21 21:16:15,6080,7690,8570,26420,21130,19810,22630,19050,0,0
2025-05-21 21:16:30,4220,5640,6860,17350,15760,13910,16560,13120,0,0
2025-05-21 21:16:45,4220,5640,6860,17350,15760,13910,16560,13120,0,0
2025-05-21 21:17:00,4220,5640,6860,17350,15760,13910,16560,13120,0,0
2025-05-21 21:17:15,4220,5640,6860,17350,15760,13910,16560,13120,0,0
2025-05-21 21:17:30,3820,6330,5790,16400,14430,13470,11300,13470,0,0
2025-05-21 21:17:45,3820,6330,5790,16400,14430,13470,11300,13470,0,0
2025-05-21 21:18:00,3820,6330,5790,16400,14430,13470,11300,13470,0,0
2025-05-21 21:18:15,3820,6330,5790,16400,14430,13470,11300,13470,0,0
2025-05-21 21:18:30,5320,6160,5170,17810,17560,15430,11280,14650,0,0
2025-05-21 21:18:45,5320,6160,5170,17810,17560,15430,11280,14650,0,0
2025-05-21 21:19:00,5320,6160,5170,17810,17560,15430,11280,14650,0,0
2025-05-21 21:19:15,5320,6160,5170,17810,17560,15430,11280,14650,0,0
2025-05-21 21:19:30,5040,6080,6600,19030,19620,17770,15680,17160,0,0
2025-05-21 21:19:45,5040,6080,6600,19030,19620,17770,15680,17160,0,0
2025-05-21 21:20:00,5040,6080,6600,19030,19620,17770,15680,17160,0,0
2025-05-21 21:20:15,5040,6080,6600,19030,19620,17770,15680,17160,0,0
2025-05-21 21:20:30,4580,6470,6870,19770,18800,18600,20140,16110,0,0
2025-05-21 21:20:45,4580,6470,6870,19770,18800,18600,20140,16110,0,0
2025-05-21 21:21:00,4580,6470,6870,19770,18800,18600,20140,16110,0,0
2025-05-21 21:21:15,4580,6470,6870,19770,18800,18600,20140,16110,0,0
2025-05-21 21:21:30,6650,7080,6850,21700,21540,21930,23510,21480,0,0
2025-05-21 21:21:45,6650,7080,6850,21700,21540,21930,23510,21480,0,0
2025-05-21 21:22:00,6650,7080,6850,21700,21540,21930,23510,21480,0,0
2025-05-21 21:22:15,6650,7080,6850,21700,21540,21930,23510,21480,0,0
2025-05-21 21:22:30,6710,7310,7300,26430,20190,23610,25100,21000,0,0
2025-05-21 21:22:45,6710,7310,7300,26430,20190,23610,25100,21000,0,0
2025-05-21 21:23:00,6710,7310,7300,26430,20190,23610,25100,21000,0,0
2025-05-21 21:23:15,6710,7310,7300,26430,20190,23610,25100,21000,0,0
2025-05-21 21:23:30,5890,7370,8940,25740,26510,21770,27100,24920,0,0
2025-05-21 21:23:45,5890,7370,8940,25740,26510,21770,27100,24920,0,0
