Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-21 00:54:00,10,0,30,20,20,10,20,20,0,0
2025-05-21 00:54:15,10,0,30,20,20,10,20,20,0,0
2025-05-21 00:54:30,10,10,20,0,40,30,10,30,0,0
2025-05-21 00:54:45,10,10,20,0,40,30,10,30,0,0
2025-05-21 00:55:00,10,10,20,0,40,30,10,30,0,0
2025-05-21 00:55:15,10,10,20,0,40,30,10,30,0,0
2025-05-21 00:55:30,10,0,40,30,50,50,30,10,0,0
2025-05-21 00:55:45,10,0,40,30,50,50,30,10,0,0
2025-05-21 00:56:00,10,0,40,30,50,50,30,10,0,0
2025-05-21 00:56:15,20,20,70,0,10,0,0,0,0,0
2025-05-21 00:56:30,20,20,70,0,10,0,0,0,0,0
2025-05-21 00:56:45,20,20,70,0,10,0,0,0,0,0
2025-05-21 00:57:00,20,20,70,0,10,0,0,0,0,0
2025-05-21 00:57:15,0,10,0,0,20,10,0,20,0,0
2025-05-21 00:57:30,0,10,0,0,20,10,0,20,0,0
2025-05-21 00:57:45,0,10,0,0,20,10,0,20,0,0
2025-05-21 00:58:00,0,10,0,0,20,10,0,20,0,0
2025-05-21 00:58:15,20,0,10,10,10,30,0,10,0,0
2025-05-21 00:58:30,20,0,10,10,10,30,0,10,0,0
2025-05-21 00:58:45,20,0,10,10,10,30,0,10,0,0
2025-05-21 00:59:00,20,0,10,10,10,30,0,10,0,0
2025-05-21 00:59:15,10,10,0,10,0,20,10,20,0,0
2025-05-21 00:59:30,10,10,0,10,0,20,10,20,0,0
2025-05-21 00:59:45,10,10,0,10,0,20,10,20,0,0
2025-05-21 01:00:00,10,10,0,10,0,20,10,20,0,0
2025-05-21 01:00:15,30,0,20,0,20,0,10,20,0,0
2025-05-21 01:00:30,30,0,20,0,20,0,10,20,0,0
2025-05-21 01:00:45,30,0,20,0,20,0,10,20,0,0
2025-05-21 01:01:00,30,0,20,0,20,0,10,20,0,0
2025-05-21 01:01:15,0,0,30,20,0,0,10,10,0,0
2025-05-21 01:01:30,0,0,30,20,0,0,10,10,0,0
2025-05-21 01:01:45,0,0,30,20,0,0,10,10,0,0
2025-05-21 01:02:00,0,0,30,20,0,0,10,10,0,0
2025-05-21 01:02:15,0,20,0,10,0,0,50,0,0,0
2025-05-21 01:02:30,0,20,0,10,0,0,50,0,0,0
2025-05-21 01:02:45,0,20,0,10,0,0,50,0,0,0
2025-05-21 01:03:00,0,20,0,10,0,0,50,0,0,0
2025-05-21 01:03:15,10,10,30,0,10,0,0,0,0,0
2025-05-21 01:03:30,10,10,30,0,10,0,0,0,0,0
2025-05-21 01:03:45,10,10,30,0,10,0,0,0,0,0
2025-05-21 01:04:00,10,10,30,0,10,0,0,0,0,0
2025-05-21 01:04:15,0,10,10,20,0,0,10,30,0,0
2025-05-21 01:04:30,0,10,10,20,0,0,10,30,0,0
2025-05-21 01:04:45,0,10,10,20,0,0,10,30,0,0
2025-05-21 01:05:00,0,10,10,20,0,0,10,30,0,0
2025-05-21 01:05:15,20,20,60,0,0,0,0,10,0,0
2025-05-21 01:05:30,20,20,60,0,0,0,0,10,0,0
2025-05-21 01:05:45,20,20,60,0,0,0,0,10,0,0
2025-05-21 01:06:00,20,20,60,0,0,0,0,10,0,0
2025-05-21 01:06:15,20,20,60,0,0,0,0,10,0,0
2025-05-21 01:06:30,20,10,60,30,0,20,0,0,0,0
2025-05-21 01:06:45,20,10,60,30,0,20,0,0,0,0
2025-05-21 01:07:00,20,10,60,30,0,20,0,0,0,0
2025-05-21 01:07:15,20,10,60,30,0,20,0,0,0,0
2025-05-21 01:07:30,0,0,20,0,10,0,30,10,0,0
