Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-05-19 16:47:15,3.30,4.59,4.50,4.07,4.10,3.52,3.64,3.98,0,0
2025-05-19 16:47:30,3.30,4.59,4.50,4.07,4.10,3.52,3.64,3.98,0,0
2025-05-19 16:47:45,3.30,4.59,4.50,4.07,4.10,3.52,3.64,3.98,0,0
2025-05-19 16:48:00,3.30,4.59,4.50,4.07,4.10,3.52,3.64,3.98,0,0
2025-05-19 16:48:15,3.30,4.59,4.50,4.07,4.10,3.52,3.64,3.98,0,0
2025-05-19 16:48:30,3.50,4.15,4,3.85,4.17,4.62,4.19,4,0,0
2025-05-19 16:48:45,3.50,4.15,4,3.85,4.17,4.62,4.19,4,0,0
2025-05-19 16:49:00,3.50,4.15,4,3.85,4.17,4.62,4.19,4,0,0
2025-05-19 16:49:15,3.50,4.15,4,3.85,4.17,4.62,4.19,4,0,0
2025-05-19 16:49:30,28.2,28.2,32.7,29.1,30.6,29.3,28.7,29.7,0,0
2025-05-19 16:49:45,28.2,28.2,32.7,29.1,30.6,29.3,28.7,29.7,0,0
2025-05-19 16:50:00,28.2,28.2,32.7,29.1,30.6,29.3,28.7,29.7,0,0
2025-05-19 16:50:15,28.2,28.2,32.7,29.1,30.6,29.3,28.7,29.7,0,0
2025-05-19 16:50:30,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0,0
2025-05-19 16:50:45,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0,0
2025-05-19 16:51:00,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0,0
2025-05-19 16:51:15,21.6,22.6,25.4,22.8,22.8,22.0,22.2,23.9,0,0
2025-05-19 16:51:30,20.0,22.2,20.8,21.5,21.3,20.4,20.4,21.1,0,0
2025-05-19 16:51:45,20.0,22.2,20.8,21.5,21.3,20.4,20.4,21.1,0,0
2025-05-19 16:52:00,20.0,22.2,20.8,21.5,21.3,20.4,20.4,21.1,0,0
2025-05-19 16:52:15,20.0,22.2,20.8,21.5,21.3,20.4,20.4,21.1,0,0
2025-05-19 16:52:30,21.4,23.1,23.6,22.1,21.9,22.9,22.3,21.9,0,0
2025-05-19 16:52:45,21.4,23.1,23.6,22.1,21.9,22.9,22.3,21.9,0,0
2025-05-19 16:53:00,21.4,23.1,23.6,22.1,21.9,22.9,22.3,21.9,0,0
2025-05-19 16:53:15,21.4,23.1,23.6,22.1,21.9,22.9,22.3,21.9,0,0
2025-05-19 16:53:30,26.0,28.3,25.9,25.2,27.9,25.1,26.3,25.3,0,0
2025-05-19 16:53:45,26.0,28.3,25.9,25.2,27.9,25.1,26.3,25.3,0,0
2025-05-19 16:54:00,26.0,28.3,25.9,25.2,27.9,25.1,26.3,25.3,0,0
2025-05-19 16:54:15,26.0,28.3,25.9,25.2,27.9,25.1,26.3,25.3,0,0
2025-05-19 16:54:30,27.9,28.9,28.0,29.6,27.1,29.1,26.9,29.4,0,0
2025-05-19 16:54:45,27.9,28.9,28.0,29.6,27.1,29.1,26.9,29.4,0,0
2025-05-19 16:55:00,27.9,28.9,28.0,29.6,27.1,29.1,26.9,29.4,0,0
2025-05-19 16:55:15,27.9,28.9,28.0,29.6,27.1,29.1,26.9,29.4,0,0
2025-05-19 16:55:30,31.8,29.2,29.2,32.3,33.5,33.5,31.8,32.7,0,0
2025-05-19 16:55:45,31.8,29.2,29.2,32.3,33.5,33.5,31.8,32.7,0,0
2025-05-19 16:56:00,31.8,29.2,29.2,32.3,33.5,33.5,31.8,32.7,0,0
2025-05-19 16:56:15,31.8,29.2,29.2,32.3,33.5,33.5,31.8,32.7,0,0
2025-05-19 16:56:30,34.3,34.5,33.9,34.1,37.3,31.8,32.5,32.5,0,0
2025-05-19 16:56:45,34.3,34.5,33.9,34.1,37.3,31.8,32.5,32.5,0,0
2025-05-19 16:57:00,34.3,34.5,33.9,34.1,37.3,31.8,32.5,32.5,0,0
2025-05-19 16:57:15,34.3,34.5,33.9,34.1,37.3,31.8,32.5,32.5,0,0
2025-05-19 16:57:30,39.7,37.1,38.7,36.2,41.6,37.3,35.9,36.2,0,0
2025-05-19 16:57:45,39.7,37.1,38.7,36.2,41.6,37.3,35.9,36.2,0,0
2025-05-19 16:58:00,39.7,37.1,38.7,36.2,41.6,37.3,35.9,36.2,0,0
2025-05-19 16:58:15,39.7,37.1,38.7,36.2,41.6,37.3,35.9,36.2,0,0
2025-05-19 16:58:30,40.7,37.9,40.8,38.3,39.6,37.5,39.5,39.3,0,0
2025-05-19 16:58:45,40.7,37.9,40.8,38.3,39.6,37.5,39.5,39.3,0,0
2025-05-19 16:59:00,40.7,37.9,40.8,38.3,39.6,37.5,39.5,39.3,0,0
2025-05-19 16:59:15,40.7,37.9,40.8,38.3,39.6,37.5,39.5,39.3,0,0
2025-05-19 16:59:30,42.1,43.1,45.2,41.6,42.5,43.3,44.5,39.4,0,0
2025-05-19 16:59:45,42.1,43.1,45.2,41.6,42.5,43.3,44.5,39.4,0,0
2025-05-19 17:00:00,42.1,43.1,45.2,41.6,42.5,43.3,44.5,39.4,0,0
2025-05-19 17:00:15,42.1,43.1,45.2,41.6,42.5,43.3,44.5,39.4,0,0
2025-05-19 17:00:30,43.1,44.1,46.2,49.3,43.3,45.2,46.6,43.3,0,0
2025-05-19 17:00:45,43.1,44.1,46.2,49.3,43.3,45.2,46.6,43.3,0,0
2025-05-19 17:01:00,43.1,44.1,46.2,49.3,43.3,45.2,46.6,43.3,0,0
2025-05-19 17:01:15,43.1,44.1,46.2,49.3,43.3,45.2,46.6,43.3,0,0
2025-05-19 17:01:30,46.7,49.0,49.7,48.4,46.7,46.3,48.2,48.1,0,0
2025-05-19 17:01:45,46.7,49.0,49.7,48.4,46.7,46.3,48.2,48.1,0,0
2025-05-19 17:02:00,46.7,49.0,49.7,48.4,46.7,46.3,48.2,48.1,0,0
2025-05-19 17:02:15,46.7,49.0,49.7,48.4,46.7,46.3,48.2,48.1,0,0
2025-05-19 17:02:30,47.9,51.6,53.4,53.0,51.8,53.6,49.7,50.9,0,0
2025-05-19 17:02:45,47.9,51.6,53.4,53.0,51.8,53.6,49.7,50.9,0,0
2025-05-19 17:03:00,47.9,51.6,53.4,53.0,51.8,53.6,49.7,50.9,0,0
2025-05-19 17:03:15,47.9,51.6,53.4,53.0,51.8,53.6,49.7,50.9,0,0
2025-05-19 17:03:30,55.5,52.3,53.2,53.4,55.5,55.9,51.3,54.8,0,0
2025-05-19 17:03:45,55.5,52.3,53.2,53.4,55.5,55.9,51.3,54.8,0,0
2025-05-19 17:04:00,55.5,52.3,53.2,53.4,55.5,55.9,51.3,54.8,0,0
2025-05-19 17:04:15,55.5,52.3,53.2,53.4,55.5,55.9,51.3,54.8,0,0
2025-05-19 17:04:30,53.4,52.5,56.6,54.3,56.9,53.3,55.1,49.8,0,0
2025-05-19 17:04:45,53.4,52.5,56.6,54.3,56.9,53.3,55.1,49.8,0,0
2025-05-19 17:05:00,53.4,52.5,56.6,54.3,56.9,53.3,55.1,49.8,0,0
