Time,openeuler-home,openeuler-root,openeuler-swap,sda
2025-05-18 23:08:45,7512064,2641920,0,10002432
2025-05-18 23:09:00,7512064,2641920,0,10002432
2025-05-18 23:09:15,7512064,2641920,0,10002432
2025-05-18 23:09:30,7512064,2641920,0,10002432
2025-05-18 23:09:45,1769472,3641344,0,4792320
2025-05-18 23:10:00,1769472,3641344,0,4792320
2025-05-18 23:10:15,1769472,3641344,0,4792320
2025-05-18 23:10:30,1769472,3641344,0,4792320
2025-05-18 23:10:45,1454080,5373952,0,6901760
2025-05-18 23:11:00,1454080,5373952,0,6901760
2025-05-18 23:11:15,1454080,5373952,0,6901760
2025-05-18 23:11:30,1454080,5373952,0,6901760
2025-05-18 23:11:45,1277952,5169152,0,6365184
2025-05-18 23:12:00,1277952,5169152,0,6365184
2025-05-18 23:12:15,1277952,5169152,0,6365184
2025-05-18 23:12:30,1277952,5169152,0,6365184
2025-05-18 23:12:45,1277952,4583424,0,5615616
2025-05-18 23:13:00,1277952,4583424,0,5615616
2025-05-18 23:13:15,1277952,4583424,0,5615616
2025-05-18 23:13:30,1277952,4583424,0,5615616
2025-05-18 23:13:45,1064960,4456448,0,5664768
2025-05-18 23:14:00,1064960,4456448,0,5664768
2025-05-18 23:14:15,1064960,4456448,0,5664768
2025-05-18 23:14:30,1064960,4456448,0,5664768
2025-05-18 23:14:45,1064960,4591616,0,5500928
2025-05-18 23:15:00,1064960,4591616,0,5500928
2025-05-18 23:15:15,1064960,4591616,0,5500928
2025-05-18 23:15:30,1064960,4591616,0,5500928
2025-05-18 23:15:45,1236992,3624960,0,5263360
2025-05-18 23:16:00,1294336,3624960,0,5263360
2025-05-18 23:16:15,1294336,3624960,0,5263360
2025-05-18 23:16:30,1294336,3624960,0,5263360
2025-05-18 23:16:45,1294336,3624960,0,6012928
2025-05-18 23:17:00,1253376,5124096,0,6012928
2025-05-18 23:17:15,1253376,5124096,0,6012928
2025-05-18 23:17:30,1253376,5124096,0,6012928
2025-05-18 23:17:45,1253376,5124096,0,5865472
2025-05-18 23:18:00,1253376,4378624,0,5865472
2025-05-18 23:18:15,892928,4378624,0,5865472
2025-05-18 23:18:30,892928,4378624,0,5865472
2025-05-18 23:18:45,892928,4378624,0,5935104
2025-05-18 23:19:00,892928,5177344,0,5935104
2025-05-18 23:19:15,1363968,5177344,0,5935104
2025-05-18 23:19:30,1363968,5177344,0,5935104
2025-05-18 23:19:45,1363968,5177344,0,5844992
2025-05-18 23:20:00,1363968,4612096,0,5844992
2025-05-18 23:20:15,692224,4612096,0,5844992
2025-05-18 23:20:30,692224,4612096,0,5844992
2025-05-18 23:20:45,692224,4612096,0,5873664
2025-05-18 23:21:00,692224,5160960,0,5873664
2025-05-18 23:21:15,966656,5160960,0,5873664
2025-05-18 23:21:30,966656,5160960,0,5873664
2025-05-18 23:21:45,966656,5160960,0,5918720
2025-05-18 23:22:00,966656,4726784,0,5918720
2025-05-18 23:22:15,1617920,4726784,0,5918720
2025-05-18 23:22:30,1617920,4726784,0,5918720
2025-05-18 23:22:45,1617920,4726784,0,6328320
2025-05-18 23:23:00,1617920,5111808,0,6328320
2025-05-18 23:23:15,1064960,5111808,0,6328320
2025-05-18 23:23:30,1064960,5111808,0,6328320
2025-05-18 23:23:45,1064960,5111808,0,6328320
2025-05-18 23:24:00,1064960,4960256,0,5832704
2025-05-18 23:24:15,917504,4960256,0,5832704
2025-05-18 23:24:30,917504,4960256,0,5832704
2025-05-18 23:24:45,917504,4960256,0,5832704
2025-05-18 23:25:00,917504,4771840,0,5750784
2025-05-18 23:25:15,917504,4771840,0,5750784
2025-05-18 23:25:30,1216512,4771840,0,5750784
2025-05-18 23:25:45,1216512,4771840,0,5750784
2025-05-18 23:26:00,1216512,4976640,0,6160384
2025-05-18 23:26:15,1216512,4976640,0,6160384
2025-05-18 23:26:30,1044480,4976640,0,6160384
2025-05-18 23:26:45,1044480,4976640,0,6160384
2025-05-18 23:27:00,1044480,3706880,0,5140480
2025-05-18 23:27:15,1044480,3706880,0,5140480
2025-05-18 23:27:30,741376,3706880,0,5140480
2025-05-18 23:27:45,741376,3706880,0,5140480
2025-05-18 23:28:00,741376,3653632,0,4435968
2025-05-18 23:28:15,741376,3653632,0,4435968
2025-05-18 23:28:30,1167360,3653632,0,4435968
2025-05-18 23:28:45,1167360,3653632,0,4435968
2025-05-18 23:29:00,1167360,5660672,0,6344704
2025-05-18 23:29:15,1167360,5660672,0,6344704
2025-05-18 23:29:30,970752,5660672,0,6344704
2025-05-18 23:29:45,970752,5660672,0,6344704
2025-05-18 23:30:00,970752,5660672,0,5390336
2025-05-18 23:30:15,970752,4485120,0,5390336
2025-05-18 23:30:30,843776,4485120,0,5390336
2025-05-18 23:30:45,843776,4485120,0,5390336
2025-05-18 23:31:00,843776,4485120,0,5996544
2025-05-18 23:31:15,843776,4739072,0,5996544
2025-05-18 23:31:30,843776,4739072,0,5996544
2025-05-18 23:31:45,1490944,4739072,0,5996544
2025-05-18 23:32:00,1490944,4739072,0,4579328
2025-05-18 23:32:15,1490944,3407872,0,4579328
2025-05-18 23:32:30,1490944,3407872,0,4579328
2025-05-18 23:32:45,950272,3407872,0,4579328
2025-05-18 23:33:00,950272,3407872,0,5226496
2025-05-18 23:33:15,950272,4366336,0,5226496
2025-05-18 23:33:30,950272,4366336,0,5226496
2025-05-18 23:33:45,1052672,4366336,0,5226496
2025-05-18 23:34:00,1052672,4366336,0,5226496
2025-05-18 23:34:15,1052672,4640768,0,5410816
2025-05-18 23:34:30,1052672,4640768,0,5410816
2025-05-18 23:34:45,991232,4640768,0,5410816
2025-05-18 23:35:00,991232,4640768,0,5410816
2025-05-18 23:35:15,991232,5439488,0,6909952
2025-05-18 23:35:30,991232,5439488,0,6909952
2025-05-18 23:35:45,1200128,5439488,0,6909952
2025-05-18 23:36:00,1200128,5439488,0,6909952
2025-05-18 23:36:15,1200128,4608000,0,5672960
