Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,3434496,2961408,0.0,4964352,oom,0.0
2025-05-17 17:00:00,3434496,2961408,,9199616,oom,0.25
2025-05-17 17:00:15,3434496,4005888,,9199616,oom,0.5
2025-05-17 17:00:30,888832,3975397,824885.4755555555,7478890,oom,0.75
2025-05-17 17:00:45,888832,4039388,824885.4755555555,6672279,oom,1.0
2025-05-17 17:01:00,888832,4181794,824885.4755555555,6540895,oom,1.25
2025-05-17 17:01:15,888832,4185774,830783.7155555555,5812826,oom,1.5
2025-05-17 17:01:30,1024000,4233086,830783.7155555555,5596688,oom,1.75
2025-05-17 17:01:45,1024000,4314796,830783.7155555555,5316059,oom,2.0
2025-05-17 17:02:00,1024000,4426447,874365.1555555555,5343392,oom,2.25
2025-05-17 17:02:15,984299,4426436,874365.1555555555,5751872,oom,2.5
2025-05-17 17:02:30,985303,5259181,874365.1555555555,5913688,oom,2.75
2025-05-17 17:02:45,985303,5286390,874365.1555555555,6077840,oom,3.0
2025-05-17 17:03:00,929457,5027983,874365.1555555555,6114424,oom,3.25
2025-05-17 17:03:15,928378,5027983,874365.1555555555,6343931,oom,3.5
2025-05-17 17:03:30,930348,5087089,874365.1555555555,6404280,oom,3.75
2025-05-17 17:03:45,930348,5062253,874365.1555555555,6244751,oom,4.0
2025-05-17 17:04:00,979568,4940053,874365.1555555555,6241201,oom,4.25
2025-05-17 17:04:15,994654,4940053,874365.1555555555,6106765,oom,4.5
2025-05-17 17:04:30,1017367,4855053,874365.1555555555,5558128,oom,4.75
2025-05-17 17:04:45,1018140,4843469,874365.1555555555,5525495,oom,5.0
2025-05-17 17:05:00,1032552,4825456,874365.1555555555,5754567,oom,5.25
2025-05-17 17:05:15,1042071,4828790,874365.1555555555,5970610,oom,5.5
2025-05-17 17:05:30,1039051,4828347,874365.1555555555,6020237,oom,5.75
2025-05-17 17:05:45,1039051,5017123,874365.1555555555,5903246,oom,6.0
2025-05-17 17:06:00,1014691,5016146,874365.1555555555,5748000,oom,6.25
2025-05-17 17:06:15,1004044,4927159,874365.1555555555,5551581,oom,6.5
2025-05-17 17:06:30,998245,4925679,874365.1555555555,5535475,oom,6.75
2025-05-17 17:06:45,995740,4881371,874365.1555555555,5643315,oom,7.0
2025-05-17 17:07:00,972130,4848274,874365.1555555555,5652678,oom,7.25
2025-05-17 17:07:15,975629,4753571,874365.1555555555,5916981,oom,7.5
2025-05-17 17:07:30,1000178,4695276,874365.1555555555,5951519,oom,7.75
2025-05-17 17:07:45,999443,4211067,874365.1555555555,5733599,oom,8.0
2025-05-17 17:08:00,1082159,4155963,874365.1555555555,5628424,oom,8.25
2025-05-17 17:08:15,1109219,4267221,874365.1555555555,5213193,oom,8.5
2025-05-17 17:08:30,1083560,4267221,874365.1555555555,5142964,oom,8.75
2025-05-17 17:08:45,1078303,4483053,874365.1555555555,5031282,oom,9.0
2025-05-17 17:09:00,939523,4470144,874365.1555555555,5020470,oom,9.25
2025-05-17 17:09:15,905532,4406244,874365.1555555555,4793830,oom,9.5
2025-05-17 17:09:30,921219,4406244,817881.3155555555,4803032,oom,9.75
2025-05-17 17:09:45,919208,4141468,817881.3155555555,4924456,oom,10.0
2025-05-17 17:10:00,928632,4136464,817881.3155555555,4930805,oom,10.25
2025-05-17 17:10:15,926609,4181399,817881.3155555555,5392162,oom,10.5
2025-05-17 17:10:30,921274,4181399,817881.3155555555,5458242,oom,10.75
2025-05-17 17:10:45,919210,4644370,817881.3155555555,5432159,oom,11.0
2025-05-17 17:11:00,915837,4699743,817881.3155555555,5432159,oom,11.25
2025-05-17 17:11:15,890532,4616074,817881.3155555555,5428782,oom,11.5
2025-05-17 17:11:30,890403,4616074,817881.3155555555,5428782,oom,11.75
2025-05-17 17:11:45,896006,4500669,817881.3155555555,5425853,oom,12.0
2025-05-17 17:12:00,896221,4460267,817881.3155555555,5422707,oom,12.25
2025-05-17 17:12:15,928112,4438217,817881.3155555555,5407408,oom,12.5
2025-05-17 17:12:30,912278,4443026,817881.3155555555,5368490,oom,12.75
2025-05-17 17:12:45,914812,4678415,817881.3155555555,5407636,oom,13.0
2025-05-17 17:13:00,914812,4718632,817881.3155555555,5486436,oom,13.25
2025-05-17 17:13:15,904733,4641364,808849.6355555556,5488638,oom,13.5
2025-05-17 17:13:30,839312,4628820,808849.6355555556,5502256,oom,13.75
2025-05-17 17:13:45,823956,4550014,808849.6355555556,5453848,oom,14.0
2025-05-17 17:14:00,818233,4528109,808849.6355555556,5479896,oom,14.25
2025-05-17 17:14:15,809418,4436887,808849.6355555556,5471791,oom,14.5
2025-05-17 17:14:30,805362,4430662,808849.6355555556,5426743,oom,14.75
2025-05-17 17:14:45,825953,4378552,808849.6355555556,5398845,oom,15.0
2025-05-17 17:15:00,827927,4368348,808849.6355555556,5344098,oom,15.25
2025-05-17 17:15:15,938887,4391030,808849.6355555556,5326092,oom,15.5
2025-05-17 17:15:30,967472,4391030,808849.6355555556,5304106,oom,15.75
2025-05-17 17:15:45,971893,4455182,808849.6355555556,5153879,oom,16.0
2025-05-17 17:16:00,971893,4477315,808849.6355555556,5097835,oom,16.25
2025-05-17 17:16:15,968169,4385295,808849.6355555556,5095311,oom,16.5
2025-05-17 17:16:30,803233,4377000,808849.6355555556,4717106,oom,16.75
2025-05-17 17:16:45,777405,4185748,808849.6355555556,4679535,oom,17.0
2025-05-17 17:17:00,809582,4161262,808849.6355555556,4649575,oom,17.25
2025-05-17 17:17:15,809582,4188523,808849.6355555556,4649575,oom,17.5
2025-05-17 17:17:30,831433,4179648,808849.6355555556,4629619,oom,17.75
2025-05-17 17:17:45,836145,4180030,808849.6355555556,4622326,oom,18.0
2025-05-17 17:18:00,884429,3963233,808849.6355555556,4687297,oom,18.25
2025-05-17 17:18:15,885044,3913156,808849.6355555556,4760044,oom,18.5
2025-05-17 17:18:30,928651,3896772,808849.6355555556,4781631,oom,18.75
2025-05-17 17:18:45,917874,3894243,808849.6355555556,4845157,oom,19.0
2025-05-17 17:19:00,908725,3887615,808849.6355555556,4843488,oom,19.25
2025-05-17 17:19:15,907370,3893271,808849.6355555556,4800428,oom,19.5
2025-05-17 17:19:30,688396,3904717,808849.6355555556,4794420,oom,19.75
2025-05-17 17:19:45,649750,3904717,808849.6355555556,4768627,oom,20.0
2025-05-17 17:20:00,659614,3738273,808849.6355555556,4538010,oom,20.25
2025-05-17 17:20:15,657681,3728532,808849.6355555556,4466636,oom,20.5
2025-05-17 17:20:30,656032,3775800,808849.6355555556,4554822,oom,20.75
2025-05-17 17:20:45,655088,3763246,808849.6355555556,4527796,oom,21.0
2025-05-17 17:21:00,716776,3718255,808849.6355555556,4442754,oom,21.25
2025-05-17 17:21:15,726506,3718288,808849.6355555556,4417312,oom,21.5
2025-05-17 17:21:30,620485,3750416,808849.6355555556,4178500,oom,21.75
2025-05-17 17:21:45,624922,3738643,808849.6355555556,4167891,oom,22.0
2025-05-17 17:22:00,624105,3651832,808849.6355555556,4174322,oom,22.25
2025-05-17 17:22:15,625149,3664594,808849.6355555556,4174322,oom,22.5
2025-05-17 17:22:30,626856,3746338,808849.6355555556,4295201,oom,22.75
2025-05-17 17:22:45,687355,3746338,808849.6355555556,4363274,oom,23.0
2025-05-17 17:23:00,730051,4019188,808849.6355555556,4448733,oom,23.25
2025-05-17 17:23:15,767605,4069776,808849.6355555556,4462531,oom,23.5
2025-05-17 17:23:30,769134,4186725,818065.6355555556,4596657,oom,23.75
2025-05-17 17:23:45,1035809,4188976,818065.6355555556,4985838,oom,24.0
2025-05-17 17:24:00,1091946,4418551,818065.6355555556,5070218,oom,24.25
2025-05-17 17:24:15,1085076,4435543,818065.6355555556,5215793,oom,24.5
2025-05-17 17:24:30,1085076,4394621,818065.6355555556,5337549,oom,24.75
2025-05-17 17:24:45,1064526,4044800,818065.6355555556,5538951,oom,25.0
2025-05-17 17:25:00,1062140,4044800,818065.6355555556,6316812,oom,25.25
2025-05-17 17:25:15,1067933,4130816,818065.6355555556,6508381,oom,25.5
2025-05-17 17:25:30,1067933,4216832,818065.6355555556,7831787,oom,25.75
2025-05-17 17:25:45,1067933,6637568,818065.6355555556,8002953,oom,26.0
2025-05-17 17:26:00,907049,8806400,818065.6355555556,6955088,oom,26.25
2025-05-17 17:26:15,883993,8806400,818065.6355555556,6808326,oom,26.5
2025-05-17 17:26:30,890764,6637568,818065.6355555556,6111768,oom,26.75
2025-05-17 17:26:45,697503,5360640,818065.6355555556,5820404,oom,27.0
2025-05-17 17:27:00,697299,6445056,818065.6355555556,5098792,oom,27.25
2025-05-17 17:27:15,777152,6445056,818065.6355555556,5098260,oom,27.5
2025-05-17 17:27:30,777152,6445056,818065.6355555556,5077460,oom,27.75
2025-05-17 17:27:45,777152,6445056,818065.6355555556,5056512,oom,28.0
2025-05-17 17:28:00,542960,6656000,818065.6355555556,5056512,oom,28.25
2025-05-17 17:28:15,558779,6656000,818065.6355555556,5183488,oom,28.5
2025-05-17 17:28:30,601750,6656000,818065.6355555556,5183488,oom,28.75
2025-05-17 17:28:45,601750,6656000,818065.6355555556,5183488,oom,29.0
2025-05-17 17:29:00,645842,4726784,818065.6355555556,5183488,oom,29.25
2025-05-17 17:29:15,680425,4726784,818065.6355555556,5159936,oom,29.5
2025-05-17 17:29:30,760351,4947968,818065.6355555556,5521408,oom,29.75
2025-05-17 17:29:45,765629,4947968,818065.6355555556,5521408,oom,30.0
2025-05-17 17:30:00,795396,12505088,818065.6355555556,5521408,oom,30.25
2025-05-17 17:30:15,772607,12505088,818065.6355555556,5537590,oom,30.5
2025-05-17 17:30:30,796718,12505088,818065.6355555556,14784512,oom,30.75
2025-05-17 17:30:45,796252,12505088,818065.6355555556,14784512,oom,31.0
2025-05-17 17:31:00,619965,6197248,818065.6355555556,14784512,oom,31.25
2025-05-17 17:31:15,617769,6197248,818065.6355555556,14784512,oom,31.5
2025-05-17 17:31:30,638902,6197248,818065.6355555556,4632576,oom,31.75
2025-05-17 17:31:45,520192,6197248,818065.6355555556,4632576,oom,32.0
2025-05-17 17:32:00,520192,4057088,818065.6355555556,4632576,oom,32.25
2025-05-17 17:32:15,534528,4057088,818065.6355555556,4632576,oom,32.5
2025-05-17 17:32:30,485376,3627008,818065.6355555556,4587520,oom,32.75
2025-05-17 17:32:45,987136,3627008,818065.6355555556,4587520,oom,33.0
2025-05-17 17:33:00,987136,2555904,818065.6355555556,5488640,oom,33.25
2025-05-17 17:33:15,987136,2555904,818065.6355555556,5488640,oom,33.5
2025-05-17 17:33:30,987136,2555904,818065.6355555556,5359616,oom,33.75
2025-05-17 17:33:45,815104,2555904,818065.6355555556,4929536,oom,34.0
2025-05-17 17:34:00,815104,4710400,818065.6355555556,4499456,oom,34.25
2025-05-17 17:34:15,815104,4710400,818065.6355555556,4499456,oom,34.5
