Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-07-16 19:00:15,11.0,12.7,12.7,13.0,11.4,11.3,11.1,11.8,0,0
2025-07-16 19:00:30,11.0,12.7,12.7,13.0,11.4,11.3,11.1,11.8,0,0
2025-07-16 19:00:45,86.8,88.8,93.7,90.1,92.6,87.0,93.3,90.0,0,0
2025-07-16 19:01:00,86.8,88.8,93.7,90.1,92.6,87.0,93.3,90.0,0,0
2025-07-16 19:01:15,86.8,88.8,93.7,90.1,92.6,87.0,93.3,90.0,0,0
2025-07-16 19:01:30,86.8,88.8,93.7,90.1,92.6,87.0,93.3,90.0,0,0
2025-07-16 19:01:45,72.6,73.8,73.4,76.3,80.1,74.1,77.9,76.2,0,0
2025-07-16 19:02:00,72.6,73.8,73.4,76.3,80.1,74.1,77.9,76.2,0,0
2025-07-16 19:02:15,72.6,73.8,73.4,76.3,80.1,74.1,77.9,76.2,0,0
2025-07-16 19:02:30,72.6,73.8,73.4,76.3,80.1,74.1,77.9,76.2,0,0
2025-07-16 19:02:45,66.5,69.0,65.3,70.2,69.6,66.0,70.6,67.3,0,0
2025-07-16 19:03:00,66.5,69.0,65.3,70.2,69.6,66.0,70.6,67.3,0,0
2025-07-16 19:03:15,66.5,69.0,65.3,70.2,69.6,66.0,70.6,67.3,0,0
2025-07-16 19:03:30,66.5,69.0,65.3,70.2,69.6,66.0,70.6,67.3,0,0
2025-07-16 19:03:45,60.5,64.9,62.7,65.2,66.7,65.1,65.2,62.3,0,0
2025-07-16 19:04:00,60.5,64.9,62.7,65.2,66.7,65.1,65.2,62.3,0,0
2025-07-16 19:04:15,60.5,64.9,62.7,65.2,66.7,65.1,65.2,62.3,0,0
2025-07-16 19:04:30,60.5,64.9,62.7,65.2,66.7,65.1,65.2,62.3,0,0
2025-07-16 19:04:45,62.8,63.1,65.5,65.1,66.4,64.6,67.6,63.5,0,0
2025-07-16 19:05:00,62.8,63.1,65.5,65.1,66.4,64.6,67.6,63.5,0,0
2025-07-16 19:05:15,62.8,63.1,65.5,65.1,66.4,64.6,67.6,63.5,0,0
2025-07-16 19:05:30,62.8,63.1,65.5,65.1,66.4,64.6,67.6,63.5,0,0
2025-07-16 19:05:45,69.2,68.7,70.6,72.0,71.2,71.4,70.1,72.1,0,0
2025-07-16 19:06:00,69.2,68.7,70.6,72.0,71.2,71.4,70.1,72.1,0,0
2025-07-16 19:06:15,69.2,68.7,70.6,72.0,71.2,71.4,70.1,72.1,0,0
2025-07-16 19:06:30,69.2,68.7,70.6,72.0,71.2,71.4,70.1,72.1,0,0
2025-07-16 19:06:45,71.6,69.8,69.7,73.4,74.1,70.6,72.9,72.1,0,0
2025-07-16 19:07:00,71.6,69.8,69.7,73.4,74.1,70.6,72.9,72.1,0,0
2025-07-16 19:07:15,71.6,69.8,69.7,73.4,74.1,70.6,72.9,72.1,0,0
2025-07-16 19:07:30,71.6,69.8,69.7,73.4,74.1,70.6,72.9,72.1,0,0
2025-07-16 19:07:45,73.3,71.6,73.0,73.8,73.6,73.5,74.6,74.3,0,0
2025-07-16 19:08:00,73.3,71.6,73.0,73.8,73.6,73.5,74.6,74.3,0,0
2025-07-16 19:08:15,73.3,71.6,73.0,73.8,73.6,73.5,74.6,74.3,0,0
2025-07-16 19:08:30,73.3,71.6,73.0,73.8,73.6,73.5,74.6,74.3,0,0
2025-07-16 19:08:45,72.1,71.8,73.2,74.6,72.3,72.1,73.1,73.2,0,0
2025-07-16 19:09:00,72.1,71.8,73.2,74.6,72.3,72.1,73.1,73.2,0,0
2025-07-16 19:09:15,72.1,71.8,73.2,74.6,72.3,72.1,73.1,73.2,0,0
2025-07-16 19:09:30,72.1,71.8,73.2,74.6,72.3,72.1,73.1,73.2,0,0
2025-07-16 19:09:45,70.7,72.5,73.0,73.1,73.2,71.3,73.7,71.4,0,0
2025-07-16 19:10:00,70.7,72.5,73.0,73.1,73.2,71.3,73.7,71.4,0,0
2025-07-16 19:10:15,70.7,72.5,73.0,73.1,73.2,71.3,73.7,71.4,0,0
2025-07-16 19:10:30,70.7,72.5,73.0,73.1,73.2,71.3,73.7,71.4,0,0
2025-07-16 19:10:45,71.7,73.0,74.9,72.3,73.1,71.6,75.4,72.6,0,0
2025-07-16 19:11:00,71.7,73.0,74.9,72.3,73.1,71.6,75.4,72.6,0,0
2025-07-16 19:11:15,71.7,73.0,74.9,72.3,73.1,71.6,75.4,72.6,0,0
2025-07-16 19:11:30,71.7,73.0,74.9,72.3,73.1,71.6,75.4,72.6,0,0
2025-07-16 19:11:45,72.7,71.1,71.9,72.5,73.6,69.8,74.6,71.0,0,0
2025-07-16 19:12:00,72.7,71.1,71.9,72.5,73.6,69.8,74.6,71.0,0,0
2025-07-16 19:12:15,72.7,71.1,71.9,72.5,73.6,69.8,74.6,71.0,0,0
2025-07-16 19:12:30,72.7,71.1,71.9,72.5,73.6,69.8,74.6,71.0,0,0
2025-07-16 19:12:45,75.2,74.5,75.7,77.5,75.6,76.8,76.9,73.7,0,0
2025-07-16 19:13:00,75.2,74.5,75.7,77.5,75.6,76.8,76.9,73.7,0,0
2025-07-16 19:13:15,75.2,74.5,75.7,77.5,75.6,76.8,76.9,73.7,0,0
2025-07-16 19:13:30,75.2,74.5,75.7,77.5,75.6,76.8,76.9,73.7,0,0
2025-07-16 19:13:45,73.4,79.5,74.1,79.7,79.4,78.5,77.8,76.3,0,0
2025-07-16 19:14:00,73.4,79.5,74.1,79.7,79.4,78.5,77.8,76.3,0,0
2025-07-16 19:14:15,73.4,79.5,74.1,79.7,79.4,78.5,77.8,76.3,0,0
