Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,10,40,40,0,10,70,0,0,0,BASELINE,0.0
2025-05-17 17:00:15,10,10,40,40,0,10,70,0,0,0,BASELINE,0.25
2025-05-17 17:00:30,20,10,10,10,80,30,110,40,0,0,BASELINE,0.5
2025-05-17 17:00:45,45,20,33,18,84,45,176,71,0,0,BASELINE,0.75
2025-05-17 17:01:00,33,19,24,21,89,47,103,62,0,0,BASELINE,1.0
2025-05-17 17:01:15,68,20,63,49,105,107,82,97,0,0,BASELINE,1.25
2025-05-17 17:01:30,51,22,65,52,83,108,73,98,0,0,BASELINE,1.5
2025-05-17 17:01:45,14,38,173,111,25,250,16,188,0,0,BASELINE,1.75
2025-05-17 17:02:00,13,39,177,125,28,258,4,185,0,0,BASELINE,2.0
2025-05-17 17:02:15,54,36,154,172,65,202,88,147,0,0,BASELINE,2.25
2025-05-17 17:02:30,55,35,149,191,67,201,149,147,0,0,BASELINE,2.5
2025-05-17 17:02:45,76,21,147,394,171,45,256,42,0,0,BASELINE,2.75
2025-05-17 17:03:00,76,21,146,419,170,39,268,37,0,0,BASELINE,3.0
2025-05-17 17:03:15,76,25,156,369,175,76,195,61,0,0,BASELINE,3.25
2025-05-17 17:03:30,75,23,158,367,170,73,182,61,0,0,BASELINE,3.5
2025-05-17 17:03:45,10,11,254,329,166,23,89,11,0,0,BASELINE,3.75
2025-05-17 17:04:00,6,12,261,297,163,21,88,10,0,0,BASELINE,4.0
2025-05-17 17:04:15,57,22,213,241,163,100,100,85,0,0,BASELINE,4.25
2025-05-17 17:04:30,64,27,207,239,156,101,100,89,0,0,BASELINE,4.5
2025-05-17 17:04:45,247,37,103,117,86,46,97,248,0,0,BASELINE,4.75
2025-05-17 17:05:00,249,38,105,129,75,48,97,254,0,0,BASELINE,5.0
2025-05-17 17:05:15,179,36,107,158,101,78,96,200,0,0,BASELINE,5.25
2025-05-17 17:05:30,178,35,107,159,104,79,96,200,0,0,BASELINE,5.5
2025-05-17 17:05:45,152,20,148,284,98,179,120,152,0,0,BASELINE,5.75
2025-05-17 17:06:00,149,19,154,281,106,179,127,149,0,0,BASELINE,6.0
2025-05-17 17:06:15,170,19,145,209,136,165,102,121,0,0,BASELINE,6.25
2025-05-17 17:06:30,183,19,146,205,138,164,97,121,0,0,BASELINE,6.5
2025-05-17 17:06:45,231,2,154,118,153,123,33,48,0,0,BASELINE,6.75
2025-05-17 17:07:00,227,4,151,113,170,127,31,46,0,0,BASELINE,7.0
2025-05-17 17:07:15,180,22,131,111,154,148,67,85,0,0,BASELINE,7.25
2025-05-17 17:07:30,178,22,125,110,152,148,72,86,0,0,BASELINE,7.5
2025-05-17 17:07:45,89,29,44,86,43,363,172,117,0,0,BASELINE,7.75
2025-05-17 17:08:00,82,31,35,82,41,366,173,128,0,0,BASELINE,8.0
2025-05-17 17:08:15,74,43,54,87,95,262,124,108,0,0,BASELINE,8.25
2025-05-17 17:08:30,72,46,56,87,96,255,116,107,0,0,BASELINE,8.5
2025-05-17 17:08:45,35,77,56,90,257,89,36,52,0,0,BASELINE,8.75
2025-05-17 17:09:00,36,76,58,92,272,79,31,47,0,0,BASELINE,9.0
2025-05-17 17:09:15,53,63,63,96,260,68,48,88,0,0,BASELINE,9.25
2025-05-17 17:09:30,53,63,63,96,262,67,48,90,0,0,BASELINE,9.5
2025-05-17 17:09:45,60,40,48,112,436,15,7,236,0,0,BASELINE,9.75
2025-05-17 17:10:00,66,40,44,113,455,14,10,241,0,0,BASELINE,10.0
2025-05-17 17:10:15,120,37,67,109,402,100,46,238,0,0,BASELINE,10.25
2025-05-17 17:10:30,135,37,65,111,402,106,49,240,0,0,BASELINE,10.5
2025-05-17 17:10:45,297,15,84,149,122,354,58,129,0,0,BASELINE,10.75
2025-05-17 17:11:00,297,12,87,155,89,350,65,119,0,0,BASELINE,11.0
2025-05-17 17:11:15,205,26,86,159,73,205,93,90,0,0,BASELINE,11.25
2025-05-17 17:11:30,205,26,86,159,72,25,83,90,0,0,BASELINE,11.5
2025-05-17 17:11:45,29,69,20,183,29,15,73,12,0,0,BASELINE,11.75
2025-05-17 17:12:00,15,66,14,177,36,5,74,10,0,0,BASELINE,12.0
2025-05-17 17:12:15,39,46,40,163,82,92,84,58,0,0,BASELINE,12.25
2025-05-17 17:12:30,41,46,39,161,82,50,84,59,0,0,BASELINE,12.5
2025-05-17 17:12:45,49,22,19,150,184,50,84,51,0,0,BASELINE,12.75
2025-05-17 17:13:00,50,20,21,143,197,50,84,56,0,0,BASELINE,13.0
2025-05-17 17:13:15,67,18,60,132,161,61,84,79,0,0,BASELINE,13.25
2025-05-17 17:13:30,67,17,62,133,159,25,97,77,0,0,BASELINE,13.5
2025-05-17 17:13:45,67,2,84,68,69,25,218,13,0,0,BASELINE,13.75
2025-05-17 17:14:00,67,4,86,66,68,25,222,9,0,0,BASELINE,14.0
2025-05-17 17:14:15,66,24,87,70,94,25,190,57,0,0,BASELINE,14.25
2025-05-17 17:14:30,66,28,87,70,94,30,170,57,0,0,BASELINE,14.5
2025-05-17 17:14:45,25,39,60,76,75,30,69,10,0,0,BASELINE,14.75
2025-05-17 17:15:00,22,39,54,80,79,30,65,10,0,0,BASELINE,15.0
2025-05-17 17:15:15,43,39,63,84,116,73,75,52,0,0,BASELINE,15.25
2025-05-17 17:15:30,43,41,60,85,128,73,75,52,0,0,BASELINE,15.5
2025-05-17 17:15:45,62,58,74,146,391,46,87,6,0,0,BASELINE,15.75
2025-05-17 17:16:00,65,57,81,153,449,48,92,6,0,0,BASELINE,16.0
2025-05-17 17:16:15,78,46,90,153,427,59,99,57,0,0,BASELINE,16.25
2025-05-17 17:16:30,78,45,90,153,427,58,99,60,0,0,BASELINE,16.5
2025-05-17 17:16:45,10,5,137,195,482,35,164,16,0,0,BASELINE,16.75
2025-05-17 17:17:00,6,4,144,195,484,32,167,19,0,0,BASELINE,17.0
2025-05-17 17:17:15,40,27,129,158,415,70,156,56,0,0,BASELINE,17.25
2025-05-17 17:17:30,41,30,127,151,403,72,156,57,0,0,BASELINE,17.5
2025-05-17 17:17:45,90,95,70,95,130,144,156,28,0,0,BASELINE,17.75
2025-05-17 17:18:00,94,96,63,87,113,150,156,29,0,0,BASELINE,18.0
2025-05-17 17:18:15,117,69,62,83,106,142,156,59,0,0,BASELINE,18.25
