Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,0,10,60,20,0,10,0,0,0,0,CACHE_FILLING,0.0
2025-05-17 17:00:15,0,10,60,20,0,10,0,0,0,0,CACHE_FILLING,0.25
2025-05-17 17:00:30,450,0,100,180,100,370,0,0,0,0,CACHE_FILLING,0.5
2025-05-17 17:00:45,426,3,110,172,99,355,39,108,0,0,CACHE_FILLING,0.75
2025-05-17 17:01:00,455,4,107,168,101,347,37,63,0,0,CACHE_FILLING,1.0
2025-05-17 17:01:15,359,23,140,150,107,265,37,56,0,0,CACHE_FILLING,1.25
2025-05-17 17:01:30,346,25,148,150,100,265,65,59,0,0,CACHE_FILLING,1.5
2025-05-17 17:01:45,266,45,210,87,43,209,193,47,0,0,CACHE_FILLING,1.75
2025-05-17 17:02:00,254,44,206,91,44,191,183,52,0,0,CACHE_FILLING,2.0
2025-05-17 17:02:15,206,42,162,106,60,161,145,97,0,0,CACHE_FILLING,2.25
2025-05-17 17:02:30,206,41,160,104,60,159,139,97,0,0,CACHE_FILLING,2.5
2025-05-17 17:02:45,190,22,26,37,93,99,54,102,0,0,CACHE_FILLING,2.75
2025-05-17 17:03:00,194,21,19,31,99,97,52,110,0,0,CACHE_FILLING,3.0
2025-05-17 17:03:15,210,30,68,49,106,97,80,117,0,0,CACHE_FILLING,3.25
2025-05-17 17:03:30,213,29,68,49,104,96,80,117,0,0,CACHE_FILLING,3.5
2025-05-17 17:03:45,307,13,149,30,43,96,67,196,0,0,CACHE_FILLING,3.75
2025-05-17 17:04:00,304,12,147,39,42,96,73,218,0,0,CACHE_FILLING,4.0
2025-05-17 17:04:15,234,36,136,89,55,96,90,246,0,0,CACHE_FILLING,4.25
2025-05-17 17:04:30,230,39,130,94,55,97,91,246,0,0,CACHE_FILLING,4.5
2025-05-17 17:04:45,119,98,26,298,10,78,147,173,0,0,CACHE_FILLING,4.75
2025-05-17 17:05:00,102,101,30,304,14,79,146,155,0,0,CACHE_FILLING,5.0
2025-05-17 17:05:15,132,95,64,249,51,90,111,135,0,0,CACHE_FILLING,5.25
2025-05-17 17:05:30,132,95,64,247,62,94,111,135,0,0,CACHE_FILLING,5.5
2025-05-17 17:05:45,149,126,103,143,204,203,49,60,0,0,CACHE_FILLING,5.75
2025-05-17 17:06:00,164,127,102,143,205,210,44,61,0,0,CACHE_FILLING,6.0
2025-05-17 17:06:15,217,90,109,130,173,208,81,98,0,0,CACHE_FILLING,6.25
2025-05-17 17:06:30,239,83,108,130,171,209,83,99,0,0,CACHE_FILLING,6.5
2025-05-17 17:06:45,367,20,74,91,114,297,147,80,0,0,CACHE_FILLING,6.75
2025-05-17 17:07:00,378,16,74,87,112,298,144,80,0,0,CACHE_FILLING,7.0
2025-05-17 17:07:15,297,22,86,112,108,228,115,104,0,0,CACHE_FILLING,7.25
2025-05-17 17:07:30,295,24,86,118,108,227,110,106,0,0,CACHE_FILLING,7.5
