Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,550,530,680,1125,1145,630,1120,680,0,0,GC_STRESS,0.0
2025-05-17 17:00:15,550,530,680,1125,1145,630,1120,680,0,0,GC_STRESS,0.25
2025-05-17 17:00:30,550,530,680,1125,1145,630,1120,680,0,0,GC_STRESS,0.5
2025-05-17 17:00:45,905,907,904,2255,2250,925,2310,887,0,0,GC_STRESS,0.75
2025-05-17 17:01:00,1293,1241,1300,2255,2250,1256,2310,1224,0,0,GC_STRESS,1.0
2025-05-17 17:01:15,1410,1352,1415,2272,2277,1329,2337,1329,0,0,GC_STRESS,1.25
2025-05-17 17:01:30,1345,1267,1338,2255,2250,1278,2335,1328,0,0,GC_STRESS,1.5
2025-05-17 17:01:45,1333,1258,1338,1460,1520,1262,1420,1328,0,0,GC_STRESS,1.75
2025-05-17 17:02:00,1127,1006,1168,1460,1520,1086,1420,1074,0,0,GC_STRESS,2.0
2025-05-17 17:02:15,1074,992,1121,1460,1520,1055,1420,1015,0,0,GC_STRESS,2.25
2025-05-17 17:02:30,1031,1029,1107,1468,1612,1075,1511,985,0,0,GC_STRESS,2.5
2025-05-17 17:02:45,1040,1042,1108,1464,1610,1089,1504,988,0,0,GC_STRESS,2.75
2025-05-17 17:03:00,1072,1164,1203,1512,1626,1180,1544,1130,0,0,GC_STRESS,3.0
2025-05-17 17:03:15,1081,1183,1211,1511,1616,1200,1531,1153,0,0,GC_STRESS,3.25
2025-05-17 17:03:30,1081,1198,1220,1524,1558,1194,1544,1139,0,0,GC_STRESS,3.5
2025-05-17 17:03:45,1083,1198,1220,1520,1538,1195,1543,1138,0,0,GC_STRESS,3.75
2025-05-17 17:04:00,1083,1198,1228,1384,1454,1185,1517,1065,0,0,GC_STRESS,4.0
2025-05-17 17:04:15,1092,1200,1242,1373,1480,1190,1529,1068,0,0,GC_STRESS,4.25
2025-05-17 17:04:30,1115,1206,1250,1447,1659,1206,1555,1082,0,0,GC_STRESS,4.5
2025-05-17 17:04:45,1121,1217,1252,1447,1673,1216,1556,1083,0,0,GC_STRESS,4.75
2025-05-17 17:05:00,1224,1318,1320,1800,1868,1325,1775,1242,0,0,GC_STRESS,5.0
2025-05-17 17:05:15,1250,1328,1325,1960,1909,1346,1809,1256,0,0,GC_STRESS,5.25
2025-05-17 17:05:30,1251,1309,1276,1873,1795,1354,1794,1224,0,0,GC_STRESS,5.5
2025-05-17 17:05:45,1216,1304,1270,1869,1766,1359,1792,1224,0,0,GC_STRESS,5.75
2025-05-17 17:06:00,1155,1304,1292,1817,1596,1396,1684,1229,0,0,GC_STRESS,6.0
2025-05-17 17:06:15,1158,1286,1294,1803,1547,1385,1652,1219,0,0,GC_STRESS,6.25
