Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,605,570,625,920,865,685,927,610,0,0,THREADFULL,0.0
2025-05-17 17:00:15,590,740,590,1090,960,710,950,690,0,0,THREADFULL,0.25
2025-05-17 17:00:30,590,740,590,1090,960,710,950,690,0,0,THREADFULL,0.5
2025-05-17 17:00:45,590,783,590,1090,960,710,950,690,0,0,THREADFULL,0.75
2025-05-17 17:01:00,762,829,790,1289,1239,875,1171,866,0,0,THREADFULL,1.0
2025-05-17 17:01:15,762,829,790,1289,1236,861,1171,856,0,0,THREADFULL,1.25
2025-05-17 17:01:30,898,913,935,1466,1347,888,1376,905,0,0,THREADFULL,1.5
2025-05-17 17:01:45,916,945,965,1523,1366,922,1414,929,0,0,THREADFULL,1.75
2025-05-17 17:02:00,968,1008,985,1519,1385,1027,1434,952,0,0,THREADFULL,2.0
2025-05-17 17:02:15,1055,1016,1110,1735,1640,1058,1677,1050,0,0,THREADFULL,2.25
2025-05-17 17:02:30,1055,1246,1110,1735,1640,1246,1677,1050,0,0,THREADFULL,2.5
2025-05-17 17:02:45,1055,1290,1110,1735,1640,1270,1677,1050,0,0,THREADFULL,2.75
2025-05-17 17:03:00,1140,1322,1200,1845,1745,1264,1795,1105,0,0,THREADFULL,3.0
2025-05-17 17:03:15,1200,1322,1230,1900,1780,1105,1790,1100,0,0,THREADFULL,3.25
2025-05-17 17:03:30,1200,1322,1230,1900,1780,1105,1790,1100,0,0,THREADFULL,3.5
2025-05-17 17:03:45,1200,1323,1230,1900,1780,1202,1790,1100,0,0,THREADFULL,3.75
2025-05-17 17:04:00,1155,1322,1235,1759,1576,1300,1739,1125,0,0,THREADFULL,4.0
2025-05-17 17:04:15,1153,1310,1235,1760,1568,1110,1738,1136,0,0,THREADFULL,4.25
2025-05-17 17:04:30,1138,1224,1241,1683,1490,1110,1693,1225,0,0,THREADFULL,4.5
2025-05-17 17:04:45,1127,1190,1230,1640,1486,1110,1667,1246,0,0,THREADFULL,4.75
2025-05-17 17:05:00,1119,1168,1231,1605,1521,1128,1626,1226,0,0,THREADFULL,5.0
2025-05-17 17:05:15,1119,1164,1216,1605,1522,1128,1622,1223,0,0,THREADFULL,5.25
2025-05-17 17:05:30,1104,1094,1132,1605,1615,1127,1630,1158,0,0,THREADFULL,5.5
2025-05-17 17:05:45,1087,1074,1100,1601,1616,1119,1607,1132,0,0,THREADFULL,5.75
2025-05-17 17:06:00,1078,1077,1085,1599,1555,1090,1589,1115,0,0,THREADFULL,6.0
2025-05-17 17:06:15,1065,1074,1079,1596,1554,1078,1580,1100,0,0,THREADFULL,6.25
2025-05-17 17:06:30,956,1039,1035,1597,1449,967,1553,1028,0,0,THREADFULL,6.5
2025-05-17 17:06:45,952,1028,1037,1603,1462,977,1573,1025,0,0,THREADFULL,6.75
2025-05-17 17:07:00,975,1069,1063,1621,1544,1068,1621,1055,0,0,THREADFULL,7.0
2025-05-17 17:07:15,976,1070,1063,1640,1560,1075,1630,1057,0,0,THREADFULL,7.25
2025-05-17 17:07:30,1112,1240,1172,1841,1814,1275,1925,1204,0,0,THREADFULL,7.5
2025-05-17 17:07:45,1146,1272,1187,1969,1854,1307,1965,1220,0,0,THREADFULL,7.75
2025-05-17 17:08:00,1125,1216,1186,1883,1771,1241,1939,1179,0,0,THREADFULL,8.0
2025-05-17 17:08:15,1123,1188,1179,1848,1767,1216,1926,1167,0,0,THREADFULL,8.25
2025-05-17 17:08:30,1080,1084,1032,1725,1725,1140,1846,1131,0,0,THREADFULL,8.5
2025-05-17 17:08:45,1057,1042,1010,1718,1685,1108,1808,1128,0,0,THREADFULL,8.75
2025-05-17 17:09:00,1020,1009,1011,1664,1628,1072,1778,1115,0,0,THREADFULL,9.0
2025-05-17 17:09:15,1011,1000,1010,1650,1623,1065,1755,1112,0,0,THREADFULL,9.25
2025-05-17 17:09:30,937,969,1085,1550,1502,975,1621,1085,0,0,THREADFULL,9.5
2025-05-17 17:09:45,922,965,1088,1508,1482,967,1590,1068,0,0,THREADFULL,9.75
2025-05-17 17:10:00,930,969,1071,1483,1467,973,1510,1056,0,0,THREADFULL,10.0
2025-05-17 17:10:15,927,969,1067,1476,1453,972,1495,1044,0,0,THREADFULL,10.25
2025-05-17 17:10:30,869,952,1003,1360,1373,972,1278,994,0,0,THREADFULL,10.5
2025-05-17 17:10:45,867,957,1004,1341,1362,972,1242,996,0,0,THREADFULL,10.75
2025-05-17 17:11:00,886,981,999,1339,1377,973,1254,1011,0,0,THREADFULL,11.0
2025-05-17 17:11:15,886,982,999,1340,1380,975,1254,1012,0,0,THREADFULL,11.25
2025-05-17 17:11:30,1001,993,986,1391,1490,969,1331,1076,0,0,THREADFULL,11.5
2025-05-17 17:11:45,1014,996,976,1396,1495,962,1324,1090,0,0,THREADFULL,11.75
2025-05-17 17:12:00,993,992,973,1365,1445,946,1315,1044,0,0,THREADFULL,12.0
2025-05-17 17:12:15,983,990,970,1360,1409,940,1313,1032,0,0,THREADFULL,12.25
2025-05-17 17:12:30,882,918,918,1238,1202,857,1271,903,0,0,THREADFULL,12.5
2025-05-17 17:12:45,856,912,923,1221,1196,840,1298,874,0,0,THREADFULL,12.75
2025-05-17 17:13:00,850,940,946,1313,1284,846,1366,878,0,0,THREADFULL,13.0
2025-05-17 17:13:15,847,943,946,1325,1293,850,1372,879,0,0,THREADFULL,13.25
2025-05-17 17:13:30,853,1107,1014,1638,1542,940,1518,948,0,0,THREADFULL,13.5
2025-05-17 17:13:45,856,1129,1035,1688,1555,968,1548,970,0,0,THREADFULL,13.75
2025-05-17 17:14:00,860,1108,1054,1685,1576,1000,1606,1005,0,0,THREADFULL,14.0
2025-05-17 17:14:15,995,1108,1055,1684,1580,1007,1606,1008,0,0,THREADFULL,14.25
2025-05-17 17:14:30,995,1067,1077,1722,1648,1188,1683,1136,0,0,THREADFULL,14.5
2025-05-17 17:14:45,992,1054,1078,1727,1643,1197,1702,1160,0,0,THREADFULL,14.75
2025-05-17 17:15:00,995,1028,1076,1686,1589,1176,1694,1075,0,0,THREADFULL,15.0
2025-05-17 17:15:15,950,1017,1073,1659,1583,1175,1685,1070,0,0,THREADFULL,15.25
2025-05-17 17:15:30,950,934,1055,1477,1571,1166,1512,1070,0,0,THREADFULL,15.5
2025-05-17 17:15:45,950,914,1038,1434,1558,1170,1485,1070,0,0,THREADFULL,15.75
2025-05-17 17:16:00,874,874,1035,1357,1488,1170,1428,991,0,0,THREADFULL,16.0
2025-05-17 17:16:15,872,874,1025,1354,1397,720,1413,982,0,0,THREADFULL,16.25
2025-05-17 17:16:30,770,880,903,1260,1132,720,1192,806,0,0,THREADFULL,16.5
2025-05-17 17:16:45,745,880,866,1222,1095,720,1177,779,0,0,THREADFULL,16.75
2025-05-17 17:17:00,729,872,836,1187,1044,777,1141,744,0,0,THREADFULL,17.0
2025-05-17 17:17:15,729,852,836,1149,1025,777,1133,741,0,0,THREADFULL,17.25
2025-05-17 17:17:30,699,792,835,1090,998,793,1094,717,0,0,THREADFULL,17.5
2025-05-17 17:17:45,681,783,821,1086,995,790,1068,712,0,0,THREADFULL,17.75
2025-05-17 17:18:00,673,755,792,1062,1023,785,1060,721,0,0,THREADFULL,18.0
2025-05-17 17:18:15,610,746,779,1056,1025,769,1058,720,0,0,THREADFULL,18.25
2025-05-17 17:18:30,610,593,638,1009,1041,682,1016,682,0,0,THREADFULL,18.5
2025-05-17 17:18:45,595,571,634,978,1042,670,1012,675,0,0,THREADFULL,18.75
2025-05-17 17:19:00,580,558,662,977,1021,673,1012,661,0,0,THREADFULL,19.0
2025-05-17 17:19:15,560,558,662,973,1020,650,1004,625,0,0,THREADFULL,19.25
2025-05-17 17:19:30,560,521,693,970,934,650,983,625,0,0,THREADFULL,19.5
2025-05-17 17:19:45,560,520,699,968,940,652,971,615,0,0,THREADFULL,19.75
2025-05-17 17:20:00,575,538,705,966,949,615,948,550,0,0,THREADFULL,20.0
2025-05-17 17:20:15,575,541,705,960,948,680,946,630,0,0,THREADFULL,20.25
2025-05-17 17:20:30,629,652,740,872,1034,680,887,630,0,0,THREADFULL,20.5
2025-05-17 17:20:45,654,674,747,871,1045,680,887,646,0,0,THREADFULL,20.75
2025-05-17 17:21:00,685,710,757,883,1051,694,915,648,0,0,THREADFULL,21.0
2025-05-17 17:21:15,689,710,757,884,1054,695,915,650,0,0,THREADFULL,21.25
2025-05-17 17:21:30,783,804,796,1070,1120,742,1019,710,0,0,THREADFULL,21.5
2025-05-17 17:21:45,805,825,798,1116,1150,748,1033,740,0,0,THREADFULL,21.75
2025-05-17 17:22:00,817,821,780,1127,1199,764,1085,755,0,0,THREADFULL,22.0
2025-05-17 17:22:15,818,821,780,1128,1206,765,1094,758,0,0,THREADFULL,22.25
2025-05-17 17:22:30,855,806,814,1163,1346,792,1304,958,0,0,THREADFULL,22.5
2025-05-17 17:22:45,850,792,813,1162,1358,792,1317,977,0,0,THREADFULL,22.75
2025-05-17 17:23:00,818,782,782,1139,1268,752,1264,958,0,0,THREADFULL,23.0
2025-05-17 17:23:15,814,770,776,1134,1225,743,1258,952,0,0,THREADFULL,23.25
2025-05-17 17:23:30,623,654,588,956,945,624,1020,786,0,0,THREADFULL,23.5
2025-05-17 17:23:45,565,636,578,917,922,618,992,768,0,0,THREADFULL,23.75
2025-05-17 17:24:00,564,653,562,922,909,610,940,750,0,0,THREADFULL,24.0
2025-05-17 17:24:15,564,655,562,985,909,611,939,748,0,0,THREADFULL,24.25
2025-05-17 17:24:30,508,714,635,985,979,612,893,746,0,0,THREADFULL,24.5
2025-05-17 17:24:45,505,722,645,940,1006,614,900,744,0,0,THREADFULL,24.75
2025-05-17 17:25:00,544,723,654,860,1025,617,935,744,0,0,THREADFULL,25.0
2025-05-17 17:25:15,544,720,654,880,1030,617,935,744,0,0,THREADFULL,25.25
