Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,914,950,1226,1231,889,961,1251,821,0,0,BASELINE,0.75
2025-05-17 17:01:00,958,957,1279,1288,902,981,1277,825,0,0,BASELINE,1.0
2025-05-17 17:01:15,983,1034,1344,1399,902,994,1389,812,0,0,BASELINE,1.25
2025-05-17 17:01:30,983,1092,1354,1418,884,996,1394,798,0,0,BASELINE,1.5
2025-05-17 17:01:45,926,1196,1510,1611,845,1052,1457,810,0,0,BASELINE,1.75
2025-05-17 17:02:00,916,1209,1561,1648,829,1061,1515,822,0,0,BASELINE,2.0
2025-05-17 17:02:15,951,1095,1555,1631,817,1063,1550,853,0,0,BASELINE,2.25
2025-05-17 17:02:30,953,1011,1561,1629,816,1063,1550,856,0,0,BASELINE,2.5
2025-05-17 17:02:45,1068,888,1599,1584,805,1030,1757,937,0,0,BASELINE,2.75
2025-05-17 17:03:00,1092,844,1609,1588,819,1032,1785,967,0,0,BASELINE,3.0
2025-05-17 17:03:15,1074,904,1615,1660,862,1032,1764,987,0,0,BASELINE,3.25
2025-05-17 17:03:30,1074,958,1615,1680,872,1033,1764,988,0,0,BASELINE,3.5
2025-05-17 17:03:45,1070,1043,1601,1770,1051,1140,1734,1082,0,0,BASELINE,3.75
2025-05-17 17:04:00,1077,1077,1619,1798,1094,1178,1711,1111,0,0,BASELINE,4.0
2025-05-17 17:04:15,1083,1103,1670,1820,1063,1186,1699,1138,0,0,BASELINE,4.25
2025-05-17 17:04:30,1089,1121,1736,1822,1062,1187,1699,1142,0,0,BASELINE,4.5
2025-05-17 17:04:45,1240,1170,1946,1832,1064,1264,1691,1296,0,0,BASELINE,4.75
2025-05-17 17:05:00,1302,1188,2028,1840,1077,1298,1702,1355,0,0,BASELINE,5.0
2025-05-17 17:05:15,1334,1200,2088,1893,1131,1307,1720,1363,0,0,BASELINE,5.25
2025-05-17 17:05:30,1340,1244,2096,1916,1141,1307,1727,1365,0,0,BASELINE,5.5
2025-05-17 17:05:45,1396,1451,2151,2225,1417,1374,2101,1390,0,0,BASELINE,5.75
2025-05-17 17:06:00,1400,1478,2162,2253,1496,1397,2163,1391,0,0,BASELINE,6.0
2025-05-17 17:06:15,1394,1447,2143,2148,1478,1395,2094,1378,0,0,BASELINE,6.25
2025-05-17 17:06:30,1379,1406,2104,2131,1473,1396,2094,1376,0,0,BASELINE,6.5
2025-05-17 17:06:45,1314,1376,2002,2038,1392,1404,1982,1375,0,0,BASELINE,6.75
2025-05-17 17:07:00,1270,1360,1931,2001,1368,1388,1939,1367,0,0,BASELINE,7.0
2025-05-17 17:07:15,1176,1326,1851,1945,1362,1359,1916,1355,0,0,BASELINE,7.25
2025-05-17 17:07:30,1174,1295,1832,1945,1342,1356,1917,1346,0,0,BASELINE,7.5
2025-05-17 17:07:45,1151,1238,1831,1923,1282,1299,1931,1272,0,0,BASELINE,7.75
