Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,5775,5980,9815,9815,5930,5810,9740,5980,0,0,BASELINE,0.0
2025-05-17 17:00:15,5775,5980,9815,9815,5930,5810,9740,5980,0,0,BASELINE,0.25
2025-05-17 17:00:30,6785,3690,5940,11260,6990,6790,11120,6740,0,0,BASELINE,0.5
2025-05-17 17:00:45,6785,3690,5940,11260,6990,6790,11120,6740,0,0,BASELINE,0.75
2025-05-17 17:01:00,6785,3690,5940,11260,6990,6790,11120,6740,0,0,BASELINE,1.0
2025-05-17 17:01:15,6785,7942,10009,11260,6990,6790,11120,6740,0,0,BASELINE,1.25
2025-05-17 17:01:30,10615,10245,17070,17335,10610,10210,17495,10560,0,0,BASELINE,1.5
2025-05-17 17:01:45,10615,10245,17070,17335,10610,10210,17495,10560,0,0,BASELINE,1.75
2025-05-17 17:02:00,10615,10245,17070,17335,10610,10210,17495,10560,0,0,BASELINE,2.0
2025-05-17 17:02:15,10615,10130,17170,17335,10610,10210,17495,10560,0,0,BASELINE,2.25
2025-05-17 17:02:30,9140,10420,15520,15920,9900,9830,15420,9490,0,0,BASELINE,2.5
2025-05-17 17:02:45,9140,10420,15520,15920,9900,9830,15420,9490,0,0,BASELINE,2.75
2025-05-17 17:03:00,9140,9598,15005,15920,9900,9830,15420,9490,0,0,BASELINE,3.0
2025-05-17 17:03:15,8582,9530,14791,14342,9374,9302,14550,9000,0,0,BASELINE,3.25
2025-05-17 17:03:30,8598,9530,14791,14347,9343,9302,14550,9009,0,0,BASELINE,3.5
2025-05-17 17:03:45,8321,8836,14511,14288,9065,8524,14188,8750,0,0,BASELINE,3.75
2025-05-17 17:04:00,8223,8523,14174,14025,8903,8273,14018,8593,0,0,BASELINE,4.0
2025-05-17 17:04:15,7980,8372,13982,13819,8736,8098,13842,8249,0,0,BASELINE,4.25
2025-05-17 17:04:30,7902,8368,13982,13412,8647,8098,13817,8208,0,0,BASELINE,4.5
2025-05-17 17:04:45,7271,7947,13323,13058,8406,7575,13527,7704,0,0,BASELINE,4.75
2025-05-17 17:05:00,7162,7799,12548,12979,8309,7475,13397,7478,0,0,BASELINE,5.0
2025-05-17 17:05:15,7228,7805,12583,12906,8203,7586,13275,7589,0,0,BASELINE,5.25
2025-05-17 17:05:30,7271,7828,12591,12957,8189,7665,13266,7664,0,0,BASELINE,5.5
2025-05-17 17:05:45,7474,7733,12941,12845,8177,7949,13142,7874,0,0,BASELINE,5.75
2025-05-17 17:06:00,7549,7723,13392,12858,8194,8104,13208,7946,0,0,BASELINE,6.0
2025-05-17 17:06:15,7764,7856,13497,13176,8243,8192,13507,8149,0,0,BASELINE,6.25
2025-05-17 17:06:30,7961,7928,13675,13684,8354,8206,13809,8262,0,0,BASELINE,6.5
2025-05-17 17:06:45,8521,8343,14399,14378,8612,8334,14454,8557,0,0,BASELINE,6.75
2025-05-17 17:07:00,8611,8402,14719,14422,8691,8388,14592,8688,0,0,BASELINE,7.0
2025-05-17 17:07:15,8770,8499,14967,14677,8734,8479,14760,8761,0,0,BASELINE,7.25
2025-05-17 17:07:30,8783,8551,14985,14738,8771,8501,14782,8791,0,0,BASELINE,7.5
2025-05-17 17:07:45,8905,8778,14843,15075,8853,8666,14763,8979,0,0,BASELINE,7.75
2025-05-17 17:08:00,8975,8768,14822,15152,8919,8783,14770,9039,0,0,BASELINE,8.0
2025-05-17 17:08:15,9017,8912,14863,15228,9034,8840,14951,9209,0,0,BASELINE,8.25
2025-05-17 17:08:30,9047,8921,15109,15267,9096,8860,15104,9250,0,0,BASELINE,8.5
2025-05-17 17:08:45,9423,9366,15502,15358,9439,9196,15813,9349,0,0,BASELINE,8.75
2025-05-17 17:09:00,9498,9416,15572,15424,9563,9269,16011,9410,0,0,BASELINE,9.0
2025-05-17 17:09:15,9485,9464,15737,15390,9521,9372,15955,9429,0,0,BASELINE,9.25
2025-05-17 17:09:30,9485,9469,15741,15401,9520,9372,15953,9441,0,0,BASELINE,9.5
2025-05-17 17:09:45,9511,9677,15531,15458,9459,9442,15906,9662,0,0,BASELINE,9.75
2025-05-17 17:10:00,9489,9691,15395,15449,9432,9452,15847,9721,0,0,BASELINE,10.0
2025-05-17 17:10:15,9443,9634,15344,15305,9383,9411,15849,9666,0,0,BASELINE,10.25
2025-05-17 17:10:30,9416,9629,15344,15081,9354,9407,15845,9665,0,0,BASELINE,10.5
2025-05-17 17:10:45,9026,9403,15318,14567,9120,8985,15497,9595,0,0,BASELINE,10.75
