Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,140,320,260,180,120,260,120,270,0,0,CACHE_FILLING,0.0
2025-05-17 17:00:15,140,320,260,180,120,260,120,270,0,0,CACHE_FILLING,0.25
2025-05-17 17:00:30,1480,1190,1140,840,890,1040,1090,1100,0,0,CACHE_FILLING,0.5
2025-05-17 17:00:45,1067,1256,1079,788,862,1027,995,1052,0,0,CACHE_FILLING,0.75
2025-05-17 17:01:00,1434,1255,1175,863,871,1043,1155,1080,0,0,CACHE_FILLING,1.0
2025-05-17 17:01:15,1184,1166,1030,826,821,979,952,1050,0,0,CACHE_FILLING,1.25
2025-05-17 17:01:30,1184,1166,1030,825,821,979,952,1050,0,0,CACHE_FILLING,1.5
2025-05-17 17:01:45,964,1112,1004,756,788,915,704,1055,0,0,CACHE_FILLING,1.75
2025-05-17 17:02:00,948,1104,981,750,776,899,687,1054,0,0,CACHE_FILLING,2.0
2025-05-17 17:02:15,924,1098,966,732,751,913,736,1050,0,0,CACHE_FILLING,2.25
2025-05-17 17:02:30,923,1093,966,732,750,914,739,1049,0,0,CACHE_FILLING,2.5
2025-05-17 17:02:45,935,1048,899,736,724,967,806,952,0,0,CACHE_FILLING,2.75
2025-05-17 17:03:00,933,1050,886,741,725,985,824,927,0,0,CACHE_FILLING,3.0
2025-05-17 17:03:15,933,1080,922,752,738,1007,818,927,0,0,CACHE_FILLING,3.25
2025-05-17 17:03:30,935,1090,925,755,746,1009,823,927,0,0,CACHE_FILLING,3.5
2025-05-17 17:03:45,964,1196,1043,849,814,1148,876,1083,0,0,CACHE_FILLING,3.75
2025-05-17 17:04:00,970,1210,1089,855,821,1183,885,1142,0,0,CACHE_FILLING,4.0
2025-05-17 17:04:15,959,1182,1079,854,821,1141,865,1145,0,0,CACHE_FILLING,4.25
2025-05-17 17:04:30,955,1180,1080,854,823,1129,862,1141,0,0,CACHE_FILLING,4.5
2025-05-17 17:04:45,985,1133,1091,794,825,1120,806,1118,0,0,CACHE_FILLING,4.75
2025-05-17 17:05:00,987,1123,1091,782,824,1111,781,1075,0,0,CACHE_FILLING,5.0
2025-05-17 17:05:15,958,1117,1075,806,817,1080,768,1058,0,0,CACHE_FILLING,5.25
2025-05-17 17:05:30,953,1107,1070,806,814,1074,768,1053,0,0,CACHE_FILLING,5.5
2025-05-17 17:05:45,853,919,1026,807,725,985,747,968,0,0,CACHE_FILLING,5.75
2025-05-17 17:06:00,842,919,1009,813,728,981,738,948,0,0,CACHE_FILLING,6.0
2025-05-17 17:06:15,838,931,1019,818,808,982,744,942,0,0,CACHE_FILLING,6.25
2025-05-17 17:06:30,838,932,1015,818,815,985,744,942,0,0,CACHE_FILLING,6.5
2025-05-17 17:06:45,870,959,947,813,795,1082,748,987,0,0,CACHE_FILLING,6.75
2025-05-17 17:07:00,868,955,940,807,796,1107,750,999,0,0,CACHE_FILLING,7.0
2025-05-17 17:07:15,871,961,925,802,787,1064,747,1001,0,0,CACHE_FILLING,7.25
2025-05-17 17:07:30,848,959,916,801,783,1050,738,998,0,0,CACHE_FILLING,7.5
2025-05-17 17:07:45,784,935,884,747,655,870,674,894,0,0,CACHE_FILLING,7.75
2025-05-17 17:08:00,771,917,877,742,646,841,670,868,0,0,CACHE_FILLING,8.0
2025-05-17 17:08:15,803,921,851,708,632,862,676,843,0,0,CACHE_FILLING,8.25
2025-05-17 17:08:30,803,921,843,707,629,863,676,839,0,0,CACHE_FILLING,8.5
2025-05-17 17:08:45,783,916,811,714,562,898,644,837,0,0,CACHE_FILLING,8.75
2025-05-17 17:09:00,765,911,807,710,559,906,645,837,0,0,CACHE_FILLING,9.0
2025-05-17 17:09:15,753,914,790,703,608,899,698,843,0,0,CACHE_FILLING,9.25
2025-05-17 17:09:30,753,914,790,700,610,896,698,843,0,0,CACHE_FILLING,9.5
2025-05-17 17:09:45,635,855,786,654,532,706,575,779,0,0,CACHE_FILLING,9.75
2025-05-17 17:10:00,631,850,786,653,530,679,573,755,0,0,CACHE_FILLING,10.0
2025-05-17 17:10:15,695,871,784,670,587,719,680,748,0,0,CACHE_FILLING,10.25
2025-05-17 17:10:30,697,871,777,670,588,719,680,747,0,0,CACHE_FILLING,10.5
2025-05-17 17:10:45,681,885,661,543,585,714,651,728,0,0,CACHE_FILLING,10.75
2025-05-17 17:11:00,679,886,659,545,594,722,662,728,0,0,CACHE_FILLING,11.0
2025-05-17 17:11:15,738,933,833,583,651,779,689,735,0,0,CACHE_FILLING,11.25
2025-05-17 17:11:30,746,936,836,583,651,779,690,735,0,0,CACHE_FILLING,11.5
