Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,570,575,680,860,875,630,875,680,0,0,GC_STRESS,0.0
2025-05-17 17:00:15,570,575,680,860,875,630,875,680,0,0,GC_STRESS,0.25
2025-05-17 17:00:30,570,575,680,860,875,630,875,680,0,0,GC_STRESS,0.5
2025-05-17 17:00:45,1080,1035,1026,1990,1980,818,2065,887,0,0,GC_STRESS,0.75
2025-05-17 17:01:00,1080,1035,1365,1990,1980,1173,2065,1215,0,0,GC_STRESS,1.0
2025-05-17 17:01:15,1080,1035,1433,1990,1980,1297,2065,1330,0,0,GC_STRESS,1.25
2025-05-17 17:01:30,1080,1035,1335,1990,1980,1286,2065,1334,0,0,GC_STRESS,1.5
2025-05-17 17:01:45,1000,940,1317,1195,1520,1286,1175,1334,0,0,GC_STRESS,1.75
2025-05-17 17:02:00,1000,940,1168,1195,1520,1093,1175,1079,0,0,GC_STRESS,2.0
2025-05-17 17:02:15,1000,940,1107,1195,1520,1073,1175,1013,0,0,GC_STRESS,2.25
2025-05-17 17:02:30,1060,1141,1110,1195,1583,1081,1175,962,0,0,GC_STRESS,2.5
2025-05-17 17:02:45,1064,1141,1113,1530,1582,1089,1530,963,0,0,GC_STRESS,2.75
2025-05-17 17:03:00,1080,1159,1195,1530,1626,1172,1530,1125,0,0,GC_STRESS,3.0
2025-05-17 17:03:15,1087,1176,1206,1530,1626,1195,1530,1157,0,0,GC_STRESS,3.25
2025-05-17 17:03:30,1087,1188,1223,1718,1607,1196,1542,1137,0,0,GC_STRESS,3.5
2025-05-17 17:03:45,1086,1188,1224,1125,1195,1196,1542,1137,0,0,GC_STRESS,3.75
2025-05-17 17:04:00,1083,1188,1232,1320,1410,1192,1508,1081,0,0,GC_STRESS,4.0
2025-05-17 17:04:15,1091,1189,1242,1320,1410,1194,1526,1079,0,0,GC_STRESS,4.25
2025-05-17 17:04:30,1105,1192,1255,1320,1410,1197,1549,1086,0,0,GC_STRESS,4.5
2025-05-17 17:04:45,1105,1214,1265,1528,1648,1198,1554,1088,0,0,GC_STRESS,4.75
2025-05-17 17:05:00,1212,1321,1327,1891,1888,1293,1778,1221,0,0,GC_STRESS,5.0
2025-05-17 17:05:15,1239,1332,1338,1942,1887,1327,1819,1249,0,0,GC_STRESS,5.25
2025-05-17 17:05:30,1236,1318,1306,1857,1777,1328,1781,1230,0,0,GC_STRESS,5.5
2025-05-17 17:05:45,1223,1309,1305,1847,1739,1327,1781,1229,0,0,GC_STRESS,5.75
2025-05-17 17:06:00,1166,1316,1316,1794,1581,1361,1687,1237,0,0,GC_STRESS,6.0
2025-05-17 17:06:15,1154,1301,1317,1776,1562,1348,1654,1226,0,0,GC_STRESS,6.25
2025-05-17 17:06:30,1144,1264,1277,1743,1554,1314,1593,1201,0,0,GC_STRESS,6.5
2025-05-17 17:06:45,1141,1237,1255,1696,1554,1286,1585,1179,0,0,GC_STRESS,6.75
2025-05-17 17:07:00,1141,1178,1130,1491,1520,1137,1407,997,0,0,GC_STRESS,7.0
2025-05-17 17:07:15,1140,1165,1109,1462,1522,1115,1329,943,0,0,GC_STRESS,7.25
2025-05-17 17:07:30,1138,1158,1079,1412,1539,1090,1348,957,0,0,GC_STRESS,7.5
2025-05-17 17:07:45,1123,1155,1077,1390,1536,1088,1348,956,0,0,GC_STRESS,7.75
2025-05-17 17:08:00,1000,1094,1056,1340,1623,1086,1419,971,0,0,GC_STRESS,8.0
2025-05-17 17:08:15,957,1070,1042,1324,1621,1079,1459,971,0,0,GC_STRESS,8.25
2025-05-17 17:08:30,953,1065,1031,1310,1566,1079,1475,977,0,0,GC_STRESS,8.5
2025-05-17 17:08:45,945,1060,1027,1308,1545,1059,1469,975,0,0,GC_STRESS,8.75
2025-05-17 17:09:00,916,1048,994,1323,1396,959,1398,942,0,0,GC_STRESS,9.0
2025-05-17 17:09:15,907,1038,991,1337,1359,936,1386,937,0,0,GC_STRESS,9.25
2025-05-17 17:09:30,893,1034,975,1342,1337,942,1366,939,0,0,GC_STRESS,9.5
2025-05-17 17:09:45,892,1024,973,1336,1332,945,1360,934,0,0,GC_STRESS,9.75
2025-05-17 17:10:00,875,972,937,1260,1268,1027,1308,899,0,0,GC_STRESS,10.0
2025-05-17 17:10:15,871,962,927,1252,1249,1035,1300,889,0,0,GC_STRESS,10.25
2025-05-17 17:10:30,873,952,924,1223,1246,1026,1293,875,0,0,GC_STRESS,10.5
2025-05-17 17:10:45,873,946,919,1221,1249,1022,1291,875,0,0,GC_STRESS,10.75
2025-05-17 17:11:00,814,906,910,1210,1220,933,1291,871,0,0,GC_STRESS,11.0
2025-05-17 17:11:15,801,886,919,1226,1216,925,1291,861,0,0,GC_STRESS,11.25
2025-05-17 17:11:30,811,876,947,1234,1231,935,1291,854,0,0,GC_STRESS,11.5
2025-05-17 17:11:45,811,866,950,925,1236,936,1290,852,0,0,GC_STRESS,11.75
2025-05-17 17:12:00,840,836,952,925,1272,963,1292,834,0,0,GC_STRESS,12.0
2025-05-17 17:12:15,853,851,973,925,1288,973,1315,848,0,0,GC_STRESS,12.25
2025-05-17 17:12:30,912,921,988,925,1382,991,1360,882,0,0,GC_STRESS,12.5
2025-05-17 17:12:45,916,1065,1021,1510,1423,995,1373,886,0,0,GC_STRESS,12.75
2025-05-17 17:13:00,1103,1230,1287,1510,1931,1189,1769,1160,0,0,GC_STRESS,13.0
2025-05-17 17:13:15,1155,1222,1309,1510,1940,1212,1889,1218,0,0,GC_STRESS,13.25
2025-05-17 17:13:30,1130,1201,1247,1510,1812,1180,1781,1203,0,0,GC_STRESS,13.5
2025-05-17 17:13:45,1129,1187,1243,1780,1755,1175,1779,1203,0,0,GC_STRESS,13.75
2025-05-17 17:14:00,1126,1162,1126,1780,1578,1165,1739,1188,0,0,GC_STRESS,14.0
2025-05-17 17:14:15,1124,1161,1113,1780,1566,1163,1726,1182,0,0,GC_STRESS,14.25
2025-05-17 17:14:30,1109,1168,1123,1739,1550,1150,1703,1146,0,0,GC_STRESS,14.5
2025-05-17 17:14:45,1101,1176,1112,1738,1549,1136,1703,1139,0,0,GC_STRESS,14.75
2025-05-17 17:15:00,1017,1191,1121,1756,1562,1090,1703,1088,0,0,GC_STRESS,15.0
2025-05-17 17:15:15,986,1194,1109,1711,1576,1073,1688,1069,0,0,GC_STRESS,15.25
2025-05-17 17:15:30,984,1163,1044,1671,1592,1040,1674,1034,0,0,GC_STRESS,15.5
2025-05-17 17:15:45,981,1118,1011,1634,1605,1035,1668,1030,0,0,GC_STRESS,15.75
2025-05-17 17:16:00,952,1034,869,1452,1706,978,1620,921,0,0,GC_STRESS,16.0
2025-05-17 17:16:15,937,1020,839,1428,1704,961,1575,901,0,0,GC_STRESS,16.25
2025-05-17 17:16:30,908,994,819,1378,1603,959,1534,885,0,0,GC_STRESS,16.5
2025-05-17 17:16:45,907,991,819,1377,1541,960,1518,880,0,0,GC_STRESS,16.75
2025-05-17 17:17:00,915,963,848,1367,1314,959,1316,804,0,0,GC_STRESS,17.0
2025-05-17 17:17:15,909,951,850,1368,1275,952,1273,795,0,0,GC_STRESS,17.25
2025-05-17 17:17:30,879,929,834,1363,1248,946,1280,791,0,0,GC_STRESS,17.5
2025-05-17 17:17:45,852,917,826,1359,1241,928,1276,791,0,0,GC_STRESS,17.75
2025-05-17 17:18:00,702,825,815,1323,1179,810,1275,809,0,0,GC_STRESS,18.0
2025-05-17 17:18:15,701,816,804,1302,1168,794,1283,818,0,0,GC_STRESS,18.25
2025-05-17 17:18:30,666,799,783,1281,1168,806,1297,816,0,0,GC_STRESS,18.5
2025-05-17 17:18:45,667,799,781,1282,1170,806,1299,816,0,0,GC_STRESS,18.75
2025-05-17 17:19:00,689,771,725,1166,1222,841,1295,816,0,0,GC_STRESS,19.0
2025-05-17 17:19:15,694,769,715,1148,1245,847,1295,817,0,0,GC_STRESS,19.25
2025-05-17 17:19:30,693,764,745,1105,1247,821,1276,818,0,0,GC_STRESS,19.5
2025-05-17 17:19:45,694,767,751,1104,1248,815,1276,821,0,0,GC_STRESS,19.75
2025-05-17 17:20:00,721,771,831,1001,1251,736,1191,846,0,0,GC_STRESS,20.0
2025-05-17 17:20:15,730,773,826,979,1260,730,1143,852,0,0,GC_STRESS,20.25
2025-05-17 17:20:30,738,773,800,965,1264,714,1129,857,0,0,GC_STRESS,20.5
2025-05-17 17:20:45,736,774,795,969,1260,714,1129,847,0,0,GC_STRESS,20.75
2025-05-17 17:21:00,736,784,715,1053,1211,841,1110,759,0,0,GC_STRESS,21.0
2025-05-17 17:21:15,737,784,720,1061,1205,845,1105,738,0,0,GC_STRESS,21.25
2025-05-17 17:21:30,738,780,710,1054,1177,825,1088,741,0,0,GC_STRESS,21.5
2025-05-17 17:21:45,740,780,707,1055,1165,825,1088,739,0,0,GC_STRESS,21.75
2025-05-17 17:22:00,791,788,717,1076,1055,761,1012,707,0,0,GC_STRESS,22.0
2025-05-17 17:22:15,791,786,719,1071,1032,742,990,701,0,0,GC_STRESS,22.25
2025-05-17 17:22:30,791,773,744,1057,1017,745,953,715,0,0,GC_STRESS,22.5
2025-05-17 17:22:45,787,767,747,1052,1020,742,953,713,0,0,GC_STRESS,22.75
2025-05-17 17:23:00,699,642,822,981,1113,742,968,710,0,0,GC_STRESS,23.0
2025-05-17 17:23:15,686,642,820,962,1121,740,974,708,0,0,GC_STRESS,23.25
2025-05-17 17:23:30,671,654,795,958,1129,740,973,703,0,0,GC_STRESS,23.5
2025-05-17 17:23:45,669,667,793,959,1129,739,976,703,0,0,GC_STRESS,23.75
2025-05-17 17:24:00,654,763,719,1046,1099,703,1007,703,0,0,GC_STRESS,24.0
2025-05-17 17:24:15,650,758,713,1051,1066,693,1005,703,0,0,GC_STRESS,24.25
2025-05-17 17:24:30,659,772,725,1031,1047,675,998,703,0,0,GC_STRESS,24.5
2025-05-17 17:24:45,660,780,719,1027,1046,672,997,702,0,0,GC_STRESS,24.75
2025-05-17 17:25:00,702,866,672,901,1047,661,974,723,0,0,GC_STRESS,25.0
2025-05-17 17:25:15,704,868,670,896,1048,648,979,726,0,0,GC_STRESS,25.25
2025-05-17 17:25:30,697,848,678,924,1042,658,981,721,0,0,GC_STRESS,25.5
2025-05-17 17:25:45,696,834,679,937,1044,659,987,721,0,0,GC_STRESS,25.75
2025-05-17 17:26:00,621,764,686,1066,1123,656,1097,760,0,0,GC_STRESS,26.0
2025-05-17 17:26:15,601,753,692,1074,1128,654,1117,772,0,0,GC_STRESS,26.25
2025-05-17 17:26:30,607,729,675,1071,1128,655,1122,767,0,0,GC_STRESS,26.5
2025-05-17 17:26:45,607,716,674,1073,1128,655,1127,763,0,0,GC_STRESS,26.75
2025-05-17 17:27:00,643,590,673,1199,1126,648,1153,721,0,0,GC_STRESS,27.0
2025-05-17 17:27:15,652,595,676,1209,1118,651,1156,708,0,0,GC_STRESS,27.25
2025-05-17 17:27:30,648,616,682,1201,1123,660,1151,699,0,0,GC_STRESS,27.5
2025-05-17 17:27:45,648,636,688,1192,1123,660,1151,691,0,0,GC_STRESS,27.75
2025-05-17 17:28:00,647,758,732,1107,1125,730,1140,598,0,0,GC_STRESS,28.0
2025-05-17 17:28:15,649,763,742,1079,1133,742,1133,577,0,0,GC_STRESS,28.25
2025-05-17 17:28:30,615,779,762,1060,1129,765,1127,577,0,0,GC_STRESS,28.5
2025-05-17 17:28:45,625,773,763,980,1045,667,985,577,0,0,GC_STRESS,28.75
2025-05-17 17:29:00,625,731,763,980,1045,667,985,597,0,0,GC_STRESS,29.0
2025-05-17 17:29:15,625,726,765,980,1045,667,985,601,0,0,GC_STRESS,29.25
2025-05-17 17:29:30,625,716,750,980,1045,667,985,600,0,0,GC_STRESS,29.5
2025-05-17 17:29:45,760,655,660,990,1170,840,1050,530,0,0,GC_STRESS,29.75
2025-05-17 17:30:00,760,655,660,990,1170,840,1050,530,0,0,GC_STRESS,30.0
2025-05-17 17:30:15,760,655,660,990,1170,840,1050,530,0,0,GC_STRESS,30.25
2025-05-17 17:30:30,743,655,660,990,1154,815,1071,530,0,0,GC_STRESS,30.5
2025-05-17 17:30:45,1055,1025,1150,1935,1830,1092,1720,935,0,0,GC_STRESS,30.75
2025-05-17 17:31:00,1055,1025,1150,1935,1830,1092,1720,935,0,0,GC_STRESS,31.0
2025-05-17 17:31:15,1055,1025,1150,1935,1830,1092,1720,935,0,0,GC_STRESS,31.25
2025-05-17 17:31:30,1055,1430,1150,1935,1830,1550,1720,935,0,0,GC_STRESS,31.5
2025-05-17 17:31:45,1230,1380,1480,2210,2180,1490,2300,945,0,0,GC_STRESS,31.75
2025-05-17 17:32:00,1230,1380,1480,2210,2180,1490,2300,945,0,0,GC_STRESS,32.0
2025-05-17 17:32:15,1230,893,1050,2210,2180,1174,2300,945,0,0,GC_STRESS,32.25
2025-05-17 17:32:30,1016,886,1050,1636,1505,1160,1691,1280,0,0,GC_STRESS,32.5
2025-05-17 17:32:45,1018,886,820,1055,1505,1160,1694,840,0,0,GC_STRESS,32.75
2025-05-17 17:33:00,817,878,820,1055,1399,1032,1500,840,0,0,GC_STRESS,33.0
2025-05-17 17:33:15,785,870,820,1055,1426,1024,1385,828,0,0,GC_STRESS,33.25
2025-05-17 17:33:30,687,806,815,1055,1296,945,1295,781,0,0,GC_STRESS,33.5
2025-05-17 17:33:45,645,807,660,1290,1100,929,1294,781,0,0,GC_STRESS,33.75
2025-05-17 17:34:00,700,853,660,1290,1220,833,1291,781,0,0,GC_STRESS,34.0
2025-05-17 17:34:15,700,856,660,1290,1220,812,1291,777,0,0,GC_STRESS,34.25
2025-05-17 17:34:30,700,842,660,1201,1220,790,1292,758,0,0,GC_STRESS,34.5
2025-05-17 17:34:45,682,836,840,1201,1272,788,1295,756,0,0,GC_STRESS,34.75
2025-05-17 17:35:00,778,766,840,1193,1414,766,1387,724,0,0,GC_STRESS,35.0
2025-05-17 17:35:15,786,751,840,1206,1431,758,1393,716,0,0,GC_STRESS,35.25
2025-05-17 17:35:30,781,721,840,1222,1415,778,1367,710,0,0,GC_STRESS,35.5
2025-05-17 17:35:45,782,720,841,1229,1415,785,1362,709,0,0,GC_STRESS,35.75
2025-05-17 17:36:00,887,763,890,1292,1365,1022,1284,756,0,0,GC_STRESS,36.0
2025-05-17 17:36:15,891,769,895,1337,1341,1071,1274,768,0,0,GC_STRESS,36.25
2025-05-17 17:36:30,821,766,893,1341,1297,1031,1303,761,0,0,GC_STRESS,36.5
2025-05-17 17:36:45,817,767,892,1343,1287,1031,1304,761,0,0,GC_STRESS,36.75
2025-05-17 17:37:00,671,787,891,1412,1293,851,1371,775,0,0,GC_STRESS,37.0
2025-05-17 17:37:15,650,786,886,1414,1284,802,1374,774,0,0,GC_STRESS,37.25
