Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,380,220,140,290,100,210,295,160,0,0,THREADFULL,0.0
2025-05-17 17:00:15,470,490,370,380,370,360,340,400,0,0,THREADFULL,0.25
2025-05-17 17:00:30,470,490,370,380,370,360,340,400,0,0,THREADFULL,0.5
2025-05-17 17:00:45,470,732,572,380,516,594,340,702,0,0,THREADFULL,0.75
2025-05-17 17:01:00,742,906,687,568,654,828,536,766,0,0,THREADFULL,1.0
2025-05-17 17:01:15,1035,906,687,895,654,835,825,768,0,0,THREADFULL,1.25
2025-05-17 17:01:30,1035,1195,835,895,928,1105,825,1134,0,0,THREADFULL,1.5
2025-05-17 17:01:45,1035,1215,881,895,941,1093,825,1188,0,0,THREADFULL,1.75
2025-05-17 17:02:00,1035,1162,896,895,866,1106,825,1151,0,0,THREADFULL,2.0
2025-05-17 17:02:15,840,1162,896,770,865,1105,650,1151,0,0,THREADFULL,2.25
2025-05-17 17:02:30,840,1064,886,770,664,976,650,968,0,0,THREADFULL,2.5
2025-05-17 17:02:45,840,1066,883,770,647,960,650,933,0,0,THREADFULL,2.75
2025-05-17 17:03:00,873,1105,892,758,661,963,698,931,0,0,THREADFULL,3.0
2025-05-17 17:03:15,873,1105,895,758,661,964,698,932,0,0,THREADFULL,3.25
2025-05-17 17:03:30,826,1214,986,753,712,986,707,986,0,0,THREADFULL,3.5
2025-05-17 17:03:45,812,1201,1027,742,707,996,735,1008,0,0,THREADFULL,3.75
2025-05-17 17:04:00,813,1161,1057,720,698,989,773,1019,0,0,THREADFULL,4.0
2025-05-17 17:04:15,813,1152,1056,723,698,990,774,1019,0,0,THREADFULL,4.25
2025-05-17 17:04:30,858,1054,988,627,593,1073,752,1008,0,0,THREADFULL,4.5
2025-05-17 17:04:45,868,1059,979,596,593,1097,748,1004,0,0,THREADFULL,4.75
2025-05-17 17:05:00,873,1088,971,610,628,1081,755,1012,0,0,THREADFULL,5.0
2025-05-17 17:05:15,873,1092,978,610,629,1077,756,1012,0,0,THREADFULL,5.25
2025-05-17 17:05:30,1014,1089,1020,705,655,983,726,1012,0,0,THREADFULL,5.5
2025-05-17 17:05:45,1066,1109,1052,741,711,970,728,1012,0,0,THREADFULL,5.75
2025-05-17 17:06:00,1086,1177,1095,797,820,971,776,1012,0,0,THREADFULL,6.0
2025-05-17 17:06:15,1086,1181,1108,797,820,971,789,1012,0,0,THREADFULL,6.25
2025-05-17 17:06:30,1329,1762,1544,1223,1223,1838,1312,1386,0,0,THREADFULL,6.5
2025-05-17 17:06:45,1332,1785,1590,1219,1227,1500,1307,1452,0,0,THREADFULL,6.75
2025-05-17 17:07:00,1165,1410,1243,945,921,1500,1044,1275,0,0,THREADFULL,7.0
2025-05-17 17:07:15,1108,1401,1220,680,916,980,1044,1266,0,0,THREADFULL,7.25
2025-05-17 17:07:30,861,1121,928,680,805,980,874,1144,0,0,THREADFULL,7.5
2025-05-17 17:07:45,844,1124,897,680,797,980,842,1102,0,0,THREADFULL,7.75
2025-05-17 17:08:00,744,1061,850,677,704,958,760,996,0,0,THREADFULL,8.0
2025-05-17 17:08:15,744,1058,849,470,697,660,754,981,0,0,THREADFULL,8.25
