Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-07-16 23:28:00,550,530,680,790,770,630,820,680,0,0
2025-07-16 23:28:15,550,530,680,790,770,630,820,680,0,0
2025-07-16 23:28:30,550,530,680,790,770,630,820,680,0,0
2025-07-16 23:28:45,1570,1450,1500,3050,2980,1460,3200,1540,0,0
2025-07-16 23:29:00,1570,1450,1500,3050,2980,1460,3200,1540,0,0
2025-07-16 23:29:15,1570,1450,1500,3050,2980,1460,3200,1540,0,0
2025-07-16 23:29:30,1570,1450,1500,3050,2980,1460,3200,1540,0,0
2025-07-16 23:29:45,1000,940,1050,1460,1520,1030,1420,910,0,0
2025-07-16 23:30:00,1000,940,1050,1460,1520,1030,1420,910,0,0
2025-07-16 23:30:15,1000,940,1050,1460,1520,1030,1420,910,0,0
2025-07-16 23:30:30,1000,940,1050,1460,1520,1030,1420,910,0,0
2025-07-16 23:30:45,1080,1180,1210,1530,1630,1190,1530,1150,0,0
2025-07-16 23:31:00,1080,1180,1210,1530,1630,1190,1530,1150,0,0
2025-07-16 23:31:15,1080,1180,1210,1530,1630,1190,1530,1150,0,0
2025-07-16 23:31:30,1080,1180,1210,1530,1630,1190,1530,1150,0,0
2025-07-16 23:31:45,1070,1180,1230,1320,1410,1170,1470,1040,0,0
2025-07-16 23:32:00,1070,1180,1230,1320,1410,1170,1470,1040,0,0
2025-07-16 23:32:15,1070,1180,1230,1320,1410,1170,1470,1040,0,0
2025-07-16 23:32:30,1070,1180,1230,1320,1410,1170,1470,1040,0,0
2025-07-16 23:32:45,1270,1350,1350,1980,1950,1360,1870,1280,0,0
2025-07-16 23:33:00,1270,1350,1350,1980,1950,1360,1870,1280,0,0
2025-07-16 23:33:15,1270,1350,1350,1980,1950,1360,1870,1280,0,0
2025-07-16 23:33:30,1270,1350,1350,1980,1950,1360,1870,1280,0,0
2025-07-16 23:33:45,1170,1310,1320,1810,1560,1420,1680,1260,0,0
2025-07-16 23:34:00,1170,1310,1320,1810,1560,1420,1680,1260,0,0
2025-07-16 23:34:15,1170,1310,1320,1810,1560,1420,1680,1260,0,0
2025-07-16 23:34:30,1170,1310,1320,1810,1560,1420,1680,1260,0,0
2025-07-16 23:34:45,1170,1160,1120,1470,1490,1110,1270,920,0,0
2025-07-16 23:35:00,1170,1160,1120,1470,1490,1110,1270,920,0,0
2025-07-16 23:35:15,1170,1160,1120,1470,1490,1110,1270,920,0,0
2025-07-16 23:35:30,1170,1160,1120,1470,1490,1110,1270,920,0,0
2025-07-16 23:35:45,960,1090,1040,1310,1660,1110,1460,980,0,0
2025-07-16 23:36:00,960,1090,1040,1310,1660,1110,1460,980,0,0
2025-07-16 23:36:15,960,1090,1040,1310,1660,1110,1460,980,0,0
2025-07-16 23:36:30,960,1090,1040,1310,1660,1110,1460,980,0,0
2025-07-16 23:36:45,910,1040,990,1320,1350,890,1390,940,0,0
2025-07-16 23:37:00,910,1040,990,1320,1350,890,1390,940,0,0
2025-07-16 23:37:15,910,1040,990,1320,1350,890,1390,940,0,0
2025-07-16 23:37:30,910,1040,990,1320,1350,890,1390,940,0,0
2025-07-16 23:37:45,870,960,930,1260,1220,1060,1290,890,0,0
2025-07-16 23:38:00,870,960,930,1260,1220,1060,1290,890,0,0
2025-07-16 23:38:15,870,960,930,1260,1220,1060,1290,890,0,0
2025-07-16 23:38:30,870,960,930,1260,1220,1060,1290,890,0,0
2025-07-16 23:38:45,780,890,900,1200,1210,890,1290,870,0,0
2025-07-16 23:39:00,780,890,900,1200,1210,890,1290,870,0,0
2025-07-16 23:39:15,780,890,900,1200,1210,890,1290,870,0,0
2025-07-16 23:39:30,780,890,900,1200,1210,890,1290,870,0,0
2025-07-16 23:39:45,850,810,900,920,1260,950,1220,780,0,0
2025-07-16 23:40:00,850,810,900,920,1260,950,1220,780,0,0
2025-07-16 23:40:15,850,810,900,920,1260,950,1220,780,0,0
2025-07-16 23:40:30,850,810,900,920,1260,950,1220,780,0,0
2025-07-16 23:40:45,1170,1260,1350,2090,2030,1250,1900,1270,0,0
2025-07-16 23:41:00,1170,1260,1350,2090,2030,1250,1900,1270,0,0
2025-07-16 23:41:15,1170,1260,1350,2090,2030,1250,1900,1270,0,0
2025-07-16 23:41:30,1170,1260,1350,2090,2030,1250,1900,1270,0,0
2025-07-16 23:41:45,1170,1150,1110,1780,1540,1180,1750,1210,0,0
2025-07-16 23:42:00,1170,1150,1110,1780,1540,1180,1750,1210,0,0
2025-07-16 23:42:15,1170,1150,1110,1780,1540,1180,1750,1210,0,0
2025-07-16 23:42:30,1170,1150,1110,1780,1540,1180,1750,1210,0,0
2025-07-16 23:42:45,1000,1220,1140,1790,1560,1100,1730,1100,0,0
2025-07-16 23:43:00,1000,1220,1140,1790,1560,1100,1730,1100,0,0
2025-07-16 23:43:15,1000,1220,1140,1790,1560,1100,1730,1100,0,0
2025-07-16 23:43:30,1000,1220,1140,1790,1560,1100,1730,1100,0,0
2025-07-16 23:43:45,950,1020,830,1440,1760,960,1620,900,0,0
2025-07-16 23:44:00,950,1020,830,1440,1760,960,1620,900,0,0
2025-07-16 23:44:15,950,1020,830,1440,1760,960,1620,900,0,0
2025-07-16 23:44:30,950,1020,830,1440,1760,960,1620,900,0,0
2025-07-16 23:44:45,940,960,860,1370,1240,970,1280,790,0,0
2025-07-16 23:45:00,940,960,860,1370,1240,970,1280,790,0,0
2025-07-16 23:45:15,940,960,860,1370,1240,970,1280,790,0,0
2025-07-16 23:45:30,940,960,860,1370,1240,970,1280,790,0,0
2025-07-16 23:45:45,660,820,810,1310,1160,790,1270,810,0,0
2025-07-16 23:46:00,660,820,810,1310,1160,790,1270,810,0,0
2025-07-16 23:46:15,660,820,810,1310,1160,790,1270,810,0,0
2025-07-16 23:46:30,660,820,810,1310,1160,790,1270,810,0,0
2025-07-16 23:46:45,700,760,710,1160,1250,850,1310,810,0,0
2025-07-16 23:47:00,700,760,710,1160,1250,850,1310,810,0,0
2025-07-16 23:47:15,700,760,710,1160,1250,850,1310,810,0,0
2025-07-16 23:47:30,700,760,710,1160,1250,850,1310,810,0,0
2025-07-16 23:47:45,730,770,840,980,1260,710,1150,860,0,0
2025-07-16 23:48:00,730,770,840,980,1260,710,1150,860,0,0
2025-07-16 23:48:15,730,770,840,980,1260,710,1150,860,0,0
2025-07-16 23:48:30,730,770,840,980,1260,710,1150,860,0,0
2025-07-16 23:48:45,730,790,700,1070,1200,870,1110,740,0,0
2025-07-16 23:49:00,730,790,700,1070,1200,870,1110,740,0,0
2025-07-16 23:49:15,730,790,700,1070,1200,870,1110,740,0,0
2025-07-16 23:49:30,730,790,700,1070,1200,870,1110,740,0,0
2025-07-16 23:49:45,800,800,710,1090,1030,730,990,690,0,0
2025-07-16 23:50:00,800,800,710,1090,1030,730,990,690,0,0
2025-07-16 23:50:15,800,800,710,1090,1030,730,990,690,0,0
2025-07-16 23:50:30,800,800,710,1090,1030,730,990,690,0,0
2025-07-16 23:50:45,680,640,830,960,1120,730,960,710,0,0
2025-07-16 23:51:00,680,640,830,960,1120,730,960,710,0,0
2025-07-16 23:51:15,680,640,830,960,1120,730,960,710,0,0
2025-07-16 23:51:30,680,640,830,960,1120,730,960,710,0,0
2025-07-16 23:51:45,640,770,710,1060,1090,700,1010,710,0,0
2025-07-16 23:52:00,640,770,710,1060,1090,700,1010,710,0,0
2025-07-16 23:52:15,640,770,710,1060,1090,700,1010,710,0,0
2025-07-16 23:52:30,640,770,710,1060,1090,700,1010,710,0,0
2025-07-16 23:52:45,720,890,660,870,1050,630,970,730,0,0
2025-07-16 23:53:00,720,890,660,870,1050,630,970,730,0,0
2025-07-16 23:53:15,720,890,660,870,1050,630,970,730,0,0
2025-07-16 23:53:30,720,890,660,870,1050,630,970,730,0,0
2025-07-16 23:53:45,590,750,690,1080,1140,660,1130,770,0,0
2025-07-16 23:54:00,590,750,690,1080,1140,660,1130,770,0,0
2025-07-16 23:54:15,590,750,690,1080,1140,660,1130,770,0,0
2025-07-16 23:54:30,590,750,690,1080,1140,660,1130,770,0,0
2025-07-16 23:54:45,650,580,670,1220,1130,640,1180,710,0,0
2025-07-16 23:55:00,650,580,670,1220,1130,640,1180,710,0,0
2025-07-16 23:55:15,650,580,670,1220,1130,640,1180,710,0,0
2025-07-16 23:55:30,650,580,670,1220,1130,640,1180,710,0,0
2025-07-16 23:55:45,640,770,740,1090,1140,740,1130,580,0,0
2025-07-16 23:56:00,640,770,740,1090,1140,740,1130,580,0,0
2025-07-16 23:56:15,640,770,740,1090,1140,740,1130,580,0,0
2025-07-16 23:56:30,640,770,740,1090,1140,740,1130,580,0,0
2025-07-16 23:56:45,660,720,770,1030,1110,700,1040,600,0,0
2025-07-16 23:57:00,660,720,770,1030,1110,700,1040,600,0,0
2025-07-16 23:57:15,660,720,770,1030,1110,700,1040,600,0,0
2025-07-16 23:57:30,660,720,770,1030,1110,700,1040,600,0,0
2025-07-16 23:57:45,760,690,700,1050,1170,840,1050,450,0,0
2025-07-16 23:58:00,760,690,700,1050,1170,840,1050,450,0,0
2025-07-16 23:58:15,760,690,700,1050,1170,840,1050,450,0,0
2025-07-16 23:58:30,760,690,700,1050,1170,840,1050,450,0,0
2025-07-16 23:58:45,1520,1430,1680,2940,2680,1550,2510,1260,0,0
2025-07-16 23:59:00,1520,1430,1680,2940,2680,1550,2510,1260,0,0
2025-07-16 23:59:15,1520,1430,1680,2940,2680,1550,2510,1260,0,0
2025-07-16 23:59:30,1520,1430,1680,2940,2680,1550,2510,1260,0,0
2025-07-16 23:59:45,1230,1380,1480,2210,2180,1490,2300,1280,0,0
2025-07-17 00:00:00,1230,1380,1480,2210,2180,1490,2300,1280,0,0
2025-07-17 00:00:15,1230,1380,1480,2210,2180,1490,2300,1280,0,0
2025-07-17 00:00:30,1230,1380,1480,2210,2180,1490,2300,1280,0,0
2025-07-17 00:00:45,710,830,820,1180,1340,1000,1250,840,0,0
2025-07-17 00:01:00,710,830,820,1180,1340,1000,1250,840,0,0
2025-07-17 00:01:15,710,830,820,1180,1340,1000,1250,840,0,0
2025-07-17 00:01:30,710,830,820,1180,1340,1000,1250,840,0,0
2025-07-17 00:01:45,700,870,700,1290,1220,830,1250,780,0,0
2025-07-17 00:02:00,700,870,700,1290,1220,830,1250,780,0,0
2025-07-17 00:02:15,700,870,700,1290,1220,830,1250,780,0,0
2025-07-17 00:02:30,700,870,700,1290,1220,830,1250,780,0,0
2025-07-17 00:02:45,790,750,840,1190,1480,740,1440,720,0,0
2025-07-17 00:03:00,790,750,840,1190,1480,740,1440,720,0,0
2025-07-17 00:03:15,790,750,840,1190,1480,740,1440,720,0,0
2025-07-17 00:03:30,790,750,840,1190,1480,740,1440,720,0,0
2025-07-17 00:03:45,950,770,900,1340,1390,1130,1240,770,0,0
2025-07-17 00:04:00,950,770,900,1340,1390,1130,1240,770,0,0
2025-07-17 00:04:15,950,770,900,1340,1390,1130,1240,770,0,0
2025-07-17 00:04:30,950,770,900,1340,1390,1130,1240,770,0,0
2025-07-17 00:04:45,620,800,900,1450,1270,810,1410,780,0,0
2025-07-17 00:05:00,620,800,900,1450,1270,810,1410,780,0,0
2025-07-17 00:05:15,620,800,900,1450,1270,810,1410,780,0,0
2025-07-17 00:05:30,620,800,900,1450,1270,810,1410,780,0,0
2025-07-17 00:05:45,790,780,790,1280,1310,860,1330,710,0,0
2025-07-17 00:06:00,790,780,790,1280,1310,860,1330,710,0,0
2025-07-17 00:06:15,790,780,790,1280,1310,860,1330,710,0,0
2025-07-17 00:06:30,790,780,790,1280,1310,860,1330,710,0,0
2025-07-17 00:06:45,710,590,600,870,1000,590,990,670,0,0
2025-07-17 00:07:00,710,590,600,870,1000,590,990,670,0,0
2025-07-17 00:07:15,710,590,600,870,1000,590,990,670,0,0
2025-07-17 00:07:30,710,590,600,870,1000,590,990,670,0,0
2025-07-17 00:07:45,520,510,560,870,810,550,800,440,0,0
2025-07-17 00:08:00,520,510,560,870,810,550,800,440,0,0
2025-07-17 00:08:15,520,510,560,870,810,550,800,440,0,0
2025-07-17 00:08:30,520,510,560,870,810,550,800,440,0,0
2025-07-17 00:08:45,740,640,700,1060,1150,630,1050,670,0,0
2025-07-17 00:09:00,740,640,700,1060,1150,630,1050,670,0,0
2025-07-17 00:09:15,740,640,700,1060,1150,630,1050,670,0,0
2025-07-17 00:09:30,740,640,700,1060,1150,630,1050,670,0,0
2025-07-17 00:09:45,420,600,550,930,1050,690,1040,590,0,0
2025-07-17 00:10:00,420,600,550,930,1050,690,1040,590,0,0
2025-07-17 00:10:15,420,600,550,930,1050,690,1040,590,0,0
2025-07-17 00:10:30,420,600,550,930,1050,690,1040,590,0,0
2025-07-17 00:10:45,630,480,640,650,860,580,860,570,0,0
2025-07-17 00:11:00,630,480,640,650,860,580,860,570,0,0
