Time,"cpu 0","cpu 1","cpu 2","cpu 3","cpu 4","cpu 5","cpu 6","cpu 7","cpu 8","cpu 9"
2025-07-16 06:07:30,450,570,480,530,560,490,670,420,0,0
2025-07-16 06:07:45,590,740,590,1090,960,710,950,690,0,0
2025-07-16 06:08:00,590,740,590,1090,960,710,950,690,0,0
2025-07-16 06:08:15,590,740,590,1090,960,710,950,690,0,0
2025-07-16 06:08:30,590,740,590,1090,960,710,950,690,0,0
2025-07-16 06:08:45,930,910,950,1530,1380,880,1420,910,0,0
2025-07-16 06:09:00,930,910,950,1530,1380,880,1420,910,0,0
2025-07-16 06:09:15,930,910,950,1530,1380,880,1420,910,0,0
2025-07-16 06:09:30,930,910,950,1530,1380,880,1420,910,0,0
2025-07-16 06:09:45,1350,1350,1450,2160,2110,1270,2170,1300,0,0
2025-07-16 06:10:00,1350,1350,1450,2160,2110,1270,2170,1300,0,0
2025-07-16 06:10:15,1350,1350,1450,2160,2110,1270,2170,1300,0,0
2025-07-16 06:10:30,1350,1350,1450,2160,2110,1270,2170,1300,0,0
2025-07-16 06:10:45,1200,1350,1230,1900,1780,1330,1790,1100,0,0
2025-07-16 06:11:00,1200,1350,1230,1900,1780,1330,1790,1100,0,0
2025-07-16 06:11:15,1200,1350,1230,1900,1780,1330,1790,1100,0,0
2025-07-16 06:11:30,1200,1350,1230,1900,1780,1330,1790,1100,0,0
2025-07-16 06:11:45,1130,1180,1260,1600,1470,1110,1680,1280,0,0
2025-07-16 06:12:00,1130,1180,1260,1600,1470,1110,1680,1280,0,0
2025-07-16 06:12:15,1130,1180,1260,1600,1470,1110,1680,1280,0,0
2025-07-16 06:12:30,1130,1180,1260,1600,1470,1110,1680,1280,0,0
2025-07-16 06:12:45,1110,1080,1100,1600,1650,1140,1600,1120,0,0
2025-07-16 06:13:00,1110,1080,1100,1600,1650,1140,1600,1120,0,0
2025-07-16 06:13:15,1110,1080,1100,1600,1650,1140,1600,1120,0,0
2025-07-16 06:13:30,1110,1080,1100,1600,1650,1140,1600,1120,0,0
2025-07-16 06:13:45,920,1000,1010,1570,1410,930,1540,1000,0,0
2025-07-16 06:14:00,920,1000,1010,1570,1410,930,1540,1000,0,0
2025-07-16 06:14:15,920,1000,1010,1570,1410,930,1540,1000,0,0
2025-07-16 06:14:30,920,1000,1010,1570,1410,930,1540,1000,0,0
2025-07-16 06:14:45,1170,1320,1250,1990,1910,1330,2060,1250,0,0
2025-07-16 06:15:00,1170,1320,1250,1990,1910,1330,2060,1250,0,0
2025-07-16 06:15:15,1170,1320,1250,1990,1910,1330,2060,1250,0,0
2025-07-16 06:15:30,1170,1320,1250,1990,1910,1330,2060,1250,0,0
2025-07-16 06:15:45,1070,1010,990,1720,1710,1120,1830,1130,0,0
2025-07-16 06:16:00,1070,1010,990,1720,1710,1120,1830,1130,0,0
2025-07-16 06:16:15,1070,1010,990,1720,1710,1120,1830,1130,0,0
2025-07-16 06:16:30,1070,1010,990,1720,1710,1120,1830,1130,0,0
2025-07-16 06:16:45,920,970,1120,1530,1480,960,1580,1100,0,0
2025-07-16 06:17:00,920,970,1120,1530,1480,960,1580,1100,0,0
2025-07-16 06:17:15,920,970,1120,1530,1480,960,1580,1100,0,0
2025-07-16 06:17:30,920,970,1120,1530,1480,960,1580,1100,0,0
2025-07-16 06:17:45,850,940,990,1320,1330,960,1210,960,0,0
2025-07-16 06:18:00,850,940,990,1320,1330,960,1210,960,0,0
2025-07-16 06:18:15,850,940,990,1320,1330,960,1210,960,0,0
2025-07-16 06:18:30,850,940,990,1320,1330,960,1210,960,0,0
2025-07-16 06:18:45,1050,1010,980,1420,1490,970,1360,1110,0,0
2025-07-16 06:19:00,1050,1010,980,1420,1490,970,1360,1110,0,0
2025-07-16 06:19:15,1050,1010,980,1420,1490,970,1360,1110,0,0
2025-07-16 06:19:30,1050,1010,980,1420,1490,970,1360,1110,0,0
2025-07-16 06:19:45,840,880,880,1180,1130,820,1240,850,0,0
2025-07-16 06:20:00,840,880,880,1180,1130,820,1240,850,0,0
2025-07-16 06:20:15,840,880,880,1180,1130,820,1240,850,0,0
2025-07-16 06:20:30,840,880,880,1180,1130,820,1240,850,0,0
2025-07-16 06:20:45,850,1140,1040,1680,1580,960,1550,960,0,0
2025-07-16 06:21:00,850,1140,1040,1680,1580,960,1550,960,0,0
2025-07-16 06:21:15,850,1140,1040,1680,1580,960,1550,960,0,0
2025-07-16 06:21:30,850,1140,1040,1680,1580,960,1550,960,0,0
