Time,mem_cache,source,Minutes
2025-07-16 19:00:15,4391060,oom,0.0
2025-07-16 19:00:30,4391060,oom,0.25
2025-07-16 19:00:45,4391060,oom,0.5
2025-07-16 19:01:00,4392860,oom,0.75
2025-07-16 19:01:15,4393292,oom,1.0
2025-07-16 19:01:30,4393341,oom,1.25
2025-07-16 19:01:45,4392991,oom,1.5
2025-07-16 19:02:00,4393195,oom,1.75
2025-07-16 19:02:15,4394121,oom,2.0
2025-07-16 19:02:30,4395191,oom,2.25
2025-07-16 19:02:45,4395798,oom,2.5
2025-07-16 19:03:00,4397649,oom,2.75
2025-07-16 19:03:15,4400621,oom,3.0
2025-07-16 19:03:30,4401318,oom,3.25
2025-07-16 19:03:45,4401149,oom,3.5
2025-07-16 19:04:00,4401238,oom,3.75
2025-07-16 19:04:15,4401559,oom,4.0
2025-07-16 19:04:30,4402328,oom,4.25
2025-07-16 19:04:45,4402972,oom,4.5
2025-07-16 19:05:00,4403633,oom,4.75
2025-07-16 19:05:15,4404434,oom,5.0
2025-07-16 19:05:30,4404844,oom,5.25
2025-07-16 19:05:45,4405455,oom,5.5
2025-07-16 19:06:00,4405681,oom,5.75
2025-07-16 19:06:15,4406708,oom,6.0
2025-07-16 19:06:30,4407252,oom,6.25
2025-07-16 19:06:45,4406934,oom,6.5
2025-07-16 19:07:00,4407467,oom,6.75
2025-07-16 19:07:15,4408167,oom,7.0
2025-07-16 19:07:30,4408578,oom,7.25
2025-07-16 19:07:45,4409201,oom,7.5
2025-07-16 19:08:00,4409527,oom,7.75
2025-07-16 19:08:15,4410011,oom,8.0
2025-07-16 19:08:30,4410372,oom,8.25
2025-07-16 19:08:45,4410924,oom,8.5
2025-07-16 19:09:00,4411100,oom,8.75
2025-07-16 19:09:15,4411541,oom,9.0
2025-07-16 19:09:30,4411865,oom,9.25
2025-07-16 19:09:45,4412560,oom,9.5
2025-07-16 19:10:00,4412651,oom,9.75
2025-07-16 19:10:15,4413378,oom,10.0
2025-07-16 19:10:30,4413879,oom,10.25
2025-07-16 19:10:45,4414442,oom,10.5
2025-07-16 19:11:00,4414558,oom,10.75
2025-07-16 19:11:15,4415029,oom,11.0
2025-07-16 19:11:30,4415527,oom,11.25
2025-07-16 19:11:45,4415753,oom,11.5
2025-07-16 19:12:00,4415853,oom,11.75
2025-07-16 19:12:15,4416617,oom,12.0
2025-07-16 19:12:30,4417089,oom,12.25
2025-07-16 19:12:45,4417386,oom,12.5
2025-07-16 19:13:00,4417452,oom,12.75
2025-07-16 19:13:15,4417807,oom,13.0
2025-07-16 19:13:30,4418267,oom,13.25
2025-07-16 19:13:45,4418378,oom,13.5
2025-07-16 19:14:00,4418411,oom,13.75
2025-07-16 19:14:15,4418968,oom,14.0
2025-07-16 19:14:30,4418256,oom,14.25
2025-07-16 19:14:45,4416209,oom,14.5
2025-07-16 19:15:00,4415697,oom,14.75
2025-07-16 19:15:15,4410207,oom,15.0
2025-07-16 19:15:30,4409438,oom,15.25
2025-07-16 19:15:45,4410043,oom,15.5
2025-07-16 19:16:00,4410057,oom,15.75
2025-07-16 19:16:15,4410522,oom,16.0
2025-07-16 19:16:30,4410841,oom,16.25
2025-07-16 19:16:45,4411218,oom,16.5
2025-07-16 19:17:00,4411286,oom,16.75
2025-07-16 19:17:15,4411671,oom,17.0
2025-07-16 19:17:30,4411877,oom,17.25
2025-07-16 19:17:45,4412104,oom,17.5
2025-07-16 19:18:00,4412223,oom,17.75
2025-07-16 19:18:15,4412937,oom,18.0
2025-07-16 19:18:30,4413314,oom,18.25
2025-07-16 19:18:45,4413628,oom,18.5
2025-07-16 19:19:00,4413735,oom,18.75
2025-07-16 19:19:15,4414160,oom,19.0
2025-07-16 19:19:30,4414458,oom,19.25
2025-07-16 19:19:45,4414795,oom,19.5
2025-07-16 19:20:00,4414875,oom,19.75
2025-07-16 19:20:15,4415297,oom,20.0
2025-07-16 19:20:30,4415719,oom,20.25
2025-07-16 19:20:45,4415956,oom,20.5
2025-07-16 19:21:00,4416015,oom,20.75
2025-07-16 19:21:15,4416504,oom,21.0
2025-07-16 19:21:30,4416776,oom,21.25
2025-07-16 19:21:45,4417006,oom,21.5
2025-07-16 19:22:00,4417179,oom,21.75
2025-07-16 19:22:15,4417709,oom,22.0
2025-07-16 19:22:30,4418188,oom,22.25
2025-07-16 19:22:45,4418054,oom,22.5
2025-07-16 19:23:00,4418225,oom,22.75
2025-07-16 19:23:15,4418646,oom,23.0
2025-07-16 19:23:30,4418850,oom,23.25
2025-07-16 19:23:45,4418717,oom,23.5
2025-07-16 19:24:00,4418818,oom,23.75
2025-07-16 19:24:15,4419600,oom,24.0
2025-07-16 19:24:30,4419780,oom,24.25
2025-07-16 19:24:45,4419691,oom,24.5
2025-07-16 19:25:00,4419846,oom,24.75
2025-07-16 19:25:15,4420674,oom,25.0
2025-07-16 19:25:30,4420791,oom,25.25
2025-07-16 19:25:45,4420545,oom,25.5
2025-07-16 19:26:00,4420526,oom,25.75
2025-07-16 19:26:15,4420750,oom,26.0
2025-07-16 19:26:30,4420754,oom,26.25
2025-07-16 19:26:45,4420399,oom,26.5
2025-07-16 19:27:00,4420587,oom,26.75
2025-07-16 19:27:15,4421070,oom,27.0
2025-07-16 19:27:30,4421227,oom,27.25
2025-07-16 19:27:45,4421575,oom,27.5
2025-07-16 19:28:00,4421912,oom,27.75
2025-07-16 19:28:15,4422262,oom,28.0
2025-07-16 19:28:30,4422659,oom,28.25
2025-07-16 19:28:45,4422801,oom,28.5
2025-07-16 19:29:00,4422961,oom,28.75
2025-07-16 19:29:15,4423266,oom,29.0
2025-07-16 19:29:30,4423381,oom,29.25
2025-07-16 19:29:45,4423499,oom,29.5
2025-07-16 19:30:00,4423676,oom,29.75
2025-07-16 19:30:15,4424211,oom,30.0
2025-07-16 19:30:30,4425802,oom,30.25
2025-07-16 19:30:45,4428035,oom,30.5
2025-07-16 19:31:00,4434955,oom,30.75
2025-07-16 19:31:15,4440982,oom,31.0
2025-07-16 19:31:30,4444006,oom,31.25
2025-07-16 19:31:45,4445692,oom,31.5
2025-07-16 19:32:00,4445726,oom,31.75
2025-07-16 19:32:15,4446200,oom,32.0
2025-07-16 19:32:30,4446475,oom,32.25
2025-07-16 19:32:45,4446808,oom,32.5
2025-07-16 19:33:00,4446949,oom,32.75
2025-07-16 19:33:15,4447543,oom,33.0
2025-07-16 19:33:30,4447695,oom,33.25
2025-07-16 19:33:45,4447617,oom,33.5
2025-07-16 19:34:00,4447655,oom,33.75
2025-07-16 19:34:15,4447817,oom,34.0
2025-07-16 19:34:30,4447620,oom,34.25
2025-07-16 19:34:45,4446695,oom,34.5
2025-07-16 19:35:00,4446432,oom,34.75
2025-07-16 19:35:15,4444211,oom,35.0
2025-07-16 19:35:30,4443981,oom,35.25
2025-07-16 19:35:45,4443866,oom,35.5
2025-07-16 19:36:00,4443924,oom,35.75
2025-07-16 19:36:15,4444032,oom,36.0
2025-07-16 19:36:30,4444219,oom,36.25
2025-07-16 19:36:45,4445012,oom,36.5
2025-07-16 19:37:00,4445174,oom,36.75
2025-07-16 19:37:15,4445822,oom,37.0
2025-07-16 19:37:30,4446091,oom,37.25
2025-07-16 19:37:45,4446576,oom,37.5
2025-07-16 19:38:00,4446951,oom,37.75
2025-07-16 19:38:15,4447280,oom,38.0
2025-07-16 19:38:30,4447482,oom,38.25
2025-07-16 19:38:45,4447868,oom,38.5
2025-07-16 19:39:00,4448101,oom,38.75
2025-07-16 19:39:15,4448789,oom,39.0
2025-07-16 19:39:30,4448801,oom,39.25
2025-07-16 19:39:45,4449109,oom,39.5
2025-07-16 19:40:00,4449778,oom,39.75
