Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,4495,5120,4935,8415,7895,4765,8320,4895,0,0,CACHE_FILLING,0.0
2025-05-17 17:00:15,4495,5120,4935,8415,7895,4765,8320,4895,0,0,CACHE_FILLING,0.25
2025-05-17 17:00:30,8885,8975,9167,14915,15242,8875,15607,8875,0,0,CACHE_FILLING,0.5
2025-05-17 17:00:45,8980,9040,9195,15100,15245,8900,15545,9035,0,0,CACHE_FILLING,0.75
2025-05-17 17:01:00,8980,9040,9195,15100,15245,8900,15545,9035,0,0,CACHE_FILLING,1.0
2025-05-17 17:01:15,8980,9040,9195,15100,15245,8900,15545,9035,0,0,CACHE_FILLING,1.25
2025-05-17 17:01:30,8410,8770,8530,14200,15130,8790,14630,8970,0,0,CACHE_FILLING,1.5
2025-05-17 17:01:45,8410,8770,8530,14200,15130,8790,14630,8970,0,0,CACHE_FILLING,1.75
2025-05-17 17:02:00,8410,8770,8530,14200,15130,8790,14630,8970,0,0,CACHE_FILLING,2.0
2025-05-17 17:02:15,7894,8400,8124,13806,13869,8117,14196,8295,0,0,CACHE_FILLING,2.25
2025-05-17 17:02:30,7889,8402,8124,13806,13869,8117,14204,8295,0,0,CACHE_FILLING,2.5
2025-05-17 17:02:45,7767,8332,8003,13722,13553,8017,14152,8098,0,0,CACHE_FILLING,2.75
2025-05-17 17:03:00,7669,8287,7939,13630,13526,8000,14070,8045,0,0,CACHE_FILLING,3.0
2025-05-17 17:03:15,7564,8150,7857,13521,13434,7899,13796,7877,0,0,CACHE_FILLING,3.25
2025-05-17 17:03:30,7521,8134,7803,13334,13434,7889,13743,7830,0,0,CACHE_FILLING,3.5
2025-05-17 17:03:45,7104,7826,7579,13082,13408,7828,13247,7501,0,0,CACHE_FILLING,3.75
2025-05-17 17:04:00,7067,7704,7555,13040,13415,7802,13066,7443,0,0,CACHE_FILLING,4.0
2025-05-17 17:04:15,7159,7611,7608,12990,13396,7839,13222,7454,0,0,CACHE_FILLING,4.25
2025-05-17 17:04:30,7181,7607,7715,12987,13380,7861,13300,7449,0,0,CACHE_FILLING,4.5
2025-05-17 17:04:45,7362,7514,7979,12973,13343,7939,13759,7499,0,0,CACHE_FILLING,4.75
2025-05-17 17:05:00,7446,7502,8079,13011,13349,7985,13814,7570,0,0,CACHE_FILLING,5.0
2025-05-17 17:05:15,7541,7599,8185,13127,13410,8062,13830,7690,0,0,CACHE_FILLING,5.25
2025-05-17 17:05:30,7851,7802,8245,13712,13709,8202,13833,7966,0,0,CACHE_FILLING,5.5
2025-05-17 17:05:45,8301,8070,8343,14420,13994,8500,13818,8602,0,0,CACHE_FILLING,5.75
2025-05-17 17:06:00,8377,8145,8338,14433,14085,8551,13822,8694,0,0,CACHE_FILLING,6.0
2025-05-17 17:06:15,8396,8122,8324,14370,14228,8584,13808,8613,0,0,CACHE_FILLING,6.25
2025-05-17 17:06:30,8410,8118,8321,14300,14312,8584,13866,8632,0,0,CACHE_FILLING,6.5
2025-05-17 17:06:45,8325,8046,8242,14021,14541,8522,13832,8445,0,0,CACHE_FILLING,6.75
2025-05-17 17:07:00,8319,8063,8242,13961,14586,8522,13845,8461,0,0,CACHE_FILLING,7.0
2025-05-17 17:07:15,8341,8182,8308,14140,14566,8531,14000,8595,0,0,CACHE_FILLING,7.25
2025-05-17 17:07:30,8365,8250,8365,14229,14572,8545,14086,8632,0,0,CACHE_FILLING,7.5
2025-05-17 17:07:45,8769,8500,8605,14459,14564,8793,14496,8855,0,0,CACHE_FILLING,7.75
