minutes,cpu_iowait_cpu 0,cpu_iowait_cpu 1,cpu_iowait_cpu 2,cpu_iowait_cpu 3,cpu_iowait_cpu 4,cpu_iowait_cpu 5,cpu_iowait_cpu 6,cpu_iowait_cpu 7,cpu_iowait_cpu 8,cpu_iowait_cpu 9,cpu_iowait_source,cpu_irq_cpu 0,cpu_irq_cpu 1,cpu_irq_cpu 2,cpu_irq_cpu 3,cpu_irq_cpu 4,cpu_irq_cpu 5,cpu_irq_cpu 6,cpu_irq_cpu 7,cpu_irq_cpu 8,cpu_irq_cpu 9,cpu_irq_source,cpu_system_cpu 0,cpu_system_cpu 1,cpu_system_cpu 2,cpu_system_cpu 3,cpu_system_cpu 4,cpu_system_cpu 5,cpu_system_cpu 6,cpu_system_cpu 7,cpu_system_cpu 8,cpu_system_cpu 9,cpu_system_source,cpu_user_cpu 0,cpu_user_cpu 1,cpu_user_cpu 2,cpu_user_cpu 3,cpu_user_cpu 4,cpu_user_cpu 5,cpu_user_cpu 6,cpu_user_cpu 7,cpu_user_cpu 8,cpu_user_cpu 9,cpu_user_source,cpu_utilization_cpu 0,cpu_utilization_cpu 1,cpu_utilization_cpu 2,cpu_utilization_cpu 3,cpu_utilization_cpu 4,cpu_utilization_cpu 5,cpu_utilization_cpu 6,cpu_utilization_cpu 7,cpu_utilization_cpu 8,cpu_utilization_cpu 9,cpu_utilization_source
2025-05-17 17:00:00,150,30,50,100,120,0,0,0,0,0,OOM,575,670,560,440,335,610,435,565,0,0,OOM,670,680,640,890,860,740,760,610,0,0,OOM,4325,4545,4490,8070,8130,4390,8045,4830,0,0,OOM,37.55,36.65,36.400000000000006,39.25,38.75,36.2,39.0,37.45,0,0,OOM
2025-05-17 17:00:15,150,30,50,100,120,0,0,0,0,0,OOM,575,670,560,440,335,610,435,565,0,0,OOM,670,680,640,890,860,740,760,610,0,0,OOM,4325,4545,4490,8070,8130,4390,8045,4830,0,0,OOM,37.55,36.65,36.400000000000006,39.25,38.75,36.2,39.0,37.45,0,0,OOM
2025-05-17 17:00:30,150,30,50,100,120,0,0,0,0,0,OOM,585,682,562,455,387,622,437,565,0,0,OOM,670,680,640,890,860,740,760,610,0,0,OOM,4325,4545,4490,8070,8130,4390,8045,4830,0,0,OOM,37.55,36.65,36.400000000000006,39.25,38.75,36.2,39.0,37.45,0,0,OOM
2025-05-17 17:00:45,99,56,150,111,153,77,64,295,0,0,OOM,1005,1080,955,965,965,1065,995,905,0,0,OOM,746,886,792,1208,1116,846,960,757,0,0,OOM,8760,8530,8492,14927,14945,8755,14840,8725,0,0,OOM,78.95,74.775,73.725,78.80000000000001,78.675,76.7,78.6,74.375,0,0,OOM
2025-05-17 17:01:00,22,67,377,98,263,186,83,637,0,0,OOM,995,1080,955,950,950,1065,992,905,0,0,OOM,774,981,1004,1534,1477,890,1512,973,0,0,OOM,8785,8550,8605,14995,14950,8800,14960,8745,0,0,OOM,78.95,75.25,74.25,78.85,78.94999999999999,77.4,78.9,74.75,0,0,OOM
2025-05-17 17:01:15,21,66,368,85,275,187,84,619,0,0,OOM,985,1080,955,935,935,1065,990,905,0,0,OOM,784,1008,1049,1668,1539,893,1596,997,0,0,OOM,8785,8550,8605,14995,14950,8800,14960,8745,0,0,OOM,78.95,75.25,74.25,78.85,78.94999999999999,77.4,78.9,74.75,0,0,OOM
2025-05-17 17:01:30,42,49,288,75,232,163,142,474,0,0,OOM,1030,1140,1000,1120,1160,1120,1250,860,0,0,OOM,812,1054,1081,1653,1593,929,1649,1036,0,0,OOM,8785,8550,8605,14995,14950,8800,14960,8745,0,0,OOM,78.95,75.25,74.25,78.85,78.94999999999999,77.4,78.9,74.75,0,0,OOM
2025-05-17 17:01:45,36,49,288,74,20,163,154,457,0,0,OOM,940,960,910,810,770,960,740,950,0,0,OOM,823,1052,1085,1653,1593,935,1649,1036,0,0,OOM,8980,8980,8410,14980,14860,8760,14720,8750,0,0,OOM,73.6,72.4,68.0,74.2,74.0,70.1,73.4,70.4,0,0,OOM
2025-05-17 17:02:00,52,23,241,14,20,160,344,146,0,0,OOM,940,960,910,810,770,960,740,950,0,0,OOM,961,1048,1189,1669,1624,1017,1708,1051,0,0,OOM,8980,8980,8410,14980,14860,8760,14720,8750,0,0,OOM,73.6,72.4,68.0,74.2,74.0,70.1,73.4,70.4,0,0,OOM
2025-05-17 17:02:15,60,24,240,13,20,155,337,126,0,0,OOM,938,995,904,821,779,965,722,960,0,0,OOM,1013,1072,1200,1679,1611,1041,1716,1059,0,0,OOM,8980,8980,8410,14980,14860,8760,14720,8750,0,0,OOM,73.6,72.4,68.0,74.2,74.0,70.1,73.4,70.4,0,0,OOM
2025-05-17 17:02:30,70,61,228,59,50,143,221,78,0,0,OOM,914,1086,906,774,661,980,734,957,0,0,OOM,1049,1121,1203,1675,1583,1081,1696,1091,0,0,OOM,7623,7916,7663,13813,13904,7809,13961,8266,0,0,OOM,64.32705959595965,63.129600639925705,62.07698174603167,67.55224920634915,65.82370595238098,64.66946576201572,68.63706584804085,64.31158398702654,0,0,OOM
2025-05-17 17:02:45,68,62,227,60,46,142,210,75,0,0,OOM,909,1086,906,774,657,981,734,957,0,0,OOM,1057,1156,1205,1679,1580,1101,1695,1094,0,0,OOM,7623,7917,7660,13813,13904,7809,13963,8262,0,0,OOM,64.28970959595965,63.36593397325903,62.10458174603167,67.48758253968248,65.82370595238098,64.66946576201572,68.65673251470751,64.31158398702654,0,0,OOM
2025-05-17 17:03:00,116,134,245,146,40,141,63,25,0,0,OOM,951,1027,902,749,578,998,728,957,0,0,OOM,1203,1305,1264,1719,1562,1187,1616,1132,0,0,OOM,7459,7540,7522,13764,13548,7463,13739,8047,0,0,OOM,63.10560714285713,61.49659523809526,61.60835238095237,66.66360555555553,65.4760380952381,63.06289432095682,66.22688787046287,63.76965523088022,0,0,OOM
2025-05-17 17:03:15,115,135,239,151,43,140,68,28,0,0,OOM,968,1003,897,734,570,1000,722,957,0,0,OOM,1234,1333,1295,1723,1571,1231,1618,1154,0,0,OOM,7297,7357,7452,13750,13450,7320,13545,8029,0,0,OOM,61.55775519480517,60.79266309523811,60.99183373015872,65.46101865079366,64.82617420634921,61.47335481879232,65.20904274891774,63.04700634920632,0,0,OOM
2025-05-17 17:03:30,101,99,207,136,60,139,67,69,0,0,OOM,953,1015,891,714,599,986,714,964,0,0,OOM,1250,1330,1308,1692,1608,1234,1656,1152,0,0,OOM,7172,7381,7435,13385,13334,7447,13360,7981,0,0,OOM,61.32625912698414,59.7309,60.35433928571426,63.40721031746034,63.150917063492095,60.60167981740483,64.59079386566933,62.22589099390854,0,0,OOM
