Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,575,670,560,440,335,610,435,565,0,0,OOM,0.0
2025-05-17 17:00:15,575,670,560,440,335,610,435,565,0,0,OOM,0.25
2025-05-17 17:00:30,585,682,562,455,387,622,437,565,0,0,OOM,0.5
2025-05-17 17:00:45,1005,1080,955,965,965,1065,995,905,0,0,OOM,0.75
2025-05-17 17:01:00,995,1080,955,950,950,1065,992,905,0,0,OOM,1.0
2025-05-17 17:01:15,985,1080,955,935,935,1065,990,905,0,0,OOM,1.25
2025-05-17 17:01:30,1030,1140,1000,1120,1160,1120,1250,860,0,0,OOM,1.5
2025-05-17 17:01:45,940,960,910,810,770,960,740,950,0,0,OOM,1.75
2025-05-17 17:02:00,940,960,910,810,770,960,740,950,0,0,OOM,2.0
2025-05-17 17:02:15,938,995,904,821,779,965,722,960,0,0,OOM,2.25
2025-05-17 17:02:30,914,1086,906,774,661,980,734,957,0,0,OOM,2.5
2025-05-17 17:02:45,909,1086,906,774,657,981,734,957,0,0,OOM,2.75
2025-05-17 17:03:00,951,1027,902,749,578,998,728,957,0,0,OOM,3.0
2025-05-17 17:03:15,968,1003,897,734,570,1000,722,957,0,0,OOM,3.25
2025-05-17 17:03:30,953,1015,891,714,599,986,714,964,0,0,OOM,3.5
2025-05-17 17:03:45,947,1011,888,703,599,985,712,966,0,0,OOM,3.75
2025-05-17 17:04:00,867,1008,860,626,576,924,670,1054,0,0,OOM,4.0
2025-05-17 17:04:15,859,1051,887,646,594,921,678,1099,0,0,OOM,4.25
2025-05-17 17:04:30,910,1200,958,739,710,1026,747,1159,0,0,OOM,4.5
2025-05-17 17:04:45,917,1274,965,752,727,1047,761,1172,0,0,OOM,4.75
2025-05-17 17:05:00,1350,1736,1227,1099,1006,1381,948,1452,0,0,OOM,5.0
2025-05-17 17:05:15,1448,1863,1271,1119,982,1459,946,1569,0,0,OOM,5.25
2025-05-17 17:05:30,1464,1551,1232,909,933,1378,819,1390,0,0,OOM,5.5
2025-05-17 17:05:45,1464,1524,1231,892,925,1377,804,1347,0,0,OOM,5.75
2025-05-17 17:06:00,1064,1126,1134,719,740,1230,648,1015,0,0,OOM,6.0
2025-05-17 17:06:15,974,1124,1124,688,744,1188,639,1020,0,0,OOM,6.25
2025-05-17 17:06:30,892,1093,1118,662,713,1156,676,990,0,0,OOM,6.5
2025-05-17 17:06:45,892,1098,1118,659,712,1154,679,991,0,0,OOM,6.75
2025-05-17 17:07:00,898,1157,1087,646,717,1026,755,996,0,0,OOM,7.0
2025-05-17 17:07:15,900,1152,1072,630,717,995,757,1016,0,0,OOM,7.25
2025-05-17 17:07:30,884,1143,1071,631,716,969,729,1034,0,0,OOM,7.5
2025-05-17 17:07:45,881,1139,1061,631,715,952,717,1035,0,0,OOM,7.75
2025-05-17 17:08:00,867,1090,987,676,715,922,683,1108,0,0,OOM,8.0
2025-05-17 17:08:15,836,1069,975,677,717,931,680,1118,0,0,OOM,8.25
2025-05-17 17:08:30,832,1033,945,672,717,922,670,1065,0,0,OOM,8.5
2025-05-17 17:08:45,824,991,935,672,718,924,670,1057,0,0,OOM,8.75
2025-05-17 17:09:00,723,906,877,630,725,944,670,963,0,0,OOM,9.0
2025-05-17 17:09:15,714,893,858,617,719,940,667,962,0,0,OOM,9.25
2025-05-17 17:09:30,709,861,862,619,703,928,666,989,0,0,OOM,9.5
2025-05-17 17:09:45,709,861,859,619,696,941,649,994,0,0,OOM,9.75
2025-05-17 17:10:00,700,821,868,624,631,1018,615,1136,0,0,OOM,10.0
2025-05-17 17:10:15,698,812,862,626,624,1022,615,1160,0,0,OOM,10.25
2025-05-17 17:10:30,707,803,836,628,632,976,639,1155,0,0,OOM,10.5
2025-05-17 17:10:45,707,803,826,628,633,952,638,1141,0,0,OOM,10.75
2025-05-17 17:11:00,881,799,753,673,650,882,589,845,0,0,OOM,11.0
2025-05-17 17:11:15,899,806,737,677,647,871,582,814,0,0,OOM,11.25
2025-05-17 17:11:30,870,831,725,672,619,850,587,763,0,0,OOM,11.5
2025-05-17 17:11:45,866,833,724,672,613,847,587,763,0,0,OOM,11.75
2025-05-17 17:12:00,658,859,669,548,545,788,587,706,0,0,OOM,12.0
2025-05-17 17:12:15,636,854,650,542,535,770,588,696,0,0,OOM,12.25
2025-05-17 17:12:30,616,844,667,550,554,752,599,711,0,0,OOM,12.5
2025-05-17 17:12:45,616,840,666,550,556,752,599,711,0,0,OOM,12.75
2025-05-17 17:13:00,618,808,626,558,566,693,582,709,0,0,OOM,13.0
2025-05-17 17:13:15,622,810,614,563,584,687,582,713,0,0,OOM,13.25
2025-05-17 17:13:30,628,831,626,568,605,724,586,730,0,0,OOM,13.5
2025-05-17 17:13:45,628,831,628,566,603,724,586,730,0,0,OOM,13.75
2025-05-17 17:14:00,615,785,690,590,595,800,515,695,0,0,OOM,14.0
2025-05-17 17:14:15,615,785,690,590,595,800,515,695,0,0,OOM,14.25
2025-05-17 17:14:30,597,782,667,580,582,777,512,680,0,0,OOM,14.5
2025-05-17 17:14:45,2200,2270,2570,2045,2125,2120,2150,2125,0,0,OOM,14.75
2025-05-17 17:15:00,2200,2270,2570,2042,2125,2120,2150,2125,0,0,OOM,15.0
2025-05-17 17:15:15,2200,2270,2570,2040,2125,2120,2150,2125,0,0,OOM,15.25
2025-05-17 17:15:30,2200,2270,2570,2040,2125,2120,2150,2125,0,0,OOM,15.5
2025-05-17 17:15:45,660,875,795,600,590,770,620,890,0,0,OOM,15.75
2025-05-17 17:16:00,660,875,795,600,590,770,620,890,0,0,OOM,16.0
2025-05-17 17:16:15,660,875,795,600,590,770,620,890,0,0,OOM,16.25
2025-05-17 17:16:30,710,950,930,640,610,760,660,1080,0,0,OOM,16.5
2025-05-17 17:16:45,800,980,800,510,490,910,570,990,0,0,OOM,16.75
2025-05-17 17:17:00,800,980,800,510,490,910,570,990,0,0,OOM,17.0
2025-05-17 17:17:15,793,874,818,532,544,895,581,985,0,0,OOM,17.25
2025-05-17 17:17:30,802,876,851,546,574,908,625,990,0,0,OOM,17.5
2025-05-17 17:17:45,802,875,855,546,574,909,630,990,0,0,OOM,17.75
2025-05-17 17:18:00,825,812,942,591,616,938,755,1006,0,0,OOM,18.0
2025-05-17 17:18:15,816,818,950,602,628,939,768,1002,0,0,OOM,18.25
2025-05-17 17:18:30,799,848,936,619,615,919,713,987,0,0,OOM,18.5
2025-05-17 17:18:45,796,870,936,618,614,905,705,979,0,0,OOM,18.75
2025-05-17 17:19:00,697,1018,927,595,586,785,591,865,0,0,OOM,19.0
2025-05-17 17:19:15,687,1029,920,592,583,783,580,847,0,0,OOM,19.25
2025-05-17 17:19:30,703,986,888,597,607,789,611,820,0,0,OOM,19.5
2025-05-17 17:19:45,703,983,872,597,608,790,613,820,0,0,OOM,19.75
2025-05-17 17:20:00,612,959,745,560,647,812,668,766,0,0,OOM,20.0
2025-05-17 17:20:15,602,947,739,553,652,819,679,756,0,0,OOM,20.25
2025-05-17 17:20:30,625,871,746,553,611,809,641,776,0,0,OOM,20.5
2025-05-17 17:20:45,627,857,748,553,608,808,626,776,0,0,OOM,20.75
2025-05-17 17:21:00,701,732,792,539,538,685,511,722,0,0,OOM,21.0
2025-05-17 17:21:15,705,728,807,538,533,671,501,720,0,0,OOM,21.25
2025-05-17 17:21:30,708,786,833,548,561,718,503,731,0,0,OOM,21.5
2025-05-17 17:21:45,708,795,835,548,562,726,503,731,0,0,OOM,21.75
2025-05-17 17:22:00,702,861,855,571,586,845,492,714,0,0,OOM,22.0
2025-05-17 17:22:15,704,860,851,577,590,846,495,714,0,0,OOM,22.25
2025-05-17 17:22:30,712,842,809,597,596,850,519,741,0,0,OOM,22.5
