Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,0,0,0,0,DELAY,0.0
2025-05-17 17:00:00,0,0,0,0,DELAY,0.25
2025-05-17 17:00:15,0,0,0,0,DELAY,0.5
2025-05-17 17:00:30,221,63575375,3005,819591,DELAY,0.75
2025-05-17 17:00:45,126,63575375,66,757101,DELAY,1.0
2025-05-17 17:01:00,23,63575375,90,459036,DELAY,1.25
2025-05-17 17:01:15,13,63575375,91,250048,DELAY,1.5
2025-05-17 17:01:30,13,63575375,91,205654,DELAY,1.75
2025-05-17 17:01:45,13,63575375,91,67418,DELAY,2.0
2025-05-17 17:02:00,13,63575375,91,14252,DELAY,2.25
2025-05-17 17:02:15,13,63575375,91,14252,DELAY,2.5
2025-05-17 17:02:30,13,63575375,91,14252,DELAY,2.75
2025-05-17 17:02:45,13,63575375,91,14252,DELAY,3.0
2025-05-17 17:03:00,13,63575375,91,14252,DELAY,3.25
2025-05-17 17:03:15,13,63575375,91,14252,DELAY,3.5
2025-05-17 17:03:30,13,63575375,91,14252,DELAY,3.75
2025-05-17 17:03:45,13,63575375,91,14252,DELAY,4.0
2025-05-17 17:04:00,13,63575375,91,14252,DELAY,4.25
2025-05-17 17:04:15,13,63575375,91,14252,DELAY,4.5
2025-05-17 17:04:30,13,63575375,91,14252,DELAY,4.75
2025-05-17 17:04:45,13,63575375,91,14252,DELAY,5.0
2025-05-17 17:05:00,13,63575375,91,14252,DELAY,5.25
2025-05-17 17:05:15,13,63575375,91,14252,DELAY,5.5
2025-05-17 17:05:30,13,63575375,91,14252,DELAY,5.75
2025-05-17 17:05:45,13,63575375,91,14252,DELAY,6.0
2025-05-17 17:06:00,13,63575375,91,14252,DELAY,6.25
2025-05-17 17:06:15,13,63575375,91,14252,DELAY,6.5
2025-05-17 17:06:30,13,63575375,91,14252,DELAY,6.75
2025-05-17 17:06:45,13,63575375,91,14252,DELAY,7.0
2025-05-17 17:07:00,13,63575375,91,14252,DELAY,7.25
2025-05-17 17:07:15,13,63575375,91,14252,DELAY,7.5
2025-05-17 17:07:30,13,63575375,91,14252,DELAY,7.75
2025-05-17 17:07:45,13,63575381,91,14252,DELAY,8.0
2025-05-17 17:08:00,13,63575392,91,14252,DELAY,8.25
2025-05-17 17:08:15,13,63575428,91,14252,DELAY,8.5
2025-05-17 17:08:30,13,63575454,91,14252,DELAY,8.75
2025-05-17 17:08:45,13,63575462,91,14252,DELAY,9.0
2025-05-17 17:09:00,13,63575479,91,14252,DELAY,9.25
2025-05-17 17:09:15,13,63575510,91,14252,DELAY,9.5
2025-05-17 17:09:30,13,63575510,91,14252,DELAY,9.75
2025-05-17 17:09:45,13,63575536,91,14252,DELAY,10.0
2025-05-17 17:10:00,13,63578934,91,14252,DELAY,10.25
2025-05-17 17:10:15,13,63579073,91,14252,DELAY,10.5
2025-05-17 17:10:30,13,63578950,91,14252,DELAY,10.75
2025-05-17 17:10:45,13,63578948,91,14614,DELAY,11.0
2025-05-17 17:11:00,13,63578863,91,14647,DELAY,11.25
2025-05-17 17:11:15,13,63576359,91,14330,DELAY,11.5
2025-05-17 17:11:30,13,63576161,91,14614,DELAY,11.75
2025-05-17 17:11:45,13,63575316,91,14581,DELAY,12.0
2025-05-17 17:12:00,13,63575316,91,14250,DELAY,12.25
2025-05-17 17:12:15,13,63575316,91,14250,DELAY,12.5
2025-05-17 17:12:30,13,63575316,91,14250,DELAY,12.75
2025-05-17 17:12:45,13,63575316,91,14250,DELAY,13.0
2025-05-17 17:13:00,13,63575316,91,14250,DELAY,13.25
2025-05-17 17:13:15,13,63575316,91,14250,DELAY,13.5
2025-05-17 17:13:30,13,63575316,91,14250,DELAY,13.75
2025-05-17 17:13:45,13,63575316,91,14250,DELAY,14.0
2025-05-17 17:14:00,13,63575316,91,14250,DELAY,14.25
2025-05-17 17:14:15,13,63575316,91,14250,DELAY,14.5
2025-05-17 17:14:30,13,63575316,91,14250,DELAY,14.75
2025-05-17 17:14:45,13,63575316,91,14250,DELAY,15.0
2025-05-17 17:15:00,13,63575316,91,14250,DELAY,15.25
2025-05-17 17:15:15,13,63575316,91,14250,DELAY,15.5
2025-05-17 17:15:30,13,63575316,91,14250,DELAY,15.75
2025-05-17 17:15:45,13,63575316,91,14250,DELAY,16.0
2025-05-17 17:16:00,13,63575316,91,14250,DELAY,16.25
2025-05-17 17:16:15,13,63575316,91,14250,DELAY,16.5
2025-05-17 17:16:30,13,63575316,91,14250,DELAY,16.75
2025-05-17 17:16:45,13,63575316,91,14250,DELAY,17.0
2025-05-17 17:17:00,13,63575316,91,14250,DELAY,17.25
2025-05-17 17:17:15,13,63575316,91,14250,DELAY,17.5
2025-05-17 17:17:30,13,63575316,91,14250,DELAY,17.75
2025-05-17 17:17:45,13,63575316,91,14250,DELAY,18.0
2025-05-17 17:18:00,13,63575316,91,14250,DELAY,18.25
