Time,write_bytes_cumulative
2025-05-17 16:59:45,13008896
2025-05-17 17:00:00,6852608
2025-05-17 17:00:15,704512
2025-05-17 17:00:30,1946201
2025-05-17 17:00:45,940824
2025-05-17 17:01:00,16907262
2025-05-17 17:01:15,16905378
2025-05-17 17:01:30,16904436
2025-05-17 17:01:45,16904477
2025-05-17 17:02:00,352131
2025-05-17 17:02:15,352091
2025-05-17 17:02:30,352091
2025-05-17 17:02:45,352091
2025-05-17 17:03:00,352091
2025-05-17 17:03:15,352091
2025-05-17 17:03:30,352091
2025-05-17 17:03:45,352091
2025-05-17 17:04:00,1883
2025-05-17 17:04:15,1883
2025-05-17 17:04:30,1883
2025-05-17 17:04:45,1883
2025-05-17 17:05:00,1883
2025-05-17 17:05:15,1883
2025-05-17 17:05:30,1883
2025-05-17 17:05:45,1945
2025-05-17 17:06:00,1945
2025-05-17 17:06:15,1945
2025-05-17 17:06:30,1945
2025-05-17 17:06:45,1945
2025-05-17 17:07:00,1945
2025-05-17 17:07:15,1945
2025-05-17 17:07:30,1945
2025-05-17 17:07:45,1945
2025-05-17 17:08:00,1945
2025-05-17 17:08:15,1945
2025-05-17 17:08:30,1945
2025-05-17 17:08:45,1945
2025-05-17 17:09:00,1945
2025-05-17 17:09:15,1945
2025-05-17 17:09:30,1945
2025-05-17 17:09:45,1945
2025-05-17 17:10:00,1945
2025-05-17 17:10:15,1945
2025-05-17 17:10:30,41020
2025-05-17 17:10:45,43969
2025-05-17 17:11:00,81571
2025-05-17 17:11:15,96521
2025-05-17 17:11:30,58823
2025-05-17 17:11:45,50347
2025-05-17 17:12:00,42456
2025-05-17 17:12:15,16565
2025-05-17 17:12:30,16352
2025-05-17 17:12:45,1945
2025-05-17 17:13:00,1945
2025-05-17 17:13:15,1945
2025-05-17 17:13:30,1945
2025-05-17 17:13:45,1945
2025-05-17 17:14:00,1945
2025-05-17 17:14:15,1945
2025-05-17 17:14:30,1945
2025-05-17 17:14:45,1945
2025-05-17 17:15:00,1945
2025-05-17 17:15:15,1945
2025-05-17 17:15:30,1945
2025-05-17 17:15:45,1945
2025-05-17 17:16:00,1945
2025-05-17 17:16:15,1945
2025-05-17 17:16:30,1945
2025-05-17 17:16:45,1945
2025-05-17 17:17:00,1945
2025-05-17 17:17:15,1945
2025-05-17 17:17:30,1945
2025-05-17 17:17:45,1945
2025-05-17 17:18:00,1945
2025-05-17 17:18:15,1945
2025-05-17 17:18:30,1945
2025-05-17 17:18:45,1945
2025-05-17 17:19:00,1945
2025-05-17 17:19:15,1945
2025-05-17 17:19:30,1945
2025-05-17 17:19:45,1945
2025-05-17 17:20:00,1945
2025-05-17 17:20:15,1945
2025-05-17 17:20:30,1945
2025-05-17 17:20:45,1945
2025-05-17 17:21:00,1945
2025-05-17 17:21:15,1945
2025-05-17 17:21:30,1945
2025-05-17 17:21:45,1945
2025-05-17 17:22:00,1945
2025-05-17 17:22:15,1945
2025-05-17 17:22:30,1945
2025-05-17 17:22:45,1945
2025-05-17 17:23:00,1945
