Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,0,0,10,10,10,0,10,0,0,0,IO,0.0
2025-05-17 17:00:15,40,10,40,10,30,10,0,20,0,0,IO,0.25
2025-05-17 17:00:30,40,10,40,10,30,10,0,20,0,0,IO,0.5
2025-05-17 17:00:45,38,9,38,26,29,9,2,17,0,0,IO,0.75
2025-05-17 17:01:00,33,10,36,26,25,13,7,18,0,0,IO,1.0
2025-05-17 17:01:15,33,10,36,26,25,13,7,18,0,0,IO,1.25
2025-05-17 17:01:30,26,11,35,27,20,11,10,18,0,0,IO,1.5
2025-05-17 17:01:45,11,17,14,32,10,4,11,18,0,0,IO,1.75
2025-05-17 17:02:00,10,18,10,34,10,3,10,18,0,0,IO,2.0
2025-05-17 17:02:15,9,21,14,32,12,5,11,18,0,0,IO,2.25
2025-05-17 17:02:30,8,21,13,32,15,5,10,17,0,0,IO,2.5
2025-05-17 17:02:45,0,11,0,15,10,14,0,12,0,0,IO,2.75
2025-05-17 17:03:00,1,10,1,16,10,15,0,11,0,0,IO,3.0
2025-05-17 17:03:15,3,10,8,25,10,14,4,13,0,0,IO,3.25
2025-05-17 17:03:30,3,10,8,25,8,14,5,13,0,0,IO,3.5
2025-05-17 17:03:45,3,10,18,25,0,4,9,13,0,0,IO,3.75
2025-05-17 17:04:00,3,10,19,24,0,3,9,13,0,0,IO,4.0
2025-05-17 17:04:15,4,10,19,24,0,4,11,13,0,0,IO,4.25
2025-05-17 17:04:30,8,10,19,24,1,4,11,13,0,0,IO,4.5
2025-05-17 17:04:45,18,2,19,4,0,4,11,16,0,0,IO,4.75
2025-05-17 17:05:00,19,1,19,2,0,4,11,17,0,0,IO,5.0
2025-05-17 17:05:15,13,4,19,5,0,4,11,17,0,0,IO,5.25
2025-05-17 17:05:30,10,4,19,5,0,4,10,17,0,0,IO,5.5
2025-05-17 17:05:45,1,8,19,10,0,8,0,12,0,0,IO,5.75
2025-05-17 17:06:00,1,8,19,16,0,9,0,11,0,0,IO,6.0
2025-05-17 17:06:15,7,10,19,24,1,11,5,13,0,0,IO,6.25
2025-05-17 17:06:30,8,10,17,24,3,11,5,13,0,0,IO,6.5
2025-05-17 17:06:45,9,10,2,24,9,11,17,7,0,0,IO,6.75
2025-05-17 17:07:00,9,10,1,24,9,11,18,8,0,0,IO,7.0
2025-05-17 17:07:15,11,10,6,24,9,11,16,23,0,0,IO,7.25
2025-05-17 17:07:30,11,10,7,24,8,11,16,23,0,0,IO,7.5
2025-05-17 17:07:45,11,17,8,17,0,11,11,10,0,0,IO,7.75
2025-05-17 17:08:00,11,18,8,17,0,11,10,10,0,0,IO,8.0
2025-05-17 17:08:15,11,21,13,18,1,11,10,13,0,0,IO,8.25
2025-05-17 17:08:30,11,21,13,18,1,11,10,13,0,0,IO,8.5
2025-05-17 17:08:45,11,34,0,4,1,11,0,7,0,0,IO,8.75
2025-05-17 17:09:00,11,36,1,2,1,11,0,8,0,0,IO,9.0
2025-05-17 17:09:15,11,34,7,4,1,11,2,23,0,0,IO,9.25
2025-05-17 17:09:30,13,34,9,4,2,11,2,23,0,0,IO,9.5
2025-05-17 17:09:45,29,15,18,10,9,4,2,16,0,0,IO,9.75
2025-05-17 17:10:00,29,11,19,16,9,3,2,17,0,0,IO,10.0
2025-05-17 17:10:15,70,10,19,24,10,4,2,17,0,0,IO,10.25
2025-05-17 17:10:30,69,10,19,24,10,4,2,17,0,0,IO,10.5
2025-05-17 17:10:45,20,2,29,24,10,8,9,12,0,0,IO,10.75
2025-05-17 17:11:00,19,1,30,24,10,9,9,11,0,0,IO,11.0
2025-05-17 17:11:15,11,4,34,24,10,10,10,13,0,0,IO,11.25
2025-05-17 17:11:30,0,8,34,24,10,10,0,7,0,0,IO,11.5
2025-05-17 17:11:45,1,9,34,24,10,10,0,8,0,0,IO,11.75
2025-05-17 17:12:00,14,11,36,24,10,10,1,23,0,0,IO,12.0
2025-05-17 17:12:15,22,11,42,24,10,10,1,23,0,0,IO,12.25
2025-05-17 17:12:30,47,2,56,4,10,10,1,23,0,0,IO,12.5
2025-05-17 17:12:45,49,1,57,2,10,10,1,23,0,0,IO,12.75
2025-05-17 17:13:00,52,4,48,4,10,10,1,23,0,0,IO,13.0
2025-05-17 17:13:15,54,4,47,4,10,10,2,23,0,0,IO,13.25
2025-05-17 17:13:30,66,8,48,4,10,3,9,16,0,0,IO,13.5
2025-05-17 17:13:45,68,9,46,4,10,3,9,17,0,0,IO,13.75
2025-05-17 17:14:00,51,11,38,4,10,4,11,17,0,0,IO,14.0
2025-05-17 17:14:15,44,11,38,4,10,4,11,17,0,0,IO,14.25
2025-05-17 17:14:30,20,36,11,4,10,4,11,12,0,0,IO,14.5
2025-05-17 17:14:45,21,42,10,4,10,4,11,11,0,0,IO,14.75
2025-05-17 17:15:00,14,35,16,4,10,4,11,13,0,0,IO,15.0
2025-05-17 17:15:15,13,35,16,5,10,4,10,13,0,0,IO,15.25
2025-05-17 17:15:30,10,35,0,18,10,4,0,7,0,0,IO,15.5
2025-05-17 17:15:45,10,35,1,18,10,4,0,8,0,0,IO,15.75
2025-05-17 17:16:00,13,35,5,18,10,4,2,23,0,0,IO,16.0
2025-05-17 17:16:15,13,35,5,18,10,4,2,23,0,0,IO,16.25
2025-05-17 17:16:30,14,34,7,18,12,5,2,23,0,0,IO,16.5
2025-05-17 17:16:45,18,22,9,14,18,15,2,16,0,0,IO,16.75
2025-05-17 17:17:00,18,20,9,14,19,15,2,17,0,0,IO,17.0
2025-05-17 17:17:15,14,21,19,24,13,15,3,18,0,0,IO,17.25
2025-05-17 17:17:30,13,21,21,24,9,15,9,18,0,0,IO,17.5
2025-05-17 17:17:45,10,11,27,4,1,15,27,8,0,0,IO,17.75
2025-05-17 17:18:00,11,10,30,2,0,15,28,8,0,0,IO,18.0
2025-05-17 17:18:15,16,10,43,5,2,15,17,23,0,0,IO,18.25
2025-05-17 17:18:30,20,10,45,5,3,15,17,23,0,0,IO,18.5
2025-05-17 17:18:45,37,2,47,18,9,11,1,10,0,0,IO,18.75
2025-05-17 17:19:00,38,1,46,18,9,10,2,10,0,0,IO,19.0
2025-05-17 17:19:15,28,4,39,18,10,10,6,13,0,0,IO,19.25
2025-05-17 17:19:30,24,4,39,18,8,10,5,13,0,0,IO,19.5
2025-05-17 17:19:45,2,4,31,14,0,4,4,13,0,0,IO,19.75
2025-05-17 17:20:00,0,4,33,14,0,3,4,13,0,0,IO,20.0
2025-05-17 17:20:15,18,4,50,24,1,4,4,13,0,0,IO,20.25
2025-05-17 17:20:30,44,4,57,24,1,4,6,13,0,0,IO,20.5
2025-05-17 17:20:45,102,8,126,4,1,4,9,13,0,0,IO,20.75
2025-05-17 17:21:00,104,8,131,2,1,4,10,13,0,0,IO,21.0
2025-05-17 17:21:15,87,10,105,5,1,4,12,13,0,0,IO,21.25
2025-05-17 17:21:30,44,10,98,5,1,4,12,13,0,0,IO,21.5
2025-05-17 17:21:45,6,2,48,18,1,4,18,13,0,0,IO,21.75
2025-05-17 17:22:00,8,1,48,18,2,4,18,13,0,0,IO,22.0
2025-05-17 17:22:15,12,4,38,18,9,4,17,13,0,0,IO,22.25
2025-05-17 17:22:30,12,17,32,18,26,8,17,7,0,0,IO,22.5
2025-05-17 17:22:45,13,18,33,18,29,8,17,8,0,0,IO,22.75
2025-05-17 17:23:00,13,21,37,18,21,10,17,23,0,0,IO,23.0
2025-05-17 17:23:15,29,21,36,18,16,10,15,23,0,0,IO,23.25
2025-05-17 17:23:30,67,4,11,4,2,4,10,10,0,0,IO,23.5
2025-05-17 17:23:45,67,1,12,2,1,3,10,10,0,0,IO,23.75
2025-05-17 17:24:00,51,4,59,4,1,5,12,13,0,0,IO,24.0
2025-05-17 17:24:15,48,4,65,4,1,5,12,13,0,0,IO,24.25
2025-05-17 17:24:30,43,8,19,18,1,29,0,7,0,0,IO,24.5
2025-05-17 17:24:45,39,8,20,18,1,37,0,8,0,0,IO,24.75
2025-05-17 17:25:00,29,11,20,18,1,106,7,23,0,0,IO,25.0
2025-05-17 17:25:15,26,11,19,18,1,106,8,23,0,0,IO,25.25
2025-05-17 17:25:30,10,42,1,4,1,13,28,10,0,0,IO,25.5
2025-05-17 17:25:45,10,42,1,2,1,11,29,10,0,0,IO,25.75
2025-05-17 17:26:00,14,39,15,4,2,11,20,13,0,0,IO,26.0
2025-05-17 17:26:15,13,39,20,4,8,11,20,13,0,0,IO,26.25
2025-05-17 17:26:30,1,34,48,4,19,49,11,17,0,0,IO,26.5
2025-05-17 17:26:45,1,35,49,4,19,51,11,18,0,0,IO,26.75
2025-05-17 17:27:00,28,76,41,4,18,45,13,21,0,0,IO,27.0
2025-05-17 17:27:15,44,76,40,4,17,44,14,21,0,0,IO,27.25
2025-05-17 17:27:30,88,13,21,10,11,13,18,8,0,0,IO,27.5
2025-05-17 17:27:45,91,11,21,16,11,11,18,8,0,0,IO,27.75
2025-05-17 17:28:00,71,11,23,25,12,11,15,23,0,0,IO,28.0
2025-05-17 17:28:15,58,11,27,25,14,11,14,23,0,0,IO,28.25
2025-05-17 17:28:30,41,28,46,25,19,11,10,26,0,0,IO,28.5
2025-05-17 17:28:45,39,34,48,25,19,11,10,26,0,0,IO,28.75
2025-05-17 17:29:00,34,78,47,25,17,11,25,33,0,0,IO,29.0
2025-05-17 17:29:15,34,78,47,25,17,11,25,33,0,0,IO,29.25
2025-05-17 17:29:30,32,79,46,25,16,11,25,32,0,0,IO,29.5
2025-05-17 17:29:45,32,79,11,25,11,29,66,8,0,0,IO,29.75
2025-05-17 17:30:00,34,79,10,25,11,36,195,11,0,0,IO,30.0
2025-05-17 17:30:15,184,124,198,25,65,137,322,71,0,0,IO,30.25
2025-05-17 17:30:30,1073,737,450,175,632,448,558,500,0,0,IO,30.5
2025-05-17 17:30:45,1573,1826,1456,1526,988,1386,1410,1780,0,0,IO,30.75
2025-05-17 17:31:00,1862,2144,2380,1998,1154,1623,2102,2169,0,0,IO,31.0
2025-05-17 17:31:15,2348,2756,3044,2388,1633,2013,2742,2374,0,0,IO,31.25
2025-05-17 17:31:30,4920,6207,3453,3056,3887,3823,2831,3310,0,0,IO,31.5
2025-05-17 17:31:45,5956,7668,5310,4064,4805,4452,4190,3835,0,0,IO,31.75
2025-05-17 17:32:00,6893,8569,6568,4885,5561,5118,4707,3870,0,0,IO,32.0
2025-05-17 17:32:15,6968,8809,6728,5280,5234,5060,5122,4146,0,0,IO,32.25
2025-05-17 17:32:30,6913,8775,6728,5296,4554,4782,5145,4205,0,0,IO,32.5
2025-05-17 17:32:45,6862,8564,6696,5689,4245,4407,5298,4252,0,0,IO,32.75
2025-05-17 17:33:00,6873,8550,6664,5715,4229,4368,5324,4366,0,0,IO,33.0
2025-05-17 17:33:15,6990,8732,6607,4886,5416,4493,5274,4923,0,0,IO,33.25
2025-05-17 17:33:30,7106,8776,6329,4609,5866,4576,5328,5202,0,0,IO,33.5
2025-05-17 17:33:45,7107,8795,6330,4601,6016,4590,5378,5287,0,0,IO,33.75
2025-05-17 17:34:00,7130,8910,6563,4496,5600,4787,5431,5382,0,0,IO,34.0
2025-05-17 17:34:15,7200,8962,6575,4496,5281,4983,5444,5402,0,0,IO,34.25
2025-05-17 17:34:30,7290,9308,6550,4496,5138,5379,5491,5423,0,0,IO,34.5
2025-05-17 17:34:45,7320,9344,6652,4472,5166,5426,5464,5456,0,0,IO,34.75
2025-05-17 17:35:00,7364,9247,6980,4437,5109,5275,5341,5578,0,0,IO,35.0
2025-05-17 17:35:15,7408,9222,7159,4410,5066,5180,5297,5715,0,0,IO,35.25
2025-05-17 17:35:30,7442,9209,7599,4206,5019,5084,4777,6081,0,0,IO,35.5
2025-05-17 17:35:45,7441,9202,7694,4211,5004,5058,4729,6140,0,0,IO,35.75
2025-05-17 17:36:00,7279,9199,7788,4589,5030,5061,4968,5954,0,0,IO,36.0
2025-05-17 17:36:15,6954,9201,7788,4709,5062,5065,4968,5656,0,0,IO,36.25
2025-05-17 17:36:30,6639,9279,7622,5247,5080,5101,5399,5293,0,0,IO,36.5
2025-05-17 17:36:45,6624,9218,7647,5409,5102,5109,5400,5209,0,0,IO,36.75
2025-05-17 17:37:00,6661,9148,7620,5210,5122,5120,5382,5165,0,0,IO,37.0
2025-05-17 17:37:15,6661,9148,7620,5210,5128,5126,5387,5165,0,0,IO,37.25
2025-05-17 17:37:30,7437,8898,7584,5040,5253,5341,5358,5110,0,0,IO,37.5
2025-05-17 17:37:45,8058,8194,7348,4493,5343,5602,5241,4951,0,0,IO,37.75
2025-05-17 17:38:00,8200,8209,7286,4428,5364,5624,5122,4855,0,0,IO,38.0
2025-05-17 17:38:15,8615,8888,7276,4668,5245,5357,5052,4809,0,0,IO,38.25
2025-05-17 17:38:30,9141,9275,7276,4691,5143,4908,5022,4797,0,0,IO,38.5
2025-05-17 17:38:45,9348,9933,7339,4742,5144,4635,4678,4776,0,0,IO,38.75
2025-05-17 17:39:00,9267,9931,7341,4791,5105,4582,4648,4779,0,0,IO,39.0
2025-05-17 17:39:15,8907,9567,7338,4855,5068,4486,4757,4746,0,0,IO,39.25
2025-05-17 17:39:30,7656,9125,7327,4855,4946,4368,4745,4753,0,0,IO,39.5
2025-05-17 17:39:45,6637,8356,7007,4854,4833,3923,4799,4841,0,0,IO,39.75
2025-05-17 17:40:00,6381,8082,6995,4872,4810,3871,4844,4828,0,0,IO,40.0
2025-05-17 17:40:15,6287,8459,6777,4960,5182,4110,5144,4740,0,0,IO,40.25
2025-05-17 17:40:30,6336,8802,6743,4980,5919,4397,5200,4659,0,0,IO,40.5
2025-05-17 17:40:45,6350,9064,6397,5220,6430,4714,5668,4133,0,0,IO,40.75
2025-05-17 17:41:00,6385,9126,6231,5249,6450,4719,5708,4087,0,0,IO,41.0
2025-05-17 17:41:15,6583,9206,6663,5049,5915,4512,5598,4223,0,0,IO,41.25
2025-05-17 17:41:30,6975,9227,6728,5026,4685,4253,5572,4548,0,0,IO,41.5
2025-05-17 17:41:45,7045,9288,7344,4920,4364,3786,5199,4578,0,0,IO,41.75
2025-05-17 17:42:00,7089,9290,7526,4926,4183,3759,5068,4675,0,0,IO,42.0
2025-05-17 17:42:15,6784,9257,7618,4783,4296,4243,5092,4609,0,0,IO,42.25
2025-05-17 17:42:30,6279,9253,7619,4739,4361,4728,5100,4546,0,0,IO,42.5
2025-05-17 17:42:45,5917,9239,7635,4462,4385,5390,5191,4230,0,0,IO,42.75
2025-05-17 17:43:00,5898,9273,7627,4433,4413,5486,5225,4256,0,0,IO,43.0
2025-05-17 17:43:15,6103,9482,7554,4691,4496,5131,5240,4376,0,0,IO,43.25
2025-05-17 17:43:30,6569,9863,7513,4727,4645,4870,5243,4515,0,0,IO,43.5
2025-05-17 17:43:45,6838,10667,7315,5095,4771,4604,5246,4605,0,0,IO,43.75
2025-05-17 17:44:00,6869,10731,7248,5221,4773,4578,5279,4693,0,0,IO,44.0
2025-05-17 17:44:15,6808,10443,7139,5122,4780,4677,5134,4740,0,0,IO,44.25
2025-05-17 17:44:30,6727,10140,7113,5122,4751,4800,5088,4768,0,0,IO,44.5
2025-05-17 17:44:45,6644,10039,6925,5132,4668,5273,4793,4981,0,0,IO,44.75
2025-05-17 17:45:00,6644,9978,6804,5119,4668,5310,4732,5032,0,0,IO,45.0
2025-05-17 17:45:15,6837,9820,7009,5081,4714,5093,4571,5136,0,0,IO,45.25
2025-05-17 17:45:30,6993,9809,7048,5069,4744,4969,4544,5160,0,0,IO,45.5
2025-05-17 17:45:45,7100,9800,7440,4947,4779,4635,4318,5198,0,0,IO,45.75
