Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,160,270,335,130,200,320,140,210,0,0,BASELINE,0.0
2025-05-17 17:00:15,160,270,335,130,200,320,140,210,0,0,BASELINE,0.25
2025-05-17 17:00:30,320,390,415,230,420,520,250,360,0,0,BASELINE,0.5
2025-05-17 17:00:45,320,390,270,230,420,520,250,360,0,0,BASELINE,0.75
2025-05-17 17:01:00,485,610,415,395,580,520,425,545,0,0,BASELINE,1.0
2025-05-17 17:01:15,485,610,415,395,580,520,425,545,0,0,BASELINE,1.25
2025-05-17 17:01:30,810,975,630,605,855,1070,685,845,0,0,BASELINE,1.5
2025-05-17 17:01:45,810,1120,700,650,970,1070,685,960,0,0,BASELINE,1.75
2025-05-17 17:02:00,970,1120,700,650,970,1070,770,960,0,0,BASELINE,2.0
2025-05-17 17:02:15,970,1120,700,650,970,1070,770,960,0,0,BASELINE,2.25
2025-05-17 17:02:30,805,1205,677,698,873,904,617,860,0,0,BASELINE,2.5
2025-05-17 17:02:45,781,1378,802,721,976,954,702,963,0,0,BASELINE,2.75
2025-05-17 17:03:00,844,1503,834,791,990,988,758,959,0,0,BASELINE,3.0
2025-05-17 17:03:15,861,1506,842,795,1013,980,766,961,0,0,BASELINE,3.25
2025-05-17 17:03:30,865,1495,854,783,1014,967,758,977,0,0,BASELINE,3.5
2025-05-17 17:03:45,863,1139,772,762,1090,943,752,984,0,0,BASELINE,3.75
2025-05-17 17:04:00,745,940,670,650,1057,870,680,865,0,0,BASELINE,4.0
2025-05-17 17:04:15,745,940,670,650,1059,870,680,865,0,0,BASELINE,4.25
2025-05-17 17:04:30,1495,1735,1430,1470,1058,1830,1500,1720,0,0,BASELINE,4.5
2025-05-17 17:04:45,1075,1335,1117,1470,1135,1830,1500,1011,0,0,BASELINE,4.75
2025-05-17 17:05:00,1203,1735,1430,1470,1555,1830,1500,1010,0,0,BASELINE,5.0
2025-05-17 17:05:15,1495,1735,1430,1470,1555,1830,1500,1720,0,0,BASELINE,5.25
2025-05-17 17:05:30,725,840,605,635,760,870,600,830,0,0,BASELINE,5.5
2025-05-17 17:05:45,725,840,605,635,760,870,600,830,0,0,BASELINE,5.75
2025-05-17 17:06:00,830,834,737,745,897,948,673,954,0,0,BASELINE,6.0
2025-05-17 17:06:15,829,823,734,749,897,948,673,954,0,0,BASELINE,6.25
2025-05-17 17:06:30,829,793,717,753,901,946,673,955,0,0,BASELINE,6.5
2025-05-17 17:06:45,828,799,724,758,907,915,699,957,0,0,BASELINE,6.75
2025-05-17 17:07:00,827,796,718,755,880,909,700,955,0,0,BASELINE,7.0
2025-05-17 17:07:15,825,807,720,752,882,906,701,955,0,0,BASELINE,7.25
2025-05-17 17:07:30,802,856,701,718,878,843,710,956,0,0,BASELINE,7.5
2025-05-17 17:07:45,723,950,649,688,880,769,730,954,0,0,BASELINE,7.75
2025-05-17 17:08:00,714,897,648,688,830,764,729,890,0,0,BASELINE,8.0
2025-05-17 17:08:15,705,888,646,691,828,767,731,889,0,0,BASELINE,8.25
2025-05-17 17:08:30,703,852,650,696,833,783,729,859,0,0,BASELINE,8.5
2025-05-17 17:08:45,678,755,729,700,824,836,722,758,0,0,BASELINE,8.75
2025-05-17 17:09:00,679,747,726,700,816,843,738,764,0,0,BASELINE,9.0
2025-05-17 17:09:15,679,742,726,695,808,848,741,773,0,0,BASELINE,9.25
2025-05-17 17:09:30,679,737,725,672,787,862,746,782,0,0,BASELINE,9.5
2025-05-17 17:09:45,671,743,705,643,655,882,765,864,0,0,BASELINE,9.75
2025-05-17 17:10:00,641,746,700,657,649,873,761,856,0,0,BASELINE,10.0
2025-05-17 17:10:15,638,755,685,642,648,862,756,849,0,0,BASELINE,10.25
2025-05-17 17:10:30,636,829,666,629,658,793,714,827,0,0,BASELINE,10.5
2025-05-17 17:10:45,545,966,627,565,681,766,619,719,0,0,BASELINE,10.75
2025-05-17 17:11:00,545,966,629,558,676,765,614,729,0,0,BASELINE,11.0
2025-05-17 17:11:15,554,961,634,561,679,773,614,731,0,0,BASELINE,11.25
2025-05-17 17:11:30,584,912,637,561,678,827,624,734,0,0,BASELINE,11.5
2025-05-17 17:11:45,661,825,645,540,701,882,645,781,0,0,BASELINE,11.75
2025-05-17 17:12:00,661,816,632,539,693,876,640,782,0,0,BASELINE,12.0
2025-05-17 17:12:15,660,800,628,540,699,869,632,774,0,0,BASELINE,12.25
2025-05-17 17:12:30,657,774,618,543,694,831,620,757,0,0,BASELINE,12.5
2025-05-17 17:12:45,580,673,567,563,673,713,570,715,0,0,BASELINE,12.75
2025-05-17 17:13:00,584,663,556,574,676,693,542,713,0,0,BASELINE,13.0
2025-05-17 17:13:15,583,658,552,576,677,690,544,713,0,0,BASELINE,13.25
2025-05-17 17:13:30,596,652,557,584,676,690,553,708,0,0,BASELINE,13.5
2025-05-17 17:13:45,690,632,587,630,631,676,605,689,0,0,BASELINE,13.75
2025-05-17 17:14:00,702,623,588,631,628,658,605,693,0,0,BASELINE,14.0
2025-05-17 17:14:15,703,626,586,618,624,652,604,693,0,0,BASELINE,14.25
2025-05-17 17:14:30,706,637,588,593,613,641,610,685,0,0,BASELINE,14.5
2025-05-17 17:14:45,748,660,603,529,575,654,657,651,0,0,BASELINE,14.75
2025-05-17 17:15:00,756,680,611,528,573,687,658,629,0,0,BASELINE,15.0
2025-05-17 17:15:15,738,700,615,531,585,709,659,627,0,0,BASELINE,15.25
2025-05-17 17:15:30,695,765,628,539,624,766,665,613,0,0,BASELINE,15.5
2025-05-17 17:15:45,581,892,659,558,686,956,686,602,0,0,BASELINE,15.75
2025-05-17 17:16:00,590,896,669,558,685,972,678,599,0,0,BASELINE,16.0
2025-05-17 17:16:15,577,867,668,557,677,973,679,596,0,0,BASELINE,16.25
2025-05-17 17:16:30,570,794,669,559,665,974,664,600,0,0,BASELINE,16.5
2025-05-17 17:16:45,553,741,658,560,603,976,624,631,0,0,BASELINE,16.75
2025-05-17 17:17:00,548,750,657,569,623,978,624,653,0,0,BASELINE,17.0
2025-05-17 17:17:15,558,756,655,573,625,966,627,658,0,0,BASELINE,17.25
2025-05-17 17:17:30,591,763,652,582,642,858,638,681,0,0,BASELINE,17.5
2025-05-17 17:17:45,703,799,639,614,924,760,672,861,0,0,BASELINE,17.75
2025-05-17 17:18:00,693,809,642,612,926,768,667,868,0,0,BASELINE,18.0
2025-05-17 17:18:15,696,800,642,610,915,762,666,873,0,0,BASELINE,18.25
2025-05-17 17:18:30,676,796,646,612,897,755,659,867,0,0,BASELINE,18.5
2025-05-17 17:18:45,614,764,663,617,789,714,593,879,0,0,BASELINE,18.75
2025-05-17 17:19:00,611,781,662,639,791,704,582,859,0,0,BASELINE,19.0
2025-05-17 17:19:15,610,781,663,644,794,701,581,859,0,0,BASELINE,19.25
2025-05-17 17:19:30,602,798,660,658,803,724,584,833,0,0,BASELINE,19.5
2025-05-17 17:19:45,588,836,637,697,858,750,624,723,0,0,BASELINE,19.75
