Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.75
2025-05-17 17:01:00,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,1.0
2025-05-17 17:01:15,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,1.25
2025-05-17 17:01:30,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,1.5
2025-05-17 17:01:45,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,1.75
2025-05-17 17:02:00,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,2.0
2025-05-17 17:02:15,880,1220,1560,1670,820,1070,1490,780,0,0,BASELINE,2.25
2025-05-17 17:02:30,979,990,1551,1564,859,1060,1520,852,0,0,BASELINE,2.5
2025-05-17 17:02:45,1069,839,1621,1521,858,1016,1691,954,0,0,BASELINE,2.75
2025-05-17 17:03:00,1074,865,1572,1560,859,1022,1758,957,0,0,BASELINE,3.0
2025-05-17 17:03:15,1063,880,1568,1593,858,1029,1762,981,0,0,BASELINE,3.25
2025-05-17 17:03:30,1066,920,1555,1686,861,1033,1749,998,0,0,BASELINE,3.5
2025-05-17 17:03:45,1049,1058,1565,1797,1063,1142,1714,1090,0,0,BASELINE,3.75
2025-05-17 17:04:00,1077,1095,1627,1811,1069,1156,1687,1108,0,0,BASELINE,4.0
2025-05-17 17:04:15,1076,1097,1640,1808,1062,1163,1690,1117,0,0,BASELINE,4.25
2025-05-17 17:04:30,1125,1140,1763,1802,1060,1159,1701,1148,0,0,BASELINE,4.5
2025-05-17 17:04:45,1305,1198,1942,1812,1056,1262,1698,1306,0,0,BASELINE,4.75
2025-05-17 17:05:00,1320,1214,1974,1858,1090,1278,1738,1350,0,0,BASELINE,5.0
2025-05-17 17:05:15,1346,1240,1991,1886,1097,1289,1746,1359,0,0,BASELINE,5.25
2025-05-17 17:05:30,1383,1285,2038,2006,1132,1298,1776,1383,0,0,BASELINE,5.5
2025-05-17 17:05:45,1509,1452,2125,2295,1395,1377,2142,1405,0,0,BASELINE,5.75
2025-05-17 17:06:00,1519,1444,2149,2268,1423,1388,2174,1406,0,0,BASELINE,6.0
2025-05-17 17:06:15,1491,1443,2152,2237,1434,1397,2176,1406,0,0,BASELINE,6.25
2025-05-17 17:06:30,1384,1445,2063,2170,1437,1411,2163,1406,0,0,BASELINE,6.5
2025-05-17 17:06:45,1232,1354,1930,1985,1365,1427,1998,1390,0,0,BASELINE,6.75
2025-05-17 17:07:00,1211,1331,1886,1971,1347,1405,1986,1352,0,0,BASELINE,7.0
2025-05-17 17:07:15,1201,1336,1891,1959,1342,1404,1979,1347,0,0,BASELINE,7.25
2025-05-17 17:07:30,1188,1301,1860,1947,1346,1374,1971,1337,0,0,BASELINE,7.5
2025-05-17 17:07:45,1142,1227,1819,1935,1278,1274,2010,1256,0,0,BASELINE,7.75
