Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,5775,5980,9815,2550,5930,5810,2400,1640,0,0,BASELINE,0.0
2025-05-17 17:00:15,5775,5980,9815,2550,5930,5810,2400,1640,0,0,BASELINE,0.25
2025-05-17 17:00:30,6785,7025,11455,5440,6990,6790,5160,3160,0,0,BASELINE,0.5
2025-05-17 17:00:45,3260,3690,5940,5440,3590,3380,5160,3160,0,0,BASELINE,0.75
2025-05-17 17:01:00,6785,7025,11455,11260,6990,6790,11120,6740,0,0,BASELINE,1.0
2025-05-17 17:01:15,6785,7025,11455,11260,6990,6790,11120,6740,0,0,BASELINE,1.25
2025-05-17 17:01:30,10615,10245,17070,17335,10610,10210,17495,10560,0,0,BASELINE,1.5
2025-05-17 17:01:45,10615,10130,17170,17335,10610,10210,17495,10560,0,0,BASELINE,1.75
2025-05-17 17:02:00,10920,10130,17170,17590,10830,10220,17910,10800,0,0,BASELINE,2.0
2025-05-17 17:02:15,10920,10130,17170,17590,10830,10220,17910,10800,0,0,BASELINE,2.25
2025-05-17 17:02:30,9191,9495,14470,15883,10541,10064,15802,10350,0,0,BASELINE,2.5
2025-05-17 17:02:45,9083,10042,14744,15364,10292,9689,15119,9887,0,0,BASELINE,2.75
2025-05-17 17:03:00,9082,10156,15020,15132,10034,9598,15154,9402,0,0,BASELINE,3.0
2025-05-17 17:03:15,8910,10106,15114,15059,9987,9526,15120,9371,0,0,BASELINE,3.25
2025-05-17 17:03:30,8792,9959,14943,14683,9710,9086,14615,9169,0,0,BASELINE,3.5
2025-05-17 17:03:45,8386,8697,14021,13972,9182,8472,14046,8688,0,0,BASELINE,3.75
2025-05-17 17:04:00,8208,8602,14087,14228,8997,8522,14129,8677,0,0,BASELINE,4.0
2025-05-17 17:04:15,8138,8568,14066,14102,8925,8424,14154,8445,0,0,BASELINE,4.25
2025-05-17 17:04:30,7877,8483,14025,13894,8820,8197,14027,8401,0,0,BASELINE,4.5
2025-05-17 17:04:45,7641,8132,13295,13289,8557,7980,13698,8058,0,0,BASELINE,4.75
2025-05-17 17:05:00,7354,8003,12693,13092,8365,7767,13357,7929,0,0,BASELINE,5.0
2025-05-17 17:05:15,7321,8000,12756,13050,8358,7816,13327,7944,0,0,BASELINE,5.25
2025-05-17 17:05:30,7343,7990,12794,13108,8364,7893,13368,8071,0,0,BASELINE,5.5
2025-05-17 17:05:45,7458,7915,13324,13111,8371,8076,13269,7975,0,0,BASELINE,5.75
2025-05-17 17:06:00,7662,8038,13636,13297,8387,8283,13625,8197,0,0,BASELINE,6.0
2025-05-17 17:06:15,7693,8032,13684,13354,8434,8257,13661,8277,0,0,BASELINE,6.25
2025-05-17 17:06:30,8085,8084,13773,13767,8497,8336,13982,8490,0,0,BASELINE,6.5
2025-05-17 17:06:45,8677,8445,14702,14652,8669,8389,14665,8749,0,0,BASELINE,6.75
2025-05-17 17:07:00,8704,8456,14751,14719,8693,8420,14640,8769,0,0,BASELINE,7.0
2025-05-17 17:07:15,8763,8502,14760,14756,8688,8434,14604,8757,0,0,BASELINE,7.25
2025-05-17 17:07:30,8810,8560,14766,14900,8717,8662,14631,8767,0,0,BASELINE,7.5
2025-05-17 17:07:45,8862,8809,14716,14977,8841,8788,14746,9053,0,0,BASELINE,7.75
2025-05-17 17:08:00,8949,8844,14870,15084,8811,8850,14808,9070,0,0,BASELINE,8.0
2025-05-17 17:08:15,8961,8892,14932,15115,8848,8848,14858,9059,0,0,BASELINE,8.25
2025-05-17 17:08:30,9133,8945,15117,15187,8909,8949,15094,9104,0,0,BASELINE,8.5
2025-05-17 17:08:45,9440,9386,15638,15235,9376,9303,15794,9398,0,0,BASELINE,8.75
2025-05-17 17:09:00,9447,9501,15675,15354,9490,9293,15916,9526,0,0,BASELINE,9.0
2025-05-17 17:09:15,9457,9526,15694,15407,9488,9327,15898,9538,0,0,BASELINE,9.25
2025-05-17 17:09:30,9472,9571,15685,15365,9486,9380,15935,9567,0,0,BASELINE,9.5
2025-05-17 17:09:45,9455,9650,15501,15367,9373,9443,15900,9680,0,0,BASELINE,9.75
2025-05-17 17:10:00,9415,9602,15431,15356,9332,9440,15814,9669,0,0,BASELINE,10.0
2025-05-17 17:10:15,9388,9598,15411,15336,9344,9437,15754,9680,0,0,BASELINE,10.25
2025-05-17 17:10:30,9271,9583,15392,15183,9276,9247,15697,9657,0,0,BASELINE,10.5
2025-05-17 17:10:45,8959,9283,15395,14802,8985,8986,15305,9621,0,0,BASELINE,10.75
2025-05-17 17:11:00,8971,9296,15424,14778,8967,9008,15354,9576,0,0,BASELINE,11.0
2025-05-17 17:11:15,9024,9288,15427,14750,8969,8997,15300,9574,0,0,BASELINE,11.25
2025-05-17 17:11:30,9071,9256,15454,14814,8953,9141,15207,9566,0,0,BASELINE,11.5
2025-05-17 17:11:45,9192,8971,15541,15056,8888,9314,14970,9528,0,0,BASELINE,11.75
2025-05-17 17:12:00,9153,8978,15534,15047,8903,9317,15010,9533,0,0,BASELINE,12.0
2025-05-17 17:12:15,9165,8968,15517,15005,8911,9308,15016,9526,0,0,BASELINE,12.25
2025-05-17 17:12:30,8961,8959,15420,15007,8941,9264,15142,9538,0,0,BASELINE,12.5
2025-05-17 17:12:45,8717,8963,15297,15032,9168,9228,15474,9561,0,0,BASELINE,12.75
2025-05-17 17:13:00,8727,9013,15298,15039,9211,9298,15411,9568,0,0,BASELINE,13.0
2025-05-17 17:13:15,8790,9035,15298,15069,9217,9287,15421,9563,0,0,BASELINE,13.25
2025-05-17 17:13:30,9058,9115,15374,15125,9249,9380,15388,9561,0,0,BASELINE,13.5
2025-05-17 17:13:45,9589,9605,15569,15255,9379,9478,15274,9612,0,0,BASELINE,13.75
2025-05-17 17:14:00,9653,9603,15580,15196,9411,9536,15312,9612,0,0,BASELINE,14.0
2025-05-17 17:14:15,9700,9616,15575,15233,9411,9540,15353,9609,0,0,BASELINE,14.25
2025-05-17 17:14:30,9737,9615,15568,15521,9468,9514,15602,9614,0,0,BASELINE,14.5
2025-05-17 17:14:45,9866,9614,15495,15810,9759,9511,16116,9608,0,0,BASELINE,14.75
2025-05-17 17:15:00,9882,9612,15505,15822,9754,9536,16099,9613,0,0,BASELINE,15.0
2025-05-17 17:15:15,9866,9622,15481,15849,9735,9557,16128,9613,0,0,BASELINE,15.25
2025-05-17 17:15:30,9691,9637,15695,15855,9735,9752,16210,9647,0,0,BASELINE,15.5
2025-05-17 17:15:45,9370,9883,16057,15856,9505,10126,16236,9904,0,0,BASELINE,15.75
2025-05-17 17:16:00,9443,9890,16075,16030,9513,10019,16319,9938,0,0,BASELINE,16.0
2025-05-17 17:16:15,9476,9890,16111,16061,9518,10032,16331,9911,0,0,BASELINE,16.25
2025-05-17 17:16:30,9542,9924,16135,16217,9535,10188,16292,9957,0,0,BASELINE,16.5
2025-05-17 17:16:45,9680,10047,16227,16647,9731,10032,16211,10226,0,0,BASELINE,16.75
2025-05-17 17:17:00,9687,10046,16301,16698,9846,10059,16156,10286,0,0,BASELINE,17.0
2025-05-17 17:17:15,9649,10046,16303,16662,9861,10042,16158,10302,0,0,BASELINE,17.25
2025-05-17 17:17:30,9637,10036,16316,16687,9933,9856,16178,10306,0,0,BASELINE,17.5
2025-05-17 17:17:45,9557,9858,16513,16717,10276,9593,16251,10294,0,0,BASELINE,17.75
2025-05-17 17:18:00,9590,9885,16474,16701,10331,9608,16266,10295,0,0,BASELINE,18.0
2025-05-17 17:18:15,9567,9891,16485,16696,10312,9647,16255,10289,0,0,BASELINE,18.25
2025-05-17 17:18:30,9566,9891,16480,16673,10317,9708,16151,10271,0,0,BASELINE,18.5
2025-05-17 17:18:45,9568,9858,16134,16593,10061,9826,16094,10270,0,0,BASELINE,18.75
2025-05-17 17:19:00,9583,9860,16139,16517,10017,9823,16057,10295,0,0,BASELINE,19.0
2025-05-17 17:19:15,9581,9871,16142,16517,10016,9808,16080,10307,0,0,BASELINE,19.25
2025-05-17 17:19:30,9579,9917,16186,16525,10030,9729,16206,10327,0,0,BASELINE,19.5
2025-05-17 17:19:45,9605,10205,16651,16476,10131,9621,16477,10608,0,0,BASELINE,19.75
2025-05-17 17:20:00,9693,10208,16728,16478,10161,9634,16514,10616,0,0,BASELINE,20.0
2025-05-17 17:20:15,9707,10192,16735,16476,10165,9622,16527,10567,0,0,BASELINE,20.25
2025-05-17 17:20:30,9812,10224,16739,16472,10169,9655,16527,10447,0,0,BASELINE,20.5
2025-05-17 17:20:45,10109,10384,16776,16383,10234,9700,16628,10085,0,0,BASELINE,20.75
2025-05-17 17:21:00,10099,10376,16771,16397,10233,9692,16641,10081,0,0,BASELINE,21.0
2025-05-17 17:21:15,10114,10389,16759,16403,10229,9705,16640,10085,0,0,BASELINE,21.25
2025-05-17 17:21:30,10097,10392,16704,16449,10209,9760,16681,10060,0,0,BASELINE,21.5
2025-05-17 17:21:45,10077,10511,16591,16575,10055,9816,16741,10071,0,0,BASELINE,21.75
2025-05-17 17:22:00,10110,10448,16622,16579,10057,9826,16679,10074,0,0,BASELINE,22.0
2025-05-17 17:22:15,10110,10445,16639,16594,10051,9745,16672,10073,0,0,BASELINE,22.25
