Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,10,40,40,0,10,70,0,0,0,BASELINE,0.0
2025-05-17 17:00:15,10,10,40,40,0,10,70,0,0,0,BASELINE,0.25
2025-05-17 17:00:30,20,10,10,10,80,30,110,40,0,0,BASELINE,0.5
2025-05-17 17:00:45,18,15,21,19,77,35,95,39,0,0,BASELINE,0.75
2025-05-17 17:01:00,19,15,23,21,79,44,99,45,0,0,BASELINE,1.0
2025-05-17 17:01:15,18,15,66,46,68,98,72,81,0,0,BASELINE,1.25
2025-05-17 17:01:30,14,16,69,46,44,126,72,102,0,0,BASELINE,1.5
2025-05-17 17:01:45,11,37,164,105,15,257,17,187,0,0,BASELINE,1.75
2025-05-17 17:02:00,12,36,174,126,11,262,17,182,0,0,BASELINE,2.0
2025-05-17 17:02:15,34,34,162,222,60,189,101,132,0,0,BASELINE,2.25
2025-05-17 17:02:30,64,34,162,234,132,159,103,115,0,0,BASELINE,2.5
2025-05-17 17:02:45,71,22,150,413,171,34,354,45,0,0,BASELINE,2.75
2025-05-17 17:03:00,71,19,153,426,180,28,346,36,0,0,BASELINE,3.0
2025-05-17 17:03:15,57,19,165,369,176,17,219,39,0,0,BASELINE,3.25
2025-05-17 17:03:30,39,19,174,362,176,17,217,39,0,0,BASELINE,3.5
2025-05-17 17:03:45,2,11,245,331,176,13,105,8,0,0,BASELINE,3.75
2025-05-17 17:04:00,5,11,257,308,176,19,106,10,0,0,BASELINE,4.0
2025-05-17 17:04:15,59,15,237,287,167,67,103,67,0,0,BASELINE,4.25
2025-05-17 17:04:30,130,15,227,239,132,68,103,84,0,0,BASELINE,4.5
2025-05-17 17:04:45,245,36,137,147,74,46,100,250,0,0,BASELINE,4.75
2025-05-17 17:05:00,255,36,113,140,71,50,100,253,0,0,BASELINE,5.0
2025-05-17 17:05:15,206,34,121,165,91,66,101,207,0,0,BASELINE,5.25
2025-05-17 17:05:30,178,34,122,169,100,72,103,196,0,0,BASELINE,5.5
2025-05-17 17:05:45,142,22,156,260,94,186,123,153,0,0,BASELINE,5.75
2025-05-17 17:06:00,147,19,159,261,102,186,118,145,0,0,BASELINE,6.0
2025-05-17 17:06:15,164,18,160,216,127,169,93,120,0,0,BASELINE,6.25
2025-05-17 17:06:30,206,18,160,178,149,168,89,113,0,0,BASELINE,6.5
2025-05-17 17:06:45,239,3,163,128,162,124,38,50,0,0,BASELINE,6.75
2025-05-17 17:07:00,238,2,158,124,162,124,35,45,0,0,BASELINE,7.0
2025-05-17 17:07:15,185,14,144,109,137,178,74,88,0,0,BASELINE,7.25
2025-05-17 17:07:30,139,15,111,109,101,198,75,91,0,0,BASELINE,7.5
2025-05-17 17:07:45,88,30,37,87,34,379,166,125,0,0,BASELINE,7.75
2025-05-17 17:08:00,83,30,39,83,36,371,163,125,0,0,BASELINE,8.0
2025-05-17 17:08:15,56,41,38,83,88,274,119,119,0,0,BASELINE,8.25
2025-05-17 17:08:30,48,42,38,83,181,206,119,116,0,0,BASELINE,8.5
2025-05-17 17:08:45,34,66,52,90,265,61,55,53,0,0,BASELINE,8.75
2025-05-17 17:09:00,34,67,54,93,278,71,45,46,0,0,BASELINE,9.0
2025-05-17 17:09:15,38,58,49,97,326,56,46,89,0,0,BASELINE,9.25
2025-05-17 17:09:30,45,56,49,97,398,50,45,120,0,0,BASELINE,9.5
2025-05-17 17:09:45,58,44,42,111,457,21,13,225,0,0,BASELINE,9.75
2025-05-17 17:10:00,63,40,43,111,479,20,10,221,0,0,BASELINE,10.0
2025-05-17 17:10:15,124,35,62,107,380,83,51,170,0,0,BASELINE,10.25
2025-05-17 17:10:30,204,34,62,107,217,125,52,164,0,0,BASELINE,10.5
2025-05-17 17:10:45,299,15,86,151,81,350,50,131,0,0,BASELINE,10.75
2025-05-17 17:11:00,299,12,87,158,66,322,58,111,0,0,BASELINE,11.0
2025-05-17 17:11:15,225,16,76,157,46,210,75,84,0,0,BASELINE,11.25
2025-05-17 17:11:30,123,18,75,157,37,181,75,74,0,0,BASELINE,11.5
2025-05-17 17:11:45,31,66,20,174,23,28,72,14,0,0,BASELINE,11.75
2025-05-17 17:12:00,11,62,18,175,27,27,75,10,0,0,BASELINE,12.0
2025-05-17 17:12:15,18,48,31,164,69,19,79,41,0,0,BASELINE,12.25
2025-05-17 17:12:30,31,46,29,164,140,21,79,44,0,0,BASELINE,12.5
2025-05-17 17:12:45,47,24,22,146,194,46,81,46,0,0,BASELINE,12.75
2025-05-17 17:13:00,50,21,26,137,189,46,82,54,0,0,BASELINE,13.0
2025-05-17 17:13:15,53,19,59,125,164,48,93,54,0,0,BASELINE,13.25
2025-05-17 17:13:30,53,19,60,121,112,48,115,52,0,0,BASELINE,13.5
2025-05-17 17:13:45,52,3,88,76,63,12,203,11,0,0,BASELINE,13.75
2025-05-17 17:14:00,52,2,88,70,64,6,206,10,0,0,BASELINE,14.0
2025-05-17 17:14:15,50,15,77,74,66,20,158,41,0,0,BASELINE,14.25
2025-05-17 17:14:30,41,16,77,74,69,21,153,41,0,0,BASELINE,14.5
2025-05-17 17:14:45,22,37,53,78,78,37,77,11,0,0,BASELINE,14.75
2025-05-17 17:15:00,21,36,51,82,97,36,81,12,0,0,BASELINE,15.0
2025-05-17 17:15:15,25,36,61,84,137,73,77,36,0,0,BASELINE,15.25
2025-05-17 17:15:30,43,36,62,85,297,73,83,36,0,0,BASELINE,15.5
2025-05-17 17:15:45,63,48,75,142,454,52,92,8,0,0,BASELINE,15.75
2025-05-17 17:16:00,66,49,82,154,463,45,95,8,0,0,BASELINE,16.0
2025-05-17 17:16:15,63,43,89,155,459,49,118,41,0,0,BASELINE,16.25
2025-05-17 17:16:30,46,41,90,158,469,49,123,41,0,0,BASELINE,16.5
2025-05-17 17:16:45,4,11,141,185,498,39,157,16,0,0,BASELINE,16.75
2025-05-17 17:17:00,3,4,141,185,511,46,167,18,0,0,BASELINE,17.0
2025-05-17 17:17:15,32,20,124,154,431,75,166,41,0,0,BASELINE,17.25
2025-05-17 17:17:30,55,24,121,140,269,79,166,41,0,0,BASELINE,17.5
2025-05-17 17:17:45,96,92,59,96,92,148,166,27,0,0,BASELINE,17.75
2025-05-17 17:18:00,105,93,57,88,96,146,166,29,0,0,BASELINE,18.0
2025-05-17 17:18:15,122,63,48,81,104,140,166,47,0,0,BASELINE,18.25
