Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,5775,5980,9815,2550,5930,5810,2400,1640,0,0,BASELINE,0.0
2025-05-17 17:00:15,5775,5980,9815,2550,5930,5810,2400,1640,0,0,BASELINE,0.25
2025-05-17 17:00:30,6785,7025,11455,5440,6990,6790,5160,3160,0,0,BASELINE,0.5
2025-05-17 17:00:45,3260,3690,5940,5440,3590,3380,5160,3160,0,0,BASELINE,0.75
2025-05-17 17:01:00,6785,7025,11455,11260,6990,6790,11120,6740,0,0,BASELINE,1.0
2025-05-17 17:01:15,6785,7025,11455,11260,6990,6790,11120,6740,0,0,BASELINE,1.25
2025-05-17 17:01:30,10615,10245,17070,17335,10610,10210,17495,10560,0,0,BASELINE,1.5
2025-05-17 17:01:45,10615,10130,17170,17335,10610,10210,17495,10560,0,0,BASELINE,1.75
2025-05-17 17:02:00,10920,10130,17170,17590,10830,10220,17910,10800,0,0,BASELINE,2.0
2025-05-17 17:02:15,10920,10130,17170,17590,10830,10220,17910,10800,0,0,BASELINE,2.25
2025-05-17 17:02:30,9091,9623,14889,16080,10143,9932,15666,10177,0,0,BASELINE,2.5
2025-05-17 17:02:45,9040,10048,14923,15599,9956,9696,15103,9757,0,0,BASELINE,2.75
2025-05-17 17:03:00,9105,10101,15551,15387,9817,9597,15137,9228,0,0,BASELINE,3.0
2025-05-17 17:03:15,9014,9974,15434,15383,9749,9550,15055,9195,0,0,BASELINE,3.25
2025-05-17 17:03:30,9004,9571,14784,14849,9445,9020,14484,9023,0,0,BASELINE,3.5
2025-05-17 17:03:45,8415,8706,13998,13968,9086,8403,14177,8666,0,0,BASELINE,3.75
2025-05-17 17:04:00,8238,8593,14119,14208,8879,8475,14279,8729,0,0,BASELINE,4.0
2025-05-17 17:04:15,8176,8603,13980,13958,8893,8433,14218,8535,0,0,BASELINE,4.25
2025-05-17 17:04:30,8100,8444,13687,13680,8707,8149,14085,8449,0,0,BASELINE,4.5
2025-05-17 17:04:45,7784,8108,12793,13137,8425,7852,13864,8084,0,0,BASELINE,4.75
2025-05-17 17:05:00,7449,7945,12557,12910,8209,7746,13401,7897,0,0,BASELINE,5.0
2025-05-17 17:05:15,7418,7904,12633,12880,8189,7780,13390,7941,0,0,BASELINE,5.25
2025-05-17 17:05:30,7423,7761,12774,12917,8122,7854,13335,7981,0,0,BASELINE,5.5
2025-05-17 17:05:45,7538,7723,13302,13040,8087,8008,13358,7982,0,0,BASELINE,5.75
2025-05-17 17:06:00,7708,7785,13592,13111,8196,8246,13470,8243,0,0,BASELINE,6.0
2025-05-17 17:06:15,7645,7804,13674,13226,8218,8216,13490,8277,0,0,BASELINE,6.25
2025-05-17 17:06:30,7901,7968,14012,13656,8492,8290,13872,8387,0,0,BASELINE,6.5
2025-05-17 17:06:45,8554,8447,14742,14610,8621,8385,14583,8619,0,0,BASELINE,6.75
2025-05-17 17:07:00,8541,8466,14762,14712,8699,8404,14692,8646,0,0,BASELINE,7.0
2025-05-17 17:07:15,8721,8508,14802,14681,8697,8387,14665,8675,0,0,BASELINE,7.25
2025-05-17 17:07:30,8720,8597,14802,14889,8746,8636,14722,8761,0,0,BASELINE,7.5
2025-05-17 17:07:45,8843,8902,14740,15096,8831,8812,14709,9071,0,0,BASELINE,7.75
2025-05-17 17:08:00,8981,8905,14880,15046,8879,8834,14813,9021,0,0,BASELINE,8.0
2025-05-17 17:08:15,9006,8935,14818,15106,8940,8842,14889,9018,0,0,BASELINE,8.25
2025-05-17 17:08:30,9137,9027,15133,15223,9056,8905,15082,9110,0,0,BASELINE,8.5
2025-05-17 17:08:45,9483,9328,15770,15368,9442,9233,15970,9366,0,0,BASELINE,8.75
2025-05-17 17:09:00,9510,9451,15788,15425,9541,9304,15870,9539,0,0,BASELINE,9.0
2025-05-17 17:09:15,9511,9508,15779,15458,9522,9313,15936,9547,0,0,BASELINE,9.25
2025-05-17 17:09:30,9516,9590,15667,15466,9495,9349,15940,9571,0,0,BASELINE,9.5
2025-05-17 17:09:45,9476,9723,15381,15338,9433,9410,15869,9611,0,0,BASELINE,9.75
2025-05-17 17:10:00,9408,9649,15384,15278,9371,9391,15826,9653,0,0,BASELINE,10.0
2025-05-17 17:10:15,9390,9641,15386,15278,9370,9392,15793,9653,0,0,BASELINE,10.25
2025-05-17 17:10:30,9376,9506,15333,15070,9213,9241,15722,9635,0,0,BASELINE,10.5
2025-05-17 17:10:45,9028,9233,15305,14562,8998,9017,15397,9599,0,0,BASELINE,10.75
2025-05-17 17:11:00,9078,9233,15374,14617,9017,9022,15325,9567,0,0,BASELINE,11.0
2025-05-17 17:11:15,9098,9221,15364,14584,8975,9029,15302,9563,0,0,BASELINE,11.25
2025-05-17 17:11:30,9116,9164,15498,14687,8934,9119,15164,9562,0,0,BASELINE,11.5
2025-05-17 17:11:45,9233,8898,15586,14994,8852,9288,15008,9528,0,0,BASELINE,11.75
2025-05-17 17:12:00,9182,8876,15575,15019,8851,9293,14978,9534,0,0,BASELINE,12.0
2025-05-17 17:12:15,9149,8869,15545,14996,8870,9271,15031,9527,0,0,BASELINE,12.25
2025-05-17 17:12:30,9055,8870,15323,14972,8953,9248,15167,9523,0,0,BASELINE,12.5
2025-05-17 17:12:45,8716,8886,15122,14954,9148,9236,15500,9548,0,0,BASELINE,12.75
2025-05-17 17:13:00,8789,9014,15064,15031,9220,9289,15416,9551,0,0,BASELINE,13.0
2025-05-17 17:13:15,8860,9082,15123,15044,9220,9283,15404,9548,0,0,BASELINE,13.25
2025-05-17 17:13:30,8948,9260,15272,15098,9259,9365,15377,9545,0,0,BASELINE,13.5
2025-05-17 17:13:45,9590,9595,15574,15226,9357,9428,15311,9584,0,0,BASELINE,13.75
2025-05-17 17:14:00,9669,9606,15618,15229,9419,9511,15309,9585,0,0,BASELINE,14.0
2025-05-17 17:14:15,9673,9615,15599,15255,9402,9526,15375,9581,0,0,BASELINE,14.25
2025-05-17 17:14:30,9706,9614,15549,15489,9531,9510,15627,9579,0,0,BASELINE,14.5
2025-05-17 17:14:45,9865,9602,15468,15873,9790,9512,16004,9571,0,0,BASELINE,14.75
2025-05-17 17:15:00,9832,9611,15501,15871,9711,9555,16078,9588,0,0,BASELINE,15.0
2025-05-17 17:15:15,9844,9647,15515,15881,9711,9565,16117,9593,0,0,BASELINE,15.25
2025-05-17 17:15:30,9795,9694,15718,15907,9688,9687,16200,9628,0,0,BASELINE,15.5
2025-05-17 17:15:45,9402,9926,15982,15880,9443,10124,16278,9888,0,0,BASELINE,15.75
2025-05-17 17:16:00,9385,9908,16064,15952,9531,9967,16382,9919,0,0,BASELINE,16.0
2025-05-17 17:16:15,9410,9899,16087,15961,9535,9982,16416,9884,0,0,BASELINE,16.25
2025-05-17 17:16:30,9467,9936,16128,16185,9588,9991,16289,9937,0,0,BASELINE,16.5
2025-05-17 17:16:45,9664,10018,16171,16696,9730,10032,16223,10166,0,0,BASELINE,16.75
2025-05-17 17:17:00,9653,10020,16300,16721,9835,10017,16180,10239,0,0,BASELINE,17.0
2025-05-17 17:17:15,9637,10013,16285,16715,9871,9998,16183,10260,0,0,BASELINE,17.25
2025-05-17 17:17:30,9601,9952,16389,16697,10070,9899,16173,10263,0,0,BASELINE,17.5
2025-05-17 17:17:45,9552,9815,16587,16682,10334,9622,16252,10251,0,0,BASELINE,17.75
2025-05-17 17:18:00,9607,9823,16587,16702,10367,9634,16256,10282,0,0,BASELINE,18.0
2025-05-17 17:18:15,9578,9811,16531,16690,10359,9666,16263,10279,0,0,BASELINE,18.25
2025-05-17 17:18:30,9572,9803,16383,16653,10265,9715,16166,10283,0,0,BASELINE,18.5
2025-05-17 17:18:45,9570,9780,16011,16576,10066,9824,16089,10282,0,0,BASELINE,18.75
2025-05-17 17:19:00,9594,9800,16016,16509,10037,9805,16070,10303,0,0,BASELINE,19.0
2025-05-17 17:19:15,9590,9817,16077,16500,10042,9799,16080,10304,0,0,BASELINE,19.25
2025-05-17 17:19:30,9594,9957,16238,16501,10047,9764,16198,10308,0,0,BASELINE,19.5
2025-05-17 17:19:45,9615,10240,16650,16434,10127,9639,16399,10504,0,0,BASELINE,19.75
2025-05-17 17:20:00,9644,10243,16727,16429,10177,9656,16481,10516,0,0,BASELINE,20.0
2025-05-17 17:20:15,9661,10254,16734,16426,10174,9654,16497,10517,0,0,BASELINE,20.25
2025-05-17 17:20:30,9757,10309,16776,16377,10199,9659,16533,10461,0,0,BASELINE,20.5
2025-05-17 17:20:45,10008,10410,16787,16283,10220,9712,16596,10133,0,0,BASELINE,20.75
2025-05-17 17:21:00,10014,10428,16792,16298,10216,9699,16625,10132,0,0,BASELINE,21.0
2025-05-17 17:21:15,10031,10444,16765,16318,10207,9706,16634,10134,0,0,BASELINE,21.25
2025-05-17 17:21:30,10038,10451,16672,16397,10208,9711,16660,10132,0,0,BASELINE,21.5
2025-05-17 17:21:45,10024,10517,16550,16519,10042,9774,16727,10135,0,0,BASELINE,21.75
2025-05-17 17:22:00,10067,10434,16566,16559,10039,9774,16677,10133,0,0,BASELINE,22.0
2025-05-17 17:22:15,10072,10433,16608,16569,10027,9739,16656,10120,0,0,BASELINE,22.25
