Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,20,10,70,0,20,10,30,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,10,20,10,70,0,20,10,30,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,10,10,30,20,10,40,20,30,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,16,10,24,34,9,34,19,28,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,16,11,27,24,9,33,19,28,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,16,12,29,15,7,40,16,28,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,16,12,29,15,5,20,13,27,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,4,18,23,12,0,20,10,20,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,3,18,22,11,0,20,10,20,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,16,16,23,11,3,20,10,14,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,17,14,23,11,6,20,12,13,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,17,2,23,10,9,20,10,10,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,19,1,23,9,9,20,10,10,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,24,8,23,10,6,20,10,15,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,24,8,23,10,3,20,5,10,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,28,9,11,10,0,5,5,10,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,30,9,11,10,0,0,5,10,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,32,11,14,11,3,2,5,7,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,32,11,14,11,5,15,5,5,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,22,11,4,14,9,20,5,5,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,22,11,5,15,9,20,5,5,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,24,10,16,15,5,20,0,5,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,24,5,16,15,3,13,0,10,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,34,5,18,12,0,1,0,10,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,35,5,19,11,0,2,0,10,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,32,5,15,11,7,7,0,10,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,31,5,5,10,17,7,0,11,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,13,5,2,9,28,8,0,11,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,12,5,0,9,28,8,0,11,0,0,CPU_STRESS,7.0
