Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.0
2025-05-17 17:00:15,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.25
2025-05-17 17:00:30,130,260,180,130,130,210,100,130,0,0,MEM_STRESS,0.5
2025-05-17 17:00:45,382,581,461,303,296,240,239,247,0,0,MEM_STRESS,0.75
2025-05-17 17:01:00,780,990,945,270,275,243,250,275,0,0,MEM_STRESS,1.0
2025-05-17 17:01:15,780,990,945,270,275,256,250,275,0,0,MEM_STRESS,1.25
2025-05-17 17:01:30,1135,1295,1355,375,400,274,415,415,0,0,MEM_STRESS,1.5
2025-05-17 17:01:45,1135,1295,1355,340,380,358,415,410,0,0,MEM_STRESS,1.75
2025-05-17 17:02:00,840,870,1000,340,380,362,430,410,0,0,MEM_STRESS,2.0
2025-05-17 17:02:15,500,580,750,320,370,349,310,340,0,0,MEM_STRESS,2.25
2025-05-17 17:02:30,500,580,750,323,371,318,310,355,0,0,MEM_STRESS,2.5
2025-05-17 17:02:45,534,588,767,314,370,309,319,358,0,0,MEM_STRESS,2.75
2025-05-17 17:03:00,466,545,727,311,371,312,284,359,0,0,MEM_STRESS,3.0
2025-05-17 17:03:15,462,546,726,310,370,314,279,359,0,0,MEM_STRESS,3.25
2025-05-17 17:03:30,439,540,713,287,345,335,262,381,0,0,MEM_STRESS,3.5
2025-05-17 17:03:45,434,536,706,280,343,340,266,390,0,0,MEM_STRESS,3.75
2025-05-17 17:04:00,445,526,704,276,347,344,264,400,0,0,MEM_STRESS,4.0
2025-05-17 17:04:15,456,508,703,276,348,343,264,401,0,0,MEM_STRESS,4.25
2025-05-17 17:04:30,486,498,694,271,351,345,279,418,0,0,MEM_STRESS,4.5
2025-05-17 17:04:45,494,504,690,277,354,350,281,422,0,0,MEM_STRESS,4.75
2025-05-17 17:05:00,508,527,690,294,363,354,282,429,0,0,MEM_STRESS,5.0
2025-05-17 17:05:15,535,580,690,300,365,372,286,429,0,0,MEM_STRESS,5.25
2025-05-17 17:05:30,562,637,689,330,370,423,307,445,0,0,MEM_STRESS,5.5
2025-05-17 17:05:45,586,644,689,343,372,428,317,447,0,0,MEM_STRESS,5.75
2025-05-17 17:06:00,600,632,690,360,378,413,323,450,0,0,MEM_STRESS,6.0
2025-05-17 17:06:15,607,622,690,362,378,412,325,451,0,0,MEM_STRESS,6.25
2025-05-17 17:06:30,685,614,701,388,378,380,339,466,0,0,MEM_STRESS,6.5
2025-05-17 17:06:45,689,618,707,389,380,376,348,468,0,0,MEM_STRESS,6.75
2025-05-17 17:07:00,670,633,711,406,385,392,356,468,0,0,MEM_STRESS,7.0
2025-05-17 17:07:15,668,690,723,409,385,393,357,468,0,0,MEM_STRESS,7.25
2025-05-17 17:07:30,602,720,789,436,375,418,407,463,0,0,MEM_STRESS,7.5
2025-05-17 17:07:45,597,741,810,437,375,419,420,463,0,0,MEM_STRESS,7.75
2025-05-17 17:08:00,609,760,804,442,382,424,427,463,0,0,MEM_STRESS,8.0
2025-05-17 17:08:15,610,798,805,442,385,424,427,463,0,0,MEM_STRESS,8.25
2025-05-17 17:08:30,626,828,764,441,459,425,446,473,0,0,MEM_STRESS,8.5
2025-05-17 17:08:45,622,838,753,441,457,427,446,476,0,0,MEM_STRESS,8.75
2025-05-17 17:09:00,615,887,749,443,459,429,445,472,0,0,MEM_STRESS,9.0
2025-05-17 17:09:15,604,991,747,447,459,441,445,472,0,0,MEM_STRESS,9.25
2025-05-17 17:09:30,518,1073,705,456,447,487,442,472,0,0,MEM_STRESS,9.5
2025-05-17 17:09:45,520,1095,696,453,436,490,441,472,0,0,MEM_STRESS,9.75
2025-05-17 17:10:00,569,1068,693,442,436,488,443,472,0,0,MEM_STRESS,10.0
2025-05-17 17:10:15,580,1030,693,442,436,488,443,472,0,0,MEM_STRESS,10.25
2025-05-17 17:10:30,696,1007,722,395,424,505,447,446,0,0,MEM_STRESS,10.5
2025-05-17 17:10:45,713,1000,730,393,422,504,447,443,0,0,MEM_STRESS,10.75
2025-05-17 17:11:00,750,1040,744,411,422,489,445,442,0,0,MEM_STRESS,11.0
2025-05-17 17:11:15,752,1152,752,416,423,488,445,442,0,0,MEM_STRESS,11.25
2025-05-17 17:11:30,802,1204,830,438,454,467,437,457,0,0,MEM_STRESS,11.5
2025-05-17 17:11:45,862,1235,865,438,458,467,435,460,0,0,MEM_STRESS,11.75
2025-05-17 17:12:00,907,1234,878,449,460,477,439,464,0,0,MEM_STRESS,12.0
2025-05-17 17:12:15,914,1231,879,454,461,477,440,464,0,0,MEM_STRESS,12.25
2025-05-17 17:12:30,932,1219,890,459,461,482,440,465,0,0,MEM_STRESS,12.5
2025-05-17 17:12:45,1116,1214,1022,510,510,497,490,492,0,0,MEM_STRESS,12.75
2025-05-17 17:13:00,1183,1214,1133,511,517,498,493,494,0,0,MEM_STRESS,13.0
2025-05-17 17:13:15,1163,1218,1179,499,517,495,493,486,0,0,MEM_STRESS,13.25
2025-05-17 17:13:30,1163,1245,1207,499,517,495,492,486,0,0,MEM_STRESS,13.5
2025-05-17 17:13:45,1070,1243,1240,482,530,490,474,474,0,0,MEM_STRESS,13.75
2025-05-17 17:14:00,1055,1253,1282,478,530,488,469,470,0,0,MEM_STRESS,14.0
2025-05-17 17:14:15,1137,1356,1357,469,516,476,464,468,0,0,MEM_STRESS,14.25
2025-05-17 17:14:30,1167,1429,1407,461,516,464,462,428,0,0,MEM_STRESS,14.5
2025-05-17 17:14:45,1190,1443,1431,460,515,464,461,429,0,0,MEM_STRESS,14.75
2025-05-17 17:15:00,1259,1489,1498,453,516,479,461,432,0,0,MEM_STRESS,15.0
2025-05-17 17:15:15,1269,1561,1513,453,516,485,462,433,0,0,MEM_STRESS,15.25
2025-05-17 17:15:30,1313,1617,1575,466,559,525,473,463,0,0,MEM_STRESS,15.5
2025-05-17 17:15:45,1330,1621,1598,469,560,538,477,466,0,0,MEM_STRESS,15.75
2025-05-17 17:16:00,1295,1546,1579,469,544,543,478,468,0,0,MEM_STRESS,16.0
2025-05-17 17:16:15,1292,1423,1579,468,538,543,478,468,0,0,MEM_STRESS,16.25
2025-05-17 17:16:30,1262,1322,1473,461,481,543,503,507,0,0,MEM_STRESS,16.5
2025-05-17 17:16:45,1266,1290,1429,458,472,543,505,513,0,0,MEM_STRESS,16.75
2025-05-17 17:17:00,1376,1310,1484,449,470,539,487,498,0,0,MEM_STRESS,17.0
2025-05-17 17:17:15,1394,1351,1487,443,470,527,483,498,0,0,MEM_STRESS,17.25
2025-05-17 17:17:30,1671,1384,1506,432,461,500,435,491,0,0,MEM_STRESS,17.5
2025-05-17 17:17:45,1671,1388,1535,429,460,487,418,487,0,0,MEM_STRESS,17.75
2025-05-17 17:18:00,1599,1477,1578,421,457,469,416,477,0,0,MEM_STRESS,18.0
2025-05-17 17:18:15,1593,1607,1582,421,456,459,416,476,0,0,MEM_STRESS,18.25
2025-05-17 17:18:30,1416,1739,1618,420,452,423,429,463,0,0,MEM_STRESS,18.5
