Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.0
2025-05-17 17:00:15,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.25
2025-05-17 17:00:30,500,670,750,710,990,1120,760,810,0,0,MEM_STRESS,0.5
2025-05-17 17:00:45,522,687,786,777,976,1112,1046,890,0,0,MEM_STRESS,0.75
2025-05-17 17:01:00,536,713,797,794,1029,1132,865,893,0,0,MEM_STRESS,1.0
2025-05-17 17:01:15,652,764,886,904,1120,1195,865,951,0,0,MEM_STRESS,1.25
2025-05-17 17:01:30,840,778,921,1013,1160,1201,1505,1002,0,0,MEM_STRESS,1.5
2025-05-17 17:01:45,973,1044,1220,1491,1479,1424,2040,1476,0,0,MEM_STRESS,1.75
2025-05-17 17:02:00,1016,1059,1234,1556,1524,1455,2040,1606,0,0,MEM_STRESS,2.0
2025-05-17 17:02:15,1029,1084,1247,1536,1559,1415,1360,1670,0,0,MEM_STRESS,2.25
2025-05-17 17:02:30,1050,1071,1237,1533,1526,1323,1541,1605,0,0,MEM_STRESS,2.5
2025-05-17 17:02:45,1048,1077,1234,1523,1526,1308,1448,1576,0,0,MEM_STRESS,2.75
2025-05-17 17:03:00,1012,1086,1234,1498,1524,1348,1295,1574,0,0,MEM_STRESS,3.0
2025-05-17 17:03:15,984,1088,1235,1484,1527,1352,1292,1578,0,0,MEM_STRESS,3.25
2025-05-17 17:03:30,830,1153,1258,1320,1544,1554,1175,1696,0,0,MEM_STRESS,3.5
2025-05-17 17:03:45,826,1155,1265,1269,1546,1606,1162,1729,0,0,MEM_STRESS,3.75
2025-05-17 17:04:00,861,1143,1274,1247,1557,1542,1221,1717,0,0,MEM_STRESS,4.0
2025-05-17 17:04:15,868,1139,1272,1247,1558,1542,1237,1717,0,0,MEM_STRESS,4.25
2025-05-17 17:04:30,964,1063,1314,1243,1575,1426,1332,1792,0,0,MEM_STRESS,4.5
2025-05-17 17:04:45,989,1055,1320,1253,1576,1413,1365,1829,0,0,MEM_STRESS,4.75
2025-05-17 17:05:00,1031,1071,1324,1280,1579,1441,1367,1832,0,0,MEM_STRESS,5.0
2025-05-17 17:05:15,1034,1075,1323,1292,1581,1446,1363,1832,0,0,MEM_STRESS,5.25
2025-05-17 17:05:30,1100,1188,1296,1466,1636,1557,1276,1921,0,0,MEM_STRESS,5.5
2025-05-17 17:05:45,1115,1197,1293,1492,1645,1574,1273,1976,0,0,MEM_STRESS,5.75
2025-05-17 17:06:00,1118,1148,1292,1532,1638,1568,1301,1990,0,0,MEM_STRESS,6.0
2025-05-17 17:06:15,1118,1146,1292,1537,1640,1568,1313,1990,0,0,MEM_STRESS,6.25
2025-05-17 17:06:30,1126,1091,1271,1620,1736,1452,1385,1953,0,0,MEM_STRESS,6.5
2025-05-17 17:06:45,1123,1075,1268,1638,1746,1428,1422,1935,0,0,MEM_STRESS,6.75
2025-05-17 17:07:00,1103,1088,1271,1665,1687,1459,1499,1935,0,0,MEM_STRESS,7.0
2025-05-17 17:07:15,1077,1084,1271,1670,1673,1470,1523,1924,0,0,MEM_STRESS,7.25
2025-05-17 17:07:30,964,1033,1256,1801,1445,1624,1732,1850,0,0,MEM_STRESS,7.5
2025-05-17 17:07:45,952,1028,1249,1836,1440,1661,1742,1799,0,0,MEM_STRESS,7.75
2025-05-17 17:08:00,961,1057,1249,1822,1458,1643,1717,1751,0,0,MEM_STRESS,8.0
2025-05-17 17:08:15,962,1060,1249,1821,1462,1643,1718,1743,0,0,MEM_STRESS,8.25
2025-05-17 17:08:30,1026,1262,1242,1817,1542,1596,1727,1697,0,0,MEM_STRESS,8.5
2025-05-17 17:08:45,1027,1293,1239,1821,1549,1596,1698,1671,0,0,MEM_STRESS,8.75
2025-05-17 17:09:00,1022,1326,1237,1825,1563,1583,1662,1658,0,0,MEM_STRESS,9.0
2025-05-17 17:09:15,1022,1334,1234,1830,1565,1583,1631,1663,0,0,MEM_STRESS,9.25
2025-05-17 17:09:30,1009,1491,1185,1857,1601,1656,1474,1795,0,0,MEM_STRESS,9.5
2025-05-17 17:09:45,1012,1525,1187,1824,1607,1677,1474,1835,0,0,MEM_STRESS,9.75
2025-05-17 17:10:00,1046,1545,1193,1777,1590,1698,1518,1830,0,0,MEM_STRESS,10.0
2025-05-17 17:10:15,1083,1545,1206,1726,1589,1699,1521,1821,0,0,MEM_STRESS,10.25
2025-05-17 17:10:30,1286,1546,1338,1534,1595,1698,1592,1694,0,0,MEM_STRESS,10.5
2025-05-17 17:10:45,1303,1548,1376,1511,1593,1695,1588,1647,0,0,MEM_STRESS,10.75
2025-05-17 17:11:00,1285,1551,1388,1533,1585,1691,1544,1620,0,0,MEM_STRESS,11.0
2025-05-17 17:11:15,1279,1563,1390,1533,1577,1678,1526,1625,0,0,MEM_STRESS,11.25
2025-05-17 17:11:30,1255,1603,1485,1595,1467,1590,1404,1660,0,0,MEM_STRESS,11.5
2025-05-17 17:11:45,1249,1615,1499,1606,1467,1582,1411,1675,0,0,MEM_STRESS,11.75
2025-05-17 17:12:00,1251,1613,1489,1619,1503,1565,1430,1681,0,0,MEM_STRESS,12.0
2025-05-17 17:12:15,1261,1613,1489,1620,1504,1565,1442,1680,0,0,MEM_STRESS,12.25
2025-05-17 17:12:30,1285,1613,1489,1623,1512,1566,1480,1681,0,0,MEM_STRESS,12.5
