Time,mem_available,source,Minutes
2025-05-17 16:59:30,17382456.0,DELAY,0.0
2025-05-17 16:59:45,17382456.0,DELAY,0.25
2025-05-17 17:00:00,16763048.0,DELAY,0.5
2025-05-17 17:00:15,16763048.0,DELAY,0.75
2025-05-17 17:00:30,16763048.0,DELAY,1.0
2025-05-17 17:00:45,16763048.0,DELAY,1.25
2025-05-17 17:01:00,16763048.0,DELAY,1.5
2025-05-17 17:01:15,17086752.0,DELAY,1.75
2025-05-17 17:01:30,17086752.0,DELAY,2.0
2025-05-17 17:01:45,17086752.0,DELAY,2.25
2025-05-17 17:02:00,16526955.808357866,DELAY,2.5
2025-05-17 17:02:15,16522509.339024533,DELAY,2.75
2025-05-17 17:02:30,16472493.545142861,DELAY,3.0
2025-05-17 17:02:45,16459252.722047618,DELAY,3.25
2025-05-17 17:03:00,16422568.964190478,DELAY,3.5
2025-05-17 17:03:15,16357554.810155844,DELAY,3.75
2025-05-17 17:03:30,16209263.60584127,DELAY,4.0
2025-05-17 17:03:45,16210898.999108223,DELAY,4.25
2025-05-17 17:04:00,16140067.740632033,DELAY,4.5
2025-05-17 17:04:15,16025640.357838383,DELAY,4.75
2025-05-17 17:04:30,15820505.09399689,DELAY,5.0
2025-05-17 17:04:45,15765365.69847619,DELAY,5.25
2025-05-17 17:05:00,15726462.46958563,DELAY,5.5
2025-05-17 17:05:15,15612158.466604393,DELAY,5.75
2025-05-17 17:05:30,15444838.564231081,DELAY,6.0
2025-05-17 17:05:45,15414667.340984665,DELAY,6.25
2025-05-17 17:06:00,15401755.221814502,DELAY,6.5
2025-05-17 17:06:15,15404776.65542056,DELAY,6.75
2025-05-17 17:06:30,15389263.687566772,DELAY,7.0
2025-05-17 17:06:45,15336563.687623572,DELAY,7.25
2025-05-17 17:07:00,15299167.869067933,DELAY,7.5
2025-05-17 17:07:15,15258681.40798857,DELAY,7.75
2025-05-17 17:07:30,15167553.7953219,DELAY,8.0
2025-05-17 17:07:45,15115775.403327566,DELAY,8.25
2025-05-17 17:08:00,15126557.102340551,DELAY,8.5
2025-05-17 17:08:15,15065631.645647911,DELAY,8.75
2025-05-17 17:08:30,14980871.006490225,DELAY,9.0
2025-05-17 17:08:45,14968744.940926312,DELAY,9.25
2025-05-17 17:09:00,14960790.105116786,DELAY,9.5
2025-05-17 17:09:15,14955542.724881493,DELAY,9.75
2025-05-17 17:09:30,14933082.735992605,DELAY,10.0
2025-05-17 17:09:45,14900939.841708098,DELAY,10.25
2025-05-17 17:10:00,14886602.688314822,DELAY,10.5
2025-05-17 17:10:15,14831268.47625133,DELAY,10.75
2025-05-17 17:10:30,14643010.572390234,DELAY,11.0
2025-05-17 17:10:45,14601409.632945681,DELAY,11.25
2025-05-17 17:11:00,14539940.212082077,DELAY,11.5
2025-05-17 17:11:15,14471409.740136717,DELAY,11.75
2025-05-17 17:11:30,14412562.541737702,DELAY,12.0
2025-05-17 17:11:45,14385084.631378395,DELAY,12.25
2025-05-17 17:12:00,14387633.74871173,DELAY,12.5
2025-05-17 17:12:15,14358892.009271951,DELAY,12.75
2025-05-17 17:12:30,14330286.411271948,DELAY,13.0
2025-05-17 17:12:45,14319134.234723719,DELAY,13.25
2025-05-17 17:13:00,14326899.871295147,DELAY,13.5
2025-05-17 17:13:15,14279745.29953995,DELAY,13.75
2025-05-17 17:13:30,14244950.826844933,DELAY,14.0
2025-05-17 17:13:45,14192332.663460316,DELAY,14.25
2025-05-17 17:14:00,14153508.860285714,DELAY,14.5
2025-05-17 17:14:15,13984949.065565746,DELAY,14.75
2025-05-17 17:14:30,13976431.200803842,DELAY,15.0
2025-05-17 17:14:45,13951368.319725366,DELAY,15.25
2025-05-17 17:15:00,13886744.149150755,DELAY,15.5
2025-05-17 17:15:15,13808743.044047188,DELAY,15.75
2025-05-17 17:15:30,13809196.828490626,DELAY,16.0
2025-05-17 17:15:45,13805213.993939904,DELAY,16.25
2025-05-17 17:16:00,13783843.978541635,DELAY,16.5
2025-05-17 17:16:15,13772853.865726369,DELAY,16.75
2025-05-17 17:16:30,13773651.375749629,DELAY,17.0
2025-05-17 17:16:45,13771921.223749628,DELAY,17.25
2025-05-17 17:17:00,13773200.185987592,DELAY,17.5
2025-05-17 17:17:15,13772898.077589324,DELAY,17.75
2025-05-17 17:17:30,13746909.792800613,DELAY,18.0
2025-05-17 17:17:45,13745173.952800613,DELAY,18.25
2025-05-17 17:18:00,13740771.663709706,DELAY,18.5
2025-05-17 17:18:15,13724148.289945358,DELAY,18.75
2025-05-17 17:18:30,13643145.435892247,DELAY,19.0
2025-05-17 17:18:45,13612809.659738518,DELAY,19.25
2025-05-17 17:19:00,13606412.755244058,DELAY,19.5
2025-05-17 17:19:15,13590328.999556499,DELAY,19.75
2025-05-17 17:19:30,13516447.671123885,DELAY,20.0
2025-05-17 17:19:45,13490935.026083903,DELAY,20.25
2025-05-17 17:20:00,13477918.287449563,DELAY,20.5
2025-05-17 17:20:15,13473633.617876504,DELAY,20.75
2025-05-17 17:20:30,13434872.89491216,DELAY,21.0
2025-05-17 17:20:45,13444118.17658,DELAY,21.25
2025-05-17 17:21:00,13442865.339913333,DELAY,21.5
2025-05-17 17:21:15,13432779.005961407,DELAY,21.75
2025-05-17 17:21:30,13431757.76604349,DELAY,22.0
2025-05-17 17:21:45,13425613.886803437,DELAY,22.25
2025-05-17 17:22:00,13418615.113187892,DELAY,22.5
2025-05-17 17:22:15,13347449.56510644,DELAY,22.75
2025-05-17 17:22:30,13326497.748472106,DELAY,23.0
2025-05-17 17:22:45,13328204.94890672,DELAY,23.25
2025-05-17 17:23:00,13323359.986578515,DELAY,23.5
2025-05-17 17:23:15,13293362.788660679,DELAY,23.75
2025-05-17 17:23:30,13286185.559083205,DELAY,24.0
2025-05-17 17:23:45,13292085.619740821,DELAY,24.25
2025-05-17 17:24:00,13288755.90240749,DELAY,24.5
2025-05-17 17:24:15,13285866.74135987,DELAY,24.75
2025-05-17 17:24:30,13277523.422300415,DELAY,25.0
2025-05-17 17:24:45,13277438.355252797,DELAY,25.25
2025-05-17 17:25:00,13275303.30533072,DELAY,25.5
2025-05-17 17:25:15,13259707.399953626,DELAY,25.75
2025-05-17 17:25:30,13261535.819953626,DELAY,26.0
2025-05-17 17:25:45,13261535.819953626,DELAY,26.25
2025-05-17 17:26:00,13261656.619953625,DELAY,26.5
2025-05-17 17:26:15,13267994.10070471,DELAY,26.75
2025-05-17 17:26:30,13265678.697855039,DELAY,27.0
2025-05-17 17:26:45,13264460.27118837,DELAY,27.25
2025-05-17 17:27:00,13247684.394061802,DELAY,27.5
2025-05-17 17:27:15,13231996.721821256,DELAY,27.75
2025-05-17 17:27:30,13232177.55818489,DELAY,28.0
2025-05-17 17:27:45,13232177.55818489,DELAY,28.25
2025-05-17 17:28:00,13231640.719151072,DELAY,28.5
2025-05-17 17:28:15,13230626.375402823,DELAY,28.75
2025-05-17 17:28:30,13209595.091740217,DELAY,29.0
2025-05-17 17:28:45,13209595.091740217,DELAY,29.25
2025-05-17 17:29:00,13186224.392813476,DELAY,29.5
2025-05-17 17:29:15,13120065.099378617,DELAY,29.75
2025-05-17 17:29:30,13089576.986867154,DELAY,30.0
2025-05-17 17:29:45,13089576.986867154,DELAY,30.25
2025-05-17 17:30:00,13085725.826867154,DELAY,30.5
2025-05-17 17:30:15,13065701.201216357,DELAY,30.75
2025-05-17 17:30:30,13021111.361691935,DELAY,31.0
2025-05-17 17:30:45,13020612.73191416,DELAY,31.25
2025-05-17 17:31:00,13020876.89191416,DELAY,31.5
2025-05-17 17:31:15,13024700.787088763,DELAY,31.75
2025-05-17 17:31:30,13018732.564539742,DELAY,32.0
2025-05-17 17:31:45,12994570.00695795,DELAY,32.25
2025-05-17 17:32:00,12971326.058767473,DELAY,32.5
2025-05-17 17:32:15,12931382.940238504,DELAY,32.75
2025-05-17 17:32:30,12906125.389721444,DELAY,33.0
2025-05-17 17:32:45,12893308.657320287,DELAY,33.25
2025-05-17 17:33:00,12897797.731739867,DELAY,33.5
2025-05-17 17:33:15,12899454.115073202,DELAY,33.75
2025-05-17 17:33:30,12900305.1750732,DELAY,34.0
2025-05-17 17:33:45,12897925.615073202,DELAY,34.25
2025-05-17 17:34:00,12894995.667380894,DELAY,34.5
2025-05-17 17:34:15,12894995.667380894,DELAY,34.75
2025-05-17 17:34:30,12892978.459588688,DELAY,35.0
2025-05-17 17:34:45,12886050.795836756,DELAY,35.25
2025-05-17 17:35:00,12878335.705130873,DELAY,35.5
2025-05-17 17:35:15,12880369.33340674,DELAY,35.75
2025-05-17 17:35:30,12879890.04007341,DELAY,36.0
2025-05-17 17:35:45,12879353.704073407,DELAY,36.25
2025-05-17 17:36:00,12879353.704073407,DELAY,36.5
2025-05-17 17:36:15,12872603.80051038,DELAY,36.75
2025-05-17 17:36:30,12872148.95708181,DELAY,37.0
2025-05-17 17:36:45,12870227.953445446,DELAY,37.25
2025-05-17 17:37:00,12851551.370427798,DELAY,37.5
2025-05-17 17:37:15,12821949.852373745,DELAY,37.75
2025-05-17 17:37:30,12745964.213837307,DELAY,38.0
2025-05-17 17:37:45,12742468.16460654,DELAY,38.25
2025-05-17 17:38:00,12738560.575118642,DELAY,38.5
2025-05-17 17:38:15,12736443.708451977,DELAY,38.75
2025-05-17 17:38:30,12713164.037266128,DELAY,39.0
2025-05-17 17:38:45,12713564.943932796,DELAY,39.25
2025-05-17 17:39:00,12694328.585569035,DELAY,39.5
2025-05-17 17:39:15,12682684.115569036,DELAY,39.75
2025-05-17 17:39:30,12679882.482134217,DELAY,40.0
2025-05-17 17:39:45,12644522.481190043,DELAY,40.25
2025-05-17 17:40:00,12612358.312309487,DELAY,40.5
2025-05-17 17:40:15,12571321.82669019,DELAY,40.75
2025-05-17 17:40:30,12412862.96592887,DELAY,41.0
2025-05-17 17:40:45,12405025.169428118,DELAY,41.25
2025-05-17 17:41:00,12421037.809978511,DELAY,41.5
2025-05-17 17:41:15,12422631.272835655,DELAY,41.75
2025-05-17 17:41:30,12433184.039441073,DELAY,42.0
2025-05-17 17:41:45,12421513.721836142,DELAY,42.25
2025-05-17 17:42:00,12421513.721836142,DELAY,42.5
2025-05-17 17:42:15,12422526.827718496,DELAY,42.75
2025-05-17 17:42:30,12414260.011960134,DELAY,43.0
2025-05-17 17:42:45,12415063.130702088,DELAY,43.25
2025-05-17 17:43:00,12417789.60935144,DELAY,43.5
2025-05-17 17:43:15,12419386.231413288,DELAY,43.75
2025-05-17 17:43:30,12417074.964265704,DELAY,44.0
