minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
0.0,0,0,10,10,10,0,10,0,0,0,IO,0.0,700,80,875,240,260,250,250,240,0,0,IO,0.0,615,715,730,827,880,835,890,815,0,0,IO,0.0,5345,4845,6505,17825,17560,17500,17320,16920,0,0,IO,0.0,26.32,28.205,27.005,32.49,32.31,32.16,31.685,30.8,0,0,IO,0.0
0.25,40,10,40,10,30,10,0,20,0,0,IO,0.25,880,440,1065,320,325,340,320,315,0,0,IO,0.25,875,975,925,1222,1280,1260,1270,1195,0,0,IO,0.25,6915,6585,8570,23375,23245,23855,22735,22440,0,0,IO,0.25,35.35,37.6,36.65,42.65,42.65,43.7,41.55,40.85,0,0,IO,0.25
0.5,40,10,40,10,30,10,0,20,0,0,IO,0.5,880,440,1065,320,325,340,320,315,0,0,IO,0.5,875,975,925,1222,1280,1260,1270,1195,0,0,IO,0.5,6915,6585,8570,23375,23245,23855,22735,22440,0,0,IO,0.5,35.35,37.6,36.65,42.65,42.65,43.7,41.55,40.85,0,0,IO,0.5
0.75,40,10,40,10,30,10,0,20,0,0,IO,0.75,390,440,420,200,190,230,190,190,0,0,IO,0.75,680,710,570,960,1020,1060,990,940,0,0,IO,0.75,3770,3940,4430,11720,12170,13280,11600,11530,0,0,IO,0.75,20.3,20.8,20.9,21.7,22.5,24.5,21.5,21.3,0,0,IO,0.75
1.0,40,10,40,10,30,10,0,20,0,0,IO,1.0,390,440,420,200,190,230,190,190,0,0,IO,1.0,680,710,570,960,1020,1060,990,940,0,0,IO,1.0,3770,3940,4430,11720,12170,13280,11600,11530,0,0,IO,1.0,20.3,20.8,20.9,21.7,22.5,24.5,21.5,21.3,0,0,IO,1.0
1.25,40,10,40,10,30,10,0,20,0,0,IO,1.25,390,440,420,200,190,230,190,190,0,0,IO,1.25,680,710,570,960,1020,1060,990,940,0,0,IO,1.25,3770,3940,4430,11720,12170,13280,11600,11530,0,0,IO,1.25,20.3,20.8,20.9,21.7,22.5,24.5,21.5,21.3,0,0,IO,1.25
1.5,10,20,10,40,10,0,10,20,0,0,IO,1.5,570,650,590,300,390,410,380,360,0,0,IO,1.5,1050,1040,1160,1200,1680,1640,1700,1530,0,0,IO,1.5,5740,5850,6560,16430,21260,19320,18620,16170,0,0,IO,1.5,25.0,24.4,25.2,30.4,39.5,36.3,35.2,30.7,0,0,IO,1.5
1.75,10,20,10,40,10,0,10,20,0,0,IO,1.75,570,650,590,300,390,410,380,360,0,0,IO,1.75,1050,1040,1160,1200,1680,1640,1700,1530,0,0,IO,1.75,5740,5850,6560,16430,21260,19320,18620,16170,0,0,IO,1.75,25.0,24.4,25.2,30.4,39.5,36.3,35.2,30.7,0,0,IO,1.75
2.0,10,20,10,40,10,0,10,20,0,0,IO,2.0,570,650,590,300,390,410,380,360,0,0,IO,2.0,1050,1040,1160,1200,1680,1640,1700,1530,0,0,IO,2.0,5740,5850,6560,16430,21260,19320,18620,16170,0,0,IO,2.0,25.0,24.4,25.2,30.4,39.5,36.3,35.2,30.7,0,0,IO,2.0
2.25,10,20,10,40,10,0,10,20,0,0,IO,2.25,570,650,590,300,390,410,380,360,0,0,IO,2.25,1050,1040,1160,1200,1680,1640,1700,1530,0,0,IO,2.25,5740,5850,6560,16430,21260,19320,18620,16170,0,0,IO,2.25,25.0,24.4,25.2,30.4,39.5,36.3,35.2,30.7,0,0,IO,2.25
