Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,700,80,875,240,260,250,250,240,0,0,IO,0.0
2025-05-17 17:00:15,880,440,1065,320,325,340,320,315,0,0,IO,0.25
2025-05-17 17:00:30,880,440,1065,320,325,340,320,315,0,0,IO,0.5
2025-05-17 17:00:45,390,440,420,200,190,230,190,190,0,0,IO,0.75
2025-05-17 17:01:00,390,440,420,200,190,230,190,190,0,0,IO,1.0
2025-05-17 17:01:15,390,440,420,200,190,230,190,190,0,0,IO,1.25
2025-05-17 17:01:30,570,650,590,300,390,410,380,360,0,0,IO,1.5
2025-05-17 17:01:45,570,650,590,300,390,410,380,360,0,0,IO,1.75
2025-05-17 17:02:00,570,650,590,300,390,410,380,360,0,0,IO,2.0
2025-05-17 17:02:15,570,650,590,300,390,410,380,360,0,0,IO,2.25
2025-05-17 17:02:30,471,596,636,312,370,339,348,348,0,0,IO,2.5
2025-05-17 17:02:45,469,539,708,317,371,307,365,350,0,0,IO,2.75
2025-05-17 17:03:00,471,540,708,320,369,307,369,359,0,0,IO,3.0
2025-05-17 17:03:15,468,543,704,320,364,307,367,358,0,0,IO,3.25
2025-05-17 17:03:30,466,542,694,321,357,303,366,357,0,0,IO,3.5
2025-05-17 17:03:45,440,540,631,320,332,303,364,347,0,0,IO,3.75
2025-05-17 17:04:00,441,562,633,316,334,316,379,343,0,0,IO,4.0
2025-05-17 17:04:15,446,567,641,317,334,314,380,340,0,0,IO,4.25
2025-05-17 17:04:30,492,609,645,318,350,323,387,334,0,0,IO,4.5
2025-05-17 17:04:45,580,695,699,327,384,342,465,312,0,0,IO,4.75
2025-05-17 17:05:00,581,701,692,332,386,347,471,313,0,0,IO,5.0
2025-05-17 17:05:15,582,706,688,334,387,349,474,317,0,0,IO,5.25
2025-05-17 17:05:30,581,703,681,341,389,352,473,337,0,0,IO,5.5
2025-05-17 17:05:45,557,646,631,384,405,369,449,368,0,0,IO,5.75
2025-05-17 17:06:00,551,652,600,387,403,376,449,369,0,0,IO,6.0
2025-05-17 17:06:15,551,652,594,389,404,377,452,367,0,0,IO,6.25
2025-05-17 17:06:30,546,656,594,387,392,375,451,363,0,0,IO,6.5
2025-05-17 17:06:45,516,678,608,380,348,368,438,361,0,0,IO,6.75
2025-05-17 17:07:00,517,710,606,382,351,371,438,368,0,0,IO,7.0
2025-05-17 17:07:15,511,724,617,382,353,370,436,373,0,0,IO,7.25
2025-05-17 17:07:30,539,778,636,381,364,371,430,397,0,0,IO,7.5
2025-05-17 17:07:45,572,881,670,366,391,370,427,457,0,0,IO,7.75
2025-05-17 17:08:00,592,870,671,370,395,374,425,453,0,0,IO,8.0
2025-05-17 17:08:15,592,861,675,369,395,375,423,443,0,0,IO,8.25
2025-05-17 17:08:30,597,843,676,382,396,383,423,440,0,0,IO,8.5
2025-05-17 17:08:45,661,779,681,453,400,456,423,422,0,0,IO,8.75
2025-05-17 17:09:00,663,796,701,455,401,464,429,424,0,0,IO,9.0
2025-05-17 17:09:15,666,805,703,455,407,469,430,427,0,0,IO,9.25
2025-05-17 17:09:30,654,833,721,451,418,482,433,440,0,0,IO,9.5
2025-05-17 17:09:45,591,1053,845,449,504,507,488,466,0,0,IO,9.75
2025-05-17 17:10:00,594,1059,869,457,493,501,491,464,0,0,IO,10.0
2025-05-17 17:10:15,599,1042,871,457,491,503,487,465,0,0,IO,10.25
2025-05-17 17:10:30,613,998,884,461,490,488,484,465,0,0,IO,10.5
2025-05-17 17:10:45,768,933,941,472,475,430,449,473,0,0,IO,10.75
2025-05-17 17:11:00,799,940,1007,474,472,431,456,475,0,0,IO,11.0
2025-05-17 17:11:15,805,980,1024,474,473,429,461,477,0,0,IO,11.25
2025-05-17 17:11:30,885,1093,1091,470,470,430,500,490,0,0,IO,11.5
2025-05-17 17:11:45,909,1086,1103,470,470,433,502,492,0,0,IO,11.75
2025-05-17 17:12:00,966,1108,1119,471,475,438,504,497,0,0,IO,12.0
2025-05-17 17:12:15,1000,1086,1127,471,476,442,504,502,0,0,IO,12.25
2025-05-17 17:12:30,1091,1084,1108,476,495,484,504,522,0,0,IO,12.5
2025-05-17 17:12:45,1119,1093,1146,477,495,482,504,524,0,0,IO,12.75
2025-05-17 17:13:00,1118,1125,1168,479,495,481,504,513,0,0,IO,13.0
2025-05-17 17:13:15,1108,1237,1231,480,496,483,500,501,0,0,IO,13.25
2025-05-17 17:13:30,1096,1524,1455,497,504,486,490,477,0,0,IO,13.5
2025-05-17 17:13:45,1111,1567,1468,498,502,484,495,479,0,0,IO,13.75
2025-05-17 17:14:00,1118,1565,1478,495,502,483,498,475,0,0,IO,14.0
