Time,mem_cache,source,Minutes
2025-05-17 16:59:30,3868920,DELAY,0.0
2025-05-17 16:59:45,3868920,DELAY,0.25
2025-05-17 17:00:00,3874464,DELAY,0.5
2025-05-17 17:00:15,3871219,DELAY,0.75
2025-05-17 17:00:30,3872065,DELAY,1.0
2025-05-17 17:00:45,3864811,DELAY,1.25
2025-05-17 17:01:00,3864586,DELAY,1.5
2025-05-17 17:01:15,3861487,DELAY,1.75
2025-05-17 17:01:30,3842047,DELAY,2.0
2025-05-17 17:01:45,3835165,DELAY,2.25
2025-05-17 17:02:00,3835418,DELAY,2.5
2025-05-17 17:02:15,3835025,DELAY,2.75
2025-05-17 17:02:30,3835526,DELAY,3.0
2025-05-17 17:02:45,3835030,DELAY,3.25
2025-05-17 17:03:00,3834606,DELAY,3.5
2025-05-17 17:03:15,3834785,DELAY,3.75
2025-05-17 17:03:30,3835248,DELAY,4.0
2025-05-17 17:03:45,3835822,DELAY,4.25
2025-05-17 17:04:00,3835753,DELAY,4.5
2025-05-17 17:04:15,3836262,DELAY,4.75
2025-05-17 17:04:30,3837299,DELAY,5.0
2025-05-17 17:04:45,3838065,DELAY,5.25
2025-05-17 17:05:00,3838689,DELAY,5.5
2025-05-17 17:05:15,3839138,DELAY,5.75
2025-05-17 17:05:30,3839889,DELAY,6.0
2025-05-17 17:05:45,3840972,DELAY,6.25
2025-05-17 17:06:00,3841088,DELAY,6.5
2025-05-17 17:06:15,3841514,DELAY,6.75
2025-05-17 17:06:30,3842366,DELAY,7.0
2025-05-17 17:06:45,3842641,DELAY,7.25
2025-05-17 17:07:00,3843424,DELAY,7.5
2025-05-17 17:07:15,3843648,DELAY,7.75
2025-05-17 17:07:30,3844521,DELAY,8.0
2025-05-17 17:07:45,3845293,DELAY,8.25
2025-05-17 17:08:00,3846296,DELAY,8.5
2025-05-17 17:08:15,3846565,DELAY,8.75
2025-05-17 17:08:30,3847158,DELAY,9.0
2025-05-17 17:08:45,3847859,DELAY,9.25
2025-05-17 17:09:00,3848348,DELAY,9.5
2025-05-17 17:09:15,3848670,DELAY,9.75
2025-05-17 17:09:30,3849653,DELAY,10.0
2025-05-17 17:09:45,3850005,DELAY,10.25
2025-05-17 17:10:00,3850456,DELAY,10.5
2025-05-17 17:10:15,3850815,DELAY,10.75
2025-05-17 17:10:30,3851700,DELAY,11.0
2025-05-17 17:10:45,3852234,DELAY,11.25
2025-05-17 17:11:00,3852986,DELAY,11.5
2025-05-17 17:11:15,3853038,DELAY,11.75
2025-05-17 17:11:30,3853977,DELAY,12.0
2025-05-17 17:11:45,3854752,DELAY,12.25
2025-05-17 17:12:00,3855123,DELAY,12.5
2025-05-17 17:12:15,3856056,DELAY,12.75
2025-05-17 17:12:30,3856663,DELAY,13.0
2025-05-17 17:12:45,3857824,DELAY,13.25
2025-05-17 17:13:00,3857990,DELAY,13.5
2025-05-17 17:13:15,3858790,DELAY,13.75
2025-05-17 17:13:30,3859054,DELAY,14.0
2025-05-17 17:13:45,3859252,DELAY,14.25
2025-05-17 17:14:00,3859671,DELAY,14.5
2025-05-17 17:14:15,3860095,DELAY,14.75
2025-05-17 17:14:30,3860912,DELAY,15.0
2025-05-17 17:14:45,3860953,DELAY,15.25
2025-05-17 17:15:00,3861372,DELAY,15.5
2025-05-17 17:15:15,3861930,DELAY,15.75
2025-05-17 17:15:30,3862325,DELAY,16.0
2025-05-17 17:15:45,3862372,DELAY,16.25
2025-05-17 17:16:00,3862739,DELAY,16.5
2025-05-17 17:16:15,3863111,DELAY,16.75
2025-05-17 17:16:30,3864219,DELAY,17.0
2025-05-17 17:16:45,3864754,DELAY,17.25
2025-05-17 17:17:00,3865289,DELAY,17.5
2025-05-17 17:17:15,3865412,DELAY,17.75
2025-05-17 17:17:30,3865983,DELAY,18.0
2025-05-17 17:17:45,3866249,DELAY,18.25
2025-05-17 17:18:00,3866887,DELAY,18.5
2025-05-17 17:18:15,3866926,DELAY,18.75
2025-05-17 17:18:30,3867615,DELAY,19.0
2025-05-17 17:18:45,3867980,DELAY,19.25
2025-05-17 17:19:00,3868668,DELAY,19.5
2025-05-17 17:19:15,3868731,DELAY,19.75
2025-05-17 17:19:30,3868954,DELAY,20.0
2025-05-17 17:19:45,3867667,DELAY,20.25
2025-05-17 17:20:00,3867040,DELAY,20.5
2025-05-17 17:20:15,3866824,DELAY,20.75
2025-05-17 17:20:30,3865141,DELAY,21.0
2025-05-17 17:20:45,3864702,DELAY,21.25
2025-05-17 17:21:00,3863859,DELAY,21.5
2025-05-17 17:21:15,3863883,DELAY,21.75
2025-05-17 17:21:30,3864377,DELAY,22.0
2025-05-17 17:21:45,3864827,DELAY,22.25
2025-05-17 17:22:00,3865550,DELAY,22.5
2025-05-17 17:22:15,3865940,DELAY,22.75
2025-05-17 17:22:30,3866350,DELAY,23.0
2025-05-17 17:22:45,3866386,DELAY,23.25
2025-05-17 17:23:00,3866498,DELAY,23.5
2025-05-17 17:23:15,3867138,DELAY,23.75
2025-05-17 17:23:30,3867353,DELAY,24.0
2025-05-17 17:23:45,3867651,DELAY,24.25
2025-05-17 17:24:00,3867928,DELAY,24.5
2025-05-17 17:24:15,3868744,DELAY,24.75
2025-05-17 17:24:30,3869592,DELAY,25.0
2025-05-17 17:24:45,3873312,DELAY,25.25
2025-05-17 17:25:00,3876530,DELAY,25.5
2025-05-17 17:25:15,3882141,DELAY,25.75
2025-05-17 17:25:30,3884466,DELAY,26.0
2025-05-17 17:25:45,3880463,DELAY,26.25
2025-05-17 17:26:00,3879837,DELAY,26.5
2025-05-17 17:26:15,3879985,DELAY,26.75
2025-05-17 17:26:30,3878789,DELAY,27.0
2025-05-17 17:26:45,3878316,DELAY,27.25
2025-05-17 17:27:00,3878303,DELAY,27.5
2025-05-17 17:27:15,3877810,DELAY,27.75
2025-05-17 17:27:30,3877449,DELAY,28.0
2025-05-17 17:27:45,3877602,DELAY,28.25
2025-05-17 17:28:00,3877750,DELAY,28.5
2025-05-17 17:28:15,3878673,DELAY,28.75
2025-05-17 17:28:30,3877283,DELAY,29.0
2025-05-17 17:28:45,3876418,DELAY,29.25
2025-05-17 17:29:00,3878096,DELAY,29.5
2025-05-17 17:29:15,3878718,DELAY,29.75
2025-05-17 17:29:30,3878718,DELAY,30.0
2025-05-17 17:29:45,3878718,DELAY,30.25
2025-05-17 17:30:00,3879068,DELAY,30.5
2025-05-17 17:30:15,4924590,DELAY,30.75
2025-05-17 17:30:30,4924590,DELAY,31.0
2025-05-17 17:30:45,4924590,DELAY,31.25
2025-05-17 17:31:00,4924590,DELAY,31.5
2025-05-17 17:31:15,5562116,DELAY,31.75
2025-05-17 17:31:30,5562116,DELAY,32.0
2025-05-17 17:31:45,5562116,DELAY,32.25
2025-05-17 17:32:00,5277528,DELAY,32.5
2025-05-17 17:32:15,5277528,DELAY,32.75
2025-05-17 17:32:30,5255282,DELAY,33.0
2025-05-17 17:32:45,5228928,DELAY,33.25
2025-05-17 17:33:00,5235849,DELAY,33.5
2025-05-17 17:33:15,5242793,DELAY,33.75
2025-05-17 17:33:30,5250131,DELAY,34.0
2025-05-17 17:33:45,5268471,DELAY,34.25
2025-05-17 17:34:00,5287391,DELAY,34.5
2025-05-17 17:34:15,5381696,DELAY,34.75
2025-05-17 17:34:30,5427372,DELAY,35.0
2025-05-17 17:34:45,5455957,DELAY,35.25
2025-05-17 17:35:00,5461190,DELAY,35.5
2025-05-17 17:35:15,5466452,DELAY,35.75
2025-05-17 17:35:30,5471176,DELAY,36.0
2025-05-17 17:35:45,5475643,DELAY,36.25
2025-05-17 17:36:00,5478762,DELAY,36.5
2025-05-17 17:36:15,5486200,DELAY,36.75
2025-05-17 17:36:30,5547754,DELAY,37.0
2025-05-17 17:36:45,5563613,DELAY,37.25
2025-05-17 17:37:00,5603840,DELAY,37.5
2025-05-17 17:37:15,5602038,DELAY,37.75
2025-05-17 17:37:30,5617120,DELAY,38.0
2025-05-17 17:37:45,5607062,DELAY,38.25
2025-05-17 17:38:00,5606690,DELAY,38.5
