Time,openeuler-home,openeuler-root,openeuler-swap,sda,source,Minutes
2025-05-17 16:59:45,1892352,2224128,0,4050944,DELAY,0.0
2025-05-17 17:00:00,1892352,2224128,0,4050944,DELAY,0.25
2025-05-17 17:00:15,1892352,2224128,0,5320704,DELAY,0.5
2025-05-17 17:00:30,2161664,4224993,2254,5362733,DELAY,0.75
2025-05-17 17:00:45,3151872,4296077,2254,5749740,DELAY,1.0
2025-05-17 17:01:00,3151872,4763671,2254,6969096,DELAY,1.25
2025-05-17 17:01:15,3151872,4876312,2254,7077777,DELAY,1.5
2025-05-17 17:01:30,3151872,4965954,2254,9459997,DELAY,1.75
2025-05-17 17:01:45,1794048,4966967,2254,9510027,DELAY,2.0
2025-05-17 17:02:00,1794048,5016433,2254,8439870,DELAY,2.25
2025-05-17 17:02:15,1794048,5026469,2254,8112256,DELAY,2.5
2025-05-17 17:02:30,1451417,4987211,2254,6148134,DELAY,2.75
2025-05-17 17:02:45,1435648,4978839,2254,5844823,DELAY,3.0
2025-05-17 17:03:00,1411072,4865037,2254,5590706,DELAY,3.25
2025-05-17 17:03:15,1411072,4759054,2254,5590706,DELAY,3.5
2025-05-17 17:03:30,1411072,4690124,2254,5772214,DELAY,3.75
2025-05-17 17:03:45,1396736,4680048,2254,5777905,DELAY,4.0
2025-05-17 17:04:00,1396736,4442622,2254,5761260,DELAY,4.25
2025-05-17 17:04:15,1396736,4388504,2254,5755317,DELAY,4.5
2025-05-17 17:04:30,1396736,4400212,2254,5594018,DELAY,4.75
2025-05-17 17:04:45,1015808,4413187,2254,5577211,DELAY,5.0
2025-05-17 17:05:00,1015808,4591857,2254,5558120,DELAY,5.25
2025-05-17 17:05:15,1015808,4620626,2254,5558120,DELAY,5.5
2025-05-17 17:05:30,1033428,4581820,2254,5531895,DELAY,5.75
2025-05-17 17:05:45,1031078,4578850,2254,5523545,DELAY,6.0
2025-05-17 17:06:00,1029238,4468486,2254,5486023,DELAY,6.25
2025-05-17 17:06:15,1041849,4434198,2254,5475508,DELAY,6.5
2025-05-17 17:06:30,1037187,4450194,2254,5430956,DELAY,6.75
2025-05-17 17:06:45,1027415,4459473,2254,5479242,DELAY,7.0
2025-05-17 17:07:00,1010951,4668037,2254,5796584,DELAY,7.25
2025-05-17 17:07:15,999969,4742701,2254,5877340,DELAY,7.5
