Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,920,937,1212,1184,857,944,1198,724,0,0,BASELINE,0.75
2025-05-17 17:01:00,946,957,1285,1245,863,974,1270,725,0,0,BASELINE,1.0
2025-05-17 17:01:15,928,1024,1351,1317,866,992,1342,741,0,0,BASELINE,1.25
2025-05-17 17:01:30,932,1027,1353,1365,866,994,1342,743,0,0,BASELINE,1.5
2025-05-17 17:01:45,902,1168,1539,1610,828,1058,1426,793,0,0,BASELINE,1.75
2025-05-17 17:02:00,903,1188,1561,1646,823,1066,1471,819,0,0,BASELINE,2.0
2025-05-17 17:02:15,949,1074,1551,1629,814,1066,1500,850,0,0,BASELINE,2.25
2025-05-17 17:02:30,964,1065,1551,1627,814,1066,1500,851,0,0,BASELINE,2.5
2025-05-17 17:02:45,1074,874,1598,1570,801,1015,1629,946,0,0,BASELINE,2.75
2025-05-17 17:03:00,1086,845,1611,1566,813,1014,1678,980,0,0,BASELINE,3.0
2025-05-17 17:03:15,1064,894,1615,1615,840,1010,1654,1021,0,0,BASELINE,3.25
2025-05-17 17:03:30,1060,899,1614,1619,846,1013,1654,1018,0,0,BASELINE,3.5
2025-05-17 17:03:45,1067,1059,1607,1780,1047,1132,1637,1081,0,0,BASELINE,3.75
2025-05-17 17:04:00,1073,1086,1627,1793,1103,1148,1624,1096,0,0,BASELINE,4.0
2025-05-17 17:04:15,1084,1095,1652,1822,1120,1156,1626,1114,0,0,BASELINE,4.25
2025-05-17 17:04:30,1096,1106,1714,1822,1114,1162,1626,1114,0,0,BASELINE,4.5
2025-05-17 17:04:45,1235,1187,1939,1833,1087,1257,1619,1304,0,0,BASELINE,4.75
2025-05-17 17:05:00,1297,1199,2012,1854,1101,1296,1619,1349,0,0,BASELINE,5.0
2025-05-17 17:05:15,1361,1234,2074,1941,1128,1323,1617,1372,0,0,BASELINE,5.25
2025-05-17 17:05:30,1355,1248,2076,1985,1135,1325,1617,1372,0,0,BASELINE,5.5
2025-05-17 17:05:45,1508,1404,2154,2286,1393,1385,2146,1386,0,0,BASELINE,5.75
2025-05-17 17:06:00,1518,1430,2175,2311,1441,1416,2286,1388,0,0,BASELINE,6.0
2025-05-17 17:06:15,1462,1437,2152,2243,1444,1423,2257,1408,0,0,BASELINE,6.25
2025-05-17 17:06:30,1436,1434,2146,2216,1439,1424,2196,1407,0,0,BASELINE,6.5
2025-05-17 17:06:45,1312,1380,1995,2072,1366,1437,2007,1380,0,0,BASELINE,6.75
2025-05-17 17:07:00,1268,1358,1911,2028,1347,1435,1876,1366,0,0,BASELINE,7.0
2025-05-17 17:07:15,1189,1328,1861,1970,1338,1424,1821,1367,0,0,BASELINE,7.25
2025-05-17 17:07:30,1187,1309,1850,1967,1336,1418,1823,1369,0,0,BASELINE,7.5
2025-05-17 17:07:45,1139,1258,1827,1941,1277,1297,1834,1270,0,0,BASELINE,7.75
