Time,mem_available,source,Minutes
2025-05-17 16:59:30,16850884.0,BASELINE,0.0
2025-05-17 16:59:45,16850884.0,BASELINE,0.25
2025-05-17 17:00:00,16850884.0,BASELINE,0.5
2025-05-17 17:00:15,16513770.47462987,BASELINE,0.75
2025-05-17 17:00:30,16458738.607925937,BASELINE,1.0
2025-05-17 17:00:45,16381837.96328355,BASELINE,1.25
2025-05-17 17:01:00,16275181.545447774,BASELINE,1.5
2025-05-17 17:01:15,16125681.398995116,BASELINE,1.75
2025-05-17 17:01:30,15884495.921661785,BASELINE,2.0
2025-05-17 17:01:45,15733211.995317465,BASELINE,2.25
2025-05-17 17:02:00,15610531.001015875,BASELINE,2.5
2025-05-17 17:02:15,15508992.975305293,BASELINE,2.75
2025-05-17 17:02:30,15471165.11130529,BASELINE,3.0
2025-05-17 17:02:45,15381016.697118154,BASELINE,3.25
2025-05-17 17:03:00,15332584.968665056,BASELINE,3.5
2025-05-17 17:03:15,15261527.674387379,BASELINE,3.75
2025-05-17 17:03:30,15130894.20600392,BASELINE,4.0
2025-05-17 17:03:45,14939812.522578144,BASELINE,4.25
2025-05-17 17:04:00,14842174.97897619,BASELINE,4.5
2025-05-17 17:04:15,14775158.622951416,BASELINE,4.75
2025-05-17 17:04:30,14699124.992951417,BASELINE,5.0
2025-05-17 17:04:45,14508361.467555556,BASELINE,5.25
2025-05-17 17:05:00,14444779.757777777,BASELINE,5.5
2025-05-17 17:05:15,14395296.9625971,BASELINE,5.75
2025-05-17 17:05:30,14358426.680253668,BASELINE,6.0
2025-05-17 17:05:45,14282511.502135644,BASELINE,6.25
2025-05-17 17:06:00,14213567.312936509,BASELINE,6.5
2025-05-17 17:06:15,14015727.454877494,BASELINE,6.75
2025-05-17 17:06:30,13839077.734877493,BASELINE,7.0
2025-05-17 17:06:45,13650629.75976478,BASELINE,7.25
2025-05-17 17:07:00,13542480.52901502,BASELINE,7.5
2025-05-17 17:07:15,13448540.28070348,BASELINE,7.75
2025-05-17 17:07:30,13433517.183560625,BASELINE,8.0
2025-05-17 17:07:45,13375878.906253647,BASELINE,8.25
2025-05-17 17:08:00,13362721.537800858,BASELINE,8.5
2025-05-17 17:08:15,13353765.203142788,BASELINE,8.75
2025-05-17 17:08:30,13317059.663857076,BASELINE,9.0
2025-05-17 17:08:45,13262613.20178253,BASELINE,9.25
2025-05-17 17:09:00,13229357.25027241,BASELINE,9.5
2025-05-17 17:09:15,13188709.511166468,BASELINE,9.75
2025-05-17 17:09:30,13184889.071166467,BASELINE,10.0
2025-05-17 17:09:45,13177485.17932237,BASELINE,10.25
2025-05-17 17:10:00,13143215.144831143,BASELINE,10.5
2025-05-17 17:10:15,13058983.18941283,BASELINE,10.75
2025-05-17 17:10:30,12920592.6288414,BASELINE,11.0
2025-05-17 17:10:45,12764300.244603397,BASELINE,11.25
2025-05-17 17:11:00,12707453.596782329,BASELINE,11.5
2025-05-17 17:11:15,12657799.522826614,BASELINE,11.75
2025-05-17 17:11:30,12652435.450826613,BASELINE,12.0
2025-05-17 17:11:45,12662477.490289303,BASELINE,12.25
2025-05-17 17:12:00,12601999.222208435,BASELINE,12.5
2025-05-17 17:12:15,12554258.411053672,BASELINE,12.75
2025-05-17 17:12:30,12461651.25745194,BASELINE,13.0
2025-05-17 17:12:45,12367687.93907973,BASELINE,13.25
2025-05-17 17:13:00,12329322.361150883,BASELINE,13.5
2025-05-17 17:13:15,12309706.793814693,BASELINE,13.75
2025-05-17 17:13:30,12300983.617814694,BASELINE,14.0
2025-05-17 17:13:45,12294254.592409678,BASELINE,14.25
2025-05-17 17:14:00,12267860.68920945,BASELINE,14.5
2025-05-17 17:14:15,12233049.420140717,BASELINE,14.75
2025-05-17 17:14:30,12196395.330961695,BASELINE,15.0
2025-05-17 17:14:45,12161027.917369202,BASELINE,15.25
2025-05-17 17:15:00,12147234.820072198,BASELINE,15.5
2025-05-17 17:15:15,12115530.254769232,BASELINE,15.75
2025-05-17 17:15:30,12109618.049769232,BASELINE,16.0
2025-05-17 17:15:45,12117735.797749173,BASELINE,16.25
2025-05-17 17:16:00,12101333.189878028,BASELINE,16.5
