minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes
0.0,10,20,10,70,0,20,10,30,0,0,CPU_STRESS,0.0,130,190,150,100,90,140,80,90,0,0,CPU_STRESS,0.0,650,810,620,1015,955,740,860,855,0,0,CPU_STRESS,0.0,1300,3685,1670,3140,2550,2470,8055,2630,0,0,CPU_STRESS,0.0,6.74,6.21,6.83,6.38,5.31,5.67,13.195,5.53,0,0,CPU_STRESS,0.0
0.25,10,20,10,70,0,20,10,30,0,0,CPU_STRESS,0.25,130,190,150,100,90,140,80,90,0,0,CPU_STRESS,0.25,650,810,620,1015,955,740,860,855,0,0,CPU_STRESS,0.25,1300,3685,1670,3140,2550,2470,8055,2630,0,0,CPU_STRESS,0.25,6.74,6.21,6.83,6.38,5.31,5.67,13.195,5.53,0,0,CPU_STRESS,0.25
0.5,10,10,30,20,10,40,20,30,0,0,CPU_STRESS,0.5,80,200,160,90,70,120,90,90,0,0,CPU_STRESS,0.5,400,810,540,830,670,800,895,630,0,0,CPU_STRESS,0.5,1160,3700,1415,2720,2395,2290,8250,2500,0,0,CPU_STRESS,0.5,6.01,6.05,6.25,5.895,5.154999999999999,5.41,13.575,5.36,0,0,CPU_STRESS,0.5
0.75,10,10,28,23,8,33,17,25,0,0,CPU_STRESS,0.75,105,195,155,95,80,130,85,90,0,0,CPU_STRESS,0.75,525,810,660,830,670,889,895,630,0,0,CPU_STRESS,0.75,1160,3700,1415,2720,2395,2290,9125,2500,0,0,CPU_STRESS,0.75,6.01,6.05,6.25,5.895,5.154999999999999,5.41,13.575,5.36,0,0,CPU_STRESS,0.75
1.0,10,10,27,20,8,35,17,25,0,0,CPU_STRESS,1.0,105,195,155,95,80,130,85,90,0,0,CPU_STRESS,1.0,525,810,665,830,670,903,895,630,0,0,CPU_STRESS,1.0,1160,3700,1415,2720,2395,2290,9125,2500,0,0,CPU_STRESS,1.0,6.01,6.05,6.25,5.895,5.154999999999999,5.41,13.575,5.36,0,0,CPU_STRESS,1.0
1.25,9,12,28,15,11,32,16,25,0,0,CPU_STRESS,1.25,105,195,155,95,80,130,85,90,0,0,CPU_STRESS,1.25,525,810,739,1193,670,1043,895,821,0,0,CPU_STRESS,1.25,1160,3700,1415,2720,2395,2290,9125,2500,0,0,CPU_STRESS,1.25,6.01,6.05,6.25,5.895,5.154999999999999,5.41,13.575,5.36,0,0,CPU_STRESS,1.25
1.5,6,12,27,17,10,33,16,23,0,0,CPU_STRESS,1.5,385,535,460,260,225,265,240,215,0,0,CPU_STRESS,1.5,880,1180,797,1345,1320,1054,1562,1025,0,0,CPU_STRESS,1.5,3690,6905,5120,14780,11840,11140,19155,10840,0,0,CPU_STRESS,1.5,18.87,20.155,20.865,27.44,21.955,21.385,33.95,20.365,0,0,CPU_STRESS,1.5
1.75,0,18,22,12,1,4,11,20,0,0,CPU_STRESS,1.75,385,535,460,260,225,265,240,215,0,0,CPU_STRESS,1.75,880,1180,1202,1345,1320,1455,1635,1025,0,0,CPU_STRESS,1.75,3690,6925,5120,14780,11840,11140,19155,10840,0,0,CPU_STRESS,1.75,18.87,20.155,20.865,27.44,21.955,21.385,36.05,20.365,0,0,CPU_STRESS,1.75
2.0,0,19,21,10,1,2,10,19,0,0,CPU_STRESS,2.0,385,535,460,260,225,265,240,215,0,0,CPU_STRESS,2.0,880,1180,1236,1345,1320,1594,1635,1025,0,0,CPU_STRESS,2.0,3690,6925,5120,14780,11840,11140,19155,10840,0,0,CPU_STRESS,2.0,18.87,20.155,20.865,27.44,21.955,21.385,36.05,20.365,0,0,CPU_STRESS,2.0
2.25,6,17,21,10,5,3,10,15,0,0,CPU_STRESS,2.25,640,880,770,420,360,390,400,340,0,0,CPU_STRESS,2.25,884,1125,1255,1345,1399,1574,1635,1025,0,0,CPU_STRESS,2.25,3690,6925,5120,14780,11840,11140,19155,10840,0,0,CPU_STRESS,2.25,18.87,20.155,20.865,27.44,21.955,21.385,36.05,20.365,0,0,CPU_STRESS,2.25
2.5,14,15,21,10,5,3,10,15,0,0,CPU_STRESS,2.5,400,640,640,350,330,340,340,300,0,0,CPU_STRESS,2.5,885,1126,1253,1470,1399,1571,1540,1140,0,0,CPU_STRESS,2.5,4220,5640,6860,17350,15760,13910,16560,13120,0,0,CPU_STRESS,2.5,20.6,23.1,24.5,32.6,29.7,26.7,31.4,24.7,0,0,CPU_STRESS,2.5
2.75,19,1,21,2,8,3,10,10,0,0,CPU_STRESS,2.75,400,640,640,350,330,340,340,300,0,0,CPU_STRESS,2.75,854,1134,1203,1470,1397,1461,1540,1140,0,0,CPU_STRESS,2.75,4220,5640,6860,17350,15760,13910,16560,13120,0,0,CPU_STRESS,2.75,20.6,23.1,24.5,32.6,29.7,26.7,31.4,24.7,0,0,CPU_STRESS,2.75
3.0,20,1,21,2,8,3,10,10,0,0,CPU_STRESS,3.0,467,666,632,359,335,343,323,307,0,0,CPU_STRESS,3.0,865,1146,1182,1470,1385,1440,1540,1140,0,0,CPU_STRESS,3.0,4220,5640,6860,17350,15760,13910,16560,13120,0,0,CPU_STRESS,3.0,20.6,23.1,24.5,32.6,29.7,26.7,31.4,24.7,0,0,CPU_STRESS,3.0
3.25,22,4,21,4,9,3,10,7,0,0,CPU_STRESS,3.25,412,631,592,371,338,342,298,315,0,0,CPU_STRESS,3.25,885,1154,1184,1591,1395,1438,1490,1244,0,0,CPU_STRESS,3.25,3912,6237,6217,17298,15224,13866,13417,13524,0,0,CPU_STRESS,3.25,20.13678586386319,23.72110793705087,23.76710914207591,32.54828800581883,28.33055621600623,26.39504603174604,22.85900000000004,26.09938687922845,0,0,CPU_STRESS,3.25
3.5,24,5,21,5,9,3,10,7,0,0,CPU_STRESS,3.5,412,634,591,371,339,342,298,314,0,0,CPU_STRESS,3.5,890,1285,1184,1591,1450,1443,1490,1244,0,0,CPU_STRESS,3.5,3912,6229,6215,17298,15223,13866,13417,13524,0,0,CPU_STRESS,3.5,20.13678586386319,23.74215555609849,23.76710914207591,32.626913005818835,28.358889549339565,26.39221269841271,22.576000000000032,26.09938687922845,0,0,CPU_STRESS,3.5
3.75,29,8,11,8,1,3,1,0,0,0,CPU_STRESS,3.75,388,634,550,370,340,342,266,313,0,0,CPU_STRESS,3.75,960,1285,1184,1762,1450,1450,1212,1368,0,0,CPU_STRESS,3.75,3865,6271,5989,16990,15001,13921,12946,13578,0,0,CPU_STRESS,3.75,19.93260812669023,23.778268096336028,22.84940426632706,32.400516167982346,28.01188633443853,26.344283333333337,23.12600000000003,26.429358506405883,0,0,CPU_STRESS,3.75
