Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,10,20,20,40,10,20,10,30,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,10,20,20,40,10,20,10,30,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,10,10,30,15,15,40,20,30,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,27,10,30,15,15,21,14,28,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,20,10,30,20,15,25,15,28,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,20,10,30,20,15,25,15,27,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,15,10,31,10,10,5,15,26,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,15,15,25,13,10,5,11,20,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,15,20,21,10,10,0,10,20,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,15,20,19,10,10,0,9,16,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,25,10,19,5,15,0,9,15,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,25,10,19,5,15,5,9,10,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,20,10,19,5,15,5,10,10,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,20,10,18,5,15,5,10,10,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,30,15,17,10,10,5,5,5,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,29,15,12,10,10,5,5,5,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,29,10,20,10,10,5,0,0,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,29,10,20,10,10,5,0,0,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,26,10,15,20,15,15,0,0,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,21,10,15,16,15,15,6,6,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,20,15,15,18,15,15,6,5,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,22,15,15,16,15,15,6,5,0,0,CPU_STRESS,5.25
2025-05-17 17:05:30,25,10,25,15,10,5,6,10,0,0,CPU_STRESS,5.5
2025-05-17 17:05:45,31,10,25,11,10,5,6,10,0,0,CPU_STRESS,5.75
2025-05-17 17:06:00,35,0,25,10,10,5,6,10,0,0,CPU_STRESS,6.0
2025-05-17 17:06:15,35,0,25,10,10,5,6,10,0,0,CPU_STRESS,6.25
2025-05-17 17:06:30,20,0,15,5,25,10,6,10,0,0,CPU_STRESS,6.5
2025-05-17 17:06:45,20,1,15,5,25,10,6,9,0,0,CPU_STRESS,6.75
2025-05-17 17:07:00,20,1,0,5,25,10,5,9,0,0,CPU_STRESS,7.0
2025-05-17 17:07:15,20,1,0,5,25,10,5,9,0,0,CPU_STRESS,7.25
2025-05-17 17:07:30,30,1,0,15,10,5,15,10,0,0,CPU_STRESS,7.5
2025-05-17 17:07:45,30,1,1,15,10,5,15,10,0,0,CPU_STRESS,7.75
2025-05-17 17:08:00,30,1,1,20,0,5,20,10,0,0,CPU_STRESS,8.0
2025-05-17 17:08:15,30,1,1,20,0,5,20,10,0,0,CPU_STRESS,8.25
2025-05-17 17:08:30,37,1,1,10,0,20,10,25,0,0,CPU_STRESS,8.5
2025-05-17 17:08:45,37,1,2,11,0,20,11,25,0,0,CPU_STRESS,8.75
2025-05-17 17:09:00,30,10,15,10,0,20,10,25,0,0,CPU_STRESS,9.0
2025-05-17 17:09:15,30,10,15,10,0,20,9,25,0,0,CPU_STRESS,9.25
2025-05-17 17:09:30,50,15,40,5,1,5,9,10,0,0,CPU_STRESS,9.5
2025-05-17 17:09:45,70,15,40,5,1,5,9,10,0,0,CPU_STRESS,9.75
2025-05-17 17:10:00,50,10,40,0,10,0,9,10,0,0,CPU_STRESS,10.0
2025-05-17 17:10:15,50,10,40,0,10,0,9,10,0,0,CPU_STRESS,10.25
2025-05-17 17:10:30,20,10,20,0,15,0,9,10,0,0,CPU_STRESS,10.5
2025-05-17 17:10:45,20,10,20,5,15,5,9,10,0,0,CPU_STRESS,10.75
