Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,1300,1210,1670,3140,2550,2470,2180,2630,0,0,CPU_STRESS,0.0
2025-05-17 17:00:15,1300,1210,1670,3140,2550,2470,2180,2630,0,0,CPU_STRESS,0.25
2025-05-17 17:00:30,1020,1240,1160,2300,2240,2110,2570,2370,0,0,CPU_STRESS,0.5
2025-05-17 17:00:45,1020,1240,1160,2300,2240,2110,2570,2370,0,0,CPU_STRESS,0.75
2025-05-17 17:01:00,5870,7890,7585,19635,19355,19275,19365,19135,0,0,CPU_STRESS,1.0
2025-05-17 17:01:15,5870,7890,7585,19635,19355,19275,19365,19135,0,0,CPU_STRESS,1.25
2025-05-17 17:01:30,8400,11115,11290,31695,28800,28125,29395,27475,0,0,CPU_STRESS,1.5
2025-05-17 17:01:45,8400,11115,11290,31695,28800,28125,29395,27475,0,0,CPU_STRESS,1.75
2025-05-17 17:02:00,6080,7690,8570,26420,21130,19810,22630,19050,0,0,CPU_STRESS,2.0
2025-05-17 17:02:15,6080,7690,8570,26420,21130,19810,22630,19050,0,0,CPU_STRESS,2.25
2025-05-17 17:02:30,4926,6561,7541,18438,16653,14828,17485,15602,0,0,CPU_STRESS,2.5
2025-05-17 17:02:45,4633,5713,6821,16814,15294,13702,16083,13368,0,0,CPU_STRESS,2.75
2025-05-17 17:03:00,4290,5739,6751,17099,15638,13857,15898,13437,0,0,CPU_STRESS,3.0
2025-05-17 17:03:15,4220,5734,6649,17146,15533,13911,15391,13477,0,0,CPU_STRESS,3.25
2025-05-17 17:03:30,4139,6089,6308,16988,15046,13851,13679,13489,0,0,CPU_STRESS,3.5
2025-05-17 17:03:45,4142,6422,5914,16638,15026,13697,11750,13752,0,0,CPU_STRESS,3.75
2025-05-17 17:04:00,4422,6370,5931,16967,14789,14081,11837,13886,0,0,CPU_STRESS,4.0
2025-05-17 17:04:15,4429,6345,5800,16795,15180,13906,11825,13985,0,0,CPU_STRESS,4.25
2025-05-17 17:04:30,4782,6365,5534,17029,16392,14570,11787,14162,0,0,CPU_STRESS,4.5
2025-05-17 17:04:45,5190,6215,5495,17877,17851,15504,12028,14891,0,0,CPU_STRESS,4.75
2025-05-17 17:05:00,5229,6166,5653,18155,17737,15812,12205,14834,0,0,CPU_STRESS,5.0
2025-05-17 17:05:15,5219,6158,5699,18260,17930,16051,12527,15019,0,0,CPU_STRESS,5.25
