minutes,blocklatency_disk sda,blocklatency_source,blocklatency_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,io_openeuler-home,io_openeuler-root,io_openeuler-swap,io_sda,io_source,io_Minutes,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,readbytes_Minutes,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source,writebytes_Minutes
0.0,13.0,MEM_STRESS,0.0,0,0,,0,MEM_STRESS,0.0,5427200,2818048,,7884800,MEM_STRESS,0.0,0.0,0.0,0.0,0.0,MEM_STRESS,0.0,4070400.0,2818048.0,0.0,5913600.0,MEM_STRESS,0.0
0.25,13.0,MEM_STRESS,0.25,0,0,,0,MEM_STRESS,0.25,5427200,2818048,,7884800,MEM_STRESS,0.25,0.0,0.0,0.0,0.0,MEM_STRESS,0.25,4070400.0,2818048.0,0.0,5913600.0,MEM_STRESS,0.25
0.5,13.0,MEM_STRESS,0.5,0,0,,0,MEM_STRESS,0.5,5427200,2732032,,7884800,MEM_STRESS,0.5,0.0,0.0,0.0,0.0,MEM_STRESS,0.5,4070400.0,2732032.0,0.0,5913600.0,MEM_STRESS,0.5
0.75,13.0,MEM_STRESS,0.75,156,14545,6682.621361287494,9057,MEM_STRESS,0.75,1736093,2806895,261296.68026729912,12377752,MEM_STRESS,0.75,0.0,0.0,0.0,0.0,MEM_STRESS,0.75,4070400.0,2732032.0,0.0,5913600.0,MEM_STRESS,0.75
1.0,12.0,MEM_STRESS,1.0,156,14545,6682.621361287494,9057,MEM_STRESS,1.0,7868416,2845816,261296.68026729912,12216168,MEM_STRESS,1.0,0.0,0.0,0.0,8192.0,MEM_STRESS,1.0,7732224.0,2732032.0,0.0,10438656.0,MEM_STRESS,1.0
1.25,12.0,MEM_STRESS,1.25,77,14545,5191.935743717449,18166,MEM_STRESS,1.25,7868416,3081242,261296.68026729912,12656123,MEM_STRESS,1.25,0.0,0.0,0.0,8192.0,MEM_STRESS,1.25,7732224.0,2732032.0,0.0,13918208.0,MEM_STRESS,1.25
1.5,12.0,MEM_STRESS,1.5,17,15856,3519.084140167991,31499,MEM_STRESS,1.5,7868416,3139582,261296.68026729912,12491112,MEM_STRESS,1.5,0.0,131072.0,0.0,8192.0,MEM_STRESS,1.5,7732224.0,4182016.0,0.0,13918208.0,MEM_STRESS,1.5
1.75,12.0,MEM_STRESS,1.75,12,55868,2192.9286929885216,35692,MEM_STRESS,1.75,7868416,4106647,261296.68026729912,10901504,MEM_STRESS,1.75,0.0,131072.0,0.0,8192.0,MEM_STRESS,1.75,7732224.0,4182016.0,0.0,13918208.0,MEM_STRESS,1.75
2.0,12.0,MEM_STRESS,2.0,12,64314,2192.9286929885216,35692,MEM_STRESS,2.0,4954112,4209348,261296.68026729912,8843264,MEM_STRESS,2.0,0.0,131072.0,0.0,122880.0,MEM_STRESS,2.0,3360768.0,4182016.0,0.0,8843264.0,MEM_STRESS,2.0
2.25,13.0,MEM_STRESS,2.25,0,56984,1921.7959449894915,49120,MEM_STRESS,2.25,4954112,4480264,261296.68026729912,8843264,MEM_STRESS,2.25,0.0,131072.0,0.0,122880.0,MEM_STRESS,2.25,3360768.0,4182016.0,0.0,8843264.0,MEM_STRESS,2.25
