minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,cpu_cpu 0,cpu_cpu 1,cpu_cpu 2,cpu_cpu 3,cpu_cpu 4,cpu_cpu 5,cpu_cpu 6,cpu_cpu 7,cpu_cpu 8,cpu_cpu 9,cpu_source,cpu_Minutes,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,iowait_Minutes,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,irq_Minutes,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,system_Minutes,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,user_Minutes,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,utilization_Minutes
0.0,10,0,30,20,20,10,20,20,0,0,MEM_STRESS,0.0,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.0,540,600,610,850,620,860,1025,870,0,0,MEM_STRESS,0.0,3035,3425,2100,9705,10645,8820,9410,8930,0,0,MEM_STRESS,0.0,15.03,15.19,17.27,19.155,20.5,17.45,18.225,17.875,0,0,MEM_STRESS,0.0,10,0,30,20,20,10,20,20,0,0,MEM_STRESS,0.0,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.0,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.0,870,1760,2100,3330,4110,3010,2670,2900,0,0,MEM_STRESS,0.0,5.96,7.28,7.64,7.21,8.1,6.9,5.75,6.55,0,0,MEM_STRESS,0.0
0.25,10,0,30,20,20,10,20,20,0,0,MEM_STRESS,0.25,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.25,540,600,610,850,620,860,1025,870,0,0,MEM_STRESS,0.25,3035,3425,2100,9705,10645,8820,9410,8930,0,0,MEM_STRESS,0.25,15.03,15.19,17.27,19.155,20.5,17.45,18.225,17.875,0,0,MEM_STRESS,0.25,10,0,30,20,20,10,20,20,0,0,MEM_STRESS,0.25,100,220,150,110,110,190,70,130,0,0,MEM_STRESS,0.25,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.25,870,1760,2100,3330,4110,3010,2670,2900,0,0,MEM_STRESS,0.25,5.96,7.28,7.64,7.21,8.1,6.9,5.75,6.55,0,0,MEM_STRESS,0.25
0.5,10,10,20,0,40,30,10,30,0,0,MEM_STRESS,0.5,130,260,180,130,130,210,100,130,0,0,MEM_STRESS,0.5,500,670,750,710,990,1120,1002,810,0,0,MEM_STRESS,0.5,3355,4177,1980,11760,10245,9710,9955,10280,0,0,MEM_STRESS,0.5,14.66,16.375,16.69,20.725,20.06,19.225,19.22,19.75,0,0,MEM_STRESS,0.5,10,10,20,0,40,30,10,30,0,0,MEM_STRESS,0.5,130,260,180,130,130,210,100,130,0,0,MEM_STRESS,0.5,500,670,750,710,990,1120,760,810,0,0,MEM_STRESS,0.5,1510,3100,1860,7440,4540,4960,3760,5600,0,0,MEM_STRESS,0.5,7.97,10.2,7.78,13.9,9.52,10.6,7.74,11.0,0,0,MEM_STRESS,0.5
0.75,11,9,22,3,36,28,11,27,0,0,MEM_STRESS,0.75,115,240,165,120,120,220,85,130,0,0,MEM_STRESS,0.75,574,711,767,804,977,1113,1060,958,0,0,MEM_STRESS,0.75,3355,4095,1980,11760,10080,9795,9955,10280,0,0,MEM_STRESS,0.75,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0,0,MEM_STRESS,0.75,10,9,25,3,31,21,10,28,0,0,MEM_STRESS,0.75,382,581,461,303,296,240,239,247,0,0,MEM_STRESS,0.75,522,687,786,777,976,1112,1046,890,0,0,MEM_STRESS,0.75,3880,3194,6153,14967,14713,12856,14718,12120,0,0,MEM_STRESS,0.75,18.243200829725826,20.20191525641025,22.195869948107447,22.46968775974026,23.391401901152012,24.84707557326164,23.6169625,23.77009973775017,0,0,MEM_STRESS,0.75
1.0,11,9,21,1,38,30,10,27,0,0,MEM_STRESS,1.0,115,240,165,120,120,221,85,130,0,0,MEM_STRESS,1.0,601,734,771,812,1050,1137,1060,958,0,0,MEM_STRESS,1.0,3355,4095,1980,11760,10080,9795,9955,10280,0,0,MEM_STRESS,1.0,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0,0,MEM_STRESS,1.0,10,9,21,5,36,22,9,29,0,0,MEM_STRESS,1.0,780,990,945,270,275,243,250,275,0,0,MEM_STRESS,1.0,536,713,797,794,1029,1132,865,893,0,0,MEM_STRESS,1.0,5700,3361,7325,20935,19235,19270,18800,19460,0,0,MEM_STRESS,1.0,28.035,30.1,28.49,37.5,34.81,35.2,33.67,35.1,0,0,MEM_STRESS,1.0
1.25,11,8,22,10,37,31,12,23,0,0,MEM_STRESS,1.25,115,240,165,120,120,245,85,130,0,0,MEM_STRESS,1.25,661,801,838,961,1145,1201,1060,1013,0,0,MEM_STRESS,1.25,3355,4095,1980,11760,10080,9795,9955,10280,0,0,MEM_STRESS,1.25,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0,0,MEM_STRESS,1.25,10,8,24,5,35,22,8,26,0,0,MEM_STRESS,1.25,780,990,945,270,275,256,250,275,0,0,MEM_STRESS,1.25,652,764,886,904,1120,1195,865,951,0,0,MEM_STRESS,1.25,5700,3800,7325,20935,19235,19270,18800,19460,0,0,MEM_STRESS,1.25,28.035,30.1,28.49,37.5,34.81,35.2,33.67,35.1,0,0,MEM_STRESS,1.25
1.5,11,8,23,14,37,33,13,22,0,0,MEM_STRESS,1.5,470,545,575,225,245,262,250,270,0,0,MEM_STRESS,1.5,692,838,886,1031,1150,1206,1700,1037,0,0,MEM_STRESS,1.5,6447,5925,5670,19047,19365,18465,21055,20425,0,0,MEM_STRESS,1.5,28.5,27.4,32.0,34.1,36.2,34.45,39.35,37.5,0,0,MEM_STRESS,1.5,10,7,24,20,34,22,8,24,0,0,MEM_STRESS,1.5,1135,1295,1355,375,400,274,415,415,0,0,MEM_STRESS,1.5,840,778,921,1013,1160,1201,1505,1002,0,0,MEM_STRESS,1.5,9095,5509,11015,28845,28520,27940,30515,29140,0,0,MEM_STRESS,1.5,42.35,41.4,43.8,51.85,51.3,50.35,54.95,52.5,0,0,MEM_STRESS,1.5
1.75,11,1,35,28,43,43,26,10,0,0,MEM_STRESS,1.75,470,545,575,225,245,354,250,270,0,0,MEM_STRESS,1.75,998,1033,1219,1478,1436,1429,1700,1462,0,0,MEM_STRESS,1.75,6750,6007,5670,19670,19365,18465,21670,20890,0,0,MEM_STRESS,1.75,28.5,27.4,32.0,34.1,36.2,34.45,40.5,37.5,0,0,MEM_STRESS,1.75,10,0,38,20,30,30,20,12,0,0,MEM_STRESS,1.75,1135,1295,1355,340,380,358,415,410,0,0,MEM_STRESS,1.75,973,1044,1220,1491,1479,1424,2040,1476,0,0,MEM_STRESS,1.75,9095,6593,11015,23260,28520,27940,30515,29140,0,0,MEM_STRESS,1.75,42.35,32.8,43.8,42.6,51.3,50.35,54.95,52.5,0,0,MEM_STRESS,1.75
2.0,12,2,38,29,42,45,26,10,0,0,MEM_STRESS,2.0,470,545,575,340,380,361,250,270,0,0,MEM_STRESS,2.0,1036,1046,1237,1520,1527,1454,1700,1633,0,0,MEM_STRESS,2.0,6750,6090,5670,19670,19365,18465,21670,20890,0,0,MEM_STRESS,2.0,28.5,27.4,32.0,34.1,36.2,34.45,40.5,37.5,0,0,MEM_STRESS,2.0,11,1,39,20,30,30,20,10,0,0,MEM_STRESS,2.0,840,870,1000,340,380,362,430,410,0,0,MEM_STRESS,2.0,1016,1059,1234,1556,1524,1455,2040,1606,0,0,MEM_STRESS,2.0,8300,6659,9240,23260,23110,22300,27190,24960,0,0,MEM_STRESS,2.0,36.6,32.8,38.4,42.6,42.5,40.9,50.3,45.8,0,0,MEM_STRESS,2.0
2.25,14,11,40,15,29,24,23,8,0,0,MEM_STRESS,2.25,500,580,750,320,370,347,310,340,0,0,MEM_STRESS,2.25,1020,1069,1245,1548,1546,1404,1360,1669,0,0,MEM_STRESS,2.25,5200,5090,7050,16080,17180,14630,16150,14960,0,0,MEM_STRESS,2.25,24.1,23.1,26.9,31.1,32.9,28.0,30.7,29.2,0,0,MEM_STRESS,2.25,13,10,41,5,10,5,5,8,0,0,MEM_STRESS,2.25,500,580,750,320,370,349,310,340,0,0,MEM_STRESS,2.25,1029,1084,1247,1536,1559,1415,1360,1670,0,0,MEM_STRESS,2.25,5200,5641,7050,16080,17180,14630,16150,14960,0,0,MEM_STRESS,2.25,24.1,23.1,26.9,31.1,32.9,28.0,30.7,29.2,0,0,MEM_STRESS,2.25
