minutes,memavailable_mem_available,memavailable_source,memavailable_Minutes,memcache_mem_cache,memcache_source,memcache_Minutes,memory_mem_available,memory_source,memory_Minutes,memory_mem_cache,memory_source,memory_Minutes,memory_mem_util,memory_source,memory_Minutes,memutil_mem_util,memutil_source,memutil_Minutes
0.0,16768244.0,MEM_STRESS,0.0,4088272.0,MEM_STRESS,0.0,16768244,MEM_STRESS,0.0,4088272,MEM_STRESS,0.0,31.8,MEM_STRESS,0.0,31.8,MEM_STRESS,0.0
0.25,17859880.0,MEM_STRESS,0.25,4055548.0,MEM_STRESS,0.25,17859880,MEM_STRESS,0.25,4055548,MEM_STRESS,0.25,27.6,MEM_STRESS,0.25,27.6,MEM_STRESS,0.25
0.5,17859880.0,MEM_STRESS,0.5,4055548.0,MEM_STRESS,0.5,17859880,MEM_STRESS,0.5,4055548,MEM_STRESS,0.5,27.6,MEM_STRESS,0.5,27.6,MEM_STRESS,0.5
0.75,17393068.007142857,MEM_STRESS,0.75,4026848.554348842,MEM_STRESS,0.75,17442475,MEM_STRESS,0.75,4036937,MEM_STRESS,0.75,28.794499999999985,MEM_STRESS,0.75,30.013838073038077,MEM_STRESS,0.75
1.0,17377917.045145657,MEM_STRESS,1.0,4050278.466950906,MEM_STRESS,1.0,17366844,MEM_STRESS,1.0,4049520,MEM_STRESS,1.0,29.301000000000013,MEM_STRESS,1.0,29.63599452981659,MEM_STRESS,1.0
1.25,17242682.122034546,MEM_STRESS,1.25,4050096.56649636,MEM_STRESS,1.25,17316331,MEM_STRESS,1.25,4049520,MEM_STRESS,1.25,30.08300000000001,MEM_STRESS,1.25,29.68690722822929,MEM_STRESS,1.25
1.5,17093255.838362027,MEM_STRESS,1.5,4046552.805783807,MEM_STRESS,1.5,17130670,MEM_STRESS,1.5,4045686,MEM_STRESS,1.5,30.396,MEM_STRESS,1.5,30.046324581709136,MEM_STRESS,1.5
1.75,17041840.631452933,MEM_STRESS,1.75,4045715.242926664,MEM_STRESS,1.75,17072831,MEM_STRESS,1.75,4043255,MEM_STRESS,1.75,30.638,MEM_STRESS,1.75,30.51162481158688,MEM_STRESS,1.75
2.0,16780857.48286508,MEM_STRESS,2.0,4044904.3265147866,MEM_STRESS,2.0,16833851,MEM_STRESS,2.0,4046193,MEM_STRESS,2.0,32.13899999999995,MEM_STRESS,2.0,31.70731127928585,MEM_STRESS,2.0
2.25,16653934.928345185,MEM_STRESS,2.25,4045456.0835302616,MEM_STRESS,2.25,16634888,MEM_STRESS,2.25,4044971,MEM_STRESS,2.25,32.31299999999996,MEM_STRESS,2.25,32.37134367189324,MEM_STRESS,2.25
