minutes,apigateway_api_gateway,apigateway_source,blocklatency_disk sda,blocklatency_source,customersservice_customers_service,customersservice_source,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,iowait_cpu 8,iowait_cpu 9,iowait_source,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,irq_cpu 8,irq_cpu 9,irq_source,memavailable_mem_available,memavailable_source,memcache_mem_cache,memcache_source,memutil_mem_util,memutil_source,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,readbytes_source,srtt_source,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,system_cpu 8,system_cpu 9,system_source,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,user_cpu 8,user_cpu 9,user_source,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,utilization_cpu 8,utilization_cpu 9,utilization_source,vetsservice_vets_service,vetsservice_source,visitsservice_visits_service,visitsservice_source,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,writebytes_source
2025-05-17 17:01:15,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,10.0,0.0,30.0,20.0,20.0,10.0,20.0,20.0,0.0,0.0,MEM_STRESS,100.0,220.0,150.0,110.0,110.0,190.0,70.0,130.0,0.0,0.0,MEM_STRESS,16768244.0,MEM_STRESS,4088272.0,MEM_STRESS,31.8,MEM_STRESS,122880,0,,122880,MEM_STRESS,MEM_STRESS,531.0,540.0,600.0,610.0,850.0,620.0,860.0,1025.0,870.0,0.0,0.0,MEM_STRESS,3035.0,3425.0,2100.0,9705.0,9865.0,8820.0,9410.0,8930.0,0.0,0.0,MEM_STRESS,13.18,14.64,16.62,16.405,19.0,17.45,18.225,17.875,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,5836800,3592192,,7516160,MEM_STRESS
2025-05-17 17:01:30,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,10.0,0.0,30.0,20.0,20.0,10.0,20.0,20.0,0.0,0.0,MEM_STRESS,100.0,220.0,150.0,110.0,110.0,190.0,70.0,130.0,0.0,0.0,MEM_STRESS,17859880.0,MEM_STRESS,4055548.0,MEM_STRESS,27.6,MEM_STRESS,122880,0,,0,MEM_STRESS,MEM_STRESS,521.0,540.0,600.0,610.0,850.0,620.0,860.0,1025.0,870.0,0.0,0.0,MEM_STRESS,2732.0,3425.0,2100.0,9082.0,9865.0,8820.0,8795.0,9395.0,0.0,0.0,MEM_STRESS,13.18,14.64,16.62,16.405,19.0,17.45,17.075,17.875,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,5836800,3592192,,15704064,MEM_STRESS
2025-05-17 17:01:45,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,10.0,10.0,20.0,0.0,40.0,30.0,10.0,30.0,0.0,0.0,MEM_STRESS,130.0,260.0,180.0,130.0,130.0,210.0,100.0,130.0,0.0,0.0,MEM_STRESS,17859880.0,MEM_STRESS,4055548.0,MEM_STRESS,27.6,MEM_STRESS,3252224,0,,0,MEM_STRESS,MEM_STRESS,501.0,500.0,670.0,750.0,710.0,990.0,1120.0,1060.0,810.0,0.0,0.0,MEM_STRESS,3355.0,4177.0,1980.0,11760.0,10080.0,9795.0,9955.0,11210.0,0.0,0.0,MEM_STRESS,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,19447808,3592192,,15704064,MEM_STRESS
2025-05-17 17:02:00,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,11.0,9.0,22.0,3.0,36.0,28.0,11.0,27.0,0.0,0.0,MEM_STRESS,115.0,240.0,165.0,120.0,120.0,220.0,85.0,130.0,0.0,0.0,MEM_STRESS,17442475.0,MEM_STRESS,4036937.0,MEM_STRESS,28.79449999999998,MEM_STRESS,3252224,10580,5009.743448607015,1515001,MEM_STRESS,MEM_STRESS,937.4208250915752,574.0,711.0,767.0,804.0,977.0,1113.0,1060.0,958.0,0.0,0.0,MEM_STRESS,3355.0,4260.0,1980.0,11760.0,10080.0,9795.0,9955.0,11210.0,0.0,0.0,MEM_STRESS,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,15941591,3252200,582065.5182143287,12057586,MEM_STRESS
2025-05-17 17:02:15,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,11.0,9.0,21.0,1.0,38.0,30.0,10.0,27.0,0.0,0.0,MEM_STRESS,115.0,240.0,165.0,120.0,120.0,221.0,85.0,130.0,0.0,0.0,MEM_STRESS,17366844.0,MEM_STRESS,4049520.0,MEM_STRESS,29.30100000000001,MEM_STRESS,3252224,10580,1874.598544960321,1616326,MEM_STRESS,MEM_STRESS,1144.344825091575,601.0,734.0,771.0,812.0,1050.0,1137.0,1060.0,958.0,0.0,0.0,MEM_STRESS,3355.0,4260.0,1980.0,11760.0,10080.0,9795.0,9955.0,11210.0,0.0,0.0,MEM_STRESS,14.185,16.1,16.69,19.75,19.71,19.3,19.22,20.1,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,18125127,2714621,582065.5182143287,10411258,MEM_STRESS
2025-05-17 17:02:30,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,11.0,8.0,22.0,10.0,37.0,31.0,12.0,23.0,0.0,0.0,MEM_STRESS,115.0,240.0,165.0,120.0,120.0,245.0,85.0,130.0,0.0,0.0,MEM_STRESS,17316331.0,MEM_STRESS,4049520.0,MEM_STRESS,30.08300000000001,MEM_STRESS,3252224,10580,1098.106302344861,1706547,MEM_STRESS,MEM_STRESS,460.0,661.0,801.0,838.0,961.0,1145.0,1201.0,1035.0,1013.0,0.0,0.0,MEM_STRESS,3355.0,4260.0,1980.0,11760.0,10470.0,9972.0,9955.0,11210.0,0.0,0.0,MEM_STRESS,14.91,16.375,16.54,21.125,20.46,19.575,19.22,20.925,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,16106127,2707302,582065.5182143287,57604096,MEM_STRESS
2025-05-17 17:02:45,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,11.0,8.0,23.0,14.0,37.0,33.0,13.0,22.0,0.0,0.0,MEM_STRESS,470.0,545.0,575.0,225.0,245.0,262.0,250.0,270.0,0.0,0.0,MEM_STRESS,17130670.0,MEM_STRESS,4045686.0,MEM_STRESS,30.396,MEM_STRESS,61440,10580,184.56988442823163,4188993,MEM_STRESS,MEM_STRESS,2219.5,692.0,838.0,886.0,1031.0,1150.0,1206.0,1700.0,1037.0,0.0,0.0,MEM_STRESS,6750.0,6090.0,5670.0,19670.0,20145.0,18820.0,21670.0,20890.0,0.0,0.0,MEM_STRESS,29.950000000000003,27.85,32.0,36.85,37.7,35.0,40.5,39.15,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,53712896,3013123,582065.5182143287,57604096,MEM_STRESS
2025-05-17 17:03:00,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,11.0,1.0,35.0,28.0,43.0,43.0,26.0,10.0,0.0,0.0,MEM_STRESS,470.0,545.0,575.0,225.0,245.0,354.0,250.0,270.0,0.0,0.0,MEM_STRESS,17072831.0,MEM_STRESS,4043255.0,MEM_STRESS,30.638000000000005,MEM_STRESS,61440,10580,184.56988442823163,4470958,MEM_STRESS,MEM_STRESS,3823.0,998.0,1033.0,1219.0,1478.0,1436.0,1429.0,1700.0,1462.0,0.0,0.0,MEM_STRESS,6750.0,6090.0,5670.0,19670.0,20145.0,18820.0,21670.0,20890.0,0.0,0.0,MEM_STRESS,29.950000000000003,27.85,32.0,36.85,37.7,35.0,40.5,39.15,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,53712896,3030430,582065.5182143287,57604096,MEM_STRESS
2025-05-17 17:03:15,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,12.0,2.0,38.0,29.0,42.0,45.0,26.0,10.0,0.0,0.0,MEM_STRESS,470.0,545.0,575.0,340.0,380.0,361.0,250.0,270.0,0.0,0.0,MEM_STRESS,16833851.0,MEM_STRESS,4046193.0,MEM_STRESS,32.13899999999995,MEM_STRESS,61440,10580,184.56988442823163,3869160,MEM_STRESS,MEM_STRESS,3811.0,1036.0,1046.0,1237.0,1520.0,1527.0,1454.0,1700.0,1633.0,0.0,0.0,MEM_STRESS,6750.0,6090.0,5670.0,19670.0,20145.0,18820.0,21670.0,20890.0,0.0,0.0,MEM_STRESS,29.950000000000003,27.85,32.0,36.85,37.7,35.0,40.5,39.15,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,53712896,3030522,582065.5182143287,57604096,MEM_STRESS
2025-05-17 17:03:30,0.0,MEM_STRESS,13,MEM_STRESS,0.0,MEM_STRESS,14.0,11.0,40.0,15.0,29.0,24.0,23.0,8.0,0.0,0.0,MEM_STRESS,500.0,580.0,750.0,320.0,370.0,347.0,310.0,340.0,0.0,0.0,MEM_STRESS,16634888.0,MEM_STRESS,4044971.0,MEM_STRESS,32.31299999999996,MEM_STRESS,61440,10580,184.56988442823163,2886053,MEM_STRESS,MEM_STRESS,3767.0,1020.0,1069.0,1245.0,1548.0,1546.0,1404.0,1360.0,1669.0,0.0,0.0,MEM_STRESS,5200.0,5090.0,7050.0,16080.0,17180.0,14630.0,16150.0,14960.0,0.0,0.0,MEM_STRESS,24.1,23.1,26.9,31.1,32.9,28.0,30.7,29.2,0.0,0.0,MEM_STRESS,0.0,MEM_STRESS,0.0,MEM_STRESS,53712896,3105695,582065.5182143287,10594304,MEM_STRESS
