Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.0
2025-05-17 17:00:15,540,600,610,850,620,860,690,870,0,0,MEM_STRESS,0.25
2025-05-17 17:00:30,500,670,750,710,990,1120,760,810,0,0,MEM_STRESS,0.5
2025-05-17 17:00:45,500,670,750,710,990,1120,760,810,0,0,MEM_STRESS,0.75
2025-05-17 17:01:00,500,670,750,710,990,1120,865,810,0,0,MEM_STRESS,1.0
2025-05-17 17:01:15,500,670,750,710,990,1120,865,810,0,0,MEM_STRESS,1.25
2025-05-17 17:01:30,1030,1070,1250,1550,1540,1460,1505,1710,0,0,MEM_STRESS,1.5
2025-05-17 17:01:45,1030,1070,1250,1550,1540,1460,2040,1710,0,0,MEM_STRESS,1.75
2025-05-17 17:02:00,1030,1070,1250,1550,1540,1460,2040,1710,0,0,MEM_STRESS,2.0
2025-05-17 17:02:15,1080,1060,1230,1570,1510,1270,1360,1550,0,0,MEM_STRESS,2.25
2025-05-17 17:02:30,1049,1051,1219,1509,1390,1290,1330,1444,0,0,MEM_STRESS,2.5
2025-05-17 17:02:45,1034,1027,1228,1553,1513,1296,1347,1546,0,0,MEM_STRESS,2.75
2025-05-17 17:03:00,990,1097,1251,1493,1523,1352,1324,1581,0,0,MEM_STRESS,3.0
2025-05-17 17:03:15,933,1112,1259,1429,1527,1386,1318,1632,0,0,MEM_STRESS,3.25
2025-05-17 17:03:30,860,1170,1264,1284,1534,1527,1198,1728,0,0,MEM_STRESS,3.5
2025-05-17 17:03:45,867,1188,1268,1271,1537,1527,1195,1719,0,0,MEM_STRESS,3.75
2025-05-17 17:04:00,889,1130,1270,1276,1570,1521,1195,1743,0,0,MEM_STRESS,4.0
2025-05-17 17:04:15,922,1123,1275,1259,1571,1517,1207,1749,0,0,MEM_STRESS,4.25
2025-05-17 17:04:30,1000,1074,1311,1249,1588,1428,1337,1819,0,0,MEM_STRESS,4.5
2025-05-17 17:04:45,1003,1079,1314,1270,1592,1432,1347,1808,0,0,MEM_STRESS,4.75
2025-05-17 17:05:00,1005,1078,1317,1296,1593,1440,1347,1830,0,0,MEM_STRESS,5.0
2025-05-17 17:05:15,1022,1096,1318,1371,1598,1459,1342,1881,0,0,MEM_STRESS,5.25
2025-05-17 17:05:30,1117,1170,1280,1499,1648,1582,1295,2041,0,0,MEM_STRESS,5.5
2025-05-17 17:05:45,1115,1166,1274,1500,1660,1572,1284,1963,0,0,MEM_STRESS,5.75
2025-05-17 17:06:00,1115,1168,1277,1512,1660,1573,1277,1962,0,0,MEM_STRESS,6.0
2025-05-17 17:06:15,1114,1157,1281,1547,1662,1566,1286,1949,0,0,MEM_STRESS,6.25
2025-05-17 17:06:30,1119,1102,1270,1634,1704,1492,1409,1923,0,0,MEM_STRESS,6.5
2025-05-17 17:06:45,1100,1088,1270,1656,1691,1468,1441,1918,0,0,MEM_STRESS,6.75
2025-05-17 17:07:00,1087,1084,1260,1665,1671,1470,1440,1895,0,0,MEM_STRESS,7.0
2025-05-17 17:07:15,1056,1083,1261,1717,1651,1501,1471,1865,0,0,MEM_STRESS,7.25
2025-05-17 17:07:30,977,1057,1250,1828,1471,1663,1683,1796,0,0,MEM_STRESS,7.5
2025-05-17 17:07:45,987,1059,1254,1819,1469,1660,1696,1795,0,0,MEM_STRESS,7.75
2025-05-17 17:08:00,986,1077,1254,1825,1468,1658,1719,1798,0,0,MEM_STRESS,8.0
2025-05-17 17:08:15,991,1102,1254,1813,1469,1641,1719,1755,0,0,MEM_STRESS,8.25
2025-05-17 17:08:30,1038,1272,1247,1791,1552,1587,1705,1695,0,0,MEM_STRESS,8.5
2025-05-17 17:08:45,1037,1278,1240,1816,1558,1590,1686,1689,0,0,MEM_STRESS,8.75
2025-05-17 17:09:00,1036,1292,1240,1818,1563,1596,1668,1699,0,0,MEM_STRESS,9.0
2025-05-17 17:09:15,1034,1312,1236,1832,1576,1618,1618,1727,0,0,MEM_STRESS,9.25
2025-05-17 17:09:30,1010,1446,1207,1856,1601,1697,1488,1805,0,0,MEM_STRESS,9.5
2025-05-17 17:09:45,1035,1488,1212,1824,1604,1685,1492,1827,0,0,MEM_STRESS,9.75
2025-05-17 17:10:00,1034,1503,1228,1812,1606,1692,1489,1818,0,0,MEM_STRESS,10.0
2025-05-17 17:10:15,1064,1514,1248,1758,1608,1695,1503,1776,0,0,MEM_STRESS,10.25
2025-05-17 17:10:30,1237,1506,1355,1553,1591,1690,1555,1662,0,0,MEM_STRESS,10.5
2025-05-17 17:10:45,1273,1533,1365,1535,1577,1679,1550,1639,0,0,MEM_STRESS,10.75
2025-05-17 17:11:00,1276,1541,1368,1546,1573,1673,1550,1640,0,0,MEM_STRESS,11.0
2025-05-17 17:11:15,1268,1561,1390,1576,1563,1643,1532,1642,0,0,MEM_STRESS,11.25
2025-05-17 17:11:30,1239,1578,1452,1618,1488,1563,1428,1671,0,0,MEM_STRESS,11.5
2025-05-17 17:11:45,1245,1582,1502,1614,1482,1564,1429,1673,0,0,MEM_STRESS,11.75
2025-05-17 17:12:00,1238,1596,1490,1632,1483,1577,1417,1671,0,0,MEM_STRESS,12.0
2025-05-17 17:12:15,1249,1601,1498,1635,1491,1578,1430,1660,0,0,MEM_STRESS,12.25
2025-05-17 17:12:30,1301,1593,1501,1647,1532,1577,1482,1675,0,0,MEM_STRESS,12.5
