minutes,apigateway_api_gateway,blocklatency_disk sda,customersservice_customers_service,iowait_cpu 0,iowait_cpu 1,iowait_cpu 2,iowait_cpu 3,iowait_cpu 4,iowait_cpu 5,iowait_cpu 6,iowait_cpu 7,irq_cpu 0,irq_cpu 1,irq_cpu 2,irq_cpu 3,irq_cpu 4,irq_cpu 5,irq_cpu 6,irq_cpu 7,memavailable_mem_available,memcache_mem_cache,memutil_mem_util,readbytes_openeuler-home,readbytes_openeuler-root,readbytes_openeuler-swap,readbytes_sda,srtt_SRTT_cumulative,system_cpu 0,system_cpu 1,system_cpu 2,system_cpu 3,system_cpu 4,system_cpu 5,system_cpu 6,system_cpu 7,user_cpu 0,user_cpu 1,user_cpu 2,user_cpu 3,user_cpu 4,user_cpu 5,user_cpu 6,user_cpu 7,utilization_cpu 0,utilization_cpu 1,utilization_cpu 2,utilization_cpu 3,utilization_cpu 4,utilization_cpu 5,utilization_cpu 6,utilization_cpu 7,vetsservice_vets_service,visitsservice_visits_service,writebytes_openeuler-home,writebytes_openeuler-root,writebytes_openeuler-swap,writebytes_sda,source,service,Failure
0.0,0.0,12.0,0.0,10.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,70.0,100.0,90.0,80.0,70.0,110.0,60.0,60.0,16765196.0,3384604.0,32.1,0.0,6504448.0,0.0,6504448.0,491.0,805.0,825.0,642.0,785.0,805.0,850.0,620.0,580.0,6265.0,2210.0,2090.0,1880.0,1880.0,6345.0,6645.0,1970.0,12.4,4.6,4.5,4.1,13.4,12.8,12.9,13.9,0.0,0.0,0.0,6504448.0,0.0,6504448.0,NET_LOSS,customers,0
0.2,0.0,12.0,0.0,10.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,70.0,100.0,90.0,80.0,70.0,110.0,60.0,60.0,16765196.0,3384604.0,32.1,0.0,3426304.0,0.0,6504448.0,543.0,800.0,825.0,810.0,785.0,805.0,850.0,800.0,720.0,6057.0,2210.0,2090.0,1880.0,1880.0,6145.0,6357.0,1970.0,12.0,4.6,4.5,4.1,13.1,12.4,12.5,13.2,0.0,0.0,0.0,348160.0,0.0,6504448.0,NET_LOSS,customers,0
0.5,0.0,13.0,0.0,10.0,0.0,10.0,10.0,20.0,0.0,10.0,10.0,70.0,100.0,90.0,80.0,70.0,110.0,60.0,60.0,16765196.0,3384604.0,32.1,4096.0,3426304.0,0.0,3428352.0,595.0,795.0,825.0,810.0,785.0,805.0,850.0,797.0,720.0,6265.0,2210.0,2090.0,1880.0,1880.0,6345.0,6645.0,1970.0,12.4,4.6,4.5,4.1,13.0,12.8,12.9,12.9,0.0,0.0,4096.0,348160.0,0.0,352256.0,NET_LOSS,customers,0
0.8,0.0,13.0,0.0,9.0,8.0,10.0,12.0,15.0,2.0,11.0,13.0,131.0,143.0,120.0,106.0,76.0,126.0,94.0,81.0,17402496.0,3388574.0,27.4,2586.0,3426304.0,2975.0,3428352.0,773.0,795.0,825.0,810.0,785.0,805.0,850.0,795.0,720.0,6265.0,4196.0,5409.0,8741.0,8495.0,6345.0,6645.0,6118.0,12.4,18.5,17.7,17.0,13.0,12.8,12.9,12.9,0.0,0.0,410214.0,629459.0,1883.0,904645.0,NET_LOSS,customers,0
1.0,0.0,13.0,0.0,9.0,15.0,10.0,12.0,15.0,2.0,12.0,13.0,131.0,143.0,120.0,106.0,76.0,126.0,94.0,81.0,17917877.0,3387245.0,26.5,2819.0,3426304.0,813.0,3428352.0,853.8,795.0,825.0,810.0,785.0,805.0,850.0,795.0,720.0,6265.0,6101.0,5409.0,8741.0,8495.0,6345.0,6645.0,6118.0,12.4,18.5,17.7,17.0,13.0,12.8,12.9,12.9,0.0,0.0,392314.0,184207.0,1883.0,362420.0,NET_LOSS,customers,0
1.2,0.0,13.0,0.0,9.0,26.0,10.0,13.0,14.0,2.0,12.0,13.0,131.0,145.0,120.0,106.0,76.0,126.0,94.0,81.0,17996534.0,3387245.0,26.0,2224.0,11528192.0,27.0,11528192.0,948.9,825.0,875.0,490.0,470.0,580.0,580.0,480.0,530.0,6295.0,2020.0,1955.0,1825.0,1870.0,6675.0,6760.0,1880.0,12.4,4.4,4.2,4.0,13.0,13.3,13.2,13.0,0.0,0.0,3235.0,8450048.0,1883.0,8452096.0,NET_LOSS,customers,0
1.5,0.0,13.0,0.0,9.0,36.0,12.0,19.0,10.0,2.0,18.0,19.0,65.0,115.0,75.0,70.0,60.0,105.0,70.0,60.0,17833108.0,3390064.0,26.5,2115.0,11528192.0,28.0,11528192.0,482.0,825.0,875.0,490.0,470.0,580.0,580.0,480.0,530.0,6295.0,2020.0,1955.0,1825.0,1870.0,6675.0,6760.0,1880.0,12.4,4.4,4.2,4.0,13.0,13.3,13.2,13.0,0.0,0.0,1351.0,8450048.0,1883.0,8452096.0,NET_LOSS,customers,0
1.8,0.0,13.0,0.0,9.0,37.0,9.0,18.0,10.0,2.0,18.0,19.0,65.0,115.0,75.0,70.0,60.0,105.0,70.0,60.0,17811628.0,3393643.0,28.0,828.0,11528192.0,28.0,11528192.0,3225.0,825.0,875.0,490.0,470.0,580.0,580.0,480.0,530.0,6295.0,2020.0,1955.0,1825.0,1870.0,6675.0,6760.0,1880.0,12.4,4.4,4.2,4.0,13.0,13.3,13.2,13.0,0.0,0.0,409.0,8450048.0,1883.0,8452096.0,NET_LOSS,customers,0
2.0,0.0,13.0,6.0,9.0,27.0,9.0,14.0,12.0,2.0,16.0,15.0,65.0,115.0,75.0,70.0,60.0,105.0,70.0,60.0,17665199.0,3401333.0,28.7,623.0,11528192.0,28.0,11528192.0,3218.0,825.0,875.0,906.0,1189.0,851.0,983.0,940.0,815.0,6295.0,2020.0,1955.0,1825.0,1870.0,6675.0,6760.0,1880.0,12.4,4.4,4.2,4.0,13.0,13.3,13.2,13.0,0.0,0.0,450.0,8450048.0,1883.0,8452096.0,NET_LOSS,customers,0
2.2,0.0,13.0,6.0,9.0,19.0,11.0,13.0,14.0,3.0,15.0,15.0,180.0,205.0,200.0,180.0,180.0,200.0,160.0,165.0,17603113.0,3403518.0,28.9,48.0,3252224.0,28.0,3252224.0,1918.8,1260.0,1355.0,855.0,860.0,1020.0,983.0,940.0,845.0,13020.0,8560.0,9900.0,8775.0,9120.0,13760.0,13567.0,9075.0,24.8,16.4,18.6,16.6,26.5,25.9,25.5,26.3,0.0,0.0,40.0,174080.0,1883.0,176128.0,NET_LOSS,customers,0
