"Time","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""0"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""1"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""2"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""3"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""4"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""5"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""6"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""7"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""8"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}","{__name__=""gala_gopher_cpu_irq_msec"", cpu=""9"", instance=""localhost:9888"", job=""gala-gopher"", machine_id=""e519aef0-09d0-4de2-b55b-e83d5d003f30-192.168.122.86"", scenario=""jvmocache-fill-gatewayom""}"
2025-07-15 17:24:15,90,150,90,80,80,130,70,90,0,0
2025-07-15 17:24:30,90,150,90,80,80,130,70,90,0,0
2025-07-15 17:24:45,620,1260,730,720,730,700,630,710,0,0
2025-07-15 17:25:00,620,1260,730,720,730,700,630,710,0,0
2025-07-15 17:25:15,620,1260,730,720,730,700,630,710,0,0
2025-07-15 17:25:30,620,1260,730,720,730,700,630,710,0,0
2025-07-15 17:25:45,910,1080,1020,800,790,910,770,1180,0,0
2025-07-15 17:26:00,910,1080,1020,800,790,910,770,1180,0,0
2025-07-15 17:26:15,910,1080,1020,800,790,910,770,1180,0,0
2025-07-15 17:26:30,910,1080,1020,800,790,910,770,1180,0,0
2025-07-15 17:26:45,850,1110,1200,790,740,1060,660,1040,0,0
2025-07-15 17:27:00,850,1110,1200,790,740,1060,660,1040,0,0
2025-07-15 17:27:15,850,1110,1200,790,740,1060,660,1040,0,0
2025-07-15 17:27:30,850,1110,1200,790,740,1060,660,1040,0,0
2025-07-15 17:27:45,890,1170,1070,730,690,1150,790,1090,0,0
2025-07-15 17:28:00,890,1170,1070,730,690,1150,790,1090,0,0
2025-07-15 17:28:15,890,1170,1070,730,690,1150,790,1090,0,0
2025-07-15 17:28:30,890,1170,1070,730,690,1150,790,1090,0,0
2025-07-15 17:28:45,860,990,810,730,660,1180,840,1070,0,0
2025-07-15 17:29:00,860,990,810,730,660,1180,840,1070,0,0
2025-07-15 17:29:15,860,990,810,730,660,1180,840,1070,0,0
2025-07-15 17:29:30,860,990,810,730,660,1180,840,1070,0,0
2025-07-15 17:29:45,1540,2210,1900,1640,1600,1930,1570,2290,0,0
2025-07-15 17:30:00,1540,2210,1900,1640,1600,1930,1570,2290,0,0
2025-07-15 17:30:15,1540,2210,1900,1640,1600,1930,1570,2290,0,0
2025-07-15 17:30:30,1540,2210,1900,1640,1600,1930,1570,2290,0,0
2025-07-15 17:30:45,950,1120,940,680,720,990,790,1240,0,0
2025-07-15 17:31:00,950,1120,940,680,720,990,790,1240,0,0
2025-07-15 17:31:15,950,1120,940,680,720,990,790,1240,0,0
2025-07-15 17:31:30,950,1120,940,680,720,990,790,1240,0,0
2025-07-15 17:31:45,990,930,880,810,800,990,680,1210,0,0
2025-07-15 17:32:00,990,930,880,810,800,990,680,1210,0,0
2025-07-15 17:32:15,990,930,880,810,800,990,680,1210,0,0
