Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,640,790,850,760,820,780,830,700,0,0,BASELINE,0.0
2025-05-17 17:00:15,640,790,850,760,820,780,830,700,0,0,BASELINE,0.25
2025-05-17 17:00:30,960,940,1260,1190,870,970,1240,690,0,0,BASELINE,0.5
2025-05-17 17:00:45,937,958,1224,1194,851,969,1215,719,0,0,BASELINE,0.75
2025-05-17 17:01:00,963,972,1304,1243,856,974,1260,720,0,0,BASELINE,1.0
2025-05-17 17:01:15,953,997,1361,1351,860,998,1342,738,0,0,BASELINE,1.25
2025-05-17 17:01:30,952,998,1391,1361,859,1016,1401,738,0,0,BASELINE,1.5
2025-05-17 17:01:45,907,1157,1517,1585,830,1054,1476,784,0,0,BASELINE,1.75
2025-05-17 17:02:00,908,1200,1545,1655,822,1062,1493,821,0,0,BASELINE,2.0
2025-05-17 17:02:15,943,1151,1565,1627,815,1050,1547,843,0,0,BASELINE,2.25
2025-05-17 17:02:30,957,1147,1566,1627,814,1045,1599,845,0,0,BASELINE,2.5
2025-05-17 17:02:45,1067,1000,1578,1588,806,1021,1774,943,0,0,BASELINE,2.75
2025-05-17 17:03:00,1082,894,1603,1587,812,1021,1774,960,0,0,BASELINE,3.0
2025-05-17 17:03:15,1064,898,1608,1623,845,1037,1777,965,0,0,BASELINE,3.25
2025-05-17 17:03:30,1062,898,1608,1627,858,1048,1762,965,0,0,BASELINE,3.5
2025-05-17 17:03:45,1061,1028,1595,1772,1065,1137,1726,1064,0,0,BASELINE,3.75
2025-05-17 17:04:00,1077,1063,1627,1804,1107,1160,1705,1112,0,0,BASELINE,4.0
2025-05-17 17:04:15,1113,1089,1662,1803,1086,1184,1707,1138,0,0,BASELINE,4.25
2025-05-17 17:04:30,1116,1090,1792,1804,1087,1211,1701,1141,0,0,BASELINE,4.5
2025-05-17 17:04:45,1231,1159,1949,1811,1072,1273,1674,1292,0,0,BASELINE,4.75
2025-05-17 17:05:00,1300,1188,1997,1846,1086,1297,1676,1336,0,0,BASELINE,5.0
2025-05-17 17:05:15,1352,1194,2067,1920,1115,1328,1766,1351,0,0,BASELINE,5.25
2025-05-17 17:05:30,1371,1200,2073,1953,1129,1364,1903,1355,0,0,BASELINE,5.5
2025-05-17 17:05:45,1462,1358,2141,2240,1438,1391,2255,1370,0,0,BASELINE,5.75
2025-05-17 17:06:00,1468,1378,2145,2245,1519,1398,2295,1388,0,0,BASELINE,6.0
2025-05-17 17:06:15,1428,1385,2118,2179,1466,1409,2199,1385,0,0,BASELINE,6.25
2025-05-17 17:06:30,1414,1383,2090,2159,1461,1442,2054,1384,0,0,BASELINE,6.5
2025-05-17 17:06:45,1317,1372,1957,2005,1378,1462,1945,1380,0,0,BASELINE,6.75
2025-05-17 17:07:00,1284,1354,1925,1985,1356,1461,1921,1369,0,0,BASELINE,7.0
2025-05-17 17:07:15,1196,1342,1872,1960,1333,1419,1919,1355,0,0,BASELINE,7.25
2025-05-17 17:07:30,1191,1332,1850,1950,1323,1335,1928,1352,0,0,BASELINE,7.5
2025-05-17 17:07:45,1150,1258,1830,1921,1261,1284,1950,1261,0,0,BASELINE,7.75
