Time,cpu 0,cpu 1,cpu 2,cpu 3,cpu 4,cpu 5,cpu 6,cpu 7,cpu 8,cpu 9,source,Minutes
2025-05-17 17:00:00,500,615,555,440,435,520,420,635,0,0,CACHE_FILLING,0.0
2025-05-17 17:00:15,500,615,555,440,435,520,420,635,0,0,CACHE_FILLING,0.25
2025-05-17 17:00:30,765,1170,875,760,760,805,700,945,0,0,CACHE_FILLING,0.5
2025-05-17 17:00:45,750,1177,875,757,747,805,672,910,0,0,CACHE_FILLING,0.75
2025-05-17 17:01:00,735,1185,875,755,735,805,645,875,0,0,CACHE_FILLING,1.0
2025-05-17 17:01:15,620,1260,730,720,730,700,630,710,0,0,CACHE_FILLING,1.25
2025-05-17 17:01:30,910,1080,1020,800,790,910,770,1180,0,0,CACHE_FILLING,1.5
2025-05-17 17:01:45,910,1080,1020,800,790,910,770,1180,0,0,CACHE_FILLING,1.75
2025-05-17 17:02:00,891,1106,1051,782,764,935,748,1160,0,0,CACHE_FILLING,2.0
2025-05-17 17:02:15,880,1095,1126,784,760,968,716,1074,0,0,CACHE_FILLING,2.25
2025-05-17 17:02:30,880,1095,1126,786,760,968,705,1073,0,0,CACHE_FILLING,2.5
2025-05-17 17:02:45,856,1106,1165,786,739,1035,676,1043,0,0,CACHE_FILLING,2.75
2025-05-17 17:03:00,855,1113,1168,782,729,1052,681,1035,0,0,CACHE_FILLING,3.0
2025-05-17 17:03:15,868,1106,1142,776,705,1061,703,1029,0,0,CACHE_FILLING,3.25
2025-05-17 17:03:30,871,1109,1129,761,703,1063,713,1033,0,0,CACHE_FILLING,3.5
2025-05-17 17:03:45,881,1137,1082,731,693,1141,782,1082,0,0,CACHE_FILLING,3.75
2025-05-17 17:04:00,885,1138,1066,723,685,1156,790,1089,0,0,CACHE_FILLING,4.0
2025-05-17 17:04:15,886,1142,1029,709,678,1145,799,1082,0,0,CACHE_FILLING,4.25
2025-05-17 17:04:30,886,1140,1023,710,678,1145,799,1082,0,0,CACHE_FILLING,4.5
2025-05-17 17:04:45,867,1050,940,745,687,1160,810,1075,0,0,CACHE_FILLING,4.75
2025-05-17 17:05:00,860,1050,940,730,675,1168,815,1070,0,0,CACHE_FILLING,5.0
2025-05-17 17:05:15,867,1065,940,730,675,1157,815,1075,0,0,CACHE_FILLING,5.25
2025-05-17 17:05:30,1215,1690,1485,1185,1145,1158,1180,1690,0,0,CACHE_FILLING,5.5
2025-05-17 17:05:45,1540,1690,1485,1185,1145,1203,1180,1690,0,0,CACHE_FILLING,5.75
2025-05-17 17:06:00,1540,1690,1485,1185,1145,1555,1180,1690,0,0,CACHE_FILLING,6.0
2025-05-17 17:06:15,1540,1690,1485,1185,1145,1555,1180,1690,0,0,CACHE_FILLING,6.25
2025-05-17 17:06:30,1051,1145,1005,705,705,1085,790,1165,0,0,CACHE_FILLING,6.5
2025-05-17 17:06:45,979,1100,940,705,697,1085,802,1160,0,0,CACHE_FILLING,6.75
2025-05-17 17:07:00,965,1055,875,705,690,1085,815,1155,0,0,CACHE_FILLING,7.0
2025-05-17 17:07:15,951,1120,940,680,720,990,790,1240,0,0,CACHE_FILLING,7.25
2025-05-17 17:07:30,954,930,880,810,800,990,680,1210,0,0,CACHE_FILLING,7.5
2025-05-17 17:07:45,972,930,880,810,800,990,680,1210,0,0,CACHE_FILLING,7.75
2025-05-17 17:08:00,966,950,876,746,719,979,682,1092,0,0,CACHE_FILLING,8.0
2025-05-17 17:08:15,921,924,836,730,697,979,673,1047,0,0,CACHE_FILLING,8.25
2025-05-17 17:08:30,898,920,836,730,696,978,670,1034,0,0,CACHE_FILLING,8.5
2025-05-17 17:08:45,847,984,800,690,625,986,627,902,0,0,CACHE_FILLING,8.75
2025-05-17 17:09:00,826,981,784,664,620,981,618,889,0,0,CACHE_FILLING,9.0
2025-05-17 17:09:15,803,974,769,663,608,956,612,917,0,0,CACHE_FILLING,9.25
2025-05-17 17:09:30,796,974,769,660,608,944,612,917,0,0,CACHE_FILLING,9.5
2025-05-17 17:09:45,760,974,820,635,607,871,606,976,0,0,CACHE_FILLING,9.75
2025-05-17 17:10:00,758,973,830,629,605,860,602,957,0,0,CACHE_FILLING,10.0
2025-05-17 17:10:15,735,971,814,617,604,877,604,888,0,0,CACHE_FILLING,10.25
2025-05-17 17:10:30,733,961,814,614,604,877,605,872,0,0,CACHE_FILLING,10.5
2025-05-17 17:10:45,705,833,809,590,533,890,607,667,0,0,CACHE_FILLING,10.75
2025-05-17 17:11:00,698,815,791,583,531,886,609,637,0,0,CACHE_FILLING,11.0
2025-05-17 17:11:15,694,831,770,565,552,883,615,697,0,0,CACHE_FILLING,11.25
2025-05-17 17:11:30,694,831,759,563,555,883,615,700,0,0,CACHE_FILLING,11.5
2025-05-17 17:11:45,688,738,665,499,575,886,587,703,0,0,CACHE_FILLING,11.75
2025-05-17 17:12:00,691,738,656,487,578,895,583,719,0,0,CACHE_FILLING,12.0
2025-05-17 17:12:15,700,797,688,510,595,894,586,733,0,0,CACHE_FILLING,12.25
2025-05-17 17:12:30,701,797,688,509,599,894,586,733,0,0,CACHE_FILLING,12.5
2025-05-17 17:12:45,667,805,750,582,694,845,585,675,0,0,CACHE_FILLING,12.75
2025-05-17 17:13:00,665,805,730,580,715,845,580,660,0,0,CACHE_FILLING,13.0
2025-05-17 17:13:15,665,785,710,552,759,845,580,675,0,0,CACHE_FILLING,13.25
2025-05-17 17:13:30,1040,1245,990,785,784,1150,855,1255,0,0,CACHE_FILLING,13.5
2025-05-17 17:13:45,1040,1245,1330,785,988,1420,855,1255,0,0,CACHE_FILLING,13.75
2025-05-17 17:14:00,1040,1245,990,785,1015,1420,855,1255,0,0,CACHE_FILLING,14.0
2025-05-17 17:14:15,1040,1770,990,785,870,1420,855,1255,0,0,CACHE_FILLING,14.25
2025-05-17 17:14:30,665,1060,690,465,833,1196,560,740,0,0,CACHE_FILLING,14.5
2025-05-17 17:14:45,652,1060,710,492,649,1018,560,725,0,0,CACHE_FILLING,14.75
2025-05-17 17:15:00,640,1111,860,520,637,994,560,710,0,0,CACHE_FILLING,15.0
2025-05-17 17:15:15,640,1035,690,460,608,944,540,760,0,0,CACHE_FILLING,15.25
2025-05-17 17:15:30,720,1035,850,520,608,945,630,840,0,0,CACHE_FILLING,15.5
2025-05-17 17:15:45,720,1139,850,520,618,952,630,840,0,0,CACHE_FILLING,15.75
2025-05-17 17:16:00,728,1200,833,531,618,948,630,859,0,0,CACHE_FILLING,16.0
2025-05-17 17:16:15,755,1200,828,561,612,931,639,868,0,0,CACHE_FILLING,16.25
2025-05-17 17:16:30,758,880,828,561,612,929,644,874,0,0,CACHE_FILLING,16.5
2025-05-17 17:16:45,780,880,892,597,618,829,690,1008,0,0,CACHE_FILLING,16.75
2025-05-17 17:17:00,788,880,882,600,619,825,689,998,0,0,CACHE_FILLING,17.0
2025-05-17 17:17:15,786,700,858,604,615,823,670,971,0,0,CACHE_FILLING,17.25
2025-05-17 17:17:30,786,900,857,605,612,823,661,970,0,0,CACHE_FILLING,17.5
2025-05-17 17:17:45,786,900,803,617,556,786,621,892,0,0,CACHE_FILLING,17.75
2025-05-17 17:18:00,786,904,775,620,554,783,619,905,0,0,CACHE_FILLING,18.0
2025-05-17 17:18:15,786,886,751,618,574,798,620,910,0,0,CACHE_FILLING,18.25
2025-05-17 17:18:30,774,887,751,619,575,799,627,913,0,0,CACHE_FILLING,18.5
2025-05-17 17:18:45,759,930,691,646,604,951,703,1021,0,0,CACHE_FILLING,18.75
2025-05-17 17:19:00,744,931,687,644,613,960,707,1009,0,0,CACHE_FILLING,19.0
2025-05-17 17:19:15,727,900,693,633,607,932,684,950,0,0,CACHE_FILLING,19.25
2025-05-17 17:19:30,724,897,693,631,607,932,670,938,0,0,CACHE_FILLING,19.5
2025-05-17 17:19:45,668,842,693,598,549,857,626,771,0,0,CACHE_FILLING,19.75
2025-05-17 17:20:00,658,838,693,591,548,855,624,759,0,0,CACHE_FILLING,20.0
2025-05-17 17:20:15,662,844,694,590,578,877,615,756,0,0,CACHE_FILLING,20.25
2025-05-17 17:20:30,662,842,698,591,581,877,609,756,0,0,CACHE_FILLING,20.5
2025-05-17 17:20:45,660,790,740,605,655,700,585,827,0,0,CACHE_FILLING,20.75
2025-05-17 17:21:00,635,775,740,600,670,700,585,810,0,0,CACHE_FILLING,21.0
2025-05-17 17:21:15,635,775,740,597,652,700,585,792,0,0,CACHE_FILLING,21.25
2025-05-17 17:21:30,1390,1400,1515,1270,1350,1395,1265,1465,0,0,CACHE_FILLING,21.5
2025-05-17 17:21:45,1390,1400,1515,1270,1350,1395,1265,1465,0,0,CACHE_FILLING,21.75
2025-05-17 17:22:00,1390,1400,1515,1270,1350,1395,1265,1465,0,0,CACHE_FILLING,22.0
2025-05-17 17:22:15,1390,1400,1515,1270,1350,1395,1265,1465,0,0,CACHE_FILLING,22.25
2025-05-17 17:22:30,785,875,640,580,560,920,635,860,0,0,CACHE_FILLING,22.5
2025-05-17 17:22:45,777,842,670,582,607,850,617,877,0,0,CACHE_FILLING,22.75
2025-05-17 17:23:00,770,810,700,585,655,780,600,895,0,0,CACHE_FILLING,23.0
2025-05-17 17:23:15,920,910,600,570,580,1000,650,980,0,0,CACHE_FILLING,23.25
2025-05-17 17:23:30,720,800,780,640,670,850,550,830,0,0,CACHE_FILLING,23.5
2025-05-17 17:23:45,720,800,780,640,670,850,550,830,0,0,CACHE_FILLING,23.75
2025-05-17 17:24:00,724,813,772,629,664,862,557,841,0,0,CACHE_FILLING,24.0
2025-05-17 17:24:15,756,838,739,625,655,880,571,833,0,0,CACHE_FILLING,24.25
2025-05-17 17:24:30,766,840,735,625,655,881,574,833,0,0,CACHE_FILLING,24.5
2025-05-17 17:24:45,804,905,691,628,611,1002,587,846,0,0,CACHE_FILLING,24.75
2025-05-17 17:25:00,801,904,685,628,607,1004,593,847,0,0,CACHE_FILLING,25.0
2025-05-17 17:25:15,787,871,712,618,612,965,601,832,0,0,CACHE_FILLING,25.25
2025-05-17 17:25:30,783,868,717,615,612,965,601,833,0,0,CACHE_FILLING,25.5
2025-05-17 17:25:45,757,827,878,596,688,902,577,795,0,0,CACHE_FILLING,25.75
2025-05-17 17:26:00,754,810,876,592,688,891,575,775,0,0,CACHE_FILLING,26.0
2025-05-17 17:26:15,734,795,833,600,674,890,578,765,0,0,CACHE_FILLING,26.25
2025-05-17 17:26:30,734,795,831,605,671,886,579,764,0,0,CACHE_FILLING,26.5
2025-05-17 17:26:45,726,809,738,641,590,738,590,699,0,0,CACHE_FILLING,26.75
2025-05-17 17:27:00,716,810,726,645,578,728,594,695,0,0,CACHE_FILLING,27.0
2025-05-17 17:27:15,683,803,717,647,576,755,603,716,0,0,CACHE_FILLING,27.25
2025-05-17 17:27:30,663,800,717,648,576,755,615,719,0,0,CACHE_FILLING,27.5
2025-05-17 17:27:45,569,756,712,651,551,765,725,809,0,0,CACHE_FILLING,27.75
2025-05-17 17:28:00,563,761,709,654,555,766,723,817,0,0,CACHE_FILLING,28.0
2025-05-17 17:28:15,605,832,710,662,578,773,695,820,0,0,CACHE_FILLING,28.25
2025-05-17 17:28:30,611,837,710,676,581,773,682,820,0,0,CACHE_FILLING,28.5
2025-05-17 17:28:45,755,932,765,705,630,717,612,862,0,0,CACHE_FILLING,28.75
2025-05-17 17:29:00,755,935,765,705,630,705,620,870,0,0,CACHE_FILLING,29.0
2025-05-17 17:29:15,710,915,762,705,622,717,650,870,0,0,CACHE_FILLING,29.25
2025-05-17 17:29:30,1235,1510,1355,1315,1225,1505,1410,1660,0,0,CACHE_FILLING,29.5
2025-05-17 17:29:45,1235,1510,1355,1315,1225,1505,1410,1660,0,0,CACHE_FILLING,29.75
2025-05-17 17:30:00,1235,1510,1355,1315,1225,1505,1410,1660,0,0,CACHE_FILLING,30.0
2025-05-17 17:30:15,1235,1510,1355,1315,1225,1505,1410,1660,0,0,CACHE_FILLING,30.25
2025-05-17 17:30:30,610,810,750,555,535,710,615,695,0,0,CACHE_FILLING,30.5
2025-05-17 17:30:45,667,887,775,582,572,690,585,720,0,0,CACHE_FILLING,30.75
2025-05-17 17:31:00,725,965,800,610,610,670,555,745,0,0,CACHE_FILLING,31.0
2025-05-17 17:31:15,670,880,790,460,530,650,490,570,0,0,CACHE_FILLING,31.25
2025-05-17 17:31:30,660,580,600,470,430,600,490,610,0,0,CACHE_FILLING,31.5
2025-05-17 17:31:45,660,655,600,467,455,612,490,610,0,0,CACHE_FILLING,31.75
2025-05-17 17:32:00,708,655,682,467,455,612,620,702,0,0,CACHE_FILLING,32.0
2025-05-17 17:32:15,784,655,766,467,455,612,620,717,0,0,CACHE_FILLING,32.25
2025-05-17 17:32:30,799,1060,770,732,730,1032,679,717,0,0,CACHE_FILLING,32.5
2025-05-17 17:32:45,1005,1060,939,732,730,1032,773,805,0,0,CACHE_FILLING,32.75
2025-05-17 17:33:00,1053,1060,965,732,730,1032,807,815,0,0,CACHE_FILLING,33.0
2025-05-17 17:33:15,1065,1390,987,1000,980,1440,866,821,0,0,CACHE_FILLING,33.25
2025-05-17 17:33:30,1078,1270,991,1060,1030,1060,952,832,0,0,CACHE_FILLING,33.5
2025-05-17 17:33:45,1118,1270,1119,1060,1030,1060,1093,1122,0,0,CACHE_FILLING,33.75
2025-05-17 17:34:00,1086,1148,1125,828,851,1035,1099,1127,0,0,CACHE_FILLING,34.0
2025-05-17 17:34:15,1010,1150,1088,825,855,985,1026,1082,0,0,CACHE_FILLING,34.25
2025-05-17 17:34:30,942,1150,1081,829,855,988,941,1081,0,0,CACHE_FILLING,34.5
2025-05-17 17:34:45,744,1128,973,791,847,946,866,1032,0,0,CACHE_FILLING,34.75
2025-05-17 17:35:00,730,1107,938,800,842,917,858,990,0,0,CACHE_FILLING,35.0
2025-05-17 17:35:15,724,1089,932,766,838,916,826,978,0,0,CACHE_FILLING,35.25
2025-05-17 17:35:30,738,1089,931,770,838,918,814,978,0,0,CACHE_FILLING,35.5
2025-05-17 17:35:45,808,1135,822,769,847,1013,776,930,0,0,CACHE_FILLING,35.75
2025-05-17 17:36:00,828,1162,815,786,862,1037,777,930,0,0,CACHE_FILLING,36.0
2025-05-17 17:36:15,910,1188,815,832,874,1057,824,930,0,0,CACHE_FILLING,36.25
2025-05-17 17:36:30,965,1214,1110,892,907,1073,928,1310,0,0,CACHE_FILLING,36.5
2025-05-17 17:36:45,1117,1385,1290,1055,1029,1232,1015,1310,0,0,CACHE_FILLING,36.75
2025-05-17 17:37:00,1159,1402,1290,1093,1039,1335,1055,1620,0,0,CACHE_FILLING,37.0
2025-05-17 17:37:15,1202,1318,1290,1075,1003,1361,1051,1620,0,0,CACHE_FILLING,37.25
2025-05-17 17:37:30,1214,1320,1309,1070,1001,1361,1055,1480,0,0,CACHE_FILLING,37.5
2025-05-17 17:37:45,1331,1253,1349,1035,947,1376,1063,1399,0,0,CACHE_FILLING,37.75
2025-05-17 17:38:00,1354,1236,1349,987,917,1376,1061,1406,0,0,CACHE_FILLING,38.0
2025-05-17 17:38:15,1348,1213,1318,945,881,1361,1027,1353,0,0,CACHE_FILLING,38.25
2025-05-17 17:38:30,1330,1210,1298,938,880,1358,954,1324,0,0,CACHE_FILLING,38.5
2025-05-17 17:38:45,1267,1205,1260,879,863,1313,868,1247,0,0,CACHE_FILLING,38.75
2025-05-17 17:39:00,1245,1225,1219,890,876,1261,854,1191,0,0,CACHE_FILLING,39.0
2025-05-17 17:39:15,1211,1246,1184,918,894,1243,850,1134,0,0,CACHE_FILLING,39.25
